,"Proportion of marriages between Portuguese and foreigners, %, 2019","Foreign population who has been granted a resident title per 100 inhabitants, No., 2019","Ageing ratio, No., 2019","Renewal index of the population in active age, No., 2019","Old-age dependency ratio, No., 2019","Oldest-age ratio, No., 2019","Sex ratio, No., 2019","Sex ratio of foreign population who has been granted a resident title , No., 2019"," Mean age of women at birth of first child, years, 2019","Mean age of women at first marriage, years, 2019","Mean age of men at first marriage, years, 2019","Life expectancy at birth of resident population, years, 2017-2019","Life expectancy at 65 years old of resident population, years, 2017-2019"
Portugal,14.8,1.26,163.2,77.5,34.5,48.6,89.4,112.5,29.9,32.4,33.9,80.93,19.61
Continente,15,1.3,165.9,76.5,35.1,48.8,89.3,112.7,29.9,32.5,34,81.08,19.72
Norte,9.4,0.61,165.8,77.1,31.5,46.5,89.4,103.4,30.3,31.4,32.8,81.33,19.78
Alto Minho,7.5,0.54,225.7,73.2,39.9,53.6,86.1,129.5,30.4,31.4,33,80.96,20
Arcos de Valdevez,5.4,0.3,341.4,68.8,56.1,60.8,82.3,80,x,x,x,x,x
Caminha,9.8,0.59,235.8,70.6,41,51.6,83.8,151.4,x,x,x,x,x
Melgaço,18.2,0.27,455.3,64.9,65.3,63.5,76.9,144.4,x,x,x,x,x
Monção,10.8,0.74,308.3,63.8,48.5,57,82.5,137.5,x,x,x,x,x
Paredes de Coura,4.5,0.43,249.8,75,45.8,58.3,89.2,131.3,x,x,x,x,x
Ponte da Barca,8.7,0.25,240.4,77.7,38.2,56.3,83.3,115.4,x,x,x,x,x
Ponte de Lima,2.3,0.21,182.8,89.3,33.5,52.4,87.8,140.5,x,x,x,x,x
Valença,0,1,223.3,71.3,39.2,50.1,85.4,129.3,x,x,x,x,x
Viana do Castelo,10.1,0.67,192.7,69.2,35.7,49.3,88.2,129.6,x,x,x,x,x
Vila Nova de Cerveira,10,0.81,202,81.8,36.5,53.6,89.9,132.3,x,x,x,x,x
Cávado,9.2,0.96,133.6,85.7,26.2,44.4,90.4,106.1,30.7,31.2,32.3,81.96,20.1
Amares,9.9,0.42,154.4,89.7,27.9,47.2,92.9,102.6,x,x,x,x,x
Barcelos,6.3,0.29,145.2,86.7,26.4,43.2,91.2,126,x,x,x,x,x
Braga,12.1,1.73,120.4,81.9,24.9,42.4,89.2,103,x,x,x,x,x
Esposende,6.8,0.55,127.1,88.4,26,44.7,89.9,123.8,x,x,x,x,x
Terras de Bouro,0,0.19,267.2,74,43,55.6,91.1,71.4,x,x,x,x,x
Vila Verde,7.6,0.25,145.3,96.9,28.5,50.9,92,118.5,x,x,x,x,x
Ave,7,0.31,150.1,80.1,27.4,43.7,91.1,120.4,30.5,30.4,32.1,81.33,19.62
Cabeceiras de Basto,0,0.09,156.7,92.3,28.8,55.3,92.4,133.3,x,x,x,x,x
Fafe,8.6,0.13,170.4,75.2,30.1,43.8,87.6,152,x,x,x,x,x
Guimarães,7.9,0.38,144.8,76.7,26.8,41.4,91.9,106.8,x,x,x,x,x
Mondim de Basto,12.5,0.04,236.3,100,33.5,55.9,90.4,200,x,x,x,x,x
Póvoa de Lanhoso,0,0.31,157.4,83.3,27.8,49.3,89.5,131,x,x,x,x,x
Vieira do Minho,3.4,0.25,238.5,75.2,36.6,54.5,90.8,57.9,x,x,x,x,x
Vila Nova de Famalicão,0,0.37,143.2,81.5,26.7,42.3,91.3,136.5,x,x,x,x,x
Vizela,7.4,0.17,119.7,90.9,21.8,41.3,93.6,141.2,x,x,x,x,x
A. M. Porto,11.6,0.76,159,73.8,31.7,44.2,88.5,99.4,30.3,32.2,33.6,81.33,19.93
Arouca,6,0.17,170,75.4,32.8,47.4,89.7,250,x,x,x,x,x
Espinho,8.1,0.55,234.8,63.5,42.1,45.9,87.1,89.4,x,x,x,x,x
Gondomar,7.9,0.39,157.5,73,29.9,42.1,89.7,81.5,x,x,x,x,x
Maia,11,0.67,125.1,76.7,26.4,42.1,89.2,109.3,x,x,x,x,x
Matosinhos,9.8,0.86,162.3,69.4,33,42.2,87.9,99.6,x,x,x,x,x
Oliveira de Azeméis,6.8,0.26,194.5,69,32.9,46.4,90.5,122.4,x,x,x,x,x
Paredes,7.1,0.2,107.7,89.5,21.8,40.8,93.5,107.3,x,x,x,x,x
Porto,22.9,2.17,217.8,63.7,48.8,49.8,81.7,100.1,x,x,x,x,x
Póvoa de Varzim,8,0.78,137,83.3,28.1,42.4,88.3,85.2,x,x,x,x,x
Santa Maria da Feira,6.4,0.25,151.9,73.1,28.2,44,91,86.1,x,x,x,x,x
Santo Tirso,5.4,0.17,215.2,69.4,34.8,43.6,89.1,82.8,x,x,x,x,x
São João da Madeira,12.6,0.78,163.2,76.5,29.7,45.2,87.6,115.2,x,x,x,x,x
Trofa,3.1,0.39,144.8,80.2,26.8,40.3,90.1,127.3,x,x,x,x,x
Vale de Cambra,7.4,0.4,243.7,68.3,40.4,48,90.7,168.8,x,x,x,x,x
Valongo,12.5,0.36,129.3,81.9,27.1,42.1,88.8,97.2,x,x,x,x,x
Vila do Conde,6,0.69,135,82.5,28.5,43.5,91.5,123.3,x,x,x,x,x
Vila Nova de Gaia,12.2,0.88,146.9,75.2,29.6,42.9,88.7,94.7,x,x,x,x,x
Alto Tâmega,8.8,0.25,331.8,66.8,50.8,55.3,88.5,87.7,30.2,33.5,35.4,79.66,19.97
Boticas,0,0.04,379.1,58.3,56.6,60.4,88.2,100,x,x,x,x,x
Chaves,9.5,0.39,277.7,68.2,44.5,53.2,89.7,88.9,x,x,x,x,x
Montalegre,14.3,0.17,479.4,66.9,64.3,59.2,87.3,66.7,x,x,x,x,x
Ribeira de Pena,15.8,0.17,260.3,69.8,43.8,59,93.8,100,x,x,x,x,x
Valpaços,3,0.13,417,61.8,63.4,55.6,84.5,72.7,x,x,x,x,x
Vila Pouca de Aguiar,4.3,0.13,360.6,70.8,49.7,53.9,88.2,114.3,x,x,x,x,x
Tâmega e Sousa,4.8,0.15,133.1,89.3,24.8,45.2,92.7,114.7,29.3,29,30.8,80.68,19.4
Amarante,3.8,0.16,160.4,79,28.1,46.4,89.6,76.6,x,x,x,x,x
Baião,2.8,0.07,193.3,78.1,32.2,52.4,91.6,133.3,x,x,x,x,x
Castelo de Paiva,0,0.05,156,81.4,28.1,46.9,94,100,x,x,x,x,x
Celorico de Basto,4,0.05,183,91.1,30.3,54.1,92.1,200,x,x,x,x,x
Cinfães,0,0.12,193.3,77.7,35.9,53.6,93.3,69.2,x,x,x,x,x
