,"25 - 64 years, MF (N.º)","25 - 64 years, M (N.º)","25 - 64 years, F (N.º)","65 years and over, Total, MF (N.º)","65 years and over, Total, M (N.º)","65 years and over, Total, F (N.º)","65 years and over, 75 years and over, MF (N.º)","65 years and over, 75 years and over, M (N.º)","65 years and over, 75 years and over, F (N.º)"
Portugal,5522734,2635746,2886988,2280424,953343,1327081,1107921,424490,683431
Continente,5238230,2498306,2739924,2200970,922316,1278654,1072982,413042,659940
Norte,1979268,940720,1038548,748785,315380,433405,348227,133828,214399
Alto Minho,122682,58211,64471,58372,23165,35207,31291,11425,19866
Arcos de Valdevez,10181,4877,5304,6807,2562,4245,4140,1517,2623
Caminha,8478,3936,4542,4110,1613,2497,2120,745,1375
Melgaço,3845,1807,2038,2941,1052,1889,1867,655,1212
Monção,9348,4440,4908,5275,1988,3287,3009,1066,1943
Paredes de Coura,4426,2197,2229,2381,930,1451,1387,499,888
Ponte da Barca,6064,2877,3187,2772,1039,1733,1561,577,984
Ponte de Lima,22328,10643,11685,9121,3669,5452,4778,1769,3009
Valença,7131,3339,3792,3325,1354,1971,1667,598,1069
Viana do Castelo,46030,21759,24271,19537,8128,11409,9634,3613,6021
Vila Nova de Cerveira,4851,2336,2515,2103,830,1273,1128,386,742
Cávado,229729,108992,120737,72716,30834,41882,32304,12395,19909
Amares,10185,4889,5296,3465,1527,1938,1635,678,957
Barcelos,66293,31782,34511,21218,8942,12276,9172,3464,5708
Braga,104777,49073,55704,31224,13356,17868,13232,5105,8127
Esposende,19262,9087,10175,6065,2562,3503,2712,1008,1704
Terras de Bouro,3327,1582,1745,1718,735,983,955,376,579
Vila Verde,25885,12579,13306,9026,3712,5314,4598,1764,2834
Ave,234866,112185,122681,77428,32868,44560,33850,12939,20911
Cabeceiras de Basto,8646,4182,4464,3061,1246,1815,1693,597,1096
Fafe,27006,12662,14344,9789,3950,5839,4290,1476,2814
Guimarães,87503,41916,45587,28102,12068,16034,11634,4533,7101
Mondim de Basto,3789,1797,1992,1576,660,916,881,352,529
Póvoa de Lanhoso,12122,5687,6435,4113,1768,2345,2029,785,1244
Vieira do Minho,6455,3107,3348,2852,1212,1640,1555,613,942
Vila Nova de Famalicão,75205,36017,39188,24214,10358,13856,10233,3999,6234
Vizela,14140,6817,7323,3721,1606,2115,1535,584,951
A. M. Porto,954552,449438,505114,361230,152662,208568,159622,61743,97879
