,"Total, MF (N.º)","Total, M (N.º)","Total, F (N.º)","0 - 14 years, MF (N.º)","0 - 14 years, M (N.º)","0 - 14 years, F (N.º)","15 - 24 years, MF (N.º)","15 - 24 years, M (N.º)","15 - 24 years, F (N.º)"
Portugal,10295909,4859977,5435932,1396985,713477,683508,1095766,557411,538355
Continente,9798859,4623424,5175435,1326347,677328,649019,1033312,525474,507838
Norte,3575338,1687717,1887621,451624,230270,221354,395661,201347,194314
Alto Minho,230412,106605,123807,25857,13153,12704,23501,12076,11425
Arcos de Valdevez,20926,9449,11477,1994,994,1000,1944,1016,928
Caminha,15877,7239,8638,1743,910,833,1546,780,766
Melgaço,8093,3518,4575,646,342,304,661,317,344
Monção,17869,8076,9793,1711,860,851,1535,788,747
Paredes de Coura,8535,4025,4510,953,476,477,775,422,353
Ponte da Barca,11180,5081,6099,1153,565,588,1191,600,591
Ponte de Lima,41315,19311,22004,4989,2511,2478,4877,2488,2389
Valença,13290,6120,7170,1489,761,728,1345,666,679
Viana do Castelo,84417,39569,44848,10138,5179,4959,8712,4503,4209
Vila Nova de Cerveira,8910,4217,4693,1041,555,486,915,496,419
Cávado,404444,191973,212471,54421,27803,26618,47578,24344,23234
Amares,18129,8730,9399,2244,1159,1085,2235,1155,1080
Barcelos,116187,55427,60760,14613,7438,7175,14063,7265,6798
Braga,182679,86128,96551,25937,13196,12741,20741,10503,10238
Esposende,34177,16181,17996,4772,2464,2308,4078,2068,2010
Terras de Bouro,6361,3032,3329,643,341,302,673,374,299
Vila Verde,46911,22475,24436,6212,3205,3007,5788,2979,2809
Ave,411857,196353,215504,51597,26589,25008,47966,24711,23255
Cabeceiras de Basto,15628,7506,8122,1953,1031,922,1968,1047,921
Fafe,48060,22443,25617,5744,3016,2728,5521,2815,2706
Guimarães,152309,72933,79376,19408,9980,9428,17296,8969,8327
Mondim de Basto,6946,3298,3648,667,352,315,914,489,425
Póvoa de Lanhoso,21499,10151,11348,2613,1348,1265,2651,1348,1303
Vieira do Minho,11842,5637,6205,1196,629,567,1339,689,650
Vila Nova de Famalicão,131676,62830,68846,16907,8618,8289,15350,7837,7513
Vizela,23897,11555,12342,3109,1615,1494,2927,1517,1410
A. M. Porto,1728226,811332,916894,227141,115529,111612,185303,93703,91600
Arouca,20720,9798,10922,2631,1305,1326,2319,1128,1191
Espinho,29516,13737,15779,3307,1704,1603,2944,1540,1404
Gondomar,165985,78484,87501,21174,10789,10385,18229,9280,8949
Maia,138971,65514,73457,19910,10149,9761,15373,7763,7610
Matosinhos,175357,82053,93304,23261,11749,11512,17360,8631,8729
Oliveira de Azeméis,66011,31353,34658,7445,3762,3683,6909,3396,3513
Paredes,86067,41596,44471,12246,6234,6012,10966,5579,5387
Porto,216606,97378,119228,28338,14397,13941,19508,9997,9511
Póvoa de Varzim,62784,29445,33339,8660,4413,4247,7407,3730,3677
Santa Maria da Feira,138636,66050,72586,17535,8962,8573,15719,7947,7772
Santo Tirso,68055,32071,35984,7285,3655,3630,7254,3703,3551
São João da Madeira,21958,10252,11706,2699,1352,1347,2363,1180,1183
Trofa,38418,18204,20214,4893,2448,2445,4362,2153,2209
Vale de Cambra,21327,10141,11186,2252,1190,1062,2095,1071,1024
Valongo,97444,45839,51605,13781,7020,6761,10908,5545,5363
Vila do Conde,79899,38184,41715,11282,5780,5502,8997,4606,4391
Vila Nova de Gaia,300472,141233,159239,40442,20620,19822,32590,16454,16136
Alto Tâmega,86133,40444,45689,7939,4070,3869,8177,4151,4026
Boticas,4998,2342,2656,435,234,201,405,196,209
Chaves,39343,18605,20738,3925,2028,1897,3789,2009,1780
Montalegre,8997,4194,4803,679,334,345,812,408,404
Ribeira de Pena,6016,2912,3104,630,352,278,649,330,319
Valpaços,14818,6785,8033,1261,625,636,1280,616,664
Vila Pouca de Aguiar,11961,5606,6355,1009,497,512,1242,592,650
Tâmega e Sousa,415989,200088,215901,54042,27581,26461,52845,26962,25883
Amarante,53193,25136,28057,6401,3209,3192,6466,3267,3199
Baião,18748,8961,9787,2099,1089,1010,2165,1125,1040
Castelo de Paiva,15454,7486,7968,1906,958,948,1919,994,925
Celorico de Basto,19040,9131,9909,2146,1075,1071,2314,1163,1151
Cinfães,18244,8806,9438,2194,1173,1021,2117,1100,1017
Felgueiras,56422,26846,29576,7287,3672,3615,7229,3728,3501
Lousada,46755,22438,24317,6603,3337,3266,6278,3177,3101
Marco de Canaveses,51496,24815,26681,6734,3466,3268,6891,3482,3409
Paços de Ferreira,56728,28162,28566,7916,4095,3821,7308,3710,3598
Penafiel,69772,33430,36342,9591,4890,4701,8890,4546,4344
Resende,10137,4877,5260,1165,617,548,1268,670,598
Douro,190815,89972,100843,19989,10126,9863,20555,10415,10140
Alijó,10625,5019,5606,1042,509,533,978,493,485
Armamar,5769,2679,3090,511,250,261,611,289,322
Carrazeda de Ansiães,5666,2632,3034,564,253,311,493,237,256
Freixo de Espada à Cinta,3298,1519,1779,343,166,177,318,158,160
Lamego,24895,11765,13130,2649,1355,1294,2770,1416,1354
