,"Densidade populacional , N.º/km2","Taxa de crescimento efetivo, %","Taxa de crescimento natural, %","Taxa de crescimento migratório, %","Taxa bruta de natalidade, ‰","Taxa bruta de mortalidade, ‰","Taxa bruta de nupcialidade, ‰","Taxa bruta de divórcio, ‰","Taxa de fecundidade geral, ‰","Taxa de fecundidade na adolescência, ‰","Índice sintético de fecundidade, N.º","Mulheres em idade fértil na população residente feminina, %","Nados-vivos fora do casamento, %","Proporção de casamentos católicos, %"
Portugal,111.6,0.19,-0.25,0.43,8.4,10.9,3.2,2,37.9,7.7,1.42,41.9,56.8,30.8
Continente,110,0.19,-0.25,0.44,8.4,10.9,3.2,2,38.2,7.6,1.43,41.6,56.9,30.8
Norte,168,0.08,-0.21,0.29,7.6,9.8,3.3,2.1,33.6,5.1,1.25,42.8,49.1,39.9
Alto Minho,103.8,-0.23,-0.65,0.42,6.8,13.3,3.2,2.2,31.7,4.4,1.18,39.6,49.2,44.4
Arcos de Valdevez,46.8,-0.21,-1.08,0.87,5.3,16.1,2.7,1.7,28.1,x,x,34.3,46.4,57.1
Caminha,116.3,0.03,-0.65,0.67,7.3,13.8,2.6,2.5,34.8,x,x,38.5,67.2,27.5
Melgaço,34,-0.63,-1.77,1.15,4.3,22,2.7,1.1,24.3,x,x,31.4,62.9,18.2
Monção,84.6,-0.18,-1.1,0.91,5.6,16.5,2.1,1.7,27.8,x,x,36.5,51,40.5
Paredes de Coura,61.8,-0.29,-0.75,0.46,6.7,14.2,2.6,3,33.4,x,x,37.8,47.4,54.5
Ponte da Barca,61.4,-0.27,-0.85,0.58,5.7,14.2,4.1,1.9,25.6,x,x,41,46.9,40.9
Ponte de Lima,129,-0.44,-0.45,0,6.9,11.4,4.3,1.5,30.1,x,x,43.1,31.7,54
Valença,113.5,0.05,-0.65,0.71,6.8,13.4,2.2,2.6,31.6,x,x,40.1,52.7,39.3
Viana do Castelo,264.6,-0.26,-0.41,0.15,7.4,11.6,3.4,2.7,34.4,x,x,40.5,52,42.3
Vila Nova de Cerveira,82.1,0.37,-0.62,0.99,8.1,14.3,3.4,1.6,36.4,x,x,42.2,59.7,33.3
Cávado,324.6,0.14,0.06,0.08,8.4,7.8,3.6,2,34.6,3.7,1.28,45.9,41.1,45.2
Amares,221.2,0.08,-0.22,0.3,8.2,10.4,5,2.3,34,x,x,46.5,36.9,45.6
Barcelos,306.6,-0.3,0.02,-0.32,7.5,7.2,3.3,2,31,x,x,45.5,35.5,52
Braga,996.1,0.42,0.19,0.22,9.2,7.3,3.6,2.1,37.3,x,x,46.3,44.4,43.7
Esposende,358.2,0.35,-0.02,0.37,8.2,8.4,4.3,1.5,33.6,x,x,46,43.4,47.3
Terras de Bouro,22.9,-0.69,-0.88,0.19,4.9,13.6,2.7,1.1,23.5,x,x,39.2,51.6,0
Vila Verde,205.2,0.1,-0.07,0.16,8.3,9,3.7,1.7,34.8,x,x,45.8,38.1,38.4
Ave,283.8,-0.2,-0.09,-0.11,7.8,8.7,2.6,2.1,33.3,3.2,1.24,44.5,44.1,39.2
Cabeceiras de Basto,64.6,-0.45,-0.46,0.01,5.5,10.1,2.9,1.2,23.5,x,x,44.7,44.2,50
Fafe,219.4,-0.44,-0.24,-0.2,6.9,9.3,3.2,1.7,29.8,x,x,43.2,48.6,38
Guimarães,632,-0.32,-0.01,-0.31,8.2,8.3,1.8,2.1,35.4,x,x,44.2,42.3,25.1
Mondim de Basto,40.4,-0.56,-0.89,0.33,4.6,13.5,4.2,1.7,20,x,x,43.8,37.5,24.1
Póvoa de Lanhoso,159.7,0.25,-0.34,0.59,6.7,10.1,2.7,2,28,x,x,44.8,40.6,6.9
Vieira do Minho,54.7,-0.47,-0.87,0.4,5.6,14.3,4.2,1.7,26.2,x,x,40.8,55.2,44
Vila Nova de Famalicão,653.2,-0.05,0.01,-0.05,8.4,8.3,3,2.4,35.3,x,x,45.2,43.5,52.2
