,"Teaching staff, Lower and upper secondary education, Total (N.º)","Teaching staff, Lower and upper secondary education, Public (N.º)","Teaching staff, Lower and upper secondary education, Private (N.º)","Teaching staff, Trainers  (vocational schools), Total (N.º)","Teaching staff, Trainers  (vocational schools), Public (N.º)","Teaching staff, Trainers  (vocational schools), Private (N.º)","Non teaching staff in non-tertiary education, Trainers  (vocational schools), Total (N.º)","Non teaching staff in non-tertiary education, Trainers  (vocational schools), Public (N.º)","Non teaching staff in non-tertiary education, Trainers  (vocational schools), Private (N.º)"
Portugal,76735,69868,6867,8580,1463,7117,80854,56659,24195
Continente,71727,65039,6688,7846,1241,6605,73520,51154,22366
Norte,26348,23792,2556,3023,542,2481,26106,19216,6890
Alto Minho,1608,1579,29,381,69,312,1914,1591,323
Arcos de Valdevez,121,121,0,21,0,21,146,101,45
Caminha,89,89,0,32,0,32,101,75,26
Melgaço,46,46,0,7,0,7,57,48,9
Monção,102,102,0,33,0,33,122,106,16
Paredes de Coura,52,52,0,23,0,23,76,47,29
Ponte da Barca,78,78,0,27,0,27,107,88,19
Ponte de Lima,289,289,0,75,46,29,356,343,13
Valença,93,93,0,14,0,14,81,74,7
Viana do Castelo,694,665,29,129,23,106,781,627,154
Vila Nova de Cerveira,44,44,0,20,0,20,87,82,5
Cávado,3122,2823,299,318,0,318,3071,2228,843
Amares,120,120,0,0,0,0,114,112,2
Barcelos,743,700,43,92,0,92,798,635,163
Braga,1716,1461,255,137,0,137,1466,894,572
Esposende,215,215,0,47,0,47,247,198,49
Terras de Bouro,47,47,0,0,0,0,69,63,6
Vila Verde,281,280,1,42,0,42,377,326,51
Ave,2947,2692,255,279,0,279,3193,2284,909
Cabeceiras de Basto,114,94,20,0,0,0,116,97,19
Fafe,318,300,18,28,0,28,423,324,99
Guimarães,1089,1038,51,110,0,110,1217,872,345
Mondim de Basto,58,58,0,0,0,0,40,37,3
Póvoa de Lanhoso,158,158,0,26,0,26,147,122,25
Vieira do Minho,83,83,0,0,0,0,65,64,1
Vila Nova de Famalicão,886,784,102,106,0,106,967,588,379
Vizela,241,177,64,9,0,9,218,180,38
A. M. Porto,12655,10934,1721,1322,202,1120,11912,7949,3963
Arouca,164,164,0,0,0,0,165,157,8
Espinho,320,308,12,97,0,97,246,179,67
Gondomar,949,850,99,37,0,37,957,755,202
Maia,846,817,29,23,0,23,761,552,209
Matosinhos,1198,1142,56,128,0,128,1246,870,376
Oliveira de Azeméis,468,468,0,0,0,0,410,328,82
Paredes,554,522,32,0,0,0,488,423,65
Porto,2615,1819,796,640,143,497,2544,1090,1454
Póvoa de Varzim,570,534,36,0,0,0,535,353,182
Santa Maria da Feira,685,613,72,16,0,16,742,551,191
Santo Tirso,523,452,71,148,59,89,526,375,151
São João da Madeira,351,301,50,0,0,0,205,159,46
Trofa,248,208,40,0,0,0,269,225,44
Vale de Cambra,145,145,0,0,0,0,106,104,2
Valongo,644,593,51,39,0,39,508,377,131
Vila do Conde,509,508,1,23,0,23,612,472,140
Vila Nova de Gaia,1866,1490,376,171,0,171,1592,979,613
Alto Tâmega,627,627,0,23,0,23,615,551,64
Boticas,26,26,0,0,0,0,33,31,2
Chaves,311,311,0,23,0,23,288,239,49
Montalegre,70,70,0,0,0,0,64,64,0
Ribeira de Pena,56,56,0,0,0,0,54,50,4
Valpaços,86,86,0,0,0,0,99,92,7
Vila Pouca de Aguiar,78,78,0,0,0,0,77,75,2
Tâmega e Sousa,3119,2907,212,274,122,152,2972,2593,379
Amarante,370,235,135,24,0,24,506,381,125
Baião,124,124,0,0,0,0,155,144,11
Castelo de Paiva,130,130,0,0,0,0,127,116,11
Celorico de Basto,101,101,0,46,46,0,125,123,2
Cinfães,166,166,0,21,0,21,170,161,9
Felgueiras,498,498,0,37,0,37,391,320,71
Lousada,375,327,48,0,0,0,315,271,44
Marco de Canaveses,365,365,0,87,76,11,325,316,9
Paços de Ferreira,428,399,29,22,0,22,358,293,65
Penafiel,480,480,0,37,0,37,389,357,32
Resende,82,82,0,0,0,0,111,111,0
Douro,1471,1431,40,259,108,151,1585,1307,278
Alijó,76,76,0,0,0,0,91,85,6
Armamar,33,33,0,0,0,0,64,60,4
Carrazeda de Ansiães,35,35,0,0,0,0,44,38,6
