,"Ensino básico, 3º Ciclo, Total (N.º)","Ensino básico, 3º Ciclo, das quais, Ensino recorrente  (N.º)","Ensino básico, 3º Ciclo, das quais, Cursos de Educação e Formação de Adultos (N.º)","Ensino básico, 3º Ciclo, das quais, Sistema de Reconhecimento, Validação e Certificação de Competências (N.º)","Ensino secundário, 3º Ciclo, Total, Sistema de Reconhecimento, Validação e Certificação de Competências (N.º)","Ensino secundário, 3º Ciclo, das quais, Ensino recorrente (N.º)","Ensino secundário, 3º Ciclo, das quais, Cursos de Educação e Formação de Adultos (N.º)","Ensino secundário, 3º Ciclo, das quais, Sistema de Reconhecimento, Validação e Certificação de Competências (N.º)"
Portugal,18872,195,10066,8326,48153,7078,21489,18986
Continente,17657,177,9592,7850,46043,6965,20282,18683
Norte,6810,0,3302,3505,15696,2384,5671,7625
Alto Minho,260,0,115,145,713,46,275,392
Arcos de Valdevez,11,0,0,11,49,0,12,37
Caminha,0,0,0,0,0,0,0,0
Melgaço,0,0,0,0,0,0,0,0
Monção,20,0,0,20,72,0,45,27
Paredes de Coura,0,0,0,0,0,0,0,0
Ponte da Barca,0,0,0,0,0,0,0,0
Ponte de Lima,18,0,0,18,93,0,23,70
Valença,6,0,0,6,19,0,0,19
Viana do Castelo,205,0,115,90,480,46,195,239
Vila Nova de Cerveira,0,0,0,0,0,0,0,0
Cávado,591,0,131,459,2055,487,470,1095
Amares,11,0,0,11,40,0,26,14
Barcelos,99,0,23,76,351,0,105,246
Braga,185,0,88,97,1116,487,234,393
Esposende,29,0,13,15,118,0,68,49
Terras de Bouro,0,0,0,0,0,0,0,0
Vila Verde,267,0,7,260,430,0,37,393
Ave,477,0,223,254,1289,0,649,639
Cabeceiras de Basto,26,0,17,9,63,0,8,55
Fafe,46,0,31,15,176,0,32,144
Guimarães,147,0,69,78,316,0,191,124
Mondim de Basto,0,0,0,0,12,0,12,0
Póvoa de Lanhoso,29,0,0,29,47,0,6,41
Vieira do Minho,11,0,11,0,9,0,9,0
Vila Nova de Famalicão,181,0,95,86,449,0,301,148
Vizela,37,0,0,37,217,0,90,127
A. M. Porto,3504,0,2119,1384,7706,1471,2858,3366
Arouca,62,0,20,42,133,0,20,113
Espinho,21,0,0,20,63,0,0,63
Gondomar,185,0,62,123,494,187,97,210
Maia,91,0,52,39,108,0,55,52
Matosinhos,400,0,292,108,731,84,355,292
Oliveira de Azeméis,81,0,56,25,144,0,73,70
Paredes,250,0,70,180,356,0,90,266
Porto,913,0,701,212,2554,1026,933,586
Póvoa de Varzim,127,0,44,83,263,75,59,129
Santa Maria da Feira,408,0,290,118,742,30,414,298
Santo Tirso,108,0,61,47,227,0,116,111
São João da Madeira,46,0,35,11,100,39,46,15
Trofa,87,0,50,37,140,0,81,59
Vale de Cambra,26,0,26,0,25,0,25,0
