,"Ensino básico público, 3º Ciclo, Total (N.º)","Ensino básico público, 3º Ciclo, das quais, Ensino recorrente  (N.º)","Ensino básico público, 3º Ciclo, das quais, Cursos de Educação e Formação de Adultos (N.º)","Ensino básico público, 3º Ciclo, das quais, Sistema de Reconhecimento, Validação e Certificação de Competências (N.º)","Ensino secundário público, 3º Ciclo, Total, Sistema de Reconhecimento, Validação e Certificação de Competências (N.º)","Ensino secundário público, 3º Ciclo, das quais, Ensino recorrente  (N.º)","Ensino secundário público, 3º Ciclo, das quais, Cursos de Educação e Formação de Adultos (N.º)","Ensino secundário público, 3º Ciclo, das quais, Sistema de Reconhecimento, Validação e Certificação de Competências (N.º)"
Portugal,15735,18,9845,5588,36943,3951,20949,11443
Continente,14608,0,9447,5124,34923,3838,19828,11144
Norte,4971,0,3208,1761,9689,1184,5474,3015
Alto Minho,174,0,115,59,461,46,275,140
Arcos de Valdevez,0,0,0,0,12,0,12,0
Caminha,0,0,0,0,0,0,0,0
Melgaço,0,0,0,0,0,0,0,0
Monção,0,0,0,0,45,0,45,0
Paredes de Coura,0,0,0,0,0,0,0,0
Ponte da Barca,0,0,0,0,0,0,0,0
Ponte de Lima,0,0,0,0,23,0,23,0
Valença,6,0,0,6,19,0,0,19
Viana do Castelo,168,0,115,53,362,46,195,121
Vila Nova de Cerveira,0,0,0,0,0,0,0,0
Cávado,249,0,131,117,1021,343,398,277
Amares,11,0,0,11,40,0,26,14
Barcelos,23,0,23,0,83,0,83,0
Braga,179,0,88,91,758,343,199,214
Esposende,29,0,13,15,103,0,53,49
Terras de Bouro,0,0,0,0,0,0,0,0
Vila Verde,7,0,7,0,37,0,37,0
Ave,370,0,179,191,904,0,633,270
Cabeceiras de Basto,17,0,17,0,8,0,8,0
Fafe,16,0,16,0,16,0,16,0
Guimarães,119,0,69,50,226,0,191,34
Mondim de Basto,0,0,0,0,12,0,12,0
Póvoa de Lanhoso,29,0,0,29,47,0,6,41
Vieira do Minho,11,0,11,0,9,0,9,0
Vila Nova de Famalicão,152,0,66,86,449,0,301,148
Vizela,26,0,0,26,137,0,90,47
A. M. Porto,2790,0,2084,706,4561,415,2815,1320
Arouca,0,0,0,0,0,0,0,0
Espinho,0,0,0,0,0,0,0,0
Gondomar,163,0,62,101,457,187,97,173
Maia,91,0,52,39,108,0,55,52
Matosinhos,323,0,292,31,504,84,355,65
Oliveira de Azeméis,81,0,56,25,144,0,73,70
Paredes,113,0,55,58,150,0,90,60
Porto,820,0,701,119,1186,0,910,267
Póvoa de Varzim,127,0,44,83,263,75,59,129
Santa Maria da Feira,376,0,290,86,615,30,414,171
Santo Tirso,108,0,61,47,227,0,116,111
São João da Madeira,46,0,35,11,70,9,46,15
Trofa,87,0,50,37,140,0,81,59
Vale de Cambra,26,0,26,0,25,0,25,0
Valongo,24,0,17,7,73,0,69,4
Vila do Conde,9,0,9,0,83,0,83,0
Vila Nova de Gaia,396,0,334,62,516,30,342,144
Alto Tâmega,224,0,160,64,258,36,169,53
Boticas,0,0,0,0,0,0,0,0
Chaves,177,0,113,64,201,36,112,53
Montalegre,0,0,0,0,12,0,12,0
Ribeira de Pena,0,0,0,0,9,0,9,0
Valpaços,39,0,39,0,9,0,9,0
Vila Pouca de Aguiar,8,0,8,0,27,0,27,0
Tâmega e Sousa,668,0,268,400,1266,191,561,513
Amarante,81,0,0,81,146,0,66,80
Baião,22,0,22,0,66,0,66,0
Castelo de Paiva,0,0,0,0,0,0,0,0
Celorico de Basto,28,0,0,28,58,0,0,58
Cinfães,27,0,0,27,72,29,0,43
Felgueiras,55,0,16,39,276,149,59,68
Lousada,51,0,0,51,186,0,82,104
Marco de Canaveses,110,0,14,96,83,0,39,44
Paços de Ferreira,135,0,135,0,93,0,93,0
Penafiel,159,0,81,78,254,0,137,116
Resende,0,0,0,0,32,13,19,0
Douro,310,0,123,187,736,153,228,355
Alijó,0,0,0,0,16,0,16,0
Armamar,0,0,0,0,13,0,13,0
Carrazeda de Ansiães,0,0,0,0,0,0,0,0
Freixo de Espada à Cinta,0,0,0,0,11,0,11,0
Lamego,65,0,23,42,185,0,106,79
Mesão Frio,13,0,13,0,0,0,0,0
Moimenta da Beira,48,0,0,48,60,0,0,60
Murça,0,0,0,0,20,0,20,0
Penedono,0,0,0,0,0,0,0,0
Peso da Régua,34,0,4,30,71,0,3,68
Sabrosa,0,0,0,0,0,0,0,0
Santa Marta de Penaguião,0,0,0,0,0,0,0,0
São João da Pesqueira,0,0,0,0,0,0,0,0
Sernancelhe,0,0,0,0,0,0,0,0
Tabuaço,11,0,11,0,0,0,0,0
Tarouca,22,0,22,0,0,0,0,0
Torre de Moncorvo,0,0,0,0,14,0,14,0
Vila Nova de Foz Côa,4,0,4,0,24,0,24,0
Vila Real,113,0,46,67,322,153,21,148
Terras de Trás-os-Montes,186,0,148,37,482,0,395,87
Alfândega da Fé,0,0,0,0,32,0,32,0
Bragança,113,0,83,29,274,0,224,50
Macedo de Cavaleiros,18,0,18,0,56,0,56,0
Miranda do Douro,0,0,0,0,0,0,0,0
Mirandela,55,0,47,8,95,0,58,37
Mogadouro,0,0,0,0,8,0,8,0
Vila Flor,0,0,0,0,17,0,17,0
Vimioso,0,0,0,0,0,0,0,0
Vinhais,0,0,0,0,0,0,0,0
Centro,3059,0,1883,1174,8391,756,4811,2802
Oeste,383,0,154,229,1522,107,1000,405
Alcobaça,35,0,7,28,189,0,145,43
Alenquer,65,0,40,25,246,107,106,33
Arruda dos Vinhos,0,0,0,0,0,0,0,0
Bombarral,20,0,0,20,74,0,50,23
Cadaval,0,0,0,0,26,0,26,0
Caldas da Rainha,97,0,44,53,410,0,280,125
Lourinhã,31,0,12,19,145,0,101,41
Nazaré,0,0,0,0,0,0,0,0
Óbidos,0,0,0,0,0,0,0,0
Peniche,57,0,23,34,137,0,92,45
Sobral de Monte Agraço,0,0,0,0,0,0,0,0
Torres Vedras,78,0,28,50,295,0,200,95
Região de Aveiro,564,0,389,175,1600,0,817,782
Águeda,143,0,99,44,408,0,188,220
Albergaria-a-Velha,26,0,15,11,84,0,29,55
Anadia,27,0,0,27,105,0,27,78
Aveiro,228,0,186,42,741,0,438,302
Estarreja,21,0,16,5,47,0,33,14
Ílhavo,29,0,29,0,44,0,44,0
Murtosa,0,0,0,0,0,0,0,0
Oliveira do Bairro,0,0,0,0,0,0,0,0
Ovar,44,0,44,0,35,0,35,0
Sever do Vouga,46,0,0,46,113,0,0,113
Vagos,0,0,0,0,23,0,23,0
Região de Coimbra,608,0,365,241,1636,185,997,453
Arganil,140,0,73,67,205,0,72,133
Cantanhede,29,0,0,29,142,0,69,73
Coimbra,213,0,109,102,803,185,425,192
Condeixa-a-Nova,14,0,14,0,0,0,0,0
Figueira da Foz,86,0,86,0,117,0,117,0
Góis,0,0,0,0,0,0,0,0
Lousã,20,0,20,0,96,0,96,0
Mealhada,9,0,9,0,0,0,0,0
Mira,0,0,0,0,0,0,0,0
Miranda do Corvo,0,0,0,0,0,0,0,0
Montemor-o-Velho,0,0,0,0,0,0,0,0
Mortágua,0,0,0,0,0,0,0,0
Oliveira do Hospital,67,0,46,21,121,0,103,18
Pampilhosa da Serra,0,0,0,0,0,0,0,0
Penacova,0,0,0,0,0,0,0,0
Penela,0,0,0,0,0,0,0,0
Soure,22,0,0,22,92,0,55,37
Tábua,8,0,8,0,35,0,35,0
Vila Nova de Poiares,0,0,0,0,25,0,25,0
Região de Leiria,342,0,228,114,729,84,446,198
Alvaiázere,0,0,0,0,18,0,18,0
Ansião,0,0,0,0,0,0,0,0
Batalha,21,0,0,21,81,0,14,67
Castanheira de Pêra,0,0,0,0,0,0,0,0
Figueiró dos Vinhos,10,0,10,0,25,0,25,0
Leiria,176,0,135,41,341,84,175,81
Marinha Grande,50,0,35,15,164,0,130,34
Pedrógão Grande,20,0,20,0,0,0,0,0
Pombal,65,0,28,37,100,0,84,16
Porto de Mós,0,0,0,0,0,0,0,0
Viseu Dão Lafões,405,0,280,125,1095,354,507,233
Aguiar da Beira,0,0,0,0,0,0,0,0
Carregal do Sal,0,0,0,0,18,0,18,0
Castro Daire,71,0,35,36,99,0,36,63
Mangualde,47,0,10,37,182,113,19,50
Nelas,0,0,0,0,0,0,0,0
