,"Educação pré-escolar, Total (N.º)","Educação pré-escolar, Público (N.º)","Educação pré-escolar, Privado  (N.º)","Ensino básico, 1º Ciclo, Total (N.º)","Ensino básico, 1º Ciclo, Público (N.º)","Ensino básico, 1º Ciclo, Privado  (N.º)","Ensino básico, 2º Ciclo, Total (N.º)","Ensino básico, 2º Ciclo, Público (N.º)","Ensino básico, 2º Ciclo, Privado  (N.º)","Ensino básico, 3º Ciclo, Total (N.º)","Ensino básico, 3º Ciclo, Público (N.º)","Ensino básico, 3º Ciclo, Privado  (N.º)"
Portugal,243719,128512,115207,393793,341463,52330,218907,192896,26011,357529,314351,43178
Continente,231327,121280,110047,372567,323556,49011,207334,182269,25065,338176,296308,41868
Norte,79812,45206,34606,128166,113979,14187,72413,65155,7258,121602,107460,14142
Alto Minho,4813,3219,1594,7353,7056,297,4230,4125,105,6935,6498,437
Arcos de Valdevez,378,187,191,525,525,0,341,327,14,546,535,11
Caminha,345,224,121,435,435,0,243,243,0,421,421,0
Melgaço,109,61,48,206,206,0,94,94,0,153,153,0
Monção,315,230,85,446,442,4,300,300,0,437,380,57
Paredes de Coura,146,78,68,256,256,0,162,162,0,220,220,0
Ponte da Barca,186,138,48,334,334,0,179,179,0,335,335,0
Ponte de Lima,903,843,60,1399,1399,0,755,753,2,1349,1294,55
Valença,269,247,22,466,466,0,248,248,0,375,375,0
Viana do Castelo,1963,1036,927,3010,2717,293,1707,1618,89,2851,2537,314
Vila Nova de Cerveira,199,175,24,276,276,0,201,201,0,248,248,0
Cávado,10087,5554,4533,15722,13637,2085,8733,7426,1307,14556,12269,2287
Amares,341,300,41,586,586,0,341,341,0,552,552,0
Barcelos,2607,1905,702,4236,4050,186,2253,1993,260,3747,3193,554
Braga,5142,1966,3176,7813,5964,1849,4303,3369,934,7244,5861,1383
Esposende,848,492,356,1298,1298,0,711,711,0,1134,1099,35
Terras de Bouro,125,90,35,176,176,0,127,127,0,199,199,0
Vila Verde,1024,801,223,1613,1563,50,998,885,113,1680,1365,315
Ave,9337,4336,5001,14435,13523,912,7841,7355,486,13351,12176,1175
Cabeceiras de Basto,383,279,104,542,539,3,365,360,5,553,537,16
Fafe,1089,430,659,1669,1508,161,874,798,76,1576,1372,204
Guimarães,3468,1364,2104,5302,4891,411,2911,2737,174,4877,4521,356
Mondim de Basto,111,66,45,190,190,0,117,117,0,185,185,0
Póvoa de Lanhoso,473,345,128,772,772,0,410,410,0,711,711,0
Vieira do Minho,202,185,17,346,346,0,209,209,0,301,301,0
Vila Nova de Famalicão,3092,1259,1833,4740,4419,321,2487,2274,213,4256,3709,547
Vizela,519,408,111,874,858,16,468,450,18,892,840,52
A. M. Porto,39750,21053,18697,64347,54977,9370,36317,31874,4443,60066,51829,8237
Arouca,500,406,94,801,801,0,453,453,0,763,701,62
Espinho,762,539,223,1121,1121,0,934,891,43,1526,1395,131
Gondomar,3256,2100,1156,5326,4692,634,2853,2570,283,4671,4127,544
Maia,3328,1663,1665,5179,4640,539,2928,2704,224,4519,4240,279
Matosinhos,3801,1838,1963,6046,5250,796,3437,3250,187,5459,4899,560
Oliveira de Azeméis,1345,733,612,2042,1913,129,1081,1081,0,1868,1868,0
Paredes,1866,1496,370,3241,3021,220,1805,1710,95,3255,2979,276
Porto,6632,1842,4790,10817,6624,4193,6177,4066,2111,10593,7001,3592
Póvoa de Varzim,1523,480,1043,2554,2320,234,1492,1374,118,2574,2406,168
Santa Maria da Feira,2825,1722,1103,4620,4311,309,2433,2258,175,4154,3830,324
Santo Tirso,1324,809,515,2265,1914,351,1382,1194,188,2501,2174,327
São João da Madeira,790,469,321,1220,1122,98,735,704,31,1240,1161,79
Trofa,739,563,176,1260,1192,68,767,681,86,1255,1122,133
Vale de Cambra,477,428,49,663,663,0,367,367,0,616,616,0
Valongo,2061,1347,714,3382,2990,392,1978,1796,182,3146,2806,340
Vila do Conde,1897,1134,763,2982,2889,93,1421,1410,11,2323,2295,28
Vila Nova de Gaia,6624,3484,3140,10828,9514,1314,6074,5365,709,9603,8209,1394
Alto Tâmega,1382,835,547,2215,2041,174,1247,1242,5,2505,2474,31
Boticas,64,42,22,144,144,0,72,72,0,129,129,0
Chaves,659,341,318,1100,926,174,610,605,5,1302,1286,16
Montalegre,126,126,0,173,173,0,110,110,0,222,222,0
Ribeira de Pena,115,61,54,169,169,0,109,109,0,172,172,0
Valpaços,227,117,110,323,323,0,211,211,0,370,370,0
Vila Pouca de Aguiar,191,148,43,306,306,0,135,135,0,310,295,15
Tâmega e Sousa,8922,6885,2037,15438,14616,822,8839,8180,659,15468,13988,1480
Amarante,1127,797,330,1855,1639,216,1063,681,382,1855,1150,705
Baião,330,133,197,552,552,0,317,317,0,605,605,0
Castelo de Paiva,362,280,82,595,583,12,389,341,48,674,596,78
Celorico de Basto,302,279,23,581,581,0,320,320,0,529,529,0
Cinfães,326,326,0,570,570,0,338,338,0,574,574,0
Felgueiras,1238,789,449,2013,1853,160,1215,1215,0,2091,2046,45
Lousada,1107,894,213,1960,1786,174,1033,922,111,1771,1617,154
Marco de Canaveses,1083,1010,73,1941,1941,0,1068,1068,0,1922,1910,12
Paços de Ferreira,1201,851,350,2350,2168,182,1329,1241,88,2357,2107,250
Penafiel,1657,1337,320,2695,2617,78,1569,1539,30,2774,2538,236
Resende,189,189,0,326,326,0,198,198,0,316,316,0
Douro,3619,2339,1280,5681,5400,281,3377,3188,189,5722,5518,204
Alijó,162,67,95,281,281,0,182,182,0,258,258,0
Armamar,89,64,25,151,151,0,90,90,0,146,146,0
Carrazeda de Ansiães,114,80,34,135,135,0,82,82,0,152,152,0
Freixo de Espada à Cinta,57,19,38,96,96,0,57,57,0,71,71,0
Lamego,474,320,154,756,716,40,451,431,20,830,787,43
Mesão Frio,85,85,0,135,135,0,69,69,0,160,160,0
Moimenta da Beira,189,102,87,304,304,0,175,175,0,358,337,21
Murça,78,52,26,162,162,0,80,80,0,157,141,16
Penedono,49,21,28,61,61,0,53,53,0,77,77,0
Peso da Régua,327,118,209,496,496,0,310,310,0,500,500,0
Sabrosa,91,67,24,146,146,0,93,93,0,154,154,0
Santa Marta de Penaguião,104,36,68,173,173,0,62,62,0,109,109,0
São João da Pesqueira,131,131,0,207,207,0,129,129,0,245,205,40
Sernancelhe,72,48,24,126,126,0,72,72,0,101,101,0
Tabuaço,70,70,0,104,104,0,97,97,0,126,126,0
Tarouca,174,129,45,232,232,0,119,119,0,258,258,0
Torre de Moncorvo,97,90,7,174,174,0,86,86,0,122,122,0
Vila Nova de Foz Côa,103,50,53,154,154,0,93,93,0,150,150,0
Vila Real,1153,790,363,1788,1547,241,1077,908,169,1748,1664,84
Terras de Trás-os-Montes,1902,985,917,2975,2729,246,1829,1765,64,2999,2708,291
Alfândega da Fé,70,52,18,109,109,0,49,49,0,97,97,0
Bragança,688,342,346,1086,899,187,651,648,3,1057,994,63
Macedo de Cavaleiros,240,129,111,339,339,0,225,221,4,403,388,15
Miranda do Douro,95,81,14,162,162,0,101,101,0,132,132,0
Mirandela,436,153,283,682,628,54,424,418,6,725,604,121
Mogadouro,126,52,74,223,218,5,156,105,51,268,176,92
Vila Flor,89,63,26,162,162,0,99,99,0,141,141,0
Vimioso,50,50,0,76,76,0,48,48,0,46,46,0
Vinhais,108,63,45,136,136,0,76,76,0,130,130,0
Centro,48574,27313,21261,75708,70579,5129,42422,37661,4761,71333,62217,9116
Oeste,8460,4994,3466,13441,12751,690,7602,6376,1226,12620,9981,2639
Alcobaça,1259,482,777,1821,1750,71,1078,1075,3,1795,1259,536
Alenquer,931,642,289,1713,1650,63,874,874,0,1372,1372,0
Arruda dos Vinhos,368,244,124,655,655,0,480,0,480,833,0,833
Bombarral,253,195,58,394,394,0,258,258,0,403,403,0
Cadaval,263,202,61,426,426,0,226,226,0,301,301,0
Caldas da Rainha,1216,728,488,1898,1635,263,1096,894,202,2028,1800,228
Lourinhã,616,431,185,947,947,0,515,515,0,793,793,0
Nazaré,341,230,111,509,509,0,223,221,2,384,336,48
Óbidos,294,229,65,447,447,0,213,213,0,298,298,0
Peniche,664,254,410,1029,1029,0,581,581,0,919,875,44
Sobral de Monte Agraço,232,137,95,410,410,0,246,246,0,370,370,0
Torres Vedras,2023,1220,803,3192,2899,293,1812,1273,539,3124,2174,950
Região de Aveiro,8648,4207,4441,13317,12694,623,7391,6739,652,11992,10835,1157
Águeda,1094,483,611,1586,1559,27,955,860,95,1467,1459,8
Albergaria-a-Velha,559,269,290,912,833,79,556,464,92,796,652,144
Anadia,548,223,325,969,786,183,542,383,159,823,633,190
Aveiro,2171,768,1403,3378,3127,251,1816,1670,146,3208,2806,402
Estarreja,654,340,314,953,922,31,546,546,0,863,863,0
Ílhavo,887,480,407,1365,1365,0,654,654,0,1042,1042,0
Murtosa,246,160,86,388,388,0,234,234,0,322,322,0
Oliveira do Bairro,547,306,241,870,870,0,471,471,0,649,649,0
Ovar,1174,627,547,1861,1809,52,966,961,5,1694,1587,107
Sever do Vouga,215,178,37,304,304,0,192,192,0,355,355,0
Vagos,553,373,180,731,731,0,459,304,155,773,467,306
Região de Coimbra,9173,4435,4738,14270,12741,1529,7760,7069,691,13097,11908,1189
Arganil,229,185,44,344,344,0,171,171,0,391,391,0
Cantanhede,706,379,327,1175,1123,52,608,518,90,996,923,73
Coimbra,3338,946,2392,5174,3893,1281,2797,2273,524,4594,3846,748
Condeixa-a-Nova,294,215,79,490,490,0,309,309,0,499,499,0
Figueira da Foz,1242,603,639,1900,1710,190,1010,1007,3,1907,1833,74
Góis,79,37,42,73,73,0,52,52,0,74,74,0
Lousã,363,274,89,649,649,0,335,335,0,593,561,32
Mealhada,386,185,201,579,579,0,350,350,0,536,536,0
Mira,222,170,52,360,360,0,185,185,0,297,297,0
Miranda do Corvo,213,137,76,334,334,0,226,226,0,335,335,0
