,"Ensino secundário, Total (N.º)","Ensino secundário, Público (N.º)","Ensino secundário, Privado  (N.º)","Ensino pós-secundário não superior , Total (N.º)","Ensino pós-secundário não superior , Público (N.º)","Ensino pós-secundário não superior , Privado  (N.º)"
Portugal,351233,277760,73473,5275,5257,18
Continente,332540,262687,69853,5275,5257,18
Norte,123946,95004,28942,1322,1322,0
Alto Minho,8118,6808,1310,105,105,0
Arcos de Valdevez,587,501,86,0,0,0
Caminha,428,266,162,0,0,0
Melgaço,190,177,13,0,0,0
Monção,577,361,216,0,0,0
Paredes de Coura,252,130,122,0,0,0
Ponte da Barca,356,250,106,0,0,0
Ponte de Lima,1479,1360,119,0,0,0
Valença,257,192,65,0,0,0
Viana do Castelo,3792,3423,369,105,105,0
Vila Nova de Cerveira,200,148,52,0,0,0
Cávado,15301,11252,4049,0,0,0
Amares,421,421,0,0,0,0
Barcelos,3579,2766,813,0,0,0
Braga,8775,6304,2471,0,0,0
Esposende,1011,812,199,0,0,0
Terras de Bouro,92,92,0,0,0,0
Vila Verde,1423,857,566,0,0,0
Ave,13610,10966,2644,0,0,0
Cabeceiras de Basto,488,313,175,0,0,0
Fafe,1597,1254,343,0,0,0
Guimarães,5107,4511,596,0,0,0
Mondim de Basto,192,192,0,0,0,0
Póvoa de Lanhoso,751,552,199,0,0,0
Vieira do Minho,303,303,0,0,0,0
Vila Nova de Famalicão,4573,3275,1298,0,0,0
Vizela,599,566,33,0,0,0
A. M. Porto,61852,44454,17398,1077,1077,0
Arouca,609,609,0,0,0,0
Espinho,1869,1492,377,0,0,0
Gondomar,3859,3115,744,0,0,0
Maia,3298,2953,345,141,141,0
Matosinhos,4424,3560,864,0,0,0
Oliveira de Azeméis,1825,1825,0,0,0,0
Paredes,1986,1832,154,0,0,0
Porto,17878,9704,8174,497,497,0
Póvoa de Varzim,2457,2331,126,0,0,0
Santa Maria da Feira,3266,2621,645,27,27,0
Santo Tirso,2896,2062,834,0,0,0
São João da Madeira,1766,1530,236,412,412,0
Trofa,1093,736,357,0,0,0
Vale de Cambra,582,582,0,0,0,0
Valongo,2379,2100,279,0,0,0
Vila do Conde,1960,1702,258,0,0,0
Vila Nova de Gaia,9705,5700,4005,0,0,0
Alto Tâmega,2201,1988,213,0,0,0
Boticas,0,0,0,0,0,0
Chaves,1380,1167,213,0,0,0
Montalegre,169,169,0,0,0,0
Ribeira de Pena,161,161,0,0,0,0
Valpaços,221,221,0,0,0,0
Vila Pouca de Aguiar,270,270,0,0,0,0
Tâmega e Sousa,13700,11516,2184,0,0,0
Amarante,2248,885,1363,0,0,0
Baião,458,458,0,0,0,0
Castelo de Paiva,492,492,0,0,0,0
Celorico de Basto,526,526,0,0,0,0
Cinfães,583,524,59,0,0,0
Felgueiras,1967,1678,289,0,0,0
Lousada,1426,1246,180,0,0,0
Marco de Canaveses,1683,1671,12,0,0,0
Paços de Ferreira,1800,1591,209,0,0,0
Penafiel,2165,2093,72,0,0,0
Resende,352,352,0,0,0,0
Douro,6143,5282,861,140,140,0
Alijó,190,190,0,0,0,0
Armamar,137,137,0,0,0,0
Carrazeda de Ansiães,118,118,0,0,0,0
Freixo de Espada à Cinta,0,0,0,0,0,0
Lamego,1060,857,203,98,98,0
Mesão Frio,134,134,0,0,0,0
Moimenta da Beira,398,305,93,0,0,0
Murça,227,141,86,0,0,0
Penedono,0,0,0,0,0,0
Peso da Régua,740,740,0,0,0,0
Sabrosa,134,134,0,0,0,0
Santa Marta de Penaguião,0,0,0,0,0,0
São João da Pesqueira,197,93,104,0,0,0
Sernancelhe,157,0,157,0,0,0
Tabuaço,100,100,0,0,0,0
Tarouca,155,155,0,0,0,0
Torre de Moncorvo,126,126,0,0,0,0
Vila Nova de Foz Côa,91,91,0,0,0,0
Vila Real,2179,1961,218,42,42,0
Terras de Trás-os-Montes,3021,2738,283,0,0,0
Alfândega da Fé,80,80,0,0,0,0
Bragança,1329,1177,152,0,0,0
Macedo de Cavaleiros,376,323,53,0,0,0
Miranda do Douro,136,136,0,0,0,0
Mirandela,716,638,78,0,0,0
Mogadouro,140,140,0,0,0,0
Vila Flor,124,124,0,0,0,0
Vimioso,0,0,0,0,0,0
Vinhais,120,120,0,0,0,0
Centro,71716,56273,15443,643,625,18
Oeste,11612,8272,3340,36,36,0
Alcobaça,1688,1150,538,0,0,0
Alenquer,1045,1045,0,0,0,0
Arruda dos Vinhos,699,0,699,0,0,0
Bombarral,307,307,0,0,0,0
Cadaval,158,158,0,0,0,0
Caldas da Rainha,2407,1910,497,14,14,0
Lourinhã,473,473,0,0,0,0
Nazaré,403,83,320,0,0,0
Óbidos,199,199,0,22,22,0
Peniche,574,529,45,0,0,0
Sobral de Monte Agraço,252,252,0,0,0,0
Torres Vedras,3407,2166,1241,0,0,0
Região de Aveiro,12030,9857,2173,87,69,18
Águeda,1575,1575,0,34,34,0
Albergaria-a-Velha,890,471,419,0,0,0
Anadia,1071,637,434,0,0,0
Aveiro,3750,3188,562,53,35,18
Estarreja,725,725,0,0,0,0
Ílhavo,737,737,0,0,0,0
Murtosa,96,96,0,0,0,0
Oliveira do Bairro,569,462,107,0,0,0
Ovar,1334,1218,116,0,0,0
Sever do Vouga,550,296,254,0,0,0
Vagos,733,452,281,0,0,0
Região de Coimbra,13597,11116,2481,262,262,0
Arganil,505,505,0,50,50,0
Cantanhede,885,635,250,0,0,0
Coimbra,6142,5137,1005,212,212,0
Condeixa-a-Nova,300,300,0,0,0,0
Figueira da Foz,1766,1566,200,0,0,0
Góis,0,0,0,0,0,0
Lousã,459,329,130,0,0,0
Mealhada,548,277,271,0,0,0
Mira,212,212,0,0,0,0
Miranda do Corvo,269,269,0,0,0,0
Montemor-o-Velho,425,296,129,0,0,0
Mortágua,207,207,0,0,0,0
Oliveira do Hospital,581,435,146,0,0,0
Pampilhosa da Serra,22,22,0,0,0,0
Penacova,439,234,205,0,0,0
Penela,42,0,42,0,0,0
Soure,323,267,56,0,0,0
Tábua,294,247,47,0,0,0
Vila Nova de Poiares,178,178,0,0,0,0
Região de Leiria,9475,7015,2460,65,65,0
Alvaiázere,161,74,87,0,0,0
Ansião,508,259,249,0,0,0
Batalha,320,320,0,0,0,0
Castanheira de Pêra,0,0,0,0,0,0
Figueiró dos Vinhos,134,134,0,0,0,0
Leiria,4157,3629,528,65,65,0
Marinha Grande,1544,1247,297,0,0,0
Pedrógão Grande,177,0,177,0,0,0
Pombal,1810,1005,805,0,0,0
Porto de Mós,664,347,317,0,0,0
Viseu Dão Lafões,8591,7300,1291,89,89,0
Aguiar da Beira,161,161,0,0,0,0
Carregal do Sal,204,204,0,0,0,0
Castro Daire,362,320,42,0,0,0
Mangualde,507,507,0,0,0,0
Nelas,343,343,0,0,0,0
Oliveira de Frades,256,256,0,0,0,0
Penalva do Castelo,172,172,0,0,0,0
Santa Comba Dão,258,258,0,0,0,0
São Pedro do Sul,511,362,149,0,0,0
Sátão,294,294,0,0,0,0
Tondela,908,575,333,0,0,0
Vila Nova de Paiva,126,126,0,0,0,0
