,"Ensino básico, 1º Ciclo, Total (N.º)","Ensino básico, 1º Ciclo, Público (N.º)","Ensino básico, 1º Ciclo, Privado  (N.º)","Ensino básico, 2º Ciclo, Total (N.º)","Ensino básico, 2º Ciclo, Público (N.º)","Ensino básico, 2º Ciclo, Privado  (N.º)","Ensino básico, 3º Ciclo, Total (N.º)","Ensino básico, 3º Ciclo, Público (N.º)","Ensino básico, 3º Ciclo, Privado  (N.º)","Ensino secundário, 3º Ciclo, Total (N.º)","Ensino secundário, 3º Ciclo, Público (N.º)","Ensino secundário, 3º Ciclo, Privado  (N.º)"
Portugal,2827,2641,186,5526,4822,704,18872,15735,3137,48153,36943,11210
Continente,2114,1928,186,5232,4528,704,17657,14608,3049,46043,34923,11120
Norte,646,502,144,2228,1699,529,6810,4971,1839,15696,9689,6007
Alto Minho,28,17,11,79,58,21,260,174,86,713,461,252
Arcos de Valdevez,0,0,0,14,0,14,11,0,11,49,12,37
Caminha,0,0,0,0,0,0,0,0,0,0,0,0
Melgaço,0,0,0,0,0,0,0,0,0,0,0,0
Monção,4,0,4,0,0,0,20,0,20,72,45,27
Paredes de Coura,0,0,0,0,0,0,0,0,0,0,0,0
Ponte da Barca,0,0,0,0,0,0,0,0,0,0,0,0
Ponte de Lima,0,0,0,2,0,2,18,0,18,93,23,70
Valença,3,3,0,0,0,0,6,6,0,19,19,0
Viana do Castelo,21,14,7,63,58,5,205,168,37,480,362,118
Vila Nova de Cerveira,0,0,0,0,0,0,0,0,0,0,0,0
Cávado,70,50,20,275,125,150,591,249,342,2055,1021,1034
Amares,0,0,0,3,3,0,11,11,0,40,40,0
Barcelos,13,0,13,52,15,37,99,23,76,351,83,268
Braga,47,47,0,85,85,0,185,179,6,1116,758,358
Esposende,3,3,0,9,9,0,29,29,0,118,103,15
Terras de Bouro,0,0,0,0,0,0,0,0,0,0,0,0
Vila Verde,7,0,7,126,13,113,267,7,260,430,37,393
Ave,36,21,15,47,37,10,477,370,107,1289,904,385
Cabeceiras de Basto,3,0,3,5,0,5,26,17,9,63,8,55
Fafe,12,0,12,1,0,1,46,16,30,176,16,160
Guimarães,0,0,0,33,32,1,147,119,28,316,226,90
Mondim de Basto,0,0,0,0,0,0,0,0,0,12,12,0
Póvoa de Lanhoso,2,2,0,0,0,0,29,29,0,47,47,0
Vieira do Minho,0,0,0,0,0,0,11,11,0,9,9,0
Vila Nova de Famalicão,19,19,0,3,3,0,181,152,29,449,449,0
Vizela,0,0,0,5,2,3,37,26,11,217,137,80
A. M. Porto,341,280,61,1174,1073,101,3504,2790,714,7706,4561,3145
Arouca,0,0,0,26,26,0,62,0,62,133,0,133
Espinho,0,0,0,4,0,4,21,0,21,63,0,63
