,Museus em atividade (N.º),"Museus que cumprem os critérios de seleção, Número (N.º)","Museus que cumprem os critérios de seleção, Visitantes, Total (N.º)","Museus que cumprem os critérios de seleção, Visitantes, Visitantes escolares (N.º)","Museus que cumprem os critérios de seleção, Bens, Visitantes escolares (N.º)","Galerias de arte e outros espaços de exposições temporárias, Número, Visitantes escolares (N.º)","Galerias de arte e outros espaços de exposições temporárias, Exposições temporárias, Visitantes escolares (N.º)","Galerias de arte e outros espaços de exposições temporárias, Obras expostas, Visitantes escolares (N.º)","Galerias de arte e outros espaços de exposições temporárias, Autores/as representados/as, Visitantes escolares (N.º)"
Portugal,662,436,19777690.999999996,2011659,20514352,989,6959,273045,56424
Continente,603,400,19273085,1932395.9999999984,20142287,926,6541,261572,54420
Norte,165,115,6002853,613753.0000000001,2604624,279,2290,85150,21513
Alto Minho,19,12,272658,41652,126676,33,232,10204,3342
Arcos de Valdevez,1,0,0,0,0,2,7,403,206
Caminha,1,1,27992,12000,71502,3,23,732,221
Melgaço,5,1,6490,328,13000,2,15,657,17
Monção,2,2,…,…,…,2,25,945,269
Paredes de Coura,1,1,…,800,7900,1,7,678,253
Ponte da Barca,1,1,15000,2000,…,1,4,48,8
Ponte de Lima,1,1,9362,2142,4255,7,28,2192,1512
Valença,3,1,20245,…,304,2,8,673,21
Viana do Castelo,3,3,158785,22985,29349,7,71,2493,322
Vila Nova de Cerveira,1,1,2765,512,204,6,44,1383,513
Cávado,17,12,458255.00000000006,35401,184636,22,135,3894,479
Amares,0,0,0,0,0,3,15,305,45
Barcelos,5,3,76589,4831,21299,3,23,988,100
Braga,8,6,356044,27009,155368,11,82,1961,226
Esposende,2,2,…,…,…,2,3,213,4
Terras de Bouro,1,1,…,…,…,1,1,50,4
Vila Verde,1,0,0,0,0,2,11,377,100
Ave,21,13,636252,76027,224059,25,153,4488,1327
Cabeceiras de Basto,1,1,15509,3050,2750,2,2,51,27
Fafe,3,0,0,0,0,1,11,393,302
Guimarães,7,5,549081,49178,20034,9,47,1611,316
Mondim de Basto,0,0,0,0,0,1,8,223,11
