,Total de despesas em atividades culturais e criativas (Euros),"Despesas correntes, Total (Euros)","Despesas correntes, das quais, Património, Total  (Euros)","Despesas correntes, das quais, Património, Museus (Euros)","Despesas correntes, das quais, Bibliotecas e arquivos, Total (Euros)","Despesas correntes, das quais, Bibliotecas e arquivos, Bibliotecas (Euros)","Despesas correntes, das quais, Artes do espetáculo, Total (Euros)","Despesas correntes, das quais, Artes do espetáculo, Música (Euros)","Despesas correntes, das quais, Artes do espetáculo, Multidisciplinares (Euros)","Despesas correntes, das quais, Artes do espetáculo, Construção e manutenção de recintos de espetáculos (Euros)","Despesas correntes, das quais, Atividades interdisciplinares, Total (Euros)","Despesas correntes, das quais, Atividades interdisciplinares, Apoio a entidades culturais e criativas (Euros)"
Portugal,518960411.99999994,453706129.9999997,80197074,46544196.99999998,70039724.00000001,55124894.000000015,118119037.99999999,40834311.00000002,19970426.99999999,16038381.999999994,139373158,68629339.00000001
Continente,496296796.99999994,433947170.9999997,78486035,45297285.99999998,68009478.00000001,53417762.000000015,110783345.99999999,38532484.00000002,18531054.99999999,15567355.999999994,132960530,64406973.000000015
Norte,146950819,128783161.00000004,19755898.99999999,12356333,23298594.000000004,16414339.000000002,29208738,9801254,4844459.999999998,3737009.9999999995,40955053.999999985,22853051
Alto Minho,17594203.999999996,15265280.999999998,2901391.9999999995,1702910,2654273.9999999995,1929569,4019294,1865853.0000000002,551724,707092.0000000001,4481954,3838592
Arcos de Valdevez,2863857,1537015,236551,0,153638,63364,515646,188049,0,225981,521950,256050
Caminha,1789109,1785733,207920,162300,238400,189900,677703,662703,0,0,503550,503550
Melgaço,1318292,1283721,254610,133652,230338,154734,277440,76200,178240,0,180465,180465
Monção,1427672,1246605,157493,13228,227895,103462,317059,85680,23397,0,362537,297411
Paredes de Coura,1990931,1580986,160850,59091,157343,118393,799642,528428,50089,53116,358330,215125
Ponte da Barca,362196,362196,59078,29289,58578,29289,27530,0,0,0,165000,165000
Ponte de Lima,2767698,2547401,543050,461324,273282,147519,719521,183165,0,427995,989613,989613
Valença,1344678,1331186,597949,294138,274350,171086,64093,31370,0,0,240828,182476
Viana do Castelo,2469879,2401216,475851,346848,809466,809466,402832,0,297276,0,688622,688622
Vila Nova de Cerveira,1259892,1189222,208040,203040,230984,142356,217828,110258,2722,0,471059,360280
Cávado,11685157,11368644,1150910,796897,1513227,1132413,3138410,1411958,650510,70991,3329425,663449
Amares,476613,363603,0,0,126034,126034,135587,44800,85987,0,72831,2200
Barcelos,3575733,3537099,506596,503132,546615,427155,658402,355538,97223,70991,1031597,452737
Braga,4674391,4553242,309740,93598,252058,190059,1323404,857009,455388,0,1953275,0
Esposende,1527944,1495481,253315,118908,225604,161199,341451,154611,11912,0,57512,57512
Terras de Bouro,269134,264889,81259,81259,47067,0,11150,0,0,0,87910,24700
Vila Verde,1161342,1154330,0,0,315849,227966,668416,0,0,0,126300,126300
Ave,20131169,18257858,4014100.0000000005,1979864.0000000002,3104401.0000000005,1864753,3425172,1728834,543641,73455,6474914,6406401
Cabeceiras de Basto,234120,234120,100800,100800,56400,40500,75000,0,0,0,0,0
Fafe,1704868,1509868,152907,22414,204051,151269,620328,195035,275942,12093,483142,483142
Guimarães,8261284,8093114,554371,13062,1362071,785593,610176,519888,13541,0,5305865,5305865
Mondim de Basto,284273,284273,8586,0,85340,60126,118662,51100,0,61362,62542,62542
Póvoa de Lanhoso,1126123,1120432,109241,45228,166311,50320,411197,0,254158,0,68513,0
Vieira do Minho,277887,277887,19183,19183,78327,78327,24069,24069,0,0,52200,52200
Vila Nova de Famalicão,7582506,6078056,3069012,1779177,1151901,698618,1172812,585101,0,0,242353,242353
Vizela,660108,660108,0,0,0,0,392928,353641,0,0,260299,260299
A. M. Porto,54419160.999999985,47528618,6927999,5093273.000000001,10477396,7400726.000000001,9009447,1324417,1876090.9999999998,2491243.9999999995,15788315.999999998,4974529
Arouca,1266646,1013229,468401,85465,199015,163516,58306,28519,0,46,238089,156337
Espinho,1892215,1551738,299778,294657,218488,217748,341457,117685,76106,0,520750,307165
Gondomar,2180019,2157390,0,0,80334,74948,329361,128593,0,4910,1730747,728342
Maia,3818618,2723514,95413,92854,448787,414672,823231,243842,371112,0,1045631,319390
Matosinhos,7879930,6287237,374201,232308,670547,494472,685076,121633,15439,0,3433344,1907213
Oliveira de Azeméis,858063,843949,69225,23475,316476,194706,437900,204816,0,0,0,0
Paredes,539941,331386,53830,0,134265,81949,76676,38501,0,0,0,0
Porto,17145360,16746464,2545239,2363690,3518926,2347181,3451148,162390,816851,1308227,5340216,0
Póvoa de Varzim,3516381,3516381,297829,287359,739744,523375,1177794,73750,0,632890,803849,211597
