,"No., Visitors per museum, Museums","%, Ratio of school visitors, Museums","€, Local administration total expenditure on cultural and creative activities per inhabitant, Museums","€, Local administration total expenditure on sports activities and equipments per inhabitant, Museums","%, Local administration expenditure on culture and sports as share of total expenditures, Museums"
Portugal,45362,10.2,50.5,31.1,9.6
Continente,48183,10,50.7,31.9,9.7
Norte,52199,10.2,41.1,34.4,10.2
Alto Minho,22722,15.3,76.3,40.1,11.4
Arcos de Valdevez,//,//,136.7,60,16.4
Caminha,27992,42.9,112.7,30.7,11.8
Melgaço,6490,5.1,162.4,17.6,10.6
Monção,…,…,79.8,37.3,10.9
Paredes de Coura,…,23.6,232.9,50.2,21.4
Ponte da Barca,15000,13.3,32.4,8.2,2.9
Ponte de Lima,9362,22.9,66.8,61.2,18.2
Valença,20245,…,101.2,53.6,12.1
Viana do Castelo,52928,14.5,29.2,30.3,7.1
Vila Nova de Cerveira,2765,18.5,141.7,41.8,10.8
Cávado,38188,7.7,28.9,38.5,10.7
Amares,//,//,26.3,20.2,5.7
Barcelos,25530,6.3,30.7,20.7,9.4
Braga,59341,7.6,25.6,60.9,13.9
Esposende,…,…,44.8,22.4,10.5
Terras de Bouro,…,…,42.2,7.6,3.1
Vila Verde,//,//,24.8,18.7,6.8
Ave,48942,11.9,48.8,37.3,12.4
Cabeceiras de Basto,15509,19.7,14.9,25.2,3.6
Fafe,//,//,35.4,35,9.4
Guimarães,109816,9,54.2,20,13.1
Mondim de Basto,//,//,40.8,8.2,3.5
Póvoa de Lanhoso,13968,6.4,52.4,41.5,10.8
Vieira do Minho,//,//,23.4,12.2,3.1
Vila Nova de Famalicão,9616,39.7,57.6,65.3,18.3
Vizela,//,//,27.7,24.1,7.3
A. M. Porto,99712,9.9,31.5,31.8,9.7
Arouca,16274,15.9,60.9,53.1,12.1
Espinho,9608,10.6,64.1,12.1,6.7
Gondomar,…,…,13.1,31.3,7.2
Maia,53465,4.4,27.6,39.9,12.9
Matosinhos,…,…,45.1,68.5,17.5
Oliveira de Azeméis,…,…,13,13.3,5
Paredes,//,//,6.3,50.5,11.3
Porto,203401,8.9,79.4,29.1,9.8
Póvoa de Varzim,22500,40,56.1,97.8,17.4
Santa Maria da Feira,34346,20.5,10,3.1,3
Santo Tirso,//,//,18.9,9.3,4.3
São João da Madeira,14918,25.7,76.5,74.5,17.4
Trofa,//,//,9.7,5.1,1.8
Vale de Cambra,1616,59.2,35.1,44.1,9.5
Valongo,2837,62.8,42.3,24.6,14.5
Vila do Conde,…,…,32,12.4,6.4
Vila Nova de Gaia,16052,23.1,10.7,19.5,6.5
Alto Tâmega,16526,6.6,82.1,55.9,10.5
Boticas,…,…,102.1,53.9,7.9
Chaves,18696,8.6,55.6,23.8,9
Montalegre,…,…,239.6,115.5,15.2
Ribeira de Pena,//,//,128.7,117.8,11.7
Valpaços,//,//,63.8,50.2,9.9
Vila Pouca de Aguiar,…,…,40.9,93.3,9.3
Tâmega e Sousa,11663,22.5,32.3,28.1,9.5
Amarante,22327,25.3,36.3,25.4,9.4
Baião,…,…,32.4,25.1,7.9
Castelo de Paiva,//,//,15.9,13.1,2.7
Celorico de Basto,//,//,46.1,63.3,14.7
Cinfães,//,//,32.5,10.9,5.3
Felgueiras,//,//,30.5,24.8,8.4
Lousada,//,//,31.1,22.1,8.3
Marco de Canaveses,//,//,43.5,14.4,11.5
Paços de Ferreira,…,…,5.2,40,9.1
Penafiel,24377,14,33.3,29.5,11.9
Resende,//,//,112.2,74.5,15.9
Douro,23019,6.7,63.1,33.5,8.1
Alijó,22500,4.4,70.3,33.4,9.5
Armamar,//,//,29.4,48.8,5.2
Carrazeda de Ansiães,//,//,174.1,101,15.6
Freixo de Espada à Cinta,//,//,109.1,23.1,3.1
Lamego,46496,4.7,51.4,9.5,6.8
Mesão Frio,//,//,23.4,4.3,1.9
Moimenta da Beira,//,//,84.5,28.1,10.2
Murça,//,//,12.4,33.7,3.5
Penedono,//,//,249.1,62.8,13.6
Peso da Régua,56767,5.8,29.6,30.8,5.9
Sabrosa,7861,33.5,117.5,17.8,9.1
Santa Marta de Penaguião,//,//,39.1,68.4,10.1
São João da Pesqueira,…,…,69.2,12.2,3.8
Sernancelhe,//,//,156.3,130.1,16.2
Tabuaço,//,//,32.4,43,5.3
Tarouca,//,//,80.6,30.4,8.3
Torre de Moncorvo,…,…,75.9,25.7,5.6
Vila Nova de Foz Côa,…,…,105.2,18,8.8
Vila Real,25495,6.6,40.4,31.9,11.4
Terras de Trás-os-Montes,12071,15.8,97.9,46.2,10.7
Alfândega da Fé,//,//,186.6,52.2,10.2
Bragança,20037,17.9,139.2,50.7,18.8
Macedo de Cavaleiros,…,…,54.5,30.6,7.1
Miranda do Douro,18493,3.2,103.3,36.1,6.7
Mirandela,4520,38.1,39.4,29.5,6.5
Mogadouro,…,…,147.1,86.4,14.8
Vila Flor,1685,8.3,104.7,87.1,12.3
Vimioso,//,//,70.4,28.5,4
Vinhais,//,//,63.5,41.7,6.5
Centro,18530,15.8,56.8,36.5,10.8
Oeste,13941,12.7,41.2,24.9,9
Alcobaça,4006,13.7,40.4,18.9,10.9
Alenquer,2505,14.2,23.2,8.3,7.1
Arruda dos Vinhos,//,//,46.1,15.1,7.4
Bombarral,2285,56.2,13,29.7,7.6
Cadaval,1662,23.5,18.8,1,2.6
Caldas da Rainha,15747,16.6,40.1,38.6,15.5
Lourinhã,…,…,32.6,18.9,5.4
Nazaré,…,…,91.3,108.9,8.4
Óbidos,12519,1.6,102.7,44,10.7
Peniche,7232,9.3,32,32.7,8.5
Sobral de Monte Agraço,//,//,119.6,47.3,20
Torres Vedras,49153,13,36.9,12.9,7.1
Região de Aveiro,22810,15.3,59.2,30.2,13.2
Águeda,…,…,56.7,31.7,14.2
Albergaria-a-Velha,//,//,62.6,58,18.3
Anadia,16777,6.7,41.3,18.8,7.9
Aveiro,53712,16.7,60.4,20.2,10.6
Estarreja,…,…,64.1,53.8,18.8
Ílhavo,…,…,76.4,29.2,17.6
Murtosa,//,//,57.5,41.8,9.8
Oliveira do Bairro,1922,44.2,56.2,35.8,12.3
Ovar,…,…,63.3,20.8,16.3
Sever do Vouga,2076,15.6,79,30.8,13
Vagos,//,//,28.4,31.8,8.6
Região de Coimbra,43488,14.7,57.5,45.6,11.1
Arganil,//,//,78.5,62.2,8.3
Cantanhede,9111,70,25.1,36,9.4
Coimbra,69173,9.3,63.1,50.4,13
Condeixa-a-Nova,51189,14.6,50,79.1,16.8
Figueira da Foz,31844,36.7,67.5,34.9,12.8
Góis,//,//,149,47.2,8
Lousã,…,…,67.1,63.7,14.5
Mealhada,//,//,23.6,32.7,6.3
Mira,//,//,36.9,50.3,7.9
Miranda do Corvo,…,…,27.9,41.5,8.5
Montemor-o-Velho,//,//,22.3,31.1,7.4
Mortágua,//,//,72.8,91.8,17.6
Oliveira do Hospital,6784,…,69.7,40.7,12.1
Pampilhosa da Serra,1910,…,321.9,115.2,11.5
Penacova,…,14.7,73,56.9,13.6
Penela,9514,6.9,136.5,47.1,12.6
Soure,//,//,30,10.8,4.2
Tábua,//,//,35.8,36.2,6.7
Vila Nova de Poiares,//,//,59,12.4,5.4
Região de Leiria,10795,19.7,43,24.7,9.3
Alvaiázere,8203,…,72.5,30.1,7.2
Ansião,8339,…,46.8,43.2,9.6
Batalha,5707,43.9,71.1,25.2,12.6
Castanheira de Pêra,2836,…,35.9,7.6,1.7
Figueiró dos Vinhos,…,13.9,60.5,67.1,7.5
Leiria,12059,12.3,30.3,18.8,7.8
Marinha Grande,13792,17.9,47.5,24.2,11.2
Pedrógão Grande,//,//,90.1,49.2,5.8
Pombal,8188,12.3,47.7,26.6,13.6
Porto de Mós,…,…,53.3,29.8,10.9
Viseu Dão Lafões,12352,8.9,48.5,40.1,10.2
Aguiar da Beira,//,//,53.9,21.1,4.6
Carregal do Sal,…,…,44.4,36.1,9.9
Castro Daire,//,//,52.3,53,9.7
Mangualde,//,//,29.6,20.1,5
Nelas,//,//,20.9,19.8,3.7
Oliveira de Frades,…,12,42.3,48.1,10.5
