,"Publications, Total (N.º)","Publications, of which, Newspapers (N.º)","Publications, of which, Magazines (N.º)","Publications, of which, In both paper and electronic support  (N.º)","Editions, of which, In both paper and electronic support  (N.º)","Total circulation, Total, In both paper and electronic support  (N.º)","Total circulation, of which, Newspapers (N.º)","Total circulation, of which, Magazines (N.º)","Sold copies, Total, Magazines (N.º)","Sold copies, of which, Newspapers (N.º)","Sold copies, of which, Magazines (N.º)"
Portugal,963,364,448,446,19322.99999999999,201727135,131241302,64143625.000000015,151561520,105351286,43690636
Continente,910,342,435,412,16414.99999999999,192763394.99999997,122664411.99999997,63790847,143148783.0000001,97074782,43562404
Norte,235,114,92,97,4979,41303036,29942800,9130991,29661546.99999998,25213296.999999996,2348126.000000001
Alto Minho,18,14,2,4,347.00000000000006,539296,498596,…,489429,480186,…
Arcos de Valdevez,1,1,0,1,…,…,…,0,…,…,0
Caminha,0,0,0,0,0,0,0,0,0,0,0
Melgaço,0,0,0,0,0,0,0,0,0,0,0
Monção,1,1,0,0,…,…,…,0,…,…,0
Paredes de Coura,2,1,0,0,…,…,…,0,…,…,0
Ponte da Barca,1,1,0,0,…,…,…,0,…,…,0
Ponte de Lima,1,1,0,0,…,…,…,0,…,…,0
Valença,0,0,0,0,0,0,0,0,0,0,0
Viana do Castelo,9,7,2,2,148,236400,…,…,195269.00000000003,…,…
Vila Nova de Cerveira,3,2,0,1,44,44568,…,0,40938,…,0
Cávado,40,12,18,12,1105,6145248,3047490,1050728,4514933.999999999,1859587,649063
Amares,2,1,1,1,…,…,…,…,…,…,…
Barcelos,3,3,0,2,108,406800,406800,0,383300,383300,0
Braga,31,5,17,7,933.9999999999999,5674691.999999998,2609734,…,4097960,1457997,…
Esposende,2,2,0,2,…,…,…,0,…,…,0
Terras de Bouro,1,0,0,0,…,…,0,0,…,0,0
Vila Verde,1,1,0,0,…,…,…,0,…,…,0
Ave,17,11,2,8,423,578682,533384.0000000001,…,463195,457210,…
Cabeceiras de Basto,0,0,0,0,0,0,0,0,0,0,0
Fafe,2,2,0,1,…,…,…,0,…,…,0
Guimarães,11,6,2,6,214.99999999999997,232002,197504,…,170750,164765,…
Mondim de Basto,0,0,0,0,0,0,0,0,0,0,0
Póvoa de Lanhoso,1,0,0,0,…,…,0,0,…,0,0
Vieira do Minho,1,1,0,0,…,…,…,0,…,…,0
Vila Nova de Famalicão,1,1,0,0,…,…,…,0,…,…,0
Vizela,1,1,0,1,…,…,…,0,…,…,0
A. M. Porto,124,47,67,64,2399.0000000000005,32375363.99999999,24272458.000000007,8036387,23277559.00000001,21534121.999999996,1694668
Arouca,2,2,0,2,…,…,…,0,…,…,0
Espinho,3,3,0,1,152,372529,372529,0,115878.99999999999,115878.99999999999,0
Gondomar,4,2,0,2,26,149439,…,0,44819,…,0
Maia,2,1,1,2,…,…,…,…,…,…,…
Matosinhos,6,2,4,3,34,1114990,…,…,1096130,…,…
Oliveira de Azeméis,5,2,3,0,36,175798,…,…,172600,…,…
Paredes,2,1,1,0,…,…,…,…,…,…,…
Porto,60,14,41,38,1400,28635527.999999993,22370229,6252598.999999999,20818790,20331987,486803
Póvoa de Varzim,5,3,1,1,116,112000,109300,…,105900,104550,…
Santa Maria da Feira,4,3,1,2,109,258264,…,…,245944,…,…
Santo Tirso,5,3,2,2,50,56290,…,…,52950,…,…
São João da Madeira,4,2,0,2,104,243080,…,0,217600,…,0
Trofa,1,1,0,1,…,…,…,0,…,…,0
Vale de Cambra,1,1,0,0,…,…,…,0,…,…,0
Valongo,2,2,0,1,…,…,…,0,…,…,0
Vila do Conde,8,4,4,4,118,413560,255400,158160,112900,112900,0
Vila Nova de Gaia,10,1,9,3,95,500870,…,…,113267,…,…
Alto Tâmega,4,3,0,1,90,77030,74230,0,65192,65192,0
Boticas,1,1,0,0,…,…,…,0,…,…,0
Chaves,2,1,0,1,…,…,…,0,…,…,0
Montalegre,1,1,0,0,…,…,…,0,…,…,0
Ribeira de Pena,0,0,0,0,0,0,0,0,0,0,0
Valpaços,0,0,0,0,0,0,0,0,0,0,0
Vila Pouca de Aguiar,0,0,0,0,0,0,0,0,0,0,0
Tâmega e Sousa,14,10,3,6,210,807452,763377.9999999999,9628,217380,183141.99999999997,991.9999999999999
Amarante,1,0,1,1,…,…,0,…,…,0,…
Baião,1,1,0,0,…,…,…,0,…,…,0
Castelo de Paiva,0,0,0,0,0,0,0,0,0,0,0
Celorico de Basto,0,0,0,0,0,0,0,0,0,0,0
Cinfães,1,1,0,0,…,…,…,0,…,…,0
Felgueiras,1,1,0,0,…,…,…,0,…,…,0
Lousada,1,1,0,1,…,…,…,0,…,…,0
Marco de Canaveses,3,1,1,1,35,94224,…,…,84038,…,…
Paços de Ferreira,2,2,0,1,…,…,…,0,…,…,0
Penafiel,2,1,1,2,…,…,…,…,…,…,…
Resende,2,2,0,0,…,…,…,0,…,…,0
Douro,12,11,0,1,260,428084,401384,0,376611.99999999994,376612,0
Alijó,0,0,0,0,0,0,0,0,0,0,0
Armamar,0,0,0,0,0,0,0,0,0,0,0
Carrazeda de Ansiães,1,1,0,0,…,…,…,0,…,…,0
Freixo de Espada à Cinta,0,0,0,0,0,0,0,0,0,0,0
Lamego,2,2,0,0,…,…,…,0,…,…,0
Mesão Frio,0,0,0,0,0,0,0,0,0,0,0
Moimenta da Beira,1,1,0,0,…,…,…,0,…,…,0
Murça,0,0,0,0,0,0,0,0,0,0,0
Penedono,0,0,0,0,0,0,0,0,0,0,0
Peso da Régua,2,2,0,0,…,…,…,0,…,…,0
Sabrosa,0,0,0,0,0,0,0,0,0,0,0
Santa Marta de Penaguião,0,0,0,0,0,0,0,0,0,0,0
São João da Pesqueira,0,0,0,0,0,0,0,0,0,0,0
Sernancelhe,0,0,0,0,0,0,0,0,0,0,0
Tabuaço,0,0,0,0,0,0,0,0,0,0,0
Tarouca,1,1,0,0,…,…,…,0,…,…,0
Torre de Moncorvo,0,0,0,0,0,0,0,0,0,0,0
Vila Nova de Foz Côa,2,2,0,0,…,…,…,0,…,…,0
Vila Real,3,2,0,1,103,292774,…,0,252342,…,0
Terras de Trás-os-Montes,6,6,0,1,145,351880,351880,0,257246,257246,0
Alfândega da Fé,0,0,0,0,0,0,0,0,0,0,0
Bragança,2,2,0,1,…,…,…,0,…,…,0
Macedo de Cavaleiros,2,2,0,0,…,…,…,0,…,…,0
Miranda do Douro,0,0,0,0,0,0,0,0,0,0,0
Mirandela,2,2,0,0,…,…,…,0,…,…,0
Mogadouro,0,0,0,0,0,0,0,0,0,0,0
Vila Flor,0,0,0,0,0,0,0,0,0,0,0
Vimioso,0,0,0,0,0,0,0,0,0,0,0
Vinhais,0,0,0,0,0,0,0,0,0,0,0
