,"Art facilities, Total, No.","Art facilities, Rooms, No.","Art facilities, Capacity, No.","Art facilities, Seats, No.","Live shows, Performances, No.","Live shows, Spectators, No.","Live shows, Tickets sold, No.","Live shows, Revenues, Euros"
Portugal,388,585,257400,196013,37048.99999999997,16926410.99999997,6037822,125314014.00000012
Continente,360,541,237720,182723,35098.99999999997,16326032.999999972,5885877,123480617.00000012
Norte,88,146,62259,44076,10165,6617533,1776597.0000000026,25872076.999999963
Alto Minho,6,8,5398,3889,881.0000000000005,330630,78281.00000000003,1958072.000000001
Arcos de Valdevez,1,1,234,232,64,…,…,…
Caminha,0,0,0,0,94,…,…,…
Melgaço,0,0,0,0,0,0,0,0
Monção,0,0,0,0,72.00000000000001,22688,3105,15359.000000000002
Paredes de Coura,1,2,651,510,20,…,…,…
Ponte da Barca,0,0,0,0,0,0,0,0
Ponte de Lima,1,1,305,305,226,122838,8188.000000000002,47946
Valença,0,0,0,0,33,…,…,…
Viana do Castelo,3,4,4208,2842,318,68106,40252,248502.99999999997
Vila Nova de Cerveira,0,0,0,0,54,59300,0,0
Cávado,6,11,4005,3893,1531.0000000000002,1489204.9999999995,69316,860309.9999999999
Amares,0,0,0,0,8,3400,0,0
Barcelos,1,2,251,251,5,…,…,…
Braga,3,7,3378,3266,1430.9999999999998,1434243,66095.00000000003,847527.0000000001
Esposende,1,1,226,226,85,…,…,…
Terras de Bouro,1,1,150,150,2,…,…,…
Vila Verde,0,0,0,0,0,0,0,0
Ave,8,13,15453,6065,723,606564.0000000001,41783.00000000001,766653.0000000005
Cabeceiras de Basto,0,0,0,0,0,0,0,0
Fafe,2,3,3938,1674,40,13067,2421.9999999999995,15355
Guimarães,2,4,10373,3249,380,72764,39223.99999999999,750612.9999999999
Mondim de Basto,1,1,100,100,1,1500,0,0
Póvoa de Lanhoso,1,1,120,120,1,1200,0,0
Vieira do Minho,1,1,254,254,0,0,0,0
Vila Nova de Famalicão,1,3,668,668,288,506532.99999999994,137,685
Vizela,0,0,0,0,13,11500,0,0
A. M. Porto,38,69,24597,19643,5781.000000000004,3544652.9999999977,1546211.9999999984,21981324.999999996
Arouca,1,1,204,204,125,27275,51,306
Espinho,1,1,200,200,106.99999999999999,74093,6625,61887.99999999999
Gondomar,2,2,1745,841,76,12460.000000000002,7140,62650
Maia,0,0,0,0,169,42295.000000000015,16370.999999999996,111721
Matosinhos,2,3,453,453,263,295819,114014,1313372
