,Total (N.º),"Main occupation, Managers (N.º)","Main occupation, Professionals (N.º)","Main occupation, Technicians and associate professionals (N.º)","Main occupation, Clerical support workers (N.º)","Main occupation, Service and sale workers (N.º)","Main occupation, Skilled agricultural, forestry, and fishery workers (N.º)","Main occupation, Craft and related trades workers (N.º)","Main occupation, Plant and machine operators, and assemblers (N.º)","Main occupation, Elementary occupations (N.º)"
Portugal,2293329,97289,276729,255996,319987,473609,25136,324806,253566,264594
Continente,2205449,94396,269111,247967,307642,448410,23927,313726,248751,249913
Norte,804480,32588,83068,84319,103462,140121,5945,154823,116499,83234
Alto Minho,44842,1518,3187,4265,4560,8593,693,9478,7516,5020
Arcos de Valdevez,4160,158,230,475,325,713,52,778,842,586
Caminha,1943,125,163,131,193,629,39,244,82,337
Melgaço,861,32,59,65,77,329,27,91,101,80
Monção,2565,81,184,174,310,680,39,523,296,278
Paredes de Coura,1060,29,61,106,80,207,18,116,291,152
Ponte da Barca,1241,34,105,79,124,391,58,232,77,140
Ponte de Lima,7742,285,393,636,731,1306,116,2157,1456,662
Valença,2901,87,130,197,296,637,49,466,411,628
Viana do Castelo,19048,576,1752,2096,2080,3368,254,4288,2614,2010
Vila Nova de Cerveira,3321,111,110,306,344,333,41,583,1346,147
Cávado,98675,3919,10024,10404,11211,15680,649,21716,15479,9564
Amares,2865,135,115,184,367,464,59,791,368,381
Barcelos,31350,1108,1970,2737,3379,3496,288,8194,7545,2630
Braga,49065,1925,6654,6308,5934,9044,158,8609,5539,4870
Esposende,7070,269,683,614,758,1072,56,1953,913,751
Terras de Bouro,950,50,68,95,76,308,18,92,53,190
Vila Verde,7375,432,534,466,697,1296,70,2077,1061,742
Ave,109435,4037,7087,10051,12811,13680,467,22380,27643,11240
Cabeceiras de Basto,2123,80,107,137,199,384,31,484,331,370
Fafe,9611,406,559,614,874,1350,33,2177,2451,1147
Guimarães,47495,1838,3204,4560,5741,5703,164,9346,12102,4819
Mondim de Basto,664,31,24,49,66,205,20,93,78,98
Póvoa de Lanhoso,3379,163,169,294,520,624,27,773,443,366
Vieira do Minho,1188,41,79,69,106,289,32,224,111,231
Vila Nova de Famalicão,38566,1307,2731,3925,4622,4358,151,7439,10384,3634
Vizela,6409,171,214,403,683,767,9,1844,1743,575
A. M. Porto,415377,17905,53484,49188,61015,78134,2551,66178,46114,40505
Arouca,4038,147,225,351,386,571,96,1133,572,555
Espinho,4418,230,380,388,671,1275,7,567,425,473
Gondomar,17130,737,1858,1622,2389,3645,44,3352,1589,1891
Maia,46308,1905,4888,6675,8139,8398,194,6078,5005,4992
Matosinhos,43690,1840,7655,5651,6156,9826,121,4563,3148,4679
Oliveira de Azeméis,19453,585,1056,1942,2061,2060,44,5533,4735,1432
Paredes,16783,698,954,1499,2175,1885,53,5815,1900,1801
Porto,93242,4682,20994,13129,15765,21562,114,4514,3359,8966
Póvoa de Varzim,11755,466,1076,971,1550,2427,571,2165,1215,1310
Santa Maria da Feira,29124,1264,1860,2387,3361,4647,82,8596,4504,2422
Santo Tirso,15216,634,1035,1520,1793,1809,38,3439,3518,1425
São João da Madeira,10365,352,765,1055,1408,1336,0,1673,2825,948
Trofa,11920,486,997,1309,1953,1250,50,2598,2384,891
Vale de Cambra,6241,262,445,687,641,596,29,1879,770,931
Valongo,13274,541,1160,1484,2244,2455,28,2700,1325,1334
Vila do Conde,19372,749,1414,2168,2496,3194,964,3588,3046,1743
Vila Nova de Gaia,53048,2327,6722,6350,7827,11198,116,7985,5794,4712
Alto Tâmega,11150,444,900,995,1171,2812,135,1407,1280,2002
Boticas,767,32,38,57,80,169,16,67,248,60
Chaves,5530,223,436,458,638,1587,39,637,513,997
Montalegre,932,55,86,88,78,239,32,112,78,164
Ribeira de Pena,1039,19,122,151,69,178,11,158,153,177
Valpaços,1377,55,117,101,129,342,13,214,73,333
Vila Pouca de Aguiar,1505,60,101,140,177,297,24,219,215,271
Tâmega e Sousa,84978,3097,4306,5916,8190,10404,520,28656,15210,8662
Amarante,8304,361,710,710,825,1296,70,2749,715,867
Baião,2079,119,110,163,161,345,36,652,179,313
Castelo de Paiva,2538,105,115,137,194,329,45,955,295,361
Celorico de Basto,2114,84,88,133,134,320,57,493,476,329
Cinfães,2404,90,95,139,194,375,11,1098,215,187
Felgueiras,18439,441,558,1049,1855,1519,80,6979,4736,1220
Lousada,10732,334,346,666,980,977,33,3785,2446,1163
Marco de Canaveses,9197,301,376,722,910,1124,72,3378,1428,884
Paços de Ferreira,14681,759,521,1059,1489,1620,14,4970,2385,1860
Penafiel,13760,465,1329,1096,1362,2262,89,3437,2305,1413
Resende,730,38,58,42,86,237,13,160,30,65
Douro,25533,1068,2499,2189,3036,6701,730,3102,2103,4095
Alijó,1354,63,81,107,212,366,45,104,136,239
Armamar,781,50,52,59,60,208,46,61,68,177
Carrazeda de Ansiães,531,18,32,24,78,157,20,58,37,106
Freixo de Espada à Cinta,272,9,25,11,22,43,15,48,38,61
Lamego,3374,163,233,246,438,847,58,465,264,659
Mesão Frio,345,18,19,22,34,93,24,65,25,45
Moimenta da Beira,1376,66,132,77,141,327,50,196,146,239
Murça,453,12,61,27,41,101,13,56,62,80
Penedono,278,21,24,12,22,79,11,44,15,50
Peso da Régua,1968,73,156,210,239,599,44,205,126,316
Sabrosa,845,37,84,58,109,192,52,61,56,196
Santa Marta de Penaguião,463,28,56,36,60,116,26,23,17,100
São João da Pesqueira,961,45,69,40,111,193,78,66,122,237
Sernancelhe,714,48,43,65,77,180,13,127,75,86
Tabuaço,496,22,44,39,55,134,56,33,48,65
Tarouca,1004,31,77,53,87,161,8,365,36,185
Torre de Moncorvo,945,30,96,68,118,253,50,95,54,181
Vila Nova de Foz Côa,847,32,87,77,81,201,88,64,81,136
Vila Real,8526,302,1128,958,1051,2451,33,966,697,937
Terras de Trás-os-Montes,14490,600,1581,1311,1468,4117,200,1906,1154,2146
Alfândega da Fé,359,11,33,16,49,93,9,45,35,68
Bragança,5871,216,791,594,530,1611,19,782,645,678
Macedo de Cavaleiros,1615,57,147,127,184,525,39,169,101,264
Miranda do Douro,932,59,61,46,110,298,23,151,28,156
Mirandela,3031,113,343,319,322,875,57,367,181,454
Mogadouro,975,83,71,80,98,289,26,175,49,104
Vila Flor,706,10,54,38,63,130,11,51,59,290
Vimioso,437,35,48,36,46,134,4,51,19,64
Vinhais,564,16,33,55,66,162,12,115,37,68
Centro,457805,17903,41738,45900,54170,89268,7022,78508,64823,58245
Oeste,70882,2795,4764,6465,9732,13606,2595,12300,8530,10074
Alcobaça,12646,506,794,1031,1811,1979,236,3293,1311,1682
Alenquer,9445,332,480,1164,1465,1262,149,1695,1705,1192
Arruda dos Vinhos,2746,103,319,206,385,411,22,353,662,284
Bombarral,1947,80,113,136,267,372,197,276,160,345
Cadaval,1949,82,140,223,268,347,93,242,259,295
Caldas da Rainha,10973,445,722,1006,1442,2363,187,1589,1028,2188
Lourinhã,3805,113,180,287,463,834,383,743,324,478
Nazaré,2471,124,118,192,372,771,54,252,178,409
Óbidos,2708,152,432,210,360,571,169,284,114,415
Peniche,4272,177,195,331,529,1134,264,720,282,637
Sobral de Monte Agraço,1386,80,49,102,197,257,14,319,204,164
Torres Vedras,16534,601,1222,1577,2173,3305,827,2534,2303,1985
Região de Aveiro,90446,3447,8392,10327,10490,13259,456,15921,15245,12825
Águeda,13199,555,1027,1378,1747,1555,42,2591,1799,2496
Albergaria-a-Velha,6457,216,478,704,742,784,40,1578,1179,732
Anadia,5584,211,465,583,709,926,77,997,915,700
Aveiro,25597,942,3520,3305,2614,4408,56,3566,2933,4197
Estarreja,5840,199,401,683,620,683,18,870,1651,714
Ílhavo,6397,257,561,852,766,1084,28,1291,935,620
Murtosa,1290,58,77,74,91,243,52,449,132,114
Oliveira do Bairro,5424,202,401,577,777,858,14,970,856,769
Ovar,13723,520,896,1509,1725,1753,72,2253,3383,1607
Sever do Vouga,2108,63,176,235,193,289,25,691,172,264
Vagos,4827,224,390,427,506,676,32,665,1290,612
Região de Coimbra,80967,3243,9197,8078,9728,17793,973,12060,10538,9323
Arganil,1894,48,118,122,196,389,40,352,315,314
Cantanhede,6876,278,556,650,914,1355,91,1551,727,752
Coimbra,28870,1203,4939,3460,3934,7768,95,2649,1823,2983
Condeixa-a-Nova,2118,90,253,221,234,515,9,259,343,194
Figueira da Foz,12626,504,1197,1258,1336,2326,134,2351,2207,1305
Góis,489,22,30,27,58,187,14,75,15,61
Lousã,2357,102,222,261,297,465,39,332,377,261
Mealhada,4338,128,341,390,589,670,40,567,1174,437
Mira,1809,114,117,150,217,369,94,249,221,278
Miranda do Corvo,1076,34,94,93,112,248,22,161,88,224
Montemor-o-Velho,2761,101,193,173,381,503,56,509,467,377
Mortágua,2278,117,255,247,241,309,69,317,232,488
Oliveira do Hospital,4036,128,281,329,438,901,53,748,716,442
Pampilhosa da Serra,518,35,29,35,34,172,15,52,14,132
Penacova,1715,90,80,97,156,314,26,464,334,154
Penela,1300,49,143,134,107,230,35,223,230,148
Soure,1905,82,151,137,160,530,91,322,190,242
Tábua,2648,90,112,171,213,328,33,727,688,286
Vila Nova de Poiares,1353,28,86,123,111,214,17,152,377,245
Região de Leiria,72641,3398,6168,7900,8852,11822,611,14535,11556,7777
Alvaiázere,1057,60,61,74,84,198,20,162,292,106
Ansião,2223,96,155,144,247,406,25,399,446,305
Batalha,4611,199,297,449,531,671,46,1047,868,503
Castanheira de Pêra,341,10,27,29,26,93,3,26,87,40
Figueiró dos Vinhos,586,18,78,43,64,124,30,87,43,98
Leiria,35910,1578,3552,4000,4808,6497,300,6929,4337,3899
Marinha Grande,10921,492,903,1643,1189,1121,8,2495,2093,972
Pedrógão Grande,462,14,59,40,44,100,15,77,31,82
Pombal,11838,717,779,1071,1314,2010,136,2328,2323,1154
Porto de Mós,4692,214,257,407,545,602,28,985,1036,618
Viseu Dão Lafões,50041,1720,4258,4606,5209,10450,685,9394,7806,5891
Aguiar da Beira,886,59,60,54,90,196,23,144,114,146
Carregal do Sal,1725,46,148,206,157,285,16,388,272,207
Castro Daire,1709,56,87,122,141,490,23,275,343,172
Mangualde,5013,106,241,307,456,608,11,1248,1712,324
Nelas,2915,91,186,278,259,402,16,677,629,377
Oliveira de Frades,3106,87,264,415,308,343,95,810,422,361
Penalva do Castelo,940,26,44,51,75,235,16,131,203,159
Santa Comba Dão,1287,91,96,103,113,306,28,197,153,199
São Pedro do Sul,2046,59,128,141,201,577,64,398,160,317
Sátão,1344,48,68,68,99,349,13,369,193,137
Tondela,5585,213,435,573,581,846,143,638,1043,1109
Vila Nova de Paiva,473,32,22,28,44,163,8,78,53,45
Viseu,21339,764,2397,2118,2572,5415,187,3800,1938,2133
Vouzela,1673,42,82,142,113,235,42,241,571,205
Beira Baixa,13712,395,1194,1355,1533,3305,342,2185,1416,1982
Castelo Branco,9975,263,918,1000,1168,2576,135,1641,1018,1251
Idanha-a-Nova,935,40,49,59,112,212,100,81,26,256
Oleiros,586,16,31,95,51,99,9,109,81,95
Penamacor,423,13,48,18,48,92,25,27,33,119
Proença-a-Nova,1008,33,100,98,76,201,64,249,77,110
Vila Velha de Ródão,785,30,48,85,78,125,9,78,181,151
Médio Tejo,43164,1571,4022,4121,5060,10102,769,7382,4637,5474
Abrantes,5614,158,628,676,566,1275,71,784,793,649
Alcanena,3703,166,247,383,452,576,3,841,435,599
Constância,865,22,55,112,75,133,14,129,113,212
Entroncamento,2816,96,320,359,345,705,10,474,293,212
Ferreira do Zêzere,1556,45,65,75,144,311,188,278,189,261
Mação,971,30,40,74,85,255,28,241,96,122
Ourém,11743,455,1119,1042,1394,2850,126,2220,941,1593
Sardoal,316,8,16,29,29,98,5,40,24,67
Sertã,2334,126,147,166,232,569,65,439,273,316
Tomar,5407,184,692,546,561,1491,156,858,381,537
Torres Novas,6778,242,613,592,1090,1528,82,954,1036,638
Vila de Rei,557,17,55,25,41,147,13,76,19,164
Vila Nova da Barquinha,504,22,25,42,46,164,8,48,44,104
Beiras e Serra da Estrela,35952,1334,3743,3048,3566,8931,591,4731,5095,4899
Almeida,796,23,46,44,73,309,19,49,106,127
Belmonte,1248,25,63,98,135,273,17,249,245,142
Celorico da Beira,968,32,39,42,72,270,16,108,298,91
Covilhã,8348,221,989,827,939,1889,68,979,1434,997
Figueira de Castelo Rodrigo,617,36,50,38,64,176,40,44,40,129
Fornos de Algodres,596,40,40,41,41,174,14,100,60,86
Fundão,4850,130,672,430,476,860,100,617,476,1087
Gouveia,1552,61,153,99,142,524,36,174,124,239
Guarda,8786,396,1021,844,819,2127,88,1075,1567,844
Manteigas,447,19,37,35,32,121,16,54,33,100
Mêda,537,24,43,34,66,143,30,84,35,78
Pinhel,1100,86,80,90,93,300,31,199,74,147
Sabugal,1533,77,118,88,155,497,49,139,155,254
Seia,3203,97,279,237,339,923,18,620,282,408
Trancoso,1371,67,113,101,120,345,49,240,166,170
A. M. Lisboa,700524,34292,126775,97094,119358,154086,2984,54819,44260,65981
Alcochete,3757,193,221,527,675,1025,85,309,292,426
Almada,19470,801,3096,2070,2238,6396,51,1914,910,1982
Amadora,31789,1197,7095,4318,3478,10465,65,2082,956,2097
Barreiro,8021,230,1134,1027,783,2407,85,968,654,727
Cascais,34998,1751,5269,3763,4702,10556,187,2751,1457,4533
Lisboa,308717,17356,73388,44916,61633,62622,360,11809,9474,26589
Loures,42855,1549,4175,5724,6643,8886,324,4895,5108,5542
Mafra,16274,646,1028,1229,1809,5017,194,2335,2553,1454
Moita,4028,159,363,412,482,1082,52,819,303,356
Montijo,8423,345,619,711,1228,2250,264,998,590,1417
Odivelas,14906,608,1142,1903,2462,3538,35,2645,1203,1360
Oeiras,71350,4055,17445,13978,11963,13196,129,3328,2002,5144
Palmela,20933,561,1178,1914,3025,1845,120,2674,8071,1538
Seixal,16161,675,1382,2007,2388,3775,35,2619,1378,1896
Sesimbra,4570,172,287,371,487,1414,329,591,295,624
Setúbal,19113,771,1795,2668,2712,4091,165,2733,2228,1943
Sintra,51623,2361,4909,6428,7961,11462,425,7651,4398,5986
Vila Franca de Xira,23536,862,2249,3128,4689,4059,79,3698,2388,2367
Alentejo,131398,5047,9838,11955,16206,27476,4923,16032,17587,22291
Alentejo Litoral,20733,683,1535,2092,1812,3846,968,2089,3048,4651
Alcácer do Sal,1795,75,108,140,139,449,114,167,148,452
Grândola,1981,63,113,172,280,620,72,183,98,378
Odemira,6605,220,319,279,453,1006,524,439,490,2873
Santiago do Cacém,4404,177,534,414,451,1085,212,667,375,488
Sines,5948,148,461,1087,489,686,46,633,1937,460
Baixo Alentejo,20106,815,1784,1669,1782,4395,952,2211,2655,3838
Aljustrel,1710,71,155,142,146,273,56,212,396,259
