,"Total, HM (€)","Total, H (€)","Total, M (€)","Primário
CAE: A, HM (€)","Primário
CAE: A, H (€)","Primário
CAE: A, M (€)","Secundário
CAE: B - F, HM (€)","Secundário
CAE: B - F, H (€)","Secundário
CAE: B - F, M (€)","Terciário
CAE: G - U, HM (€)","Terciário
CAE: G - U, H (€)","Terciário
CAE: G - U, M (€)"
Portugal,1166.88,1269.6,1044.31,896.7,927.55,820.73,1105.1,1175.53,954.44,1203.37,1346.84,1073.1
Continente,1170.25,1273.99,1046.59,896.43,928.28,819.82,1105.5,1177.79,953.56,1208.87,1353.6,1077.25
Norte,1056.6,1144.14,949.54,914.2,963.48,791.01,1003.39,1081.99,865.51,1100.69,1213.44,996.78
Alto Minho,978.08,1059.62,888.61,880.53,949.13,717.91,1012.35,1088.19,890.35,952.13,1031.24,890.66
Arcos de Valdevez,882.1,960.41,817.21,749.48,761.53,709.33,897.23,990.62,802.25,865.37,916.9,834.62
Caminha,880.94,942.67,822.25,1284.69,1482.81,675.66,836.75,849.15,798.91,862.16,912.47,829.39
Melgaço,858.09,940.74,799.27,733.58,769.02,580,830.9,855.16,783.84,872.44,1027.75,803.92
Monção,860.2,901.37,818.41,775.1,820.64,686.08,885.42,892.86,868.76,848.81,916.1,806.44
Paredes de Coura,891.1,954.35,838.36,789.58,791.16,782.03,910.76,994.7,828.42,876.78,921.88,847.69
Ponte da Barca,846.94,883.03,806.47,873.51,885.5,759.54,882.98,903.65,709.92,832.09,864.15,813
Ponte de Lima,895.63,955.01,830.16,702.88,721.64,679.9,876.65,913.76,830.7,926.09,1020.29,835.55
Valença,919.23,1002.6,838.85,719.67,736.83,691.79,1063.81,1147.94,919.2,870.5,933.43,821.7
Viana do Castelo,1070.68,1156.54,962.68,933.16,985.13,791.69,1114.72,1195.16,939.39,1038.4,1115.7,975.64
Vila Nova de Cerveira,1066.59,1167.69,954.51,703.3,714.25,677.29,1122.69,1237.46,1000.55,954.75,1039.79,853.64
Cávado,988.7,1063.18,897.59,746.6,772.51,700.66,961.81,1025.89,857.13,1019.89,1118.55,929.58
Amares,881.69,933.51,791.86,795.53,832.53,755.27,854.79,863.26,821.15,909.32,1026.42,785.19
Barcelos,911.9,979.62,844.06,733.29,757.24,686.63,894.33,972.83,811.02,955.76,1006.75,911.61
Braga,1076.61,1154.1,971.13,757.11,787.2,694.06,1080.84,1122.97,978.47,1075.31,1184.82,969.21
Esposende,922.49,981.45,845.5,721.92,752.02,672.74,919.5,958.31,842.41,931.41,1034.03,850.83
Terras de Bouro,869.95,1046.95,721.71,668.68,677.29,651.45,1393.99,1491.98,910.34,745.27,807.49,710.16
Vila Verde,850.61,893.13,798.46,748.6,774.97,696.49,794.28,832.47,722.22,913.73,994.98,850.29
Ave,952.13,1033.37,858.23,741.51,752.59,704.81,944.49,1043.18,809.63,967.86,1022.23,920.22
Cabeceiras de Basto,771.87,790.59,748.52,697.38,701.72,663.38,710.78,741.87,663.4,816.19,836.27,795.48
Fafe,827.76,868.05,790.11,680.25,674.17,691.86,799.17,851.63,747.7,869.73,895.24,847.61
Guimarães,945.42,1001.71,878.71,761.34,775.74,705.59,911.04,976.53,819.33,1007.12,1062.7,958.23
Mondim de Basto,774.94,765.2,786.19,686.8,686.89,…,716.13,709.78,745.07,798.42,808.73,790.85
Póvoa de Lanhoso,840.01,865.69,817.3,692.47,699.52,671.94,811.55,829.66,791.78,871.35,917.62,839
Vieira do Minho,805.52,827.02,781.49,667.49,674.87,651.92,738.11,747.99,696.08,832.32,884.19,793.28
Vila Nova de Famalicão,1036.83,1159.42,881.75,758.04,771.51,728.52,1064.69,1212.5,837.27,993.94,1054.52,938.39
Vizela,843.03,914.38,780.76,676.43,675.07,…,820.56,893.61,752.77,898.51,973.65,842.49
A. M. Porto,1164.59,1264.5,1037.25,1125.59,1207.17,891.42,1114.23,1191.55,954.31,1192.2,1318.85,1067.1
Arouca,888.79,932.88,818.16,824.69,836.15,722.54,908.7,957.93,793.16,868.7,903.31,840.83
Espinho,976.95,1062.1,892.72,853.4,866.75,…,955.31,993.08,884.17,985.82,1104.29,894.88
Gondomar,972.43,1005.8,927.73,890.87,903.2,870.3,944.73,970.32,873.51,987.78,1035.55,942.95
Maia,1210.91,1328.16,1039.29,719.79,783.69,660.8,1222.89,1290.42,1071.92,1207.26,1350.01,1030.91
Matosinhos,1284.59,1421.65,1117.26,883.57,923.15,766.14,1456.87,1523.18,1235.71,1239.86,1381.63,1103.52
Oliveira de Azeméis,1097.21,1218.58,893.27,687.58,716.13,660.58,1144.27,1263.34,901.96,971.18,1059.5,880.43
Paredes,884.16,913.21,837.76,741.65,810.63,709.11,843.23,870.81,780.73,945.25,996.13,892.22
Porto,1374.45,1539.6,1208.6,892.73,938.51,787.1,1462,1554.79,1235.41,1366.5,1538.32,1207.4
Póvoa de Varzim,976.62,1063.25,884.09,1564.02,1698.19,1086.62,845.39,902.52,756.58,986,1065.52,923.56
Santa Maria da Feira,1046.05,1131.42,921.16,878.82,819.99,1002.68,1055.57,1135.12,919.27,1033.49,1127.26,923.02
Santo Tirso,978.76,1066.24,881.28,888.99,898.95,852.63,976.74,1073.14,841.45,984.12,1055.31,932.44
São João da Madeira,1057.47,1176.42,932.19,…,…,//,1072.24,1196.03,933.6,1039.66,1151.33,930.59
Trofa,1064.79,1121.77,970.23,681.13,692.9,659.78,1118.87,1173.2,1019.21,999.42,1054.97,918.42
