,Total (N.º),"Escalão de pessoal, 1 - 9 (N.º)","Escalão de pessoal, 10 - 19 (N.º)","Escalão de pessoal, 20 - 49 (N.º)","Escalão de pessoal, 50 - 99 (N.º)","Escalão de pessoal, 100 - 249 (N.º)","Escalão de pessoal, 250 - 499 (N.º)","Escalão de pessoal, 500 e mais (N.º)"
Portugal,2293329,475480,260784,353700,246255,294323,167744,495043
Continente,2205449,457052,249945,338334,235931,283056,162591,478540
Norte,804480,174730,99352,137442,92880,107611,53436,139029
Alto Minho,44842,11357,5690,7242,3538,4834,3997,8184
Arcos de Valdevez,4160,984,489,390,313,572,629,783
Caminha,1943,771,324,387,251,17,45,148
Melgaço,861,362,102,128,178,8,37,46
Monção,2565,967,409,638,147,172,28,204
Paredes de Coura,1060,282,127,170,186,194,89,12
Ponte da Barca,1241,511,200,260,25,144,16,85
Ponte de Lima,7742,2245,1092,1450,355,575,103,1922
Valença,2901,848,429,324,84,242,187,787
Viana do Castelo,19048,3950,2343,3155,1796,2166,2299,3339
Vila Nova de Cerveira,3321,437,175,340,203,744,564,858
Cávado,98675,22733,13115,18864,12275,13994,5590,12104
Amares,2865,981,637,437,384,308,…,…
Barcelos,31350,7168,4425,6038,5499,4569,2004,1647
Braga,49065,9823,5590,9042,4683,7599,2915,9413
Esposende,7070,1923,989,1332,814,1255,584,173
Terras de Bouro,950,332,129,187,229,0,…,…
Vila Verde,7375,2506,1345,1828,666,263,23,744
Ave,109435,22039,13761,19400,15196,16871,7601,14567
Cabeceiras de Basto,2123,700,426,454,411,42,…,…
Fafe,9611,2680,1714,2133,1889,458,435,302
Guimarães,47495,8942,5923,8798,6763,8593,2967,5509
Mondim de Basto,664,291,91,139,18,113,0,12
Póvoa de Lanhoso,3379,924,670,609,249,568,…,…
Vieira do Minho,1188,462,244,208,97,109,0,68
Vila Nova de Famalicão,38566,6738,3922,5845,4799,5830,3563,7869
Vizela,6409,1302,771,1214,970,1158,394,600
A. M. Porto,415377,81492,47718,64967,42920,54382,32208,91690
Arouca,4038,1139,817,897,594,510,0,81
Espinho,4418,1348,747,504,425,720,13,661
Gondomar,17130,4818,2693,3340,1861,1645,454,2319
Maia,46308,6381,4385,7038,3786,5999,5545,13174
Matosinhos,43690,7396,4301,5798,4495,5738,3139,12823
Oliveira de Azeméis,19453,3036,2047,3743,2204,2726,2236,3461
Paredes,16783,4252,2393,3411,2482,3109,607,529
Porto,93242,17078,9374,11143,7806,11226,7123,29492
Póvoa de Varzim,11755,3607,1569,2445,1367,1297,542,928
Santa Maria da Feira,29124,6963,4141,5468,4337,3082,1556,3577
Santo Tirso,15216,2988,1975,3237,1599,3122,1689,606
São João da Madeira,10365,1441,932,1407,1355,1534,303,3393
Trofa,11920,2193,1262,1951,1267,1361,2376,1510
Vale de Cambra,6241,984,589,1178,787,540,286,1877
Valongo,13274,3385,1963,2143,1764,1598,478,1943
Vila do Conde,19372,4145,2329,3198,2090,3140,2035,2435
Vila Nova de Gaia,53048,10338,6201,8066,4701,7035,3826,12881
Alto Tâmega,11150,3783,1581,1570,1154,1449,268,1345
Boticas,767,191,55,89,69,160,24,179
Chaves,5530,1841,814,779,394,664,132,906
Montalegre,932,387,247,72,160,0,0,66
Ribeira de Pena,1039,193,67,167,158,384,0,70
Valpaços,1377,623,205,152,132,221,0,44
Vila Pouca de Aguiar,1505,548,193,311,241,20,112,80
Tâmega e Sousa,84978,19665,11782,18422,13788,12981,2395,5945
Amarante,8304,2667,1232,1791,1296,959,44,315
Baião,2079,668,199,520,304,333,…,…
Castelo de Paiva,2538,592,284,427,346,775,0,114
Celorico de Basto,2114,670,209,811,260,94,42,28
Cinfães,2404,522,317,669,408,462,…,…
Felgueiras,18439,3348,2423,3714,3911,3754,1020,269
Lousada,10732,2217,1388,2755,1752,1637,405,578
Marco de Canaveses,9197,2213,1491,2126,1619,1466,8,274
Paços de Ferreira,14681,3507,2358,2803,1949,1465,55,2544
Penafiel,13760,2959,1837,2641,1869,1913,807,1734
Resende,730,302,44,165,74,123,0,22
Douro,25533,8498,3678,4609,2819,2306,583,3040
Alijó,1354,540,183,154,237,131,78,31
Armamar,781,350,131,139,150,7,0,4
Carrazeda de Ansiães,531,253,113,65,60,0,14,26
Freixo de Espada à Cinta,272,73,23,87,74,0,0,15
