,Total (N.º),"Nível de habilitações, Inferior ao 1º ciclo do ensino básico (N.º)","Nível de habilitações, 1º ciclo do ensino básico (N.º)","Nível de habilitações, 2º ciclo do ensino básico (N.º)","Nível de habilitações, 3º ciclo do ensino básico (N.º)","Nível de habilitações, Ensino secundário (N.º)","Nível de habilitações, Curso técnico superior profissional (N.º)","Nível de habilitações, Bacharelato (N.º)","Nível de habilitações, Licenciatura (N.º)","Nível de habilitações, Mestrado (N.º)","Nível de habilitações, Doutoramento (N.º)"
Portugal,2293329,7998,203624,292257,592314,687103,1134,39978,399781,58882,5678
Continente,2205449,7494,193745,278550,566863,661451,987,39250,389178,57822,5585
Norte,804480,2465,82524,133046,210101,222003,323,11593,120975,18458,2229
Alto Minho,44842,70,2655,6776,13629,14855,23,594,5556,614,32
Arcos de Valdevez,4160,5,290,581,1148,1595,…,21,428,85,…
Caminha,1943,…,121,258,650,630,…,24,233,17,…
Melgaço,861,0,50,104,270,307,…,11,106,…,0
Monção,2565,5,222,392,811,814,4,26,268,21,0
Paredes de Coura,1060,4,105,170,282,365,0,13,110,10,0
Ponte da Barca,1241,…,130,212,376,374,0,13,126,…,…
Ponte de Lima,7742,12,471,1356,2472,2446,6,95,786,74,15
Valença,2901,…,158,372,931,1113,…,23,276,21,…
Viana do Castelo,19048,37,910,2876,5539,6128,5,310,2891,331,4
Vila Nova de Cerveira,3321,…,198,455,1150,1083,…,58,332,…,4
Cávado,98675,200,8632,18981,26823,26402,38,774,14260,2335,177
Amares,2865,12,313,707,870,692,…,11,229,24,…
Barcelos,31350,75,3134,7925,9149,7430,…,198,3052,349,…
Braga,49065,89,3795,7005,12191,14479,23,456,9143,1708,147
Esposende,7070,7,670,1633,1899,1706,…,56,948,140,…
Terras de Bouro,950,7,82,140,333,273,0,5,84,26,0
Vila Verde,7375,10,638,1571,2381,1822,…,48,804,88,…
Ave,109435,376,13602,22360,30709,28216,30,915,11246,1677,177
Cabeceiras de Basto,2123,…,230,404,720,539,0,26,185,…,…
Fafe,9611,18,960,2356,3312,1978,…,87,791,82,…
Guimarães,47495,141,6692,9577,12832,11756,14,368,5116,818,75
Mondim de Basto,664,3,91,147,177,176,0,7,58,5,0
Póvoa de Lanhoso,3379,…,374,637,1023,949,…,37,307,26,19
Vieira do Minho,1188,…,113,238,361,340,0,14,114,…,…
Vila Nova de Famalicão,38566,171,3924,7564,10465,11053,10,359,4297,657,55
Vizela,6409,31,1218,1437,1819,1425,…,17,378,74,…
A. M. Porto,415377,1277,37914,57439,101792,118781,183,7884,75559,12324,1748
Arouca,4038,…,398,1046,1190,907,…,36,412,42,…
Espinho,4418,16,531,607,1158,1337,…,85,608,57,…
Gondomar,17130,37,1812,2371,4789,5084,11,214,2474,318,17
Maia,46308,192,4294,5581,11761,13697,18,932,8237,1404,134
Matosinhos,43690,102,3345,4150,9561,13270,9,1243,9926,1836,161
Oliveira de Azeméis,19453,50,2099,4487,5535,4818,4,270,1872,283,13
Paredes,16783,77,2386,3757,4519,3945,5,145,1619,228,91
Porto,93242,149,4801,6444,17901,28690,50,2379,27086,4576,1060
Póvoa de Varzim,11755,37,1396,2140,3373,3054,10,148,1409,174,3
Santa Maria da Feira,29124,132,3531,5992,8187,7294,4,404,3000,499,32
Santo Tirso,15216,47,2149,3617,3819,3593,13,132,1652,173,13
São João da Madeira,10365,47,952,1941,2619,2946,…,197,1377,263,…
Trofa,11920,67,1311,2092,3283,3404,11,108,1284,307,52
Vale de Cambra,6241,…,724,1234,1561,1699,…,97,736,166,0
Valongo,13274,31,1286,1965,3686,4170,5,210,1717,188,10
Vila do Conde,19372,62,2127,3231,5410,5389,4,272,2465,323,66
Vila Nova de Gaia,53048,208,4772,6784,13440,15484,30,1012,9685,1487,75
Alto Tâmega,11150,32,1333,1667,3009,3469,4,158,1332,117,13
Boticas,767,…,133,166,198,190,0,…,70,…,0
Chaves,5530,13,569,703,1452,1950,…,87,670,67,…
Montalegre,932,4,119,180,249,242,0,…,120,8,…
Ribeira de Pena,1039,6,139,175,276,251,…,21,155,…,0
Valpaços,1377,…,176,226,389,388,0,26,157,10,…
Vila Pouca de Aguiar,1505,4,197,217,445,448,0,14,160,20,0
Tâmega e Sousa,84978,368,13472,20706,23936,18650,…,670,6368,730,…
Amarante,8304,…,1409,1538,2227,2002,…,93,917,90,…
Baião,2079,…,373,447,551,485,0,27,167,13,…
Castelo de Paiva,2538,5,235,670,795,633,0,16,162,…,…
Celorico de Basto,2114,…,272,396,729,540,…,19,128,22,…
Cinfães,2404,11,445,757,662,389,…,17,108,10,…
Felgueiras,18439,65,3251,4589,5230,4105,…,98,986,106,…
Lousada,10732,83,1730,3153,3212,1815,…,67,599,69,…
Marco de Canaveses,9197,45,1532,2503,2453,1922,…,80,582,70,…
Paços de Ferreira,14681,45,2147,3762,4277,3215,…,131,962,124,…
Penafiel,13760,75,1998,2777,3597,3316,…,122,1662,200,…
Resende,730,…,80,114,203,228,…,0,95,…,…
Douro,25533,110,3395,3432,6473,7246,21,338,4066,410,29
Alijó,1354,3,224,205,350,366,0,20,166,20,0
Armamar,781,…,140,128,207,193,…,9,86,8,0
Carrazeda de Ansiães,531,4,93,79,153,128,0,5,…,…,…
Freixo de Espada à Cinta,272,0,31,36,35,132,0,…,…,…,0
Lamego,3374,12,437,534,751,1068,…,39,483,42,…
Mesão Frio,345,…,46,42,133,83,0,…,34,…,0
Moimenta da Beira,1376,…,163,230,340,413,…,25,188,…,…
Murça,453,…,58,84,121,97,…,11,75,…,0
Penedono,278,0,59,42,83,55,0,…,…,…,0
Peso da Régua,1968,13,267,263,508,576,6,28,277,24,5
Sabrosa,845,4,144,135,180,222,0,8,137,11,3
Santa Marta de Penaguião,463,…,118,47,86,110,0,…,94,3,…
São João da Pesqueira,961,14,288,148,187,187,0,14,110,13,0
Sernancelhe,714,…,88,105,207,215,0,8,86,…,0
Tabuaço,496,…,83,66,123,130,0,9,67,9,…
Tarouca,1004,…,134,203,330,211,0,…,99,12,0
Torre de Moncorvo,945,3,191,105,243,262,0,23,107,7,4
Vila Nova de Foz Côa,847,11,143,150,229,163,3,16,124,8,0
Vila Real,8526,25,688,830,2207,2635,5,103,1797,225,10
Terras de Trás-os-Montes,14490,32,1521,1685,3730,4384,…,260,2588,251,…
Alfândega da Fé,359,0,47,57,80,113,0,…,56,…,0
Bragança,5871,12,481,550,1399,1866,…,98,1289,160,…
