,"Annual mean value of pensions , Total, €","Annual mean value of pensions , Disability, €","Annual mean value of pensions , Old age, €","Annual mean value of pensions , Survival , €","Mean value of unemployment benefits, MF, €","Mean value of unemployment benefits, M, €","Mean value of unemployment benefits, F, €","Mean value of sickness benefits, F, €","Mean number of days of unemployment benefits, MF, days","Mean number of days of unemployment benefits, M, days","Mean number of days of unemployment benefits, F, days","Mean number of days of sickness benefits , F, days"
Portugal,5684,5577,6522,3363,2984,3159,2850,940,170,166,172,53
Continente,5713,5553,6548,3381,2992,3170,2857,926,169,165,172,52
Norte,5289,5145,6052,3151,3022,3195,2888,836,177,172,180,51
Alto Minho,4406,4855,4941,2758,2617,2772,2486,989,151,146,156,63
Arcos de Valdevez,3651,4188,4049,2479,2595,2898,2378,953,165,180,154,66
Caminha,4658,4838,5294,2790,2910,3421,2572,901,163,170,158,55
Melgaço,3657,4013,4025,2333,2615,2846,2446,675,163,164,162,53
Monção,3776,4270,4206,2447,2669,2958,2540,882,166,170,164,61
Paredes de Coura,3910,4425,4337,2517,2100,2221,2003,1027,126,130,123,68
Ponte da Barca,3943,4332,4348,2723,2558,2666,2476,870,161,165,158,63
Ponte de Lima,4241,4790,4762,2595,2804,3040,2590,862,164,165,163,58
Valença,4030,4384,4540,2644,2463,2397,2513,987,152,139,161,64
Viana do Castelo,5091,5471,5722,3091,2575,2675,2476,1105,142,131,153,65
Vila Nova de Cerveira,4141,4251,4660,2787,2767,2883,2673,1046,162,160,163,62
Cávado,4935,5130,5596,2877,3048,3288,2872,812,176,176,176,50
Amares,4264,4643,4820,2600,2863,3420,2553,674,170,179,165,48
Barcelos,4833,5140,5496,2798,3067,3300,2853,822,179,176,181,54
Braga,5424,5464,6117,3140,3115,3312,2979,838,176,176,176,46
Esposende,4602,4989,5240,2662,2970,3123,2868,891,172,166,177,53
Terras de Bouro,4209,4301,4772,2754,2434,2760,2217,726,162,166,160,59
Vila Verde,4128,4526,4645,2531,2938,3329,2670,669,177,184,172,49
Ave,5181,5280,5873,3033,3069,3267,2944,847,184,182,185,53
Cabeceiras de Basto,4002,4542,4568,2517,3145,3516,2822,710,187,195,180,55
Fafe,4405,5008,4911,2660,3151,3439,2967,901,197,203,193,60
Guimarães,5501,5475,6221,3129,3151,3289,3066,818,190,187,192,52
Mondim de Basto,3908,4366,4343,2655,3119,3388,2866,783,206,226,187,66
Póvoa de Lanhoso,4151,4426,4690,2658,3049,3457,2746,822,177,172,182,59
Vieira do Minho,4044,4106,4612,2646,2903,3570,2383,772,172,186,162,56
Vila Nova de Famalicão,5550,5586,6287,3261,2945,3038,2887,892,171,161,178,52
Vizela,5370,5427,6021,3163,2990,3458,2763,800,186,202,179,53
A. M. Porto,5999,5411,6873,3546,3070,3217,2951,795,176,170,180,46
Arouca,4269,4604,4809,2608,2964,3448,2684,951,180,193,173,64
Espinho,5756,5608,6508,3450,3053,3076,3033,840,178,169,186,47
Gondomar,5689,5209,6501,3465,3006,3148,2878,660,179,174,182,40
Maia,6458,5926,7431,3665,3104,3310,2946,717,167,162,171,38
Matosinhos,6826,5988,7802,4049,3270,3396,3149,764,175,168,182,40
Oliveira de Azeméis,5443,5418,6183,3129,2919,3096,2803,1224,172,165,176,69
Paredes,4706,4796,5484,2844,2795,3049,2622,758,179,177,180,53
Porto,6996,5541,8027,4282,3282,3362,3207,705,179,176,181,36
Póvoa de Varzim,5061,5060,5829,2987,2815,2851,2782,838,160,145,174,50
Santa Maria da Feira,5197,5049,5909,2998,3019,3215,2880,1039,179,176,181,60
Santo Tirso,5397,5499,6043,3226,3151,3357,3024,738,189,186,192,47
São João da Madeira,5764,5245,6565,3364,2925,3148,2765,987,175,176,175,58
Trofa,5933,5675,6801,3354,2742,2965,2610,805,164,161,165,48
Vale de Cambra,5345,5709,6063,3045,2858,3253,2663,1442,166,164,167,80
Valongo,5733,5300,6576,3404,2949,3141,2802,730,171,165,175,43
Vila do Conde,5381,5292,6216,3110,2847,2820,2871,855,163,145,179,50
Vila Nova de Gaia,6241,5492,7156,3606,3163,3292,3055,705,182,177,186,40
Alto Tâmega,3790,4217,4267,2525,3076,3319,2886,761,191,194,189,55
Boticas,3514,4309,3892,2349,2813,2853,2774,583,165,162,167,44
Chaves,3917,4171,4426,2567,3056,3322,2867,743,192,195,189,53
Montalegre,3882,4317,4377,2640,3203,3532,2804,970,197,199,194,66
Ribeira de Pena,3745,4420,4171,2571,2959,2985,2938,988,182,173,190,62
Valpaços,3639,4111,4098,2453,3120,3526,2853,786,200,221,186,63
Vila Pouca de Aguiar,3740,4210,4210,2470,3169,3295,3050,655,189,186,192,50
Tâmega e Sousa,4617,4899,5332,2771,2907,3112,2760,972,180,175,184,65
Amarante,4463,4714,5156,2761,2951,3098,2815,1029,177,169,184,69
Baião,4497,4610,5266,2805,2769,3038,2458,844,168,168,167,61
Castelo de Paiva,4859,5229,5567,2913,3011,3390,2698,1016,183,184,183,65
Celorico de Basto,3944,4503,4467,2426,2986,3326,2692,684,185,189,182,52
Cinfães,4328,4885,4952,2622,2808,2929,2644,1074,165,156,176,75
Felgueiras,4652,4970,5288,2724,3088,3252,2980,1355,192,192,193,85
Lousada,4747,4872,5504,2880,2686,3065,2481,924,169,178,164,63
Marco de Canaveses,4795,4946,5648,2826,3023,3366,2792,980,183,175,188,63
Paços de Ferreira,4512,4852,5153,2752,2768,2759,2774,766,181,171,187,54
Penafiel,5030,5168,5920,2882,2902,3068,2784,880,178,164,188,59
Resende,3890,4166,4419,2517,2953,3047,2865,826,194,188,199,62
Douro,4060,4358,4616,2643,3020,3247,2803,810,180,181,179,57
Alijó,3888,4291,4417,2586,3051,3127,2957,824,187,180,196,59
Armamar,4111,4336,4761,2585,3038,3338,2767,1218,184,183,185,67
Carrazeda de Ansiães,3729,3695,4261,2516,2676,3261,2228,728,173,186,163,65
Freixo de Espada à Cinta,3860,4799,4331,2452,3127,3401,2932,528,214,223,207,46
Lamego,4373,4504,5006,2841,3104,3203,2993,828,179,173,187,57
Mesão Frio,4436,4577,5129,2826,3047,2618,3403,818,184,158,206,57
Moimenta da Beira,3998,4333,4518,2645,2714,2943,2540,836,169,171,168,57
Murça,3668,3889,4127,2484,3015,3107,2947,841,187,183,190,61
Penedono,3604,4130,4073,2386,3320,2989,3452,852,218,177,234,69
Peso da Régua,4531,4716,5230,2872,3386,3550,3191,719,202,200,205,53
Sabrosa,3908,4260,4394,2519,2877,3149,2636,593,183,184,183,46
Santa Marta de Penaguião,4019,4417,4594,2609,3145,3581,2724,722,191,210,172,65
São João da Pesqueira,4006,4419,4630,2514,3137,3540,2722,818,185,188,183,72
Sernancelhe,3736,3754,4257,2524,3047,3089,3019,875,176,158,188,60
Tabuaço,4017,4224,4635,2567,2830,2580,3088,1074,183,162,204,81
Tarouca,4012,4361,4696,2511,2901,3037,2749,648,154,157,150,50
Torre de Moncorvo,3750,3911,4223,2481,2786,2957,2653,1025,177,173,179,69
Vila Nova de Foz Côa,3759,4245,4241,2570,3247,3889,2698,1074,197,212,183,76
Vila Real,4128,4367,4629,2695,2932,3314,2593,770,172,183,162,48
