,"Recipients, MF, No.","Recipients, M, No.","Recipients, F, No.","Age, Under 25 years, No.","Age, 25-29 years, No.","Age, 30-39  years, No.","Age, 40-49 years, No.","Age, 50-54 years, No.","Age, 56 years and over, No.","Values paid, MF, thousand euros","Values paid, M, thousand euros","Values paid, F, thousand euros"
Portugal,106567,54878,51689,6712,7021,18751,30199,18238,25646,344785,178792,165993
Continente,99911,51422,48489,6327,6481,17346,28420,17242,24095,321934,166877,155057
Norte,39823,20596,19227,2402,2464,6889,11374,7135,9559,129501,67756,61744
Alto Minho,2804,1505,1299,169,177,422,776,498,762,9007,4906,4100
Arcos de Valdevez,293,172,121,18,19,40,70,62,84,985,576,409
Caminha,155,76,79,8,10,28,34,32,43,473,243,230
Melgaço,127,71,56,7,5,10,26,32,47,414,226,188
Monção,194,101,93,8,4,25,61,40,56,615,330,285
Paredes de Coura,103,59,44,6,8,11,18,29,31,338,183,155
Ponte da Barca,180,105,75,10,13,27,49,32,49,617,364,253
Ponte de Lima,523,273,250,24,33,101,171,86,108,1706,912,794
Valença,131,68,63,…,…,27,31,21,36,418,208,209
Viana do Castelo,1012,527,485,81,68,141,292,148,282,3171,1698,1473
Vila Nova de Cerveira,86,53,33,…,…,12,24,16,26,270,165,105
Cávado,4468,2373,2095,232,265,829,1337,776,1029,14852,7958,6894
Amares,164,90,74,…,…,40,45,24,41,577,311,266
Barcelos,1380,831,549,78,91,235,386,257,333,4597,2769,1828
Braga,1905,914,991,101,112,364,586,322,420,6290,3077,3213
Esposende,365,179,186,20,22,77,109,59,78,1228,610,618
Terras de Bouro,96,52,44,…,…,21,30,17,23,322,171,151
Vila Verde,558,307,251,25,29,92,181,97,134,1839,1020,818
Ave,4320,2304,2016,273,279,757,1254,791,966,14005,7520,6485
Cabeceiras de Basto,220,137,83,13,20,37,62,42,46,747,461,285
Fafe,490,282,208,17,38,109,137,82,107,1682,973,708
Guimarães,1520,787,733,100,105,265,417,271,362,4885,2534,2351
Mondim de Basto,104,57,47,5,7,20,24,21,27,360,191,169
Póvoa de Lanhoso,344,175,169,19,13,65,107,57,83,1150,587,563
Vieira do Minho,201,115,86,11,8,31,65,42,44,720,409,311
Vila Nova de Famalicão,1227,649,578,94,71,199,382,232,249,3778,2030,1749
Vizela,214,102,112,14,17,31,60,44,48,685,336,349
A. M. Porto,18407,9210,9197,1214,1146,3234,5231,3319,4263,58698,29763,28936
Arouca,320,164,156,28,16,64,96,63,53,1093,569,524
Espinho,407,201,206,12,21,79,116,73,106,1372,696,677
Gondomar,1759,867,892,142,106,301,486,337,387,5685,2787,2899
Maia,1143,555,588,80,100,191,317,195,260,3498,1735,1762
Matosinhos,1591,798,793,97,84,288,461,255,406,4898,2455,2443
Oliveira de Azeméis,733,335,398,45,34,143,219,132,160,2277,1064,1213
Paredes,988,515,473,67,64,154,289,193,221,3247,1718,1529
