,"Total, Total (milhares de euros)","Total, Pensions on 31 Dec. (milhares de euros)","Disability, Total (milhares de euros)","Disability, Pensions on 31 Dec. (milhares de euros)","Old age, Total (milhares de euros)","Old age, Pensions on 31 Dec. (milhares de euros)","Survival , Total (milhares de euros)","Survival , Pensions on 31 Dec. (milhares de euros)"
Portugal,17021937,16746175,1048882,1034645,13489157,13285785,2483897,2425745
Continente,16418803,16154499,967188,954027,13072290,12876783,2379325,2323689
Norte,5435527,5351085,358224,353326,4293204,4231633,784099,766126
Alto Minho,322375,316417,25417,25089,248025,243670,48933,47658
Arcos de Valdevez,27535,26916,2031,2013,20655,20182,4849,4721
Caminha,24671,24227,1480,1453,19589,19277,3602,3498
Melgaço,9150,8909,518,502,7366,7193,1267,1214
Monção,22893,22411,1281,1264,17961,17580,3651,3567
Paredes de Coura,11249,11039,1053,1052,8467,8306,1729,1681
Ponte da Barca,15112,14849,1594,1582,10923,10745,2595,2522
Ponte de Lima,52557,51542,5188,5136,39601,38865,7768,7542
Valença,16415,16108,1008,995,12561,12330,2845,2783
Viana do Castelo,130751,128581,10554,10401,101713,100140,18484,18040
Vila Nova de Cerveira,12042,11835,710,693,9189,9052,2143,2090
Cávado,506483,499160,47843,47264,391472,386172,67168,65724
Amares,20555,20122,2136,2117,15380,15087,3039,2918
Barcelos,152140,150047,16606,16473,115081,113519,20453,20055
Braga,233674,230451,19092,18774,185509,183198,29073,28479
Esposende,38268,37741,3856,3808,29139,28749,5273,5184
Terras de Bouro,10350,10133,753,731,7821,7667,1776,1734
Vila Verde,51496,50666,5400,5361,38542,37952,7554,7354
Ave,640133,631143,58296,57650,497525,490953,84312,82539
Cabeceiras de Basto,17912,17640,1912,1898,12901,12703,3099,3040
Fafe,66970,65962,8935,8858,48731,48006,9304,9098
Guimarães,255632,252173,21685,21422,203036,200503,30912,30247
Mondim de Basto,8617,8430,830,808,6271,6140,1516,1481
Póvoa de Lanhoso,23314,22899,2297,2272,17235,16930,3782,3697
Vieira do Minho,17144,16823,1499,1473,12659,12452,2987,2898
Vila Nova de Famalicão,216738,213837,18154,17955,170039,167888,28544,27994
Vizela,33806,33378,2985,2964,26653,26331,4169,4084
A. M. Porto,2998092,2954557,154774,152362,2422323,2390449,420995,411746
Arouca,28007,27450,2242,2219,21680,21263,4084,3968
Espinho,64607,63722,2950,2902,52673,52053,8984,8767
Gondomar,266031,262122,14913,14700,212032,209250,39086,38172
Maia,217702,214840,10358,10201,177988,175883,29356,28756
Matosinhos,344380,339682,15174,14936,281058,277576,48149,47170
Oliveira de Azeméis,114348,112674,6236,6161,93081,91788,15031,14725
Paredes,84047,82698,7932,7813,62375,61421,13740,13463
Porto,531462,522635,18696,18303,432810,426266,79956,78066
Póvoa de Varzim,82263,81041,5247,5175,64734,63850,12282,12016
Santa Maria da Feira,207271,204565,13283,13076,167071,165120,26917,26370
Santo Tirso,134781,132939,8188,8072,109040,107654,17554,17212
São João da Madeira,38775,38239,2056,2021,31599,31219,5120,5000
Trofa,60176,59515,4029,3969,48355,47884,7792,7662
Vale de Cambra,40759,40237,2854,2837,32560,32180,5344,5220
Valongo,140503,138503,8979,8866,111673,110223,19851,19414
Vila do Conde,120875,118983,7398,7278,96001,94633,17475,17073
Vila Nova de Gaia,522104,514711,24237,23832,427593,422184,70273,68694
Alto Tâmega,114671,112289,6489,6374,87393,85651,20788,20264
Boticas,7222,7010,504,499,5461,5295,1257,1217
Chaves,44916,44052,2524,2494,34547,33904,7846,7654
Montalegre,15701,15340,829,774,11847,11617,3025,2950
Ribeira de Pena,7356,7201,583,581,5376,5258,1396,1362
Valpaços,22667,22199,1102,1092,17297,16946,4269,4161
Vila Pouca de Aguiar,16808,16486,947,935,12865,12631,2996,2920
Tâmega e Sousa,470901,462765,42367,41849,353709,347877,74825,73039
Amarante,59167,58062,4181,4115,44859,44084,10127,9862
Baião,25567,25032,1936,1923,18957,18559,4674,4550
Castelo de Paiva,22210,21866,2076,2059,16728,16468,3406,3339
Celorico de Basto,20781,20416,2184,2169,15303,15024,3294,3224
Cinfães,26210,25549,1583,1543,20397,19911,4230,4095
Felgueiras,64782,63756,6068,5988,49720,48976,8994,8792
Lousada,48212,47498,5145,5064,35366,34887,7701,7546
Marco de Canaveses,55907,54961,5065,5010,41599,40958,9243,8993
Paços de Ferreira,53709,52877,5007,4962,40311,39687,8391,8228
Penafiel,81551,80228,8310,8208,60712,59781,12529,12240
Resende,12806,12518,812,807,9756,9540,2237,2171
Douro,243524,238739,15240,15052,184813,181329,43471,42359
Alijó,16213,15872,1167,1149,11979,11743,3067,2979
Armamar,8686,8490,416,415,6685,6533,1585,1543
Carrazeda de Ansiães,8610,8384,314,310,6595,6421,1701,1653
Freixo de Espada à Cinta,5280,5187,245,243,4162,4091,873,853
Lamego,31353,30712,1649,1628,23994,23502,5710,5581
Mesão Frio,5762,5609,403,396,4313,4198,1046,1015
Moimenta da Beira,12115,11856,550,536,9374,9205,2190,2115
Murça,8095,7922,486,479,6121,5991,1488,1451
Penedono,3013,2928,186,184,2269,2202,558,543
Peso da Régua,22823,22445,1952,1927,16842,16586,4029,3933
Sabrosa,8895,8722,754,736,6688,6577,1453,1409
Santa Marta de Penaguião,10546,10336,941,934,7671,7520,1934,1882
São João da Pesqueira,8622,8452,513,507,6543,6417,1566,1528
Sernancelhe,6717,6598,240,239,5159,5074,1318,1286
Tabuaço,6893,6756,384,381,5238,5136,1271,1239
Tarouca,8819,8651,436,431,6692,6571,1690,1649
Torre de Moncorvo,11062,10841,375,367,8742,8575,1945,1899
Vila Nova de Foz Côa,8048,7869,446,441,6014,5887,1588,1541
Vila Real,51973,51107,3782,3748,39731,39099,8460,8259
Terras de Trás-os-Montes,139348,136015,7797,7686,107943,105532,23608,22797
Alfândega da Fé,6878,6742,310,307,5429,5325,1139,1111
