,"Recipients, MF, No.","Recipients, M, No.","Recipients, F, No."," Days subsidized , MF, No."," Days subsidized , M, No."," Days subsidized , F, No.","Values paid, MF, thousand euros","Values paid, M, thousand euros","Values paid, F, thousand euros"
Portugal,736828,302805,434023,38793095,15896210,22896885,692612,321826,370786
Continente,707204,289684,417520,36742353,15021626,21720727,654695,302577,352118
Norte,293288,124512,168776,14950569,6483859,8466710,245173,117725,127448
Alto Minho,17532,7164,10368,1097739,433743,663996,17336,7461,9875
Arcos de Valdevez,1312,529,783,86487,34345,52142,1251,497,754
Caminha,1189,466,723,65821,25321,40500,1071,468,603
Melgaço,318,130,188,16775,7959,8816,215,102,112
Monção,937,391,546,56891,24385,32506,826,401,426
Paredes de Coura,659,279,380,45132,15796,29336,677,227,450
Ponte da Barca,720,294,426,45278,16639,28639,626,236,390
Ponte de Lima,3519,1503,2016,205122,91888,113234,3033,1453,1580
Valença,1068,403,665,68623,22933,45690,1054,365,689
Viana do Castelo,7025,2882,4143,458683,179298,279385,7763,3414,4348
Vila Nova de Cerveira,785,287,498,48927,15179,33748,821,298,522
Cávado,33232,13738,19494,1648130,680482,967648,26970,11893,15078
Amares,1206,513,693,57596,27630,29966,813,423,390
Barcelos,10705,4463,6242,575435,241825,333610,8796,4136,4660
Braga,15015,6117,8898,691210,266589,424621,12579,4965,7613
Esposende,2453,1001,1452,131143,58217,72926,2185,1113,1073
Terras de Bouro,347,157,190,20316,8744,11572,252,123,129
Vila Verde,3506,1487,2019,172430,77477,94953,2346,1133,1213
Ave,38438,16593,21845,2051424,883746,1167678,32554,15623,16930
Cabeceiras de Basto,1051,479,572,57676,25510,32166,746,352,394
Fafe,4159,1791,2368,250878,109095,141783,3745,1736,2009
Guimarães,15053,6487,8566,779968,329086,450882,12307,5596,6710
Mondim de Basto,340,150,190,22290,11252,11038,266,144,122
Póvoa de Lanhoso,1463,602,861,85749,37633,48116,1203,583,620
Vieira do Minho,559,266,293,31552,17146,14406,432,248,184
Vila Nova de Famalicão,13067,5696,7371,678261,297538,380723,11658,6012,5646
Vizela,2746,1122,1624,145050,56486,88564,2197,951,1246
A. M. Porto,152980,64743,88237,6982701,3030020,3952681,121552,59200,62351
Arouca,1783,849,934,114881,58332,56549,1696,935,761
Espinho,2590,1218,1372,122588,60112,62476,2176,1156,1020
Gondomar,15460,6496,8964,613135,269577,343558,10196,5076,5120
Maia,12197,5110,7087,459309,203469,255840,8747,4357,4390
Matosinhos,15396,6340,9056,612293,265375,346918,11761,6085,5676
Oliveira de Azeméis,6331,2762,3569,439740,181851,257889,7749,3692,4057
Paredes,8167,3655,4512,429484,198776,230708,6188,3104,3084
Porto,15256,6123,9133,556814,238129,318685,10748,4992,5757
Póvoa de Varzim,4875,1904,2971,241747,97612,144135,4084,1876,2208
Santa Maria da Feira,12962,5729,7233,780925,331812,449113,13469,6232,7237
Santo Tirso,6779,2976,3803,316741,138027,178714,5004,2438,2566
São João da Madeira,1957,794,1163,114468,41898,72570,1932,800,1132
Trofa,4245,1793,2452,202027,90188,111839,3418,1768,1651
Vale de Cambra,1809,845,964,144824,62692,82132,2609,1286,1323
Valongo,9433,4034,5399,409868,182076,227792,6884,3479,3405
Vila do Conde,7406,2960,4446,368006,148842,219164,6331,2984,3347
Vila Nova de Gaia,26334,11155,15179,1055851,461252,594599,18560,8942,9618
Alto Tâmega,3196,1326,1870,175712,80282,95430,2432,1171,1261
Boticas,284,97,187,12592,4287,8305,166,57,109
Chaves,1396,552,844,73884,31110,42774,1037,440,597
Montalegre,307,140,167,20199,10606,9593,298,174,124
Ribeira de Pena,243,112,131,14961,7555,7406,240,129,111
Valpaços,445,173,272,28090,13205,14885,350,176,173
Vila Pouca de Aguiar,521,252,269,25986,13519,12467,341,194,147
Tâmega e Sousa,34281,15488,18793,2225132,1049710,1175422,33306,17355,15952
Amarante,3257,1538,1719,225224,110586,114638,3353,1811,1542
