,"%, Gini coefficient, Gross reported income, Taxable person","No., Inequality of income distribution (P80/P20), Gross reported income, Taxable person","No., Inequality of income distribution (P90/P10), Gross reported income, Taxable person","%, Gini coefficient, Gross reported income less personal income paid tax, Taxable person","No., Inequality of income distribution (P80/P20), Gross reported income less personal income paid tax, Taxable person","No., Inequality of income distribution (P90/P10), Gross reported income less personal income paid tax, Taxable person"
Portugal,30.6,3.3,6.9,26.5,2.9,5.9
Continente,30.6,3.3,6.9,26.5,2.9,5.9
Norte,29.7,3.1,6.6,25.8,2.8,5.7
Alto Minho,27.9,3,6.7,24.9,2.8,6
Arcos de Valdevez,27.8,3,7.2,25.4,2.8,6.6
Caminha,30.6,3.3,8,27.1,3,7
Melgaço,27.1,3,7.8,24.5,2.8,6.9
Monção,27.6,3,7.3,24.9,2.8,6.6
Paredes de Coura,25.4,2.7,5.4,23.1,2.5,5
Ponte da Barca,27.8,2.9,7.4,25.6,2.8,6.9
Ponte de Lima,26,2.7,5.6,23.4,2.6,5.1
Valença,24.7,2.7,5.5,22.3,2.5,5
Viana do Castelo,28.3,3.1,6.4,24.9,2.8,5.6
Vila Nova de Cerveira,25.8,2.8,5.9,23.1,2.6,5.3
Cávado,28.9,3,6.5,25.3,2.8,5.7
Amares,27.1,2.8,6.3,24.2,2.7,5.7
Barcelos,24.8,2.5,4.9,21.9,2.4,4.4
Braga,30.2,3.3,7.1,26.3,3,6.1
Esposende,30,3,6.6,26.1,2.8,5.8
Terras de Bouro,26.7,2.9,6.8,24.5,2.8,6.3
Vila Verde,25.9,2.8,6.1,23.6,2.7,5.7
Ave,25.7,2.5,5.1,22.5,2.4,4.5
Cabeceiras de Basto,27.3,2.9,6.9,24.9,2.7,6.3
Fafe,26.1,2.6,6,23.3,2.5,5.5
Guimarães,25.7,2.4,4.8,22.2,2.2,4.2
Mondim de Basto,26.9,2.8,6.8,24.8,2.7,6.2
Póvoa de Lanhoso,26.1,2.8,6.2,23.8,2.7,5.9
Vieira do Minho,27.5,2.9,7.2,25,2.7,6.5
Vila Nova de Famalicão,25.3,2.5,5,22.1,2.3,4.3
Vizela,22.4,2.1,3.9,19.5,2,3.6
A. M. Porto,30.6,3.2,6.7,26.4,2.9,5.6
Arouca,25.7,2.6,5.4,23,2.5,4.9
Espinho,30.9,3.2,6.9,26.7,2.9,5.9
Gondomar,27.2,2.9,5.9,24,2.7,5.1
Maia,29.7,3.3,6.8,25.7,2.9,5.6
Matosinhos,31,3.3,7,26.6,2.9,5.8
Oliveira de Azeméis,25.5,2.6,4.9,22.3,2.4,4.3
Paredes,26.9,2.9,6.3,24.3,2.7,5.7
Porto,36.1,4.4,9.7,30.8,3.7,7.5
Póvoa de Varzim,30.3,3.3,7.3,26.6,3,6.3
Santa Maria da Feira,26.6,2.7,5.4,23.4,2.5,4.8
Santo Tirso,25.4,2.5,4.7,22.1,2.3,4.1
São João da Madeira,27.8,2.8,5.6,23.9,2.5,4.8
Trofa,25.1,2.6,5,22,2.4,4.4
Vale de Cambra,25.9,2.7,4.9,22.8,2.5,4.4
Valongo,26.6,2.9,5.8,23.5,2.7,5.1
Vila do Conde,28.8,2.9,6,25.1,2.7,5.2
Vila Nova de Gaia,30.2,3.2,6.6,26,2.9,5.6
Alto Tâmega,30.4,3.3,8.5,27.4,3.1,7.4
Boticas,27.7,2.9,7.1,25.8,2.8,6.8
Chaves,31.1,3.6,9,27.8,3.3,7.8
Montalegre,29.5,3.4,8.4,27.1,3.3,7.6
Ribeira de Pena,28.6,3,6.9,26.3,2.9,6.3
Valpaços,28.8,3.2,7.6,26.7,3,7
Vila Pouca de Aguiar,29,3,7.6,26.4,2.9,6.9
Tâmega e Sousa,25.8,2.7,5.7,23.3,2.6,5.2
Amarante,28.9,2.9,7.1,26,2.8,6.4
Baião,25.8,2.7,5.6,23.7,2.6,5.2
Castelo de Paiva,23.9,2.6,4.8,21.9,2.5,4.4
Celorico de Basto,25.8,2.6,6.2,23.8,2.5,5.9
Cinfães,27.5,2.8,6.8,25.5,2.7,6.4
Felgueiras,23.7,2.4,4.6,20.9,2.3,4.2
Lousada,23.8,2.5,5.2,21.5,2.4,4.8
Marco de Canaveses,26.9,2.7,6.5,24.7,2.6,5.9
Paços de Ferreira,24.1,2.5,5.1,21.6,2.4,4.6
Penafiel,26.6,2.7,5.8,23.7,2.6,5.3
Resende,30.9,3.6,9.6,28.7,3.4,9
Douro,30.5,3.3,8.1,27.3,3.1,7.1
Alijó,27.2,2.9,6.9,25,2.7,6.3
Armamar,28.7,2.9,7.1,26.1,2.7,6.4
Carrazeda de Ansiães,28.9,3,7.4,26.3,2.8,6.7
Freixo de Espada à Cinta,24.9,2.6,4.7,22.4,2.5,4.3
Lamego,31.3,3.5,8.4,27.9,3.2,7.2
Mesão Frio,27.5,2.9,6.1,25.2,2.8,5.7
Moimenta da Beira,28.9,3.1,7.4,26.2,2.9,6.8
Murça,30.3,3.2,7.9,27.5,3.1,7.1
Penedono,//,//,//,//,//,//
Peso da Régua,29.1,3.2,7.2,26,3,6.3
Sabrosa,26.3,2.7,5.9,24,2.6,5.5
Santa Marta de Penaguião,28.2,3.1,8,26.3,3,7.5
São João da Pesqueira,29.3,3.1,7.1,26.6,2.9,6.4
Sernancelhe,26.8,2.6,6.6,24.7,2.6,6.2
Tabuaço,29.1,3,8.1,26.8,2.9,7.2
Tarouca,27.8,3,7.2,25.4,2.9,6.6
Torre de Moncorvo,28.7,3.1,7.3,26,2.9,6.5
Vila Nova de Foz Côa,29.2,3.2,8,26.4,3.1,7.2
Vila Real,31.3,3.9,8.4,27.7,3.5,7
Terras de Trás-os-Montes,30,3.4,7.8,26.8,3.1,6.8
Alfândega da Fé,29.6,3,7.1,26.8,2.8,6.5
Bragança,29.7,3.6,7.6,26.2,3.2,6.5
Macedo de Cavaleiros,30.7,3.2,8.2,27.7,3,7.4
Miranda do Douro,27,3.1,6.5,24.2,2.9,5.8
Mirandela,29.6,3.4,7.5,26.5,3.1,6.6
Mogadouro,29.3,3.1,7.5,26.3,2.9,6.7
Vila Flor,29.3,3,7.1,26.7,2.9,6.5
Vimioso,27.9,2.9,6.7,25.4,2.8,6
Vinhais,27.2,2.9,6.2,25,2.7,5.7
Centro,27.9,3,6,24.5,2.7,5.1
Oeste,27.7,2.9,5.9,24.4,2.7,5.2
Alcobaça,25,2.6,4.9,22,2.4,4.3
Alenquer,25.9,2.8,5.2,22.7,2.6,4.5
Arruda dos Vinhos,29.5,3.2,6.5,25.6,2.8,5.5
Bombarral,28,2.9,6.2,24.7,2.7,5.5
Cadaval,27.4,3,5.7,24.3,2.8,5.1
Caldas da Rainha,29.5,3.2,7.1,26,2.9,6.2
Lourinhã,28.7,3.1,6.8,25.5,2.9,5.9
Nazaré,26.5,2.8,5.9,23.5,2.6,5.3
Óbidos,28.9,3.1,6.9,25.6,2.9,6.1
Peniche,26.8,2.9,6,23.7,2.7,5.3
Sobral de Monte Agraço,27.7,3,5.9,24.2,2.7,5.1
Torres Vedras,28.6,3,6,25,2.8,5.2
Região de Aveiro,27.9,3,6,24.4,2.7,5.2
Águeda,25.9,2.6,4.9,22.7,2.4,4.3
Albergaria-a-Velha,24.8,2.7,5,22.1,2.6,4.5
Anadia,27.9,2.9,5.7,24.4,2.7,5
Aveiro,29.8,3.3,7,25.6,2.9,5.7
Estarreja,26,2.9,5.6,23,2.7,4.9
Ílhavo,28.4,3.1,6.5,24.8,2.8,5.5
Murtosa,30.3,3.7,10.8,27.5,3.4,9.6
Oliveira do Bairro,25.2,2.8,5.3,22.5,2.6,4.7
Ovar,27.3,2.9,5.8,23.9,2.7,5
Sever do Vouga,25.1,2.8,5.3,22.6,2.6,4.7
Vagos,26.8,2.9,5.8,23.9,2.7,5.2
Região de Coimbra,29.5,3.1,6.3,25.5,2.8,5.3
Arganil,24.3,2.5,4.7,21.8,2.4,4.3
Cantanhede,27.7,3.1,6.5,24.7,2.9,5.7
Coimbra,31.8,3.6,7.5,27.2,3.1,5.9
Condeixa-a-Nova,26.3,3,5.5,23.1,2.6,4.6
Figueira da Foz,28.6,3.2,6.4,24.9,2.8,5.3
Góis,24.1,2.6,4.4,21.6,2.4,4
Lousã,25.2,2.8,5.3,22.4,2.6,4.7
Mealhada,25.6,2.9,5.3,22.7,2.6,4.6
Mira,28.7,3.1,6.8,25.4,2.9,5.8
