,"Agregados fiscais, N.º","Sujeitos passivos, N.º","Rendimento bruto declarado, milhares de euros","Rendimento coletável, milhares de euros","IRS liquidado, milhares de euros","Rendimento bruto declarado deduzido do IRS liquidado, milhares de euros"
Portugal,5225177,7332424,95438477,68367085,11711834,83726643
Continente,4996029,7009857,91448876,65534791,11329534,80119342
Norte,1769072,2546778,29510741,20316897,3191525,26319217
Alto Minho,115799,166556,1744032,1163729,157630,1586403
Arcos de Valdevez,10487,14910,133013,83759,10262,122751
Caminha,8287,11767,130674,89859,13764,116910
Melgaço,3835,5435,50156,32580,4033,46122
Monção,8522,12265,118061,77542,9793,108269
Paredes de Coura,4321,6346,57940,35919,3923,54017
Ponte da Barca,5869,8373,73273,45461,5261,68012
Ponte de Lima,19877,29044,272529,172470,19869,252661
Valença,7001,9841,96463,62357,7212,89250
Viana do Castelo,43154,62205,744166,518594,77660,666506
Vila Nova de Cerveira,4446,6370,67758,45188,5852,61905
Cávado,197743,286820,3279060,2246298,335321,2943738
Amares,8607,12703,123221,79820,10040,113182
Barcelos,55714,81488,805661,514351,62050,743611
Braga,92798,133184,1761348,1267013,211437,1549910
Esposende,16628,24044,272866,187661,29747,243119
Terras de Bouro,3058,4451,39080,24297,2764,36316
Vila Verde,20938,30950,276883,173156,19283,257600
Ave,209196,304211,3184699,2065819,268295,2916403
Cabeceiras de Basto,6842,10172,88189,54976,6206,81983
Fafe,24603,35643,337092,210989,24868,312225
Guimarães,80453,116464,1269802,829732,113468,1156333
Mondim de Basto,2994,4306,35985,21882,2422,33563
Póvoa de Lanhoso,9510,14027,125147,78606,8918,116229
Vieira do Minho,5490,7988,69905,44027,5189,64716
Vila Nova de Famalicão,67058,97884,1081901,716355,94611,987290
Vizela,12246,17727,176678,109253,12612,164066
A. M. Porto,877209,1245503,16158644,11530142,2007993,14150651
Arouca,10282,15278,141380,89177,10534,130846
Espinho,15971,22442,285058,202011,34888,250171
Gondomar,81835,117734,1344950,916211,128414,1216536
Maia,66693,96082,1379385,1015240,177889,1201496
Matosinhos,88886,125417,1827672,1349287,250704,1576968
Oliveira de Azeméis,34638,50534,574674,385588,54526,520148
Paredes,40599,59449,532737,332843,37785,494953
Porto,124753,164388,3016630,2368287,562491,2454139
Póvoa de Varzim,31179,44727,509034,351782,53543,455492
Santa Maria da Feira,68041,99125,1074020,713346,97621,976399
Santo Tirso,35463,51482,546432,353431,46704,499728
São João da Madeira,12012,16682,206414,142212,22250,184165
Trofa,19393,28266,307501,203543,26933,280568
Vale de Cambra,11213,16396,185027,124735,17349,167677
Valongo,46337,66818,772930,529370,72724,700205
Vila do Conde,39614,57285,675935,464854,71593,604342
Vila Nova de Gaia,150300,213398,2778865,1988226,342046,2436819
Alto Tâmega,39188,57490,544171,358809,48796,495374
Boticas,2307,3353,27586,16789,1875,25711
Chaves,17618,25721,277179,191396,28639,248540
Montalegre,4407,6396,55672,35557,4703,50969
Ribeira de Pena,2806,4120,35175,22265,2555,32620
Valpaços,6628,9842,77880,47717,5462,72418
Vila Pouca de Aguiar,5422,8058,70679,45085,5562,65117
Tâmega e Sousa,193190,285301,2504786,1541221,171819,2332967
Amarante,24724,36496,333673,214106,27167,306506
Baião,7803,11724,95821,58455,6130,89691
Castelo de Paiva,7392,10980,93760,56666,5522,88237
Celorico de Basto,7800,11317,92268,55028,5847,86420
Cinfães,7954,11828,89572,52904,5374,84198
Felgueiras,28261,41209,378825,230672,25761,353064
Lousada,22966,33997,296180,178272,17778,278402
Marco de Canaveses,22371,33122,279190,173151,18673,260517
Paços de Ferreira,26417,39119,341305,204592,21193,320112
Penafiel,33156,49028,454434,287431,34906,419529
Resende,4346,6481,49759,29944,3469,46290
Douro,85596,125798,1288506,861520,121894,1166612
Alijó,5213,7606,63144,38116,4186,58958
Armamar,2374,3528,31210,19612,2338,28872
Carrazeda de Ansiães,2447,3575,31888,20139,2434,29454
Freixo de Espada à Cinta,1605,2351,21535,13385,1581,19954
Lamego,11362,16720,179603,122592,18285,161318
Mesão Frio,1752,2596,21535,13031,1471,20064
Moimenta da Beira,3901,5877,55326,36404,4705,50621
Murça,2481,3698,31918,20110,2725,29193
Penedono,1253,1804,15176,9567,1106,14070
Peso da Régua,7066,10288,103334,67818,9179,94155
Sabrosa,2671,3920,34338,20896,2257,32081
Santa Marta de Penaguião,3291,4821,38148,22688,2407,35742
São João da Pesqueira,3020,4509,38278,23974,3081,35197
Sernancelhe,2260,3356,27811,17132,2019,25793
Tabuaço,2105,3167,26233,16152,1970,24263
Tarouca,2845,4268,38556,24744,2859,35697
Torre de Moncorvo,3399,4931,45936,29549,3859,42077
Vila Nova de Foz Côa,3157,4600,42849,28060,3744,39106
Vila Real,23394,34183,441687,317547,51688,390000
Terras de Trás-os-Montes,51151,75099,806843,549359,79775,727068
Alfândega da Fé,2138,3154,28054,17429,2260,25793
Bragança,16494,23810,308227,221477,35931,272296
Macedo de Cavaleiros,6678,9815,94455,62418,8438,86017
Miranda do Douro,3270,4873,50018,33443,4398,45620
Mirandela,10003,14752,157127,106841,15177,141950
Mogadouro,4059,6057,58475,38545,5253,53223
Vila Flor,2693,4043,36255,23287,2894,33361
Vimioso,2032,3033,27251,17372,2156,25094
Vinhais,3784,5562,46981,28547,3268,43713
Centro,1098136,1578512,18811241,13008574,1955943,16855298
Oeste,178544,252874,2948370,2027508,296872,2651498
Alcobaça,27229,38617,430512,287319,38213,392299
Alenquer,21429,30439,366999,252948,35957,331042
Arruda dos Vinhos,6595,9535,136753,100539,17258,119495
Bombarral,5979,8480,90656,61123,8674,81982
Cadaval,6184,8907,93465,62106,8459,85005
Caldas da Rainha,26438,36530,436820,304935,46719,390102
Lourinhã,12574,17852,197176,134373,19136,178040
Nazaré,7777,11018,118965,79089,10874,108091
Óbidos,5786,8300,92814,63932,9288,83526
Peniche,13238,19009,208097,140428,19007,189090
Sobral de Monte Agraço,4962,7026,85438,59686,8911,76526
Torres Vedras,40353,57161,690677,481030,74377,616301
Região de Aveiro,184005,263086,3229843,2259522,347124,2882719
Águeda,23602,33994,392626,264571,36414,356213
Albergaria-a-Velha,12395,17992,201059,135714,17262,183796
Anadia,14296,20484,230559,155531,23370,207189
Aveiro,41283,57838,865885,643748,117785,748100
Estarreja,13193,19048,216311,148094,20365,195946
Ílhavo,19502,27491,355737,254248,40542,315195
Murtosa,4798,6960,70878,49000,6783,64095
Oliveira do Bairro,10783,15697,172394,115207,14479,157915
Ovar,27863,39909,480682,333275,49221,431460
Sever do Vouga,5688,8316,84849,55193,6770,78079
Vagos,10602,15357,158862,104941,14132,144730
Região de Coimbra,218721,315058,4099453,2916985,486128,3613325
Arganil,5362,7811,73624,45698,5018,68606
Cantanhede,16696,24417,258392,172648,23342,235050
Coimbra,73176,102724,1728450,1317266,267917,1460532
Condeixa-a-Nova,7908,11649,150893,106781,15553,135340
Figueira da Foz,30003,42865,568689,410636,66796,501892
Góis,1884,2711,25711,15825,1762,23949
Lousã,8098,11756,133165,90432,11796,121369
Mealhada,9827,14329,168812,115707,15479,153333
Mira,5738,8298,89465,60426,8779,80686
Miranda do Corvo,5742,8495,87418,56432,6673,80745
Montemor-o-Velho,11859,17795,199251,133993,17060,182192
Mortágua,4490,6522,64217,41798,5103,59114
Oliveira do Hospital,9250,13664,131665,81346,9366,122299
Pampilhosa da Serra,1739,2536,24120,14767,1538,22582
Penacova,6758,10060,93299,57901,6122,87177
Penela,2682,3867,38543,24407,3214,35329
Soure,8656,12839,143108,96117,12104,131005
Tábua,5478,7898,73352,44636,5029,68324
Vila Nova de Poiares,3375,4822,47280,30168,3477,43803
Região de Leiria,142275,203979,2464054,1709143,248155,2215899
Alvaiázere,2942,4189,39586,24608,2880,36706
Ansião,5587,8107,79862,50591,5903,73959
Batalha,7724,11243,128805,87124,11458,117347
Castanheira de Pêra,1403,2032,18821,11116,1276,17545
Figueiró dos Vinhos,2730,3875,37068,23069,2829,34239
Leiria,64196,91770,1207481,863100,136022,1071459
Marinha Grande,20329,28648,378589,269495,40436,338153
Pedrógão Grande,1781,2497,22673,13817,1525,21148
Pombal,24185,35318,373258,249176,31276,341981
Porto de Mós,11398,16300,177912,117047,14551,163361
Viseu Dão Lafões,115750,170722,1902462,1293601,185426,1717037
Aguiar da Beira,2150,3302,28117,17348,1866,26250
Carregal do Sal,3950,5826,57759,37338,4374,53385
Castro Daire,6020,8998,73843,44213,4874,68969
Mangualde,8579,12763,134126,89284,11586,122541
Nelas,6223,9306,98600,64940,8527,90073
Oliveira de Frades,4525,6570,66597,42904,5022,61575
Penalva do Castelo,3171,4807,41812,25882,2759,39053
Santa Comba Dão,5090,7413,77127,50110,6156,70971
São Pedro do Sul,6965,10172,99321,63789,8305,91016
Sátão,4964,7497,69557,44471,5435,64122
Tondela,12262,17850,187633,123582,15987,171646
Vila Nova de Paiva,1891,2834,25749,16718,2059,23690
Viseu,45562,66953,879344,633089,103673,775671
Vouzela,4398,6431,62876,39933,4802,58074
Beira Baixa,40184,57975,676936,462269,68134,608802
Castelo Branco,26336,38095,483317,340248,53208,430108
Idanha-a-Nova,4215,5957,56999,35454,4110,52889
Oleiros,2409,3488,32423,19913,2349,30074
Penamacor,2189,3155,29647,18431,2210,27438
Proença-a-Nova,3413,4953,49041,31490,4046,44995
Vila Velha de Ródão,1622,2327,25510,16733,2212,23298
Médio Tejo,114608,163462,1872568,1268749,176027,1696541
Abrantes,17669,25254,293278,197944,28040,265238
Alcanena,6756,9447,98403,62930,7648,90755
Constância,1945,2833,33980,23421,3207,30772
Entroncamento,9948,14324,205343,151272,23872,181471
Ferreira do Zêzere,3761,5433,50886,31286,3217,47669
Mação,3155,4491,46194,29507,3748,42446
Ourém,21398,30527,326513,217451,27627,298886
Sardoal,1846,2613,28098,18480,2522,25576
Sertã,6828,9959,90280,55703,6221,84059
Tomar,18784,26471,308509,211543,31764,276745
Torres Novas,17468,24893,305885,211023,30486,275400
Vila de Rei,1493,2090,20414,12614,1280,19134
Vila Nova da Barquinha,3557,5127,64785,45576,6394,58391
Beiras e Serra da Estrela,104049,151356,1617554,1070797,148077,1469477
Almeida,2981,4316,44896,30070,3838,41058
Belmonte,2974,4318,41792,26416,3124,38668
Celorico da Beira,3061,4543,42951,27297,3138,39812
Covilhã,24083,34167,387542,258178,37722,349820
Figueira de Castelo Rodrigo,2661,3878,35450,22377,2723,32727
Fornos de Algodres,1903,2827,26017,16317,1979,24039
Fundão,13123,19055,193223,125601,16187,177036
Gouveia,5906,8605,83404,52517,6740,76664
Guarda,19478,28686,370437,263571,41878,328559
Manteigas,1565,2269,21464,13151,1545,19919
Mêda,2151,3214,29048,18289,2247,26800
Pinhel,4205,6285,56544,35080,4183,52361
Sabugal,5036,7251,69743,45661,5410,64333
Seia,11005,16105,160819,101570,12992,147827
Trancoso,3917,5837,54223,34702,4368,49855
A. M. Lisboa,1524170,2049801,33193482,25356279,5131706,28061776
Alcochete,8984,12687,216880,167119,34385,182495
Almada,90078,121722,1865723,1398590,263068,1602656
Amadora,91208,120431,1656066,1193663,193818,1462247
Barreiro,40417,55321,756543,543449,84727,671816
Cascais,109589,148393,2804122,2224246,523352,2280770
Lisboa,388188,497226,9917324,8028438,1964586,7952738
Loures,67831,91925,1237623,884812,142700,1094923
Mafra,38891,55709,815215,606719,108193,707022
Moita,32033,43734,524770,360733,47832,476938
Montijo,26317,36314,498025,361794,59089,438936
Odivelas,77726,106432,1484580,1079780,175253,1309327
Oeiras,91504,123591,2563504,2064571,475342,2088162
Palmela,31182,43942,613398,447944,75713,537686
Seixal,80561,112145,1567303,1143172,186599,1380704
Sesimbra,24977,35654,484980,353195,56718,428261
Setúbal,61293,84399,1233676,911455,160105,1073571
Sintra,194311,262951,3614473,2620543,432423,3182051
Vila Franca de Xira,69080,97225,1339277,966055,147803,1191474
Alentejo,355445,499600,5939842,4055211,604119,5335723
Alentejo Litoral,50403,68738,832259,577354,91482,740778
Alcácer do Sal,5776,8152,88338,58097,7921,80417
Grândola,6496,8995,107811,74886,12016,95795
Odemira,16720,21464,204510,128073,16390,188120
Santiago do Cacém,14021,19817,283063,207152,36333,246730
Sines,7390,10310,148537,109145,18822,129715
Baixo Alentejo,55681,78526,939746,647132,99736,840010
Aljustrel,4516,6446,83378,58894,9987,73391
Almodôvar,3587,5130,58458,39804,5893,52564
Alvito,1025,1447,18003,12633,2154,15849
Barrancos,743,1037,10058,6335,715,9343
Beja,16395,22857,318343,228802,38891,279452
Castro Verde,3208,4641,70095,52439,9754,60341
Cuba,2043,2930,33189,22297,3192,29997
Ferreira do Alentejo,3718,5120,53826,34851,4581,49245
Mértola,3105,4402,42478,26784,3045,39434
Moura,5908,8437,86470,56686,7434,79035
Ourique,2486,3401,36902,24512,3429,33473
Serpa,6386,9079,90966,58762,7575,83391
Vidigueira,2561,3599,37582,24335,3086,34496
Lezíria do Tejo,117063,164953,1940004,1316595,191575,1748429
Almeirim,10999,15515,165461,107820,13936,151524
Alpiarça,3594,5106,53844,34331,4336,49508
Azambuja,10344,14617,169978,114834,15514,154464
Benavente,14280,20009,250643,175603,27756,222887
Cartaxo,11796,16504,200983,138945,19785,181198
Chamusca,4372,6196,60666,37410,4199,56467
Coruche,8798,12789,132407,83752,10478,121929
Golegã,2861,4039,45052,29630,3860,41192
Rio Maior,10338,14483,158674,104677,13968,144706
Salvaterra de Magos,10449,14898,162365,106541,14748,147616
Santarém,29232,40797,539930,383053,62994,476936
Alto Alentejo,55109,77847,879446,587600,81660,797787
Alter do Chão,1610,2268,25327,16763,2403,22924
Arronches,1452,2047,21867,14362,1810,20057
Avis,2061,2855,28706,17741,2093,26613
Campo Maior,4020,5720,70516,48650,6746,63770
Castelo de Vide,1683,2376,26909,17976,2438,24471
Crato,1643,2356,24450,15766,1930,22520
Elvas,10583,14733,171225,117168,16777,154447
Fronteira,1541,2236,23400,14992,1929,21471
Gavião,1749,2527,25350,16005,1835,23515
Marvão,1605,2274,22810,14497,1712,21098
Monforte,1308,1866,19959,12908,1717,18242
Nisa,3290,4676,49131,32164,3968,45163
Ponte de Sor,8149,11504,112907,71385,9375,103532
Portalegre,12170,17226,225495,157855,24630,200865
Sousel,2245,3183,31395,19367,2297,29097
Alentejo Central,77189,109536,1348387,926530,139667,1208719
Alandroal,2683,3826,35381,21187,2229,33152
Arraiolos,3380,4834,52320,33970,4083,48237
Borba,3239,4775,49323,31354,3671,45653
Estremoz,6474,9244,106370,70927,9795,96575
Évora,27733,38547,570649,417106,72727,497921
Montemor-o-Novo,7603,10931,127718,86147,12517,115201
Mora,2320,3290,34921,22087,2898,32023
Mourão,1087,1566,15740,10032,1164,14576
Portel,2760,3964,36352,21643,2304,34048
Redondo,3191,4528,46048,29218,3782,42266
Reguengos de Monsaraz,4854,6993,78070,51881,7421,70649
Vendas Novas,5459,7866,94734,64887,8842,85892
Viana do Alentejo,2529,3576,38108,24718,2988,35120
Vila Viçosa,3877,5596,62654,41372,5245,57409
Algarve,249206,335166,3993570,2797830,446242,3547328
Albufeira,26335,34253,386939,266464,40364,346575
Alcoutim,1262,1786,17670,10953,1219,16451
Aljezur,2671,3627,38050,25593,3528,34522
Castro Marim,3264,4603,48186,31596,4097,44089
Faro,36389,48534,698247,515614,94729,603518
Lagoa,12803,17347,196908,137311,20920,175988
Lagos,17627,23503,276959,196349,32668,244291
Loulé,41318,55800,663720,471462,78314,585406
Monchique,2412,3408,32531,20497,2446,30085
Olhão,21617,29475,334611,229055,32405,302207
Portimão,31963,42538,514683,357437,56091,458592
São Brás de Alportel,5438,7540,91702,65106,10177,81525
Silves,18993,25747,283387,190431,25996,257391
Tavira,14328,19467,219538,152061,24942,194597
Vila do Bispo,3016,4052,44209,30392,4690,39519
Vila Real de Santo António,9770,13486,146228,97507,13656,132572
R. A. Açores,114497,163390,2001921,1424041,167010,1834911
Santa Maria,2732,3902,58869,44262,7289,51580
Vila do Porto,2732,3902,58869,44262,7289,51580
São Miguel,61916,88873,1090660,779651,94018,996642
Lagoa (R.A.A.),6406,9315,100708,69288,8046,92662
Nordeste,2059,3005,25916,16539,1351,24565
Ponta Delgada,33714,47409,680711,504356,66736,613974
Povoação,2709,3888,33654,21667,1904,31750
Ribeira Grande,12655,18828,191535,129329,12412,179123
Vila Franca do Campo,4373,6428,58135,38472,3569,54567
Terceira,26882,38171,480738,343365,38925,441813
Angra do Heroísmo,17494,24392,320533,230602,27690,292843
Vila da Praia da Vitória,9388,13779,160204,112763,11234,148970
Graciosa,2073,2980,30458,20279,1930,28528
Santa Cruz da Graciosa,2073,2980,30458,20279,1930,28528
São Jorge,4436,6301,62160,41822,3748,58413
Calheta (R.A.A.),1911,2718,24263,15920,1293,22971
Velas,2525,3583,37897,25902,2455,35442
Pico,6883,9790,107372,72463,6842,100530
Lajes do Pico,2073,3006,31504,21211,1876,29628
Madalena,3149,4468,49795,33437,3142,46654
São Roque do Pico,1661,2316,26072,17815,1824,24248
Faial,7453,10467,138855,99667,11950,126905
Horta,7453,10467,138855,99667,11950,126905
Flores,1910,2613,29120,19910,1983,27136
Lajes das Flores,738,1016,10735,7231,720,10015
Santa Cruz das Flores,1172,1597,18385,12679,1264,17121
Corvo,212,293,3690,2622,326,3364
Corvo,212,293,3690,2622,326,3364
R. A. Madeira,114651,159177,1987680,1408254,215290,1772390
Calheta (R.A.M.),3987,5680,56136,38334,4923,51213
Câmara de Lobos,12912,18217,165752,102598,9788,155964
Funchal,53810,72879,1054532,779430,137361,917171
Machico,8809,12712,129962,84657,9334,120628
Ponta do Sol,3012,4258,41462,27839,3240,38222
Porto Moniz,1046,1450,14339,9312,1128,13211
Ribeira Brava,4790,6820,67202,43947,4805,62396
Santa Cruz,18730,26482,340536,242506,33818,306718
Santana,2826,4005,36035,22307,2176,33860
São Vicente,1823,2594,25358,16533,2028,23330
Porto Santo,2906,4080,56366,40790,6689,49677
