,"Quintis do rendimento bruto declarado deduzido do IRS Liquidado por agregado fiscal, 1º quintil, €","Quintis do rendimento bruto declarado deduzido do IRS Liquidado por agregado fiscal, 2º quintil, €","Quintis do rendimento bruto declarado deduzido do IRS Liquidado por agregado fiscal, 3º quintil, €","Quintis do rendimento bruto declarado deduzido do IRS Liquidado por agregado fiscal, 4º quintil, €","Distribuição do número de agregados fiscais por escalões de rendimento bruto declarado deduzido do IRS Liquidado, Menos de
 5 000 €, N.º","Distribuição do número de agregados fiscais por escalões de rendimento bruto declarado deduzido do IRS Liquidado, De 5 000  a menos de 10 000 €, N.º","Distribuição do número de agregados fiscais por escalões de rendimento bruto declarado deduzido do IRS Liquidado, De 10 000 a menos de 13 500 €, N.º","Distribuição do número de agregados fiscais por escalões de rendimento bruto declarado deduzido do IRS Liquidado, De 13 500 a menos de 19 000 €, N.º","Distribuição do número de agregados fiscais por escalões de rendimento bruto declarado deduzido do IRS Liquidado, De 19 000 a menos de 32 500 €, N.º","Distribuição do número de agregados fiscais por escalões de rendimento bruto declarado deduzido do IRS Liquidado, 32 500 € ou mais, N.º"
Portugal,6858,9566,14037,22772,639809,1587559,811444,774936,903671,507758
Continente,6879,9573,14050,22781,608713,1517997,776208,743080,864836,485195
Norte,6639,9107,13081,20990,225319,586780,274664,263308,278807,140194
Alto Minho,6092,9007,12170,19517,16757,39501,18826,16377,17117,7221
Arcos de Valdevez,5220,8120,10362,16449,1963,4076,1584,1278,1145,441
Caminha,5613,8919,12347,19882,1330,2713,1249,1200,1176,619
Melgaço,5365,8446,11065,16632,670,1390,656,518,452,149
Monção,5682,8723,11294,17974,1362,3047,1467,1089,1137,420
Paredes de Coura,5960,8852,11363,17569,614,1583,759,641,553,171
Ponte da Barca,5147,8120,10116,16240,1127,2329,875,681,614,243
Ponte de Lima,6102,8698,11293,17733,2833,7600,3160,2866,2543,875
Valença,6135,9009,11736,18376,1029,2413,1260,982,1036,281
Viana do Castelo,6886,9658,13979,22386,5247,12937,7013,6458,7739,3760
Vila Nova de Cerveira,6669,9334,12777,19946,582,1413,803,664,722,262
Cávado,6742,9137,13237,21138,24694,65555,30126,29853,31930,15585
Amares,6140,8758,11677,18291,1233,3139,1364,1266,1152,453
Barcelos,6798,8956,12081,18474,6412,21184,8754,8856,7799,2709
Braga,7115,9945,15046,24166,10913,26490,13846,13843,17508,10198
Esposende,6420,9007,12754,20506,2252,5679,2485,2442,2534,1236
Terras de Bouro,5292,8329,10783,16930,564,1136,447,421,373,117
Vila Verde,5795,8471,11148,17189,3320,7927,3230,3025,2564,872
Ave,6960,9032,12676,19321,23889,73892,34122,34165,30954,12174
Cabeceiras de Basto,5636,8120,10563,16719,1113,2784,959,915,783,288
Fafe,6083,8467,11407,17474,3596,9373,3768,3725,2939,1202
Guimarães,7334,9235,13081,19640,8329,27965,13181,13746,12266,4966
Mondim de Basto,5342,8066,9791,15803,535,1294,388,373,305,99
Póvoa de Lanhoso,5854,8399,11117,17082,1500,3654,1491,1361,1128,376
Vieira do Minho,5342,8120,10580,16725,949,2185,777,732,631,216
Vila Nova de Famalicão,7488,9577,13513,20737,6754,21943,11502,11150,11188,4521
Vizela,7506,9007,12459,18128,1113,4694,2056,2163,1714,506
A. M. Porto,6979,9645,14073,22788,102635,266922,139116,131341,151678,85517
Arouca,6272,8772,11477,17713,1396,3874,1697,1545,1325,445
Espinho,6919,9449,13549,22138,1940,5009,2613,2330,2584,1495
Gondomar,6924,9451,13515,21457,9773,25822,13461,12396,14171,6212
Maia,7627,10706,16342,26466,6888,17374,10049,10003,13544,8835
Matosinhos,7513,10499,15695,25409,9287,23923,13764,13744,17237,10931
Oliveira de Azeméis,7535,9732,13490,21152,3297,11242,6258,5422,6055,2364
Paredes,5669,8287,10884,17073,6601,15794,5863,5747,4841,1753
Porto,6900,10193,16039,28239,15514,33242,17154,16748,22168,19927
Póvoa de Varzim,6176,8909,12717,20944,4456,10554,4507,4370,4812,2480
Santa Maria da Feira,6910,9294,12830,20274,7943,22710,11895,10153,10945,4395
Santo Tirso,7359,9283,12756,19114,3392,12607,6470,5830,5095,2069
São João da Madeira,7157,9575,13429,21407,1304,3873,2063,1808,1962,1002
Trofa,7321,9560,13254,20389,2027,6334,3445,3132,3262,1193
Vale de Cambra,7215,9717,13475,21269,1145,3589,2003,1727,1965,784
Valongo,7003,9651,13977,22007,5539,14000,7489,7232,8397,3680
Vila do Conde,6856,9307,13564,21600,4563,12895,6217,6117,6510,3312
Vila Nova de Gaia,7053,9816,14336,22993,17570,44080,24168,23037,26805,14640
Alto Tâmega,5338,8178,10921,18134,6931,14728,5399,4898,5059,2173
Boticas,4912,7911,9763,15516,468,961,304,276,216,82
Chaves,5691,8645,12341,20604,2828,6023,2327,2338,2758,1344
Montalegre,5004,7869,10163,16651,879,1717,625,511,505,170
Ribeira de Pena,5376,8136,10381,15791,468,1147,457,332,281,121
Valpaços,5014,7589,9738,15666,1320,2760,919,714,716,199
Vila Pouca de Aguiar,5342,8120,10506,16662,968,2120,767,727,583,257
Tâmega e Sousa,5851,8297,10848,16808,29494,77510,27945,28750,21910,7581
Amarante,5467,8185,10673,17427,4226,9694,3393,3200,2918,1293
Baião,5704,8221,10539,16165,1213,3220,1175,1113,862,220
Castelo de Paiva,6186,8572,11069,16823,989,2968,1198,1153,873,211
Celorico de Basto,5370,8120,9929,15503,1327,3382,1118,1039,701,233
Cinfães,5075,7766,9528,14626,1551,3461,1140,892,681,229
Felgueiras,6658,8537,11204,17203,3457,11685,4153,4526,3352,1088
Lousada,6185,8330,11178,16927,3248,9201,3191,3779,2737,810
Marco de Canaveses,5342,8120,10577,16421,4013,8692,3335,3068,2417,846
Paços de Ferreira,6272,8341,11052,16598,3522,10836,3829,4475,2795,960
Penafiel,6007,8445,11430,17633,4921,12581,4889,5056,4187,1522
Resende,4296,7333,9280,14834,1027,1790,524,449,387,169
Douro,5670,8491,11715,19675,13519,30833,12072,11063,12061,6048
Alijó,5321,7793,10144,16203,939,2140,716,681,557,180
Armamar,5469,8120,10605,16757,421,904,369,305,260,115
Carrazeda de Ansiães,5542,8120,10460,17188,410,998,346,297,283,113
Freixo de Espada à Cinta,6085,8532,11214,17665,204,659,247,225,203,67
Lamego,5891,8652,12089,20815,1704,4057,1566,1431,1706,898
Mesão Frio,5299,8120,10113,16241,319,714,245,222,196,56
Moimenta da Beira,5738,8501,11549,18621,618,1407,567,559,536,214
Murça,5185,7544,10188,16827,470,988,356,258,297,112
Penedono,//,//,//,//,260,475,176,176,127,39
Peso da Régua,5795,8502,11548,19366,1034,2648,1032,896,1006,450
Sabrosa,5590,8348,10716,16627,406,1074,439,350,287,115
Santa Marta de Penaguião,4803,7251,9580,15522,691,1364,410,382,332,112
São João da Pesqueira,5024,7864,10174,16372,602,1170,435,356,337,120
Sernancelhe,5557,8120,9949,16008,391,972,304,293,222,78
Tabuaço,4929,8000,10238,16442,433,801,292,262,225,92
Tarouca,5701,8382,11310,17853,467,1057,422,401,364,134
Torre de Moncorvo,5622,8303,11018,17661,565,1249,528,471,424,162
Vila Nova de Foz Côa,5275,8120,11099,17675,577,1160,458,401,399,162
Vila Real,6567,9505,14802,24868,3008,6996,3164,3097,4300,2829
Terras de Trás-os-Montes,6008,8785,12442,20748,7400,17839,7058,6861,8098,3895
Alfândega da Fé,5307,8120,10490,16909,371,845,320,259,244,99
Bragança,6756,9724,15280,24448,2089,4803,2202,2277,3287,1836
Macedo de Cavaleiros,5511,8195,10900,18289,1128,2563,900,824,876,387
Miranda do Douro,6233,9007,13218,20033,426,1121,444,534,522,223
Mirandela,6083,8820,12557,20715,1390,3530,1368,1388,1573,754
Mogadouro,5986,8382,11301,18608,585,1576,574,546,543,235
Vila Flor,5455,8319,10914,17560,469,1018,405,330,344,127
Vimioso,5610,8301,10856,17472,323,780,320,256,256,97
Vinhais,5405,8073,10182,16751,619,1603,525,447,453,137
Centro,7033,9587,13797,22017,121671,347263,178464,166540,193107,91091
Oeste,6840,9320,13260,21246,21023,58697,28964,26416,29912,13532
Alcobaça,7260,9520,13191,20419,2710,9116,4824,4369,4554,1656
Alenquer,7347,9805,14050,22238,2101,6751,3596,3258,4011,1712
Arruda dos Vinhos,7644,10581,16157,25998,606,1807,999,1032,1261,890
Bombarral,6267,9006,12105,19410,803,2139,982,820,878,357
Cadaval,6271,9007,12381,19417,790,2223,944,947,926,354
Caldas da Rainha,6338,9018,12989,21188,3719,8505,4091,3748,4252,2123
Lourinhã,6293,9010,12479,20359,1686,4302,2019,1740,1971,856
Nazaré,6282,9079,12684,19836,1060,2550,1289,1198,1231,449
Óbidos,6219,9015,12752,20521,814,1919,880,838,905,430
Peniche,6768,9198,13077,20797,1662,4339,2152,1997,2225,863
Sobral de Monte Agraço,7033,9425,13777,22054,562,1618,757,744,849,432
Torres Vedras,6960,9334,13392,21823,4510,13428,6431,5725,6849,3410
Região de Aveiro,7088,9725,13954,22514,20601,56233,30599,27202,33112,16258
Águeda,7462,9577,13360,21297,2240,7911,4133,3463,4158,1697
Albergaria-a-Velha,7348,9727,13720,21371,1305,3891,2137,1973,2256,833
Anadia,6674,9194,12867,20394,1712,4829,2395,2115,2289,956
Aveiro,7616,10710,16228,26570,4215,10724,6456,6080,8238,5570
Estarreja,6935,9628,13530,21510,1517,4083,2300,1980,2374,939
Ílhavo,7028,9872,14493,23510,2325,5616,3093,2880,3658,1930
Murtosa,5166,8611,11770,19927,927,1532,702,595,708,334
Oliveira do Bairro,6849,9328,13337,21399,1232,3577,1710,1571,1933,760
Ovar,7173,9806,13865,22228,3032,8451,4888,4207,4980,2305
Sever do Vouga,6772,9281,12483,20031,693,1863,1052,842,914,324
Vagos,6382,9008,12186,19411,1403,3756,1733,1496,1604,610
Região de Coimbra,7320,9977,14792,23713,22533,65243,34128,33441,40848,22528
Arganil,6529,8903,11734,17827,644,2097,829,873,695,224
Cantanhede,6267,9015,12639,20515,2302,5529,2702,2366,2681,1116
Coimbra,8101,11421,17828,29119,6343,18042,10527,10979,15195,12090
Condeixa-a-Nova,7865,10656,16120,25531,732,2151,1232,1213,1677,903
Figueira da Foz,7398,10292,15438,24514,3208,8275,4719,4541,6094,3166
Góis,6518,8911,11912,17713,221,725,317,302,247,72
Lousã,7175,9717,14360,22048,912,2457,1254,1326,1571,578
Mealhada,7597,10087,14467,22840,978,2889,1691,1530,1948,791
Mira,6143,9007,12277,19698,786,1969,944,821,824,394
Miranda do Corvo,6960,9406,13164,20387,626,1915,978,906,1018,299
Montemor-o-Velho,7673,10089,14473,22107,975,3709,2009,1980,2317,869
Mortágua,6419,9012,12066,18595,616,1574,749,691,638,222
Oliveira do Hospital,6909,9007,12137,18438,956,3656,1389,1515,1321,413
Pampilhosa da Serra,7016,9049,12379,18242,165,658,308,288,267,53
Penacova,6278,9007,12113,18564,820,2469,1136,1040,1036,257
Penela,6267,8765,11531,18867,334,1040,432,348,406,122
Soure,7679,10102,14259,21911,779,2618,1551,1402,1700,606
Tábua,6380,8847,11141,17399,661,2267,822,844,677,207
Vila Nova de Poiares,6157,9006,11811,19158,475,1203,539,476,536,146
Região de Leiria,7456,10026,14267,22499,14405,42277,24534,22764,26640,11655
Alvaiázere,6212,8616,11427,17495,383,1165,450,439,386,119
Ansião,6734,9007,12126,18577,605,2097,951,868,816,250
Batalha,7393,9844,14113,22185,773,2389,1292,1241,1462,567
Castanheira de Pêra,6450,8843,11521,17125,151,572,247,221,153,59
Figueiró dos Vinhos,6267,8558,10992,17291,353,1089,453,379,334,122
Leiria,7727,10511,15231,24340,6260,17510,10865,10081,12922,6558
Marinha Grande,8120,11011,15617,24220,1750,5199,3612,3539,4359,1870
Pedrógão Grande,6200,8348,10598,16570,225,785,264,242,202,63
Pombal,7002,9534,13200,20279,2823,7679,4294,3922,4096,1371
Porto de Mós,7501,9623,13160,20355,1082,3792,2106,1832,1910,676
Viseu Dão Lafões,6710,9247,13374,21378,14063,38155,17691,17238,19796,8807
Aguiar da Beira,5943,8574,11322,17167,341,797,335,346,254,77
Carregal do Sal,7000,9152,12616,18824,444,1421,648,662,570,205
Castro Daire,5505,8120,10149,16016,1035,2500,881,744,650,210
Mangualde,6784,9307,13446,20714,1025,2807,1326,1413,1501,507
Nelas,6802,9357,13172,20968,676,2121,1012,907,1113,394
Oliveira de Frades,6824,9153,12532,19894,531,1561,773,681,752,227
Penalva do Castelo,5814,8541,11206,17890,493,1203,476,442,448,109
Santa Comba Dão,6960,9114,12677,19843,531,1820,853,796,806,284
São Pedro do Sul,6185,8799,11615,18159,970,2607,1078,1038,920,352
Sátão,5918,8644,11752,18450,760,1811,693,759,707,234
Tondela,6885,9324,12854,20122,1366,4159,2158,1867,2047,665
Vila Nova de Paiva,5702,8310,11272,18104,317,696,279,251,261,87
Viseu,7251,10057,15634,24835,5066,13021,6447,6669,9100,5259
Vouzela,6685,9007,12194,18866,508,1631,732,663,667,197
Beira Baixa,7192,9578,13763,21689,4177,13026,6521,6205,7172,3083
Castelo Branco,7656,10171,14972,23535,2572,7717,4221,4048,5281,2497
Idanha-a-Nova,6674,8874,11508,17394,481,1684,688,663,550,149
Oleiros,6193,8490,11063,16789,292,1002,404,351,247,113
Penamacor,6562,9007,11551,17320,258,849,384,325,296,77
Proença-a-Nova,6267,8857,12135,18874,445,1245,535,514,504,170
Vila Velha de Ródão,7478,9919,13792,20513,129,529,289,304,294,77
Médio Tejo,7056,9510,13433,21364,12303,37401,19345,17359,19824,8376
Abrantes,7333,9610,13422,21434,1682,5866,3109,2684,2941,1387
Alcanena,7040,9183,12214,18830,721,2472,1227,1007,1022,307
Constância,7727,10162,15110,23274,179,581,293,307,419,166
Entroncamento,8120,11627,17967,27341,955,2234,1495,1541,2413,1310
Ferreira do Zêzere,6431,9009,11880,18012,469,1383,644,574,568,123
Mação,6926,9056,12248,18595,305,1198,535,507,449,161
Ourém,6831,9271,12799,20161,2532,7188,3688,3224,3598,1168
Sardoal,7003,9069,12473,18870,185,668,355,272,246,120
Sertã,6183,8509,11053,17175,886,2798,1072,995,806,271
Tomar,6665,9268,13103,21323,2287,6154,3077,2693,3120,1453
Torres Novas,7643,10076,14337,22803,1646,5262,3021,2742,3264,1533
Vila de Rei,6675,8842,11813,18130,157,598,227,242,227,42
Vila Nova da Barquinha,8097,10614,15521,24241,299,999,602,571,751,335
Beiras e Serra da Estrela,6653,9018,12702,19935,12566,36231,16682,15915,15803,6852
Almeida,6519,9141,13377,19974,350,977,473,507,529,145
Belmonte,6542,8794,12084,17758,368,1101,478,496,403,128
Celorico da Beira,6198,8947,12182,18339,418,1083,496,486,436,142
Covilhã,6990,9171,12852,20152,2660,8348,4057,3717,3543,1758
Figueira de Castelo Rodrigo,5584,8207,10997,17299,413,1062,378,359,312,137
Fornos de Algodres,6435,8810,11723,17524,252,722,308,302,251,68
