,"Quintis do rendimento bruto declarado deduzido do IRS Liquidado por sujeito passivo, 1º quintil, €","Quintis do rendimento bruto declarado deduzido do IRS Liquidado por sujeito passivo, 2º quintil, €","Quintis do rendimento bruto declarado deduzido do IRS Liquidado por sujeito passivo, 3º quintil, €","Quintis do rendimento bruto declarado deduzido do IRS Liquidado por sujeito passivo, 4º quintil, €","Distribuição do número de sujeitos passivos por escalões de rendimento bruto declarado deduzido do IRS Liquidado, Menos de
 5 000 €, N.º","Distribuição do número de sujeitos passivos por escalões de rendimento bruto declarado deduzido do IRS Liquidado, De 5 000  a menos de 10 000 €, N.º","Distribuição do número de sujeitos passivos por escalões de rendimento bruto declarado deduzido do IRS Liquidado, De 10 000 a menos de 13 500 €, N.º","Distribuição do número de sujeitos passivos por escalões de rendimento bruto declarado deduzido do IRS Liquidado, De 13 500 a menos de 19 000 €, N.º","Distribuição do número de sujeitos passivos por escalões de rendimento bruto declarado deduzido do IRS Liquidado, De 19 000 a menos de 32 500 €, N.º","Distribuição do número de sujeitos passivos por escalões de rendimento bruto declarado deduzido do IRS Liquidado, 32 500 € ou mais, N.º"
Portugal,5308,8108,10574,15644,1308420,2828645,1258487,945100,773510,218262
Continente,5322,8116,10583,15639,1243841,2707469,1206149,905577,737564,209257
Norte,4914,7502,9574,13918,523578,1076443,405531,273181,213739,54306
Alto Minho,4584,7038,9193,12899,38894,70723,26696,16526,11552,2165
Arcos de Valdevez,3938,5991,8297,11169,4590,6431,1966,1104,703,116
Caminha,4507,6960,9324,13643,2860,4779,1727,1209,943,249
Melgaço,4066,6412,8521,11561,1479,2441,736,478,268,33
Monção,4238,6449,8843,12016,3233,5313,1811,1100,718,90
Paredes de Coura,4505,6386,8636,11421,1634,2911,1010,467,281,43
Ponte da Barca,3862,5816,8226,10862,2661,3644,1019,579,408,62
Ponte de Lima,4397,6589,8669,11460,7586,13342,4270,2173,1427,246
Valença,4811,7140,9194,12138,2103,4453,1822,913,473,77
Viana do Castelo,5216,7935,10300,14803,11475,24678,11159,7778,5931,1184
Vila Nova de Cerveira,5002,7608,9717,13041,1273,2731,1176,725,400,65
Cávado,4986,7598,9539,13798,57598,123480,45763,30295,24193,5491
Amares,4410,6687,8708,11941,3228,5738,1795,1118,728,96
Barcelos,4901,7277,8926,11793,16802,40352,12706,6822,4060,746
Braga,5494,8236,10829,16328,22381,50764,22968,17176,15905,3990
Esposende,4731,7296,9238,13432,5318,10321,3638,2397,1899,471
Terras de Bouro,3997,6059,8345,11093,1349,1948,578,333,221,22
Vila Verde,4218,6307,8355,11228,8520,14357,4078,2449,1380,166
Ave,5245,7545,9086,12381,55527,149219,49506,27958,18418,3583
Cabeceiras de Basto,3943,5906,8120,10820,3166,4581,1156,745,458,66
Fafe,4576,6725,8441,11435,8411,17725,4476,2787,1943,301
Guimarães,5584,7839,9260,12521,18177,58871,19816,10617,7253,1730
Mondim de Basto,3923,5584,7948,10492,1464,1901,452,272,198,19
Póvoa de Lanhoso,4124,6298,8326,11038,3977,6480,1881,995,610,84
Vieira do Minho,4037,5861,8120,11082,2480,3487,982,635,363,41
