,"Capital expenditures, Total (Euros)","Capital expenditures, of which, Cultural heritage, Total (Euros)","Capital expenditures, of which, Cultural heritage, Museums (Euros)","Capital expenditures, of which, Libraries and archives, Total (Euros)","Capital expenditures, of which, Libraries and archives, Libraries (Euros)","Capital expenditures, of which, Performing arts, Total (Euros)","Capital expenditures, of which, Performing arts, Music (Euros)","Capital expenditures, of which, Performing arts, Multidisciplinary (Euros)","Capital expenditures, of which, Performing arts, Construction and maintenance of art facilities (Euros)","Capital expenditures, of which, Interdisciplinary activities , Total (Euros)","Capital expenditures, of which, Interdisciplinary activities , Support to cultural and creative organisations (Euros)"
Portugal,65254282.00000002,31555945.000000015,11299703.000000002,4402312,2840952.999999999,15750835.999999998,2149158.0000000005,1612070.9999999998,9633458,8802979.999999998,5763314.999999998
Continente,62349626.00000002,30826792.000000015,11277918.000000002,4377361,2817654.999999999,14586380.999999998,1412666.0000000005,1611830.9999999998,9403047,7983331.999999999,5024559.999999998
Norte,18167658,7447233.999999999,2947486.000000001,1172203.0000000002,692436.0000000002,5624894.999999997,405319.0000000002,239278.00000000026,3589078.000000002,2022897.9999999998,1546252.0000000002
Alto Minho,2328923.0000000005,1368735,1269264,34144,24681,621015.9999999999,0,0,517689,185726.00000000003,184166.00000000003
Arcos de Valdevez,1326842,1216047,1216047,0,0,0,0,0,0,110795,110795
Caminha,3376,3376,3376,0,0,0,0,0,0,0,0
Melgaço,34571,0,0,0,0,0,0,0,0,0,0
Monção,181067,0,0,3650,3264,92998,0,0,0,0,0
Paredes de Coura,409945,76251,9328,0,0,333694,0,0,323651,0,0
Ponte da Barca,0,0,0,0,0,0,0,0,0,0,0
Ponte de Lima,220297,19263,19263,13578,4501,187144,0,0,187144,0,0
Valença,13492,0,0,7044,7044,4888,0,0,4602,1560,0
Viana do Castelo,68663,0,0,0,0,2292,0,0,2292,66371,66371
Vila Nova de Cerveira,70670,53798,21250,9872,9872,0,0,0,0,7000,7000
Cávado,316513,142857,20347,0,0,0,0,0,0,15000,15000
Amares,113010,0,0,0,0,0,0,0,0,0,0
Barcelos,38634,0,0,0,0,0,0,0,0,0,0
Braga,121149,121149,0,0,0,0,0,0,0,0,0
Esposende,32463,17463,16102,0,0,0,0,0,0,15000,15000
Terras de Bouro,4245,4245,4245,0,0,0,0,0,0,0,0
Vila Verde,7012,0,0,0,0,0,0,0,0,0,0
Ave,1873311,460714.00000000006,44902.00000000001,141397,98759,1162491,0,238184.00000000003,297761,68464,68464
Cabeceiras de Basto,0,0,0,0,0,0,0,0,0,0,0
Fafe,195000,0,0,0,0,195000,0,195000,0,0,0
Guimarães,168170,10000,10000,73427,69236,0,0,0,0,68464,68464
Mondim de Basto,0,0,0,0,0,0,0,0,0,0,0
Póvoa de Lanhoso,5691,3505,1414,0,0,2186,0,0,0,0,0
Vieira do Minho,0,0,0,0,0,0,0,0,0,0,0
Vila Nova de Famalicão,1504450,447209,33488,67970,29523,965305,0,43184,297761,0,0
Vizela,0,0,0,0,0,0,0,0,0,0,0
A. M. Porto,6890543,2937872,384818.9999999999,166239,139316,1686008,167303,0,898727,1121124,804665
Arouca,253417,203206,192891,5621,5621,24238,0,0,24238,20352,1769
Espinho,340477,406,406,19174,19174,0,0,0,0,0,0
Gondomar,22629,0,0,12469,12469,10160,0,0,10160,0,0
Maia,1095104,110457,110457,4376,4147,709525,164303,0,545222,270746,37775
Matosinhos,1592693,872467,17310,4990,2735,321908,3000,0,0,31695,0
Oliveira de Azeméis,14114,0,0,0,0,14114,0,0,0,0,0
Paredes,208555,0,0,4879,4879,0,0,0,0,0,0
Porto,398896,37735,37735,75077,53152,0,0,0,0,198820,198820
Póvoa de Varzim,0,0,0,0,0,0,0,0,0,0,0
Santa Maria da Feira,69153,2029,2029,2643,2643,40000,0,0,0,24481,24481
Santo Tirso,0,0,0,0,0,0,0,0,0,0,0
