,"Primary education, 1st cycle, Total (N.º)","Primary education, 1st cycle, of which, Recurrent education (N.º)","Primary education, 1st cycle, of which, Adult Education and Training Courses (N.º)","Primary education, 1st cycle, of which, Procedure of Recognition, Validation and Certification of Competences (N.º)","Primary education, 2nd cycle, Total, Procedure of Recognition, Validation and Certification of Competences (N.º)","Primary education, 2nd cycle, of which, Recurrent education (N.º)","Primary education, 2nd cycle, of which, Adult Education and Training Courses (N.º)","Primary education, 2nd cycle, of which, Procedure of Recognition, Validation and Certification of Competences (N.º)"
Portugal,2827,678,1786,363,5526,11,4034,1379
Continente,2114,0,1774,340,5232,0,3909,1299
Norte,646,0,481,165,2228,0,1478,746
Alto Minho,28,0,13,15,79,0,53,26
Arcos de Valdevez,0,0,0,0,14,0,0,14
Caminha,0,0,0,0,0,0,0,0
Melgaço,0,0,0,0,0,0,0,0
Monção,4,0,0,4,0,0,0,0
Paredes de Coura,0,0,0,0,0,0,0,0
Ponte da Barca,0,0,0,0,0,0,0,0
Ponte de Lima,0,0,0,0,2,0,0,2
Valença,3,0,0,3,0,0,0,0
Viana do Castelo,21,0,13,8,63,0,53,10
Vila Nova de Cerveira,0,0,0,0,0,0,0,0
Cávado,70,0,46,24,275,0,103,168
Amares,0,0,0,0,3,0,0,3
Barcelos,13,0,0,13,52,0,15,37
Braga,47,0,46,1,85,0,75,10
Esposende,3,0,0,3,9,0,0,5
Terras de Bouro,0,0,0,0,0,0,0,0
Vila Verde,7,0,0,7,126,0,13,113
Ave,36,0,17,19,47,0,30,17
Cabeceiras de Basto,3,0,0,3,5,0,0,5
Fafe,12,0,0,12,1,0,0,1
Guimarães,0,0,0,0,33,0,30,3
Mondim de Basto,0,0,0,0,0,0,0,0
Póvoa de Lanhoso,2,0,0,2,0,0,0,0
Vieira do Minho,0,0,0,0,0,0,0,0
Vila Nova de Famalicão,19,0,17,2,3,0,0,3
Vizela,0,0,0,0,5,0,0,5
A. M. Porto,341,0,279,62,1174,0,1012,162
Arouca,0,0,0,0,26,0,26,0
Espinho,0,0,0,0,4,0,0,4
Gondomar,0,0,0,0,50,0,33,17
Maia,0,0,0,0,13,0,8,5
Matosinhos,50,0,40,10,108,0,94,14
Oliveira de Azeméis,0,0,0,0,19,0,19,0
Paredes,38,0,0,38,47,0,19,28
Porto,118,0,117,1,375,0,347,28
Póvoa de Varzim,0,0,0,0,2,0,0,2
Santa Maria da Feira,31,0,31,0,179,0,178,1
Santo Tirso,52,0,52,0,42,0,36,6
São João da Madeira,0,0,0,0,43,0,42,1
Trofa,0,0,0,0,19,0,17,2
Vale de Cambra,0,0,0,0,0,0,0,0
Valongo,2,0,0,2,5,0,0,5
Vila do Conde,3,0,0,3,12,0,5,7
Vila Nova de Gaia,47,0,39,8,230,0,188,42
Alto Tâmega,0,0,0,0,24,0,19,5
Boticas,0,0,0,0,0,0,0,0
Chaves,0,0,0,0,24,0,19,5
Montalegre,0,0,0,0,0,0,0,0
Ribeira de Pena,0,0,0,0,0,0,0,0
Valpaços,0,0,0,0,0,0,0,0
Vila Pouca de Aguiar,0,0,0,0,0,0,0,0
Tâmega e Sousa,105,0,81,24,254,0,94,160
Amarante,23,0,22,1,24,0,0,24
Baião,0,0,0,0,0,0,0,0
Castelo de Paiva,12,0,0,12,48,0,0,48
Celorico de Basto,3,0,0,3,5,0,0,5
Cinfães,0,0,0,0,0,0,0,0
Felgueiras,3,0,0,3,21,0,21,0
Lousada,0,0,0,0,5,0,0,5
Marco de Canaveses,15,0,14,1,22,0,0,22
Paços de Ferreira,46,0,45,1,43,0,35,8
Penafiel,3,0,0,3,86,0,38,48
Resende,0,0,0,0,0,0,0,0
Douro,35,0,24,11,215,0,81,134
Alijó,0,0,0,0,16,0,16,0
Armamar,0,0,0,0,0,0,0,0
Carrazeda de Ansiães,0,0,0,0,0,0,0,0
Freixo de Espada à Cinta,0,0,0,0,0,0,0,0
Lamego,12,0,11,1,27,0,12,15
Mesão Frio,0,0,0,0,0,0,0,0
Moimenta da Beira,0,0,0,0,0,0,0,0
Murça,0,0,0,0,0,0,0,0
Penedono,0,0,0,0,0,0,0,0
Peso da Régua,1,0,0,1,17,0,5,12
Sabrosa,0,0,0,0,0,0,0,0
Santa Marta de Penaguião,0,0,0,0,0,0,0,0
São João da Pesqueira,0,0,0,0,0,0,0,0
Sernancelhe,0,0,0,0,0,0,0,0
Tabuaço,0,0,0,0,0,0,0,0
Tarouca,0,0,0,0,0,0,0,0
Torre de Moncorvo,0,0,0,0,0,0,0,0
Vila Nova de Foz Côa,0,0,0,0,0,0,0,0
Vila Real,22,0,13,9,155,0,48,107
Terras de Trás-os-Montes,31,0,21,10,160,0,86,74
Alfândega da Fé,0,0,0,0,0,0,0,0
Bragança,26,0,21,5,56,0,48,8
Macedo de Cavaleiros,0,0,0,0,16,0,12,4
Miranda do Douro,0,0,0,0,0,0,0,0
Mirandela,0,0,0,0,37,0,26,11
Mogadouro,5,0,0,5,51,0,0,51
Vila Flor,0,0,0,0,0,0,0,0
Vimioso,0,0,0,0,0,0,0,0
Vinhais,0,0,0,0,0,0,0,0
Centro,283,0,191,92,934,0,686,245
Oeste,14,0,5,9,80,0,46,34
Alcobaça,0,0,0,0,34,0,29,5
Alenquer,1,0,0,1,7,0,0,7
Arruda dos Vinhos,0,0,0,0,0,0,0,0
Bombarral,3,0,0,3,2,0,0,2
