,"Public primary education, 1st cycle, Total (N.º)","Public primary education, 1st cycle, of which, Recurrent education (N.º)","Public primary education, 1st cycle, of which, Adult Education and Training Courses (N.º)","Public primary education, 1st cycle, of which, Procedure of Recognition, Validation and Certification of Competences (N.º)","Public primary education, 2nd cycle, Total, Procedure of Recognition, Validation and Certification of Competences (N.º)","Public primary education, 2nd cycle, of which, Recurrent education (N.º)","Public primary education, 2nd cycle, of which, Adult Education and Training Courses (N.º)","Public primary education, 2nd cycle, of which, Procedure of Recognition, Validation and Certification of Competences (N.º)"
Portugal,2641,678,1786,177,4822,11,4034,675
Continente,1928,0,1774,154,4528,0,3909,595
Norte,502,0,481,21,1699,0,1478,217
Alto Minho,17,0,13,4,58,0,53,5
Arcos de Valdevez,0,0,0,0,0,0,0,0
Caminha,0,0,0,0,0,0,0,0
Melgaço,0,0,0,0,0,0,0,0
Monção,0,0,0,0,0,0,0,0
Paredes de Coura,0,0,0,0,0,0,0,0
Ponte da Barca,0,0,0,0,0,0,0,0
Ponte de Lima,0,0,0,0,0,0,0,0
Valença,3,0,0,3,0,0,0,0
Viana do Castelo,14,0,13,1,58,0,53,5
Vila Nova de Cerveira,0,0,0,0,0,0,0,0
Cávado,50,0,46,4,125,0,103,18
Amares,0,0,0,0,3,0,0,3
Barcelos,0,0,0,0,15,0,15,0
Braga,47,0,46,1,85,0,75,10
Esposende,3,0,0,3,9,0,0,5
Terras de Bouro,0,0,0,0,0,0,0,0
Vila Verde,0,0,0,0,13,0,13,0
Ave,21,0,17,4,37,0,30,7
Cabeceiras de Basto,0,0,0,0,0,0,0,0
Fafe,0,0,0,0,0,0,0,0
Guimarães,0,0,0,0,32,0,30,2
Mondim de Basto,0,0,0,0,0,0,0,0
Póvoa de Lanhoso,2,0,0,2,0,0,0,0
Vieira do Minho,0,0,0,0,0,0,0,0
Vila Nova de Famalicão,19,0,17,2,3,0,0,3
Vizela,0,0,0,0,2,0,0,2
A. M. Porto,280,0,279,1,1073,0,1012,61
Arouca,0,0,0,0,26,0,26,0
Espinho,0,0,0,0,0,0,0,0
Gondomar,0,0,0,0,43,0,33,10
Maia,0,0,0,0,13,0,8,5
Matosinhos,40,0,40,0,97,0,94,3
Oliveira de Azeméis,0,0,0,0,19,0,19,0
Paredes,0,0,0,0,24,0,19,5
Porto,117,0,117,0,362,0,347,15
Póvoa de Varzim,0,0,0,0,2,0,0,2
Santa Maria da Feira,31,0,31,0,179,0,178,1
Santo Tirso,52,0,52,0,42,0,36,6
São João da Madeira,0,0,0,0,43,0,42,1
Trofa,0,0,0,0,19,0,17,2
Vale de Cambra,0,0,0,0,0,0,0,0
Valongo,0,0,0,0,0,0,0,0
Vila do Conde,0,0,0,0,5,0,5,0
Vila Nova de Gaia,40,0,39,1,199,0,188,11
Alto Tâmega,0,0,0,0,19,0,19,0
Boticas,0,0,0,0,0,0,0,0
Chaves,0,0,0,0,19,0,19,0
Montalegre,0,0,0,0,0,0,0,0
Ribeira de Pena,0,0,0,0,0,0,0,0
Valpaços,0,0,0,0,0,0,0,0
Vila Pouca de Aguiar,0,0,0,0,0,0,0,0
Tâmega e Sousa,86,0,81,5,168,0,94,74
Amarante,23,0,22,1,24,0,0,24
Baião,0,0,0,0,0,0,0,0
Castelo de Paiva,0,0,0,0,0,0,0,0
Celorico de Basto,3,0,0,3,5,0,0,5
Cinfães,0,0,0,0,0,0,0,0
Felgueiras,0,0,0,0,21,0,21,0
Lousada,0,0,0,0,5,0,0,5
Marco de Canaveses,15,0,14,1,22,0,0,22
Paços de Ferreira,45,0,45,0,35,0,35,0
Penafiel,0,0,0,0,56,0,38,18
Resende,0,0,0,0,0,0,0,0
Douro,27,0,24,3,123,0,81,42
Alijó,0,0,0,0,16,0,16,0
Armamar,0,0,0,0,0,0,0,0
Carrazeda de Ansiães,0,0,0,0,0,0,0,0
Freixo de Espada à Cinta,0,0,0,0,0,0,0,0
Lamego,12,0,11,1,27,0,12,15
Mesão Frio,0,0,0,0,0,0,0,0
Moimenta da Beira,0,0,0,0,0,0,0,0
Murça,0,0,0,0,0,0,0,0
Penedono,0,0,0,0,0,0,0,0
Peso da Régua,1,0,0,1,17,0,5,12
Sabrosa,0,0,0,0,0,0,0,0
Santa Marta de Penaguião,0,0,0,0,0,0,0,0
São João da Pesqueira,0,0,0,0,0,0,0,0
Sernancelhe,0,0,0,0,0,0,0,0
Tabuaço,0,0,0,0,0,0,0,0
Tarouca,0,0,0,0,0,0,0,0
Torre de Moncorvo,0,0,0,0,0,0,0,0
Vila Nova de Foz Côa,0,0,0,0,0,0,0,0
Vila Real,14,0,13,1,63,0,48,15
Terras de Trás-os-Montes,21,0,21,0,96,0,86,10
Alfândega da Fé,0,0,0,0,0,0,0,0
Bragança,21,0,21,0,53,0,48,5
Macedo de Cavaleiros,0,0,0,0,12,0,12,0
Miranda do Douro,0,0,0,0,0,0,0,0
Mirandela,0,0,0,0,31,0,26,5
Mogadouro,0,0,0,0,0,0,0,0
Vila Flor,0,0,0,0,0,0,0,0
Vimioso,0,0,0,0,0,0,0,0
Vinhais,0,0,0,0,0,0,0,0
Centro,248,0,191,57,837,0,686,148
Oeste,14,0,5,9,75,0,46,29
Alcobaça,0,0,0,0,31,0,29,2
Alenquer,1,0,0,1,7,0,0,7
Arruda dos Vinhos,0,0,0,0,0,0,0,0
Bombarral,3,0,0,3,2,0,0,2
Cadaval,0,0,0,0,0,0,0,0
Caldas da Rainha,5,0,5,0,17,0,17,0
Lourinhã,0,0,0,0,0,0,0,0
Nazaré,0,0,0,0,0,0,0,0
Óbidos,0,0,0,0,0,0,0,0
Peniche,4,0,0,4,11,0,0,11
Sobral de Monte Agraço,0,0,0,0,0,0,0,0
Torres Vedras,1,0,0,1,7,0,0,7
Região de Aveiro,71,0,71,0,291,0,286,4
Águeda,17,0,17,0,92,0,91,1
Albergaria-a-Velha,0,0,0,0,21,0,21,0
Anadia,0,0,0,0,0,0,0,0
Aveiro,37,0,37,0,111,0,109,2
Estarreja,17,0,17,0,16,0,14,1
Ílhavo,0,0,0,0,0,0,0,0
Murtosa,0,0,0,0,0,0,0,0
Oliveira do Bairro,0,0,0,0,0,0,0,0
Ovar,0,0,0,0,37,0,37,0
Sever do Vouga,0,0,0,0,0,0,0,0
Vagos,0,0,0,0,14,0,14,0
Região de Coimbra,20,0,7,13,123,0,84,37
Arganil,8,0,0,8,11,0,0,11
Cantanhede,0,0,0,0,1,0,0,1
Coimbra,8,0,7,1,77,0,64,11
Condeixa-a-Nova,0,0,0,0,0,0,0,0
Figueira da Foz,0,0,0,0,20,0,20,0
Góis,0,0,0,0,0,0,0,0
Lousã,0,0,0,0,0,0,0,0
Mealhada,0,0,0,0,0,0,0,0
Mira,0,0,0,0,0,0,0,0
Miranda do Corvo,0,0,0,0,0,0,0,0
Montemor-o-Velho,0,0,0,0,0,0,0,0
Mortágua,0,0,0,0,0,0,0,0
Oliveira do Hospital,2,0,0,2,14,0,0,14
Pampilhosa da Serra,0,0,0,0,0,0,0,0
Penacova,0,0,0,0,0,0,0,0
Penela,0,0,0,0,0,0,0,0
Soure,2,0,0,2,0,0,0,0
Tábua,0,0,0,0,0,0,0,0
Vila Nova de Poiares,0,0,0,0,0,0,0,0
Região de Leiria,9,0,0,9,44,0,14,30
Alvaiázere,0,0,0,0,0,0,0,0
Ansião,0,0,0,0,0,0,0,0
Batalha,0,0,0,0,0,0,0,0
Castanheira de Pêra,0,0,0,0,0,0,0,0
Figueiró dos Vinhos,0,0,0,0,0,0,0,0
Leiria,2,0,0,2,25,0,13,12
Marinha Grande,1,0,0,1,3,0,0,3
Pedrógão Grande,0,0,0,0,0,0,0,0
Pombal,6,0,0,6,16,0,1,15
Porto de Mós,0,0,0,0,0,0,0,0
Viseu Dão Lafões,86,0,78,8,144,0,136,8
Aguiar da Beira,0,0,0,0,0,0,0,0
Carregal do Sal,0,0,0,0,0,0,0,0
Castro Daire,10,0,10,0,34,0,34,0
Mangualde,21,0,21,0,29,0,23,6
Nelas,0,0,0,0,0,0,0,0
Oliveira de Frades,0,0,0,0,0,0,0,0
Penalva do Castelo,0,0,0,0,0,0,0,0
Santa Comba Dão,0,0,0,0,0,0,0,0
São Pedro do Sul,0,0,0,0,0,0,0,0
Sátão,0,0,0,0,0,0,0,0
Tondela,0,0,0,0,0,0,0,0
Vila Nova de Paiva,0,0,0,0,0,0,0,0
Viseu,55,0,47,8,81,0,79,2
Vouzela,0,0,0,0,0,0,0,0
Beira Baixa,10,0,6,4,6,0,6,0
Castelo Branco,6,0,6,0,6,0,6,0
Idanha-a-Nova,4,0,0,4,0,0,0,0
Oleiros,0,0,0,0,0,0,0,0
Penamacor,0,0,0,0,0,0,0,0
Proença-a-Nova,0,0,0,0,0,0,0,0
Vila Velha de Ródão,0,0,0,0,0,0,0,0
Médio Tejo,6,0,0,6,62,0,42,20
Abrantes,0,0,0,0,18,0,15,3
Alcanena,0,0,0,0,1,0,0,1
Constância,0,0,0,0,0,0,0,0
Entroncamento,0,0,0,0,0,0,0,0
Ferreira do Zêzere,0,0,0,0,0,0,0,0
Mação,0,0,0,0,0,0,0,0
Ourém,2,0,0,2,2,0,0,2
Sardoal,0,0,0,0,0,0,0,0
Sertã,0,0,0,0,20,0,16,4
Tomar,4,0,0,4,10,0,0,10
Torres Novas,0,0,0,0,11,0,11,0
Vila de Rei,0,0,0,0,0,0,0,0
Vila Nova da Barquinha,0,0,0,0,0,0,0,0
Beiras e Serra da Estrela,32,0,24,8,92,0,72,20
Almeida,0,0,0,0,0,0,0,0
Belmonte,0,0,0,0,0,0,0,0
Celorico da Beira,0,0,0,0,0,0,0,0
Covilhã,19,0,13,6,27,0,9,18
Figueira de Castelo Rodrigo,0,0,0,0,0,0,0,0
Fornos de Algodres,0,0,0,0,0,0,0,0
Fundão,2,0,0,2,2,0,0,2
Gouveia,0,0,0,0,0,0,0,0
Guarda,11,0,11,0,63,0,63,0
Manteigas,0,0,0,0,0,0,0,0
Mêda,0,0,0,0,0,0,0,0
Pinhel,0,0,0,0,0,0,0,0
Sabugal,0,0,0,0,0,0,0,0
Seia,0,0,0,0,0,0,0,0
Trancoso,0,0,0,0,0,0,0,0
A. M. Lisboa,905,0,835,70,1382,0,1200,171
Alcochete,0,0,0,0,0,0,0,0
Almada,48,0,48,0,62,0,52,10
Amadora,164,0,164,0,236,0,234,1
Barreiro,51,0,51,0,66,0,57,9
Cascais,66,0,66,0,57,0,53,4
Lisboa,110,0,69,41,232,0,178,48
Loures,193,0,193,0,166,0,165,1
Mafra,0,0,0,0,2,0,0,2
Moita,34,0,26,8,72,0,53,19
Montijo,14,0,11,3,15,0,14,1
Odivelas,37,0,37,0,36,0,29,7
Oeiras,5,0,5,0,19,0,15,1
Palmela,0,0,0,0,0,0,0,0
Seixal,36,0,18,18,187,0,128,59
Sesimbra,0,0,0,0,0,0,0,0
Setúbal,41,0,41,0,89,0,83,6
Sintra,64,0,64,0,127,0,126,0
Vila Franca de Xira,42,0,42,0,16,0,13,3
Alentejo,170,0,164,6,502,0,446,50
Alentejo Litoral,16,0,16,0,71,0,59,12
Alcácer do Sal,0,0,0,0,0,0,0,0
Grândola,0,0,0,0,40,0,35,5
Odemira,0,0,0,0,17,0,17,0
Santiago do Cacém,0,0,0,0,7,0,0,7
Sines,16,0,16,0,7,0,7,0
Baixo Alentejo,53,0,50,3,187,0,175,6
Aljustrel,3,0,0,3,4,0,0,4
Almodôvar,0,0,0,0,0,0,0,0
Alvito,0,0,0,0,0,0,0,0
Barrancos,0,0,0,0,0,0,0,0
Beja,38,0,38,0,61,0,54,1
Castro Verde,0,0,0,0,17,0,17,0
Cuba,0,0,0,0,0,0,0,0
Ferreira do Alentejo,0,0,0,0,0,0,0,0
Mértola,0,0,0,0,17,0,16,1
Moura,12,0,12,0,41,0,41,0
Ourique,0,0,0,0,0,0,0,0
Serpa,0,0,0,0,35,0,35,0
Vidigueira,0,0,0,0,12,0,12,0
Lezíria do Tejo,39,0,37,2,118,0,115,3
Almeirim,0,0,0,0,0,0,0,0
Alpiarça,0,0,0,0,0,0,0,0
Azambuja,0,0,0,0,15,0,14,1
Benavente,0,0,0,0,0,0,0,0
Cartaxo,0,0,0,0,0,0,0,0
Chamusca,0,0,0,0,0,0,0,0
Coruche,0,0,0,0,0,0,0,0
Golegã,0,0,0,0,0,0,0,0
Rio Maior,12,0,10,2,17,0,15,2
Salvaterra de Magos,0,0,0,0,29,0,29,0
Santarém,27,0,27,0,57,0,57,0
Alto Alentejo,44,0,44,0,65,0,52,13
Alter do Chão,0,0,0,0,0,0,0,0
Arronches,0,0,0,0,0,0,0,0
Avis,0,0,0,0,0,0,0,0
Campo Maior,0,0,0,0,0,0,0,0
Castelo de Vide,0,0,0,0,0,0,0,0
Crato,0,0,0,0,0,0,0,0
Elvas,44,0,44,0,54,0,52,2
Fronteira,0,0,0,0,0,0,0,0
Gavião,0,0,0,0,0,0,0,0
Marvão,0,0,0,0,0,0,0,0
Monforte,0,0,0,0,0,0,0,0
Nisa,0,0,0,0,0,0,0,0
Ponte de Sor,0,0,0,0,1,0,0,1
Portalegre,0,0,0,0,10,0,0,10
Sousel,0,0,0,0,0,0,0,0
Alentejo Central,18,0,17,1,61,0,45,16
Alandroal,0,0,0,0,0,0,0,0
Arraiolos,0,0,0,0,0,0,0,0
Borba,0,0,0,0,0,0,0,0
Estremoz,0,0,0,0,0,0,0,0
Évora,18,0,17,1,38,0,23,15
Montemor-o-Novo,0,0,0,0,0,0,0,0
Mora,0,0,0,0,0,0,0,0
Mourão,0,0,0,0,0,0,0,0
Portel,0,0,0,0,0,0,0,0
Redondo,0,0,0,0,0,0,0,0
Reguengos de Monsaraz,0,0,0,0,7,0,7,0
Vendas Novas,0,0,0,0,15,0,15,0
Viana do Alentejo,0,0,0,0,0,0,0,0
Vila Viçosa,0,0,0,0,1,0,0,1
Algarve,103,0,103,0,108,0,99,9
Albufeira,0,0,0,0,0,0,0,0
Alcoutim,0,0,0,0,0,0,0,0
Aljezur,0,0,0,0,0,0,0,0
Castro Marim,0,0,0,0,0,0,0,0
Faro,56,0,56,0,88,0,82,6
Lagoa,0,0,0,0,0,0,0,0
Lagos,0,0,0,0,1,0,0,1
Loulé,0,0,0,0,0,0,0,0
Monchique,0,0,0,0,0,0,0,0
Olhão,8,0,8,0,10,0,10,0
Portimão,39,0,39,0,0,0,0,0
São Brás de Alportel,0,0,0,0,0,0,0,0
Silves,0,0,0,0,0,0,0,0
Tavira,0,0,0,0,0,0,0,0
Vila do Bispo,0,0,0,0,0,0,0,0
Vila Real de Santo António,0,0,0,0,9,0,7,2
R. A. Açores,35,0,12,23,101,11,12,78
Santa Maria,0,0,0,0,10,0,0,10
