,"Enrolment rate in tertiary education (students aged between 18 and 22 years old), %, 2019/2020","Proportion of students enrolled in S&T areas of tertiary education , %, 2019/2020","Proportion of women in tertiary education, Students enrolled, %, 2019/2020","Proportion of women in tertiary education, Graduates , %, 2018/2019","Graduates from tertiary education per 1 000 inhabitants , Graduates , No., 2018/2019"
Portugal,37.6,29.4,54.1,58.3,74.7
Continente,39.3,29.5,54,58.2,78.2
Norte,36.1,30.2,54.4,58.2,68.6
Alto Minho,25.2,30.2,48.6,56.5,43.3
Arcos de Valdevez,0,//,//,//,0
Caminha,0,//,//,//,0
Melgaço,63.7,//,23.7,18.6,93.5
Monção,0,//,//,//,0
Paredes de Coura,0,//,//,//,0
Ponte da Barca,0,//,//,//,0
Ponte de Lima,12.6,17.1,51.1,60.7,29.5
Valença,49.5,//,61.5,66.3,60
Viana do Castelo,47.9,37.2,49,57.9,84.3
Vila Nova de Cerveira,3.6,92.3,39.2,70.6,17.7
Cávado,55.7,40.4,53.2,56.8,111.5
Amares,12,//,71.3,79.6,23.7
Barcelos,25.9,22.5,51.1,48.5,65.5
Braga,108.2,43.9,53.3,58.3,210.4
Esposende,0,//,//,//,0
Terras de Bouro,0,//,//,//,0
Vila Verde,0,//,//,//,0
Ave,4.8,12.7,56.1,63.8,8.7
Cabeceiras de Basto,0,//,//,//,0
Fafe,10,7.6,51,54.5,22.2
Guimarães,0.1,//,75,76.9,0.7
Mondim de Basto,0,//,//,//,0
Póvoa de Lanhoso,0,//,//,//,0
Vieira do Minho,0,//,//,//,0
Vila Nova de Famalicão,11.4,15,58.2,67.2,19.1
Vizela,0,//,//,//,0
A. M. Porto,47.1,27.7,55.1,58.5,93.7
Arouca,0,//,//,//,0
Espinho,0,//,//,//,0
Gondomar,0,//,//,//,0
Maia,36.4,7.6,42.7,48.3,72.6
Matosinhos,34.6,0.7,63,67.7,60.5
Oliveira de Azeméis,13.3,32.1,48.6,44.4,19.8
Paredes,20.7,10.8,65.6,66.6,53.8
Porto,335.4,33.8,54.6,57.7,678.8
Póvoa de Varzim,0,//,//,//,0
Santa Maria da Feira,2.7,18.9,49.9,47.6,8.1
Santo Tirso,0,//,//,//,0
São João da Madeira,0,//,//,//,0
Trofa,0,//,//,//,0
Vale de Cambra,0,//,//,//,0
Valongo,0,//,//,//,0
Vila do Conde,19.2,8.1,57.2,66.5,24.7
Vila Nova de Gaia,17.8,13.6,61.8,67.5,26.6
Alto Tâmega,2.5,//,77.4,66.7,4.7
Boticas,0,//,//,//,0
Chaves,5.4,//,77.4,66.7,10.4
Montalegre,0,//,//,//,0
Ribeira de Pena,0,//,//,//,0
Valpaços,0,//,//,//,0
Vila Pouca de Aguiar,0,//,//,//,0
Tâmega e Sousa,4.1,31.9,43.2,49.3,5
Amarante,0,//,//,//,0
Baião,0,//,//,//,0
Castelo de Paiva,0,//,//,//,0
Celorico de Basto,0,//,//,//,0
Cinfães,0,//,//,//,0
Felgueiras,25.2,36.7,44,50.5,27.7
Lousada,0,//,//,//,0
Marco de Canaveses,0,//,//,//,0
Paços de Ferreira,0,//,//,//,0
Penafiel,3.5,//,38.3,44.8,6.5
Resende,0,//,//,//,0
Douro,43,30.3,56.6,61.9,75.2
Alijó,0,//,//,//,0
Armamar,0,//,//,//,0
Carrazeda de Ansiães,0,//,//,//,0
