,"Upper secondary education, Total (N.º)","Upper secondary education, Public (N.º)","Upper secondary education, Private (N.º)","Post-secondary non-tertiary education, Total (N.º)","Post-secondary non-tertiary education, Public (N.º)","Post-secondary non-tertiary education, Private (N.º)"
Portugal,399386,314703,84683,5275,5257,18
Continente,378583,297610,80973,5275,5257,18
Norte,139642,104693,34949,1322,1322,0
Alto Minho,8831,7269,1562,105,105,0
Arcos de Valdevez,636,513,123,0,0,0
Caminha,428,266,162,0,0,0
Melgaço,190,177,13,0,0,0
Monção,649,406,243,0,0,0
Paredes de Coura,252,130,122,0,0,0
Ponte da Barca,356,250,106,0,0,0
Ponte de Lima,1572,1383,189,0,0,0
Valença,276,211,65,0,0,0
Viana do Castelo,4272,3785,487,105,105,0
Vila Nova de Cerveira,200,148,52,0,0,0
Cávado,17356,12273,5083,0,0,0
Amares,461,461,0,0,0,0
Barcelos,3930,2849,1081,0,0,0
Braga,9891,7062,2829,0,0,0
Esposende,1129,915,214,0,0,0
Terras de Bouro,92,92,0,0,0,0
Vila Verde,1853,894,959,0,0,0
Ave,14899,11870,3029,0,0,0
Cabeceiras de Basto,551,321,230,0,0,0
Fafe,1773,1270,503,0,0,0
Guimarães,5423,4737,686,0,0,0
Mondim de Basto,204,204,0,0,0,0
Póvoa de Lanhoso,798,599,199,0,0,0
Vieira do Minho,312,312,0,0,0,0
Vila Nova de Famalicão,5022,3724,1298,0,0,0
Vizela,816,703,113,0,0,0
A. M. Porto,69558,49015,20543,1077,1077,0
Arouca,742,609,133,0,0,0
Espinho,1932,1492,440,0,0,0
Gondomar,4353,3572,781,0,0,0
Maia,3406,3061,345,141,141,0
Matosinhos,5155,4064,1091,0,0,0
Oliveira de Azeméis,1969,1969,0,0,0,0
Paredes,2342,1982,360,0,0,0
Porto,20432,10890,9542,497,497,0
Póvoa de Varzim,2720,2594,126,0,0,0
Santa Maria da Feira,4008,3236,772,27,27,0
Santo Tirso,3123,2289,834,0,0,0
São João da Madeira,1866,1600,266,412,412,0
Trofa,1233,876,357,0,0,0
Vale de Cambra,607,607,0,0,0,0
Valongo,2662,2173,489,0,0,0
Vila do Conde,2106,1785,321,0,0,0
Vila Nova de Gaia,10902,6216,4686,0,0,0
Alto Tâmega,2477,2246,231,0,0,0
Boticas,0,0,0,0,0,0
Chaves,1599,1368,231,0,0,0
Montalegre,181,181,0,0,0,0
Ribeira de Pena,170,170,0,0,0,0
Valpaços,230,230,0,0,0,0
Vila Pouca de Aguiar,297,297,0,0,0,0
Tâmega e Sousa,15665,12782,2883,0,0,0
Amarante,2394,1031,1363,0,0,0
Baião,524,524,0,0,0,0
Castelo de Paiva,579,492,87,0,0,0
Celorico de Basto,584,584,0,0,0,0
Cinfães,655,596,59,0,0,0
Felgueiras,2307,1954,353,0,0,0
Lousada,1612,1432,180,0,0,0
Marco de Canaveses,1766,1754,12,0,0,0
Paços de Ferreira,2003,1684,319,0,0,0
Penafiel,2857,2347,510,0,0,0
Resende,384,384,0,0,0,0
Douro,7051,6018,1033,140,140,0
Alijó,206,206,0,0,0,0
Armamar,150,150,0,0,0,0
Carrazeda de Ansiães,118,118,0,0,0,0
Freixo de Espada à Cinta,11,11,0,0,0,0
Lamego,1245,1042,203,98,98,0
Mesão Frio,134,134,0,0,0,0
Moimenta da Beira,458,365,93,0,0,0
Murça,247,161,86,0,0,0
Penedono,0,0,0,0,0,0
Peso da Régua,811,811,0,0,0,0
Sabrosa,134,134,0,0,0,0
Santa Marta de Penaguião,0,0,0,0,0,0
São João da Pesqueira,250,93,157,0,0,0
Sernancelhe,157,0,157,0,0,0
Tabuaço,100,100,0,0,0,0
Tarouca,155,155,0,0,0,0
Torre de Moncorvo,140,140,0,0,0,0
Vila Nova de Foz Côa,115,115,0,0,0,0
Vila Real,2620,2283,337,42,42,0
Terras de Trás-os-Montes,3805,3220,585,0,0,0
Alfândega da Fé,112,112,0,0,0,0
Bragança,1640,1451,189,0,0,0
Macedo de Cavaleiros,483,379,104,0,0,0
Miranda do Douro,136,136,0,0,0,0
Mirandela,872,733,139,0,0,0
Mogadouro,301,148,153,0,0,0
Vila Flor,141,141,0,0,0,0
Vimioso,0,0,0,0,0,0
Vinhais,120,120,0,0,0,0
Centro,82217,64664,17553,643,625,18
Oeste,13211,9794,3417,36,36,0
Alcobaça,1945,1339,606,0,0,0
Alenquer,1291,1291,0,0,0,0
Arruda dos Vinhos,699,0,699,0,0,0
Bombarral,381,381,0,0,0,0
Cadaval,184,184,0,0,0,0
Caldas da Rainha,2817,2320,497,14,14,0
Lourinhã,618,618,0,0,0,0
Nazaré,412,83,329,0,0,0
Óbidos,199,199,0,22,22,0
Peniche,711,666,45,0,0,0
Sobral de Monte Agraço,252,252,0,0,0,0
Torres Vedras,3702,2461,1241,0,0,0
Região de Aveiro,14092,11457,2635,87,69,18
Águeda,1983,1983,0,34,34,0
Albergaria-a-Velha,974,555,419,0,0,0
Anadia,1176,742,434,0,0,0
Aveiro,4670,3929,741,53,35,18
Estarreja,772,772,0,0,0,0
Ílhavo,781,781,0,0,0,0
Murtosa,96,96,0,0,0,0
Oliveira do Bairro,569,462,107,0,0,0
Ovar,1652,1253,399,0,0,0
Sever do Vouga,663,409,254,0,0,0
Vagos,756,475,281,0,0,0
Região de Coimbra,15792,12752,3040,262,262,0
Arganil,710,710,0,50,50,0
Cantanhede,1027,777,250,0,0,0
Coimbra,7129,5940,1189,212,212,0
Condeixa-a-Nova,300,300,0,0,0,0
Figueira da Foz,2125,1683,442,0,0,0
Góis,0,0,0,0,0,0
Lousã,599,425,174,0,0,0
Mealhada,548,277,271,0,0,0
Mira,212,212,0,0,0,0
Miranda do Corvo,269,269,0,0,0,0
Montemor-o-Velho,466,296,170,0,0,0
Mortágua,207,207,0,0,0,0
Oliveira do Hospital,702,556,146,0,0,0
Pampilhosa da Serra,22,22,0,0,0,0
Penacova,439,234,205,0,0,0
Penela,42,0,42,0,0,0
Soure,415,359,56,0,0,0
Tábua,329,282,47,0,0,0
Vila Nova de Poiares,251,203,48,0,0,0
Região de Leiria,10589,7744,2845,65,65,0
Alvaiázere,179,92,87,0,0,0
Ansião,590,259,331,0,0,0
Batalha,401,401,0,0,0,0
Castanheira de Pêra,0,0,0,0,0,0
Figueiró dos Vinhos,159,159,0,0,0,0
Leiria,4694,3970,724,65,65,0
Marinha Grande,1756,1411,345,0,0,0
Pedrógão Grande,177,0,177,0,0,0
Pombal,1969,1105,864,0,0,0
Porto de Mós,664,347,317,0,0,0
Viseu Dão Lafões,9748,8395,1353,89,89,0
Aguiar da Beira,161,161,0,0,0,0
Carregal do Sal,222,222,0,0,0,0
Castro Daire,461,419,42,0,0,0
Mangualde,707,689,18,0,0,0
Nelas,343,343,0,0,0,0
Oliveira de Frades,277,277,0,0,0,0
Penalva do Castelo,172,172,0,0,0,0
Santa Comba Dão,286,286,0,0,0,0
São Pedro do Sul,512,362,150,0,0,0
Sátão,294,294,0,0,0,0
Tondela,999,623,376,0,0,0
Vila Nova de Paiva,126,126,0,0,0,0
Viseu,4809,4216,593,89,89,0
Vouzela,379,205,174,0,0,0
Beira Baixa,2474,2170,304,11,11,0
Castelo Branco,1895,1692,203,11,11,0
Idanha-a-Nova,272,171,101,0,0,0
Oleiros,101,101,0,0,0,0
Penamacor,65,65,0,0,0,0
Proença-a-Nova,141,141,0,0,0,0
Vila Velha de Ródão,0,0,0,0,0,0
Médio Tejo,9070,6669,2401,59,59,0
Abrantes,1214,1214,0,0,0,0
Alcanena,368,368,0,0,0,0
Constância,143,143,0,0,0,0
Entroncamento,987,644,343,0,0,0
Ferreira do Zêzere,105,105,0,0,0,0
Mação,179,179,0,0,0,0
Ourém,2195,730,1465,0,0,0
Sardoal,80,80,0,0,0,0
Sertã,610,431,179,0,0,0
Tomar,1777,1642,135,59,59,0
Torres Novas,1223,944,279,0,0,0
Vila de Rei,49,49,0,0,0,0
Vila Nova da Barquinha,140,140,0,0,0,0
Beiras e Serra da Estrela,7241,5683,1558,34,34,0
Almeida,116,116,0,0,0,0
Belmonte,70,70,0,0,0,0
Celorico da Beira,140,140,0,0,0,0
Covilhã,1843,1700,143,0,0,0
Figueira de Castelo Rodrigo,71,71,0,0,0,0
Fornos de Algodres,155,155,0,0,0,0
Fundão,907,668,239,0,0,0
Gouveia,399,278,121,0,0,0
Guarda,1897,1309,588,34,34,0
Manteigas,78,40,38,0,0,0
Mêda,66,66,0,0,0,0
Pinhel,201,201,0,0,0,0
Sabugal,173,173,0,0,0,0
Seia,694,545,149,0,0,0
Trancoso,431,151,280,0,0,0
A. M. Lisboa,116010,92136,23874,2828,2828,0
Alcochete,743,743,0,0,0,0
Almada,6927,5707,1220,0,0,0
Amadora,6802,5952,850,729,729,0
Barreiro,3435,3150,285,0,0,0
Cascais,8781,6294,2487,133,133,0
Lisboa,34786,22233,12553,1527,1527,0
Loures,4551,3931,620,0,0,0
Mafra,3028,2080,948,0,0,0
Moita,1841,1307,534,0,0,0
Montijo,1781,1390,391,0,0,0
Odivelas,4537,4348,189,81,81,0
Oeiras,5921,5075,846,0,0,0
Palmela,2005,1564,441,0,0,0
Seixal,6426,5811,615,49,49,0
Sesimbra,1505,1373,132,0,0,0
Setúbal,5269,4848,421,188,188,0
Sintra,12272,11145,1127,42,42,0
Vila Franca de Xira,5400,5185,215,79,79,0
Alentejo,24682,20734,3948,242,242,0
Alentejo Litoral,2913,2230,683,17,17,0
Alcácer do Sal,255,255,0,0,0,0
Grândola,468,468,0,0,0,0
Odemira,779,395,384,0,0,0
