,"Pre-primary education, Total (N.º)","Pre-primary education, Public (N.º)","Pre-primary education, Private (N.º)","Primary education, 1st cycle, Total (N.º)","Primary education, 1st cycle, Public (N.º)","Primary education, 1st cycle, Private (N.º)","Primary education, 2nd cycle, Total (N.º)","Primary education, 2nd cycle, Public (N.º)","Primary education, 2nd cycle, Private (N.º)","Lower secondary education, 2nd cycle, Total (N.º)","Lower secondary education, 2nd cycle, Public (N.º)","Lower secondary education, 2nd cycle, Private (N.º)"
Portugal,243719,128512,115207,390966,338822,52144,213381,188074,25307,338657,298616,40041
Continente,231327,121280,110047,370453,321628,48825,202102,177741,24361,320519,281700,38819
Norte,79812,45206,34606,127520,113477,14043,70185,63456,6729,114792,102489,12303
Alto Minho,4813,3219,1594,7325,7039,286,4151,4067,84,6675,6324,351
Arcos de Valdevez,378,187,191,525,525,0,327,327,0,535,535,0
Caminha,345,224,121,435,435,0,243,243,0,421,421,0
Melgaço,109,61,48,206,206,0,94,94,0,153,153,0
Monção,315,230,85,442,442,0,300,300,0,417,380,37
Paredes de Coura,146,78,68,256,256,0,162,162,0,220,220,0
Ponte da Barca,186,138,48,334,334,0,179,179,0,335,335,0
Ponte de Lima,903,843,60,1399,1399,0,753,753,0,1331,1294,37
Valença,269,247,22,463,463,0,248,248,0,369,369,0
Viana do Castelo,1963,1036,927,2989,2703,286,1644,1560,84,2646,2369,277
Vila Nova de Cerveira,199,175,24,276,276,0,201,201,0,248,248,0
Cávado,10087,5554,4533,15652,13587,2065,8458,7301,1157,13965,12020,1945
Amares,341,300,41,586,586,0,338,338,0,541,541,0
Barcelos,2607,1905,702,4223,4050,173,2201,1978,223,3648,3170,478
Braga,5142,1966,3176,7766,5917,1849,4218,3284,934,7059,5682,1377
Esposende,848,492,356,1295,1295,0,702,702,0,1105,1070,35
Terras de Bouro,125,90,35,176,176,0,127,127,0,199,199,0
Vila Verde,1024,801,223,1606,1563,43,872,872,0,1413,1358,55
Ave,9337,4336,5001,14399,13502,897,7794,7318,476,12874,11806,1068
Cabeceiras de Basto,383,279,104,539,539,0,360,360,0,527,520,7
Fafe,1089,430,659,1657,1508,149,873,798,75,1530,1356,174
Guimarães,3468,1364,2104,5302,4891,411,2878,2705,173,4730,4402,328
Mondim de Basto,111,66,45,190,190,0,117,117,0,185,185,0
Póvoa de Lanhoso,473,345,128,770,770,0,410,410,0,682,682,0
Vieira do Minho,202,185,17,346,346,0,209,209,0,290,290,0
Vila Nova de Famalicão,3092,1259,1833,4721,4400,321,2484,2271,213,4075,3557,518
Vizela,519,408,111,874,858,16,463,448,15,855,814,41
A. M. Porto,39750,21053,18697,64006,54697,9309,35143,30801,4342,56562,49039,7523
Arouca,500,406,94,801,801,0,427,427,0,701,701,0
Espinho,762,539,223,1121,1121,0,930,891,39,1505,1395,110
Gondomar,3256,2100,1156,5326,4692,634,2803,2527,276,4486,3964,522
Maia,3328,1663,1665,5179,4640,539,2915,2691,224,4428,4149,279
Matosinhos,3801,1838,1963,5996,5210,786,3329,3153,176,5059,4576,483
Oliveira de Azeméis,1345,733,612,2042,1913,129,1062,1062,0,1787,1787,0
Paredes,1866,1496,370,3203,3021,182,1758,1686,72,3005,2866,139
Porto,6632,1842,4790,10699,6507,4192,5802,3704,2098,9680,6181,3499
Póvoa de Varzim,1523,480,1043,2554,2320,234,1490,1372,118,2447,2279,168
Santa Maria da Feira,2825,1722,1103,4589,4280,309,2254,2079,175,3746,3454,292
Santo Tirso,1324,809,515,2213,1862,351,1340,1152,188,2393,2066,327
São João da Madeira,790,469,321,1220,1122,98,692,661,31,1194,1115,79
Trofa,739,563,176,1260,1192,68,748,662,86,1168,1035,133
Vale de Cambra,477,428,49,663,663,0,367,367,0,590,590,0
Valongo,2061,1347,714,3380,2990,390,1973,1796,177,3035,2782,253
Vila do Conde,1897,1134,763,2979,2889,90,1409,1405,4,2286,2286,0
Vila Nova de Gaia,6624,3484,3140,10781,9474,1307,5844,5166,678,9052,7813,1239
Alto Tâmega,1382,835,547,2215,2041,174,1223,1223,0,2250,2250,0
Boticas,64,42,22,144,144,0,72,72,0,129,129,0
Chaves,659,341,318,1100,926,174,586,586,0,1109,1109,0
Montalegre,126,126,0,173,173,0,110,110,0,222,222,0
Ribeira de Pena,115,61,54,169,169,0,109,109,0,172,172,0
Valpaços,227,117,110,323,323,0,211,211,0,331,331,0
Vila Pouca de Aguiar,191,148,43,306,306,0,135,135,0,287,287,0
Tâmega e Sousa,8922,6885,2037,15333,14530,803,8585,8012,573,14476,13320,1156
Amarante,1127,797,330,1832,1616,216,1039,657,382,1774,1069,705
Baião,330,133,197,552,552,0,317,317,0,583,583,0
Castelo de Paiva,362,280,82,583,583,0,341,341,0,596,596,0
Celorico de Basto,302,279,23,578,578,0,315,315,0,501,501,0
Cinfães,326,326,0,570,570,0,338,338,0,547,547,0
Felgueiras,1238,789,449,2010,1853,157,1194,1194,0,2008,1991,17
Lousada,1107,894,213,1960,1786,174,1028,917,111,1720,1566,154
Marco de Canaveses,1083,1010,73,1926,1926,0,1046,1046,0,1812,1800,12
Paços de Ferreira,1201,851,350,2304,2123,181,1286,1206,80,2156,1972,184
Penafiel,1657,1337,320,2692,2617,75,1483,1483,0,2463,2379,84
Resende,189,189,0,326,326,0,198,198,0,316,316,0
Douro,3619,2339,1280,5646,5373,273,3162,3065,97,5337,5208,129
Alijó,162,67,95,281,281,0,166,166,0,258,258,0
Armamar,89,64,25,151,151,0,90,90,0,146,146,0
Carrazeda de Ansiães,114,80,34,135,135,0,82,82,0,152,152,0
Freixo de Espada à Cinta,57,19,38,96,96,0,57,57,0,71,71,0
Lamego,474,320,154,744,704,40,424,404,20,765,722,43
Mesão Frio,85,85,0,135,135,0,69,69,0,147,147,0
Moimenta da Beira,189,102,87,304,304,0,175,175,0,310,289,21
Murça,78,52,26,162,162,0,80,80,0,157,141,16
Penedono,49,21,28,61,61,0,53,53,0,77,77,0
Peso da Régua,327,118,209,495,495,0,293,293,0,466,466,0
Sabrosa,91,67,24,146,146,0,93,93,0,154,154,0
Santa Marta de Penaguião,104,36,68,173,173,0,62,62,0,109,109,0
São João da Pesqueira,131,131,0,207,207,0,129,129,0,221,205,16
Sernancelhe,72,48,24,126,126,0,72,72,0,101,101,0
Tabuaço,70,70,0,104,104,0,97,97,0,115,115,0
Tarouca,174,129,45,232,232,0,119,119,0,236,236,0
Torre de Moncorvo,97,90,7,174,174,0,86,86,0,122,122,0
Vila Nova de Foz Côa,103,50,53,154,154,0,93,93,0,146,146,0
Vila Real,1153,790,363,1766,1533,233,922,845,77,1584,1551,33
Terras de Trás-os-Montes,1902,985,917,2944,2708,236,1669,1669,0,2653,2522,131
Alfândega da Fé,70,52,18,109,109,0,49,49,0,97,97,0
Bragança,688,342,346,1060,878,182,595,595,0,931,881,50
Macedo de Cavaleiros,240,129,111,339,339,0,209,209,0,370,370,0
Miranda do Douro,95,81,14,162,162,0,101,101,0,132,132,0
Mirandela,436,153,283,682,628,54,387,387,0,630,549,81
Mogadouro,126,52,74,218,218,0,105,105,0,176,176,0
Vila Flor,89,63,26,162,162,0,99,99,0,141,141,0
Vimioso,50,50,0,76,76,0,48,48,0,46,46,0
Vinhais,108,63,45,136,136,0,76,76,0,130,130,0
Centro,48574,27313,21261,75425,70331,5094,41488,36824,4664,67672,59158,8514
Oeste,8460,4994,3466,13427,12737,690,7522,6301,1221,12187,9598,2589
Alcobaça,1259,482,777,1821,1750,71,1044,1044,0,1713,1224,489
Alenquer,931,642,289,1712,1649,63,867,867,0,1307,1307,0
Arruda dos Vinhos,368,244,124,655,655,0,480,0,480,833,0,833
Bombarral,253,195,58,391,391,0,256,256,0,383,383,0
Cadaval,263,202,61,426,426,0,226,226,0,301,301,0
Caldas da Rainha,1216,728,488,1893,1630,263,1079,877,202,1931,1703,228
Lourinhã,616,431,185,947,947,0,515,515,0,762,762,0
Nazaré,341,230,111,509,509,0,221,221,0,381,336,45
Óbidos,294,229,65,447,447,0,213,213,0,298,298,0
Peniche,664,254,410,1025,1025,0,570,570,0,862,818,44
Sobral de Monte Agraço,232,137,95,410,410,0,246,246,0,370,370,0
Torres Vedras,2023,1220,803,3191,2898,293,1805,1266,539,3046,2096,950
Região de Aveiro,8648,4207,4441,13246,12623,623,7093,6448,645,11321,10271,1050
Águeda,1094,483,611,1569,1542,27,863,768,95,1324,1316,8
Albergaria-a-Velha,559,269,290,912,833,79,535,443,92,770,626,144
Anadia,548,223,325,969,786,183,542,383,159,796,606,190
Aveiro,2171,768,1403,3341,3090,251,1703,1559,144,2932,2578,354
Estarreja,654,340,314,936,905,31,530,530,0,842,842,0
Ílhavo,887,480,407,1365,1365,0,654,654,0,1013,1013,0
Murtosa,246,160,86,388,388,0,234,234,0,322,322,0
Oliveira do Bairro,547,306,241,870,870,0,471,471,0,649,649,0
Ovar,1174,627,547,1861,1809,52,924,924,0,1591,1543,48
Sever do Vouga,215,178,37,304,304,0,192,192,0,309,309,0
Vagos,553,373,180,731,731,0,445,290,155,773,467,306
Região de Coimbra,9173,4435,4738,14224,12721,1503,7585,6946,639,12257,11300,957
Arganil,229,185,44,336,336,0,160,160,0,251,251,0
Cantanhede,706,379,327,1175,1123,52,607,517,90,967,894,73
Coimbra,3338,946,2392,5140,3885,1255,2675,2196,479,4276,3633,643
Condeixa-a-Nova,294,215,79,490,490,0,309,309,0,485,485,0
Figueira da Foz,1242,603,639,1900,1710,190,987,987,0,1768,1747,21
Góis,79,37,42,73,73,0,52,52,0,74,74,0
Lousã,363,274,89,649,649,0,335,335,0,541,541,0
Mealhada,386,185,201,579,579,0,350,350,0,527,527,0
Mira,222,170,52,360,360,0,185,185,0,297,297,0
Miranda do Corvo,213,137,76,334,334,0,226,226,0,335,335,0
Montemor-o-Velho,421,207,214,683,683,0,334,334,0,558,499,59
Mortágua,161,133,28,231,231,0,141,141,0,175,175,0
Oliveira do Hospital,407,206,201,631,625,6,373,373,0,570,570,0
Pampilhosa da Serra,54,23,31,97,97,0,44,44,0,69,69,0
Penacova,214,214,0,317,317,0,186,186,0,320,293,27
Penela,83,83,0,157,157,0,66,66,0,107,107,0
Soure,351,158,193,519,519,0,245,175,70,426,292,134
Tábua,253,211,42,311,311,0,181,181,0,322,322,0
Vila Nova de Poiares,157,69,88,242,242,0,129,129,0,189,189,0
Região de Leiria,6701,4406,2295,9981,9180,801,5600,4487,1113,9158,7134,2024
Alvaiázere,99,99,0,155,155,0,93,93,0,127,127,0
Ansião,228,129,99,349,349,0,235,235,0,406,406,0
Batalha,400,241,159,524,524,0,280,267,13,487,453,34
Castanheira de Pêra,36,36,0,70,70,0,41,41,0,65,65,0
Figueiró dos Vinhos,88,56,32,128,128,0,76,76,0,113,113,0
Leiria,3167,1875,1292,4700,4088,612,2577,1951,626,4126,3087,1039
Marinha Grande,893,680,213,1471,1353,118,785,764,21,1320,1251,69
Pedrógão Grande,65,41,24,86,86,0,47,47,0,96,96,0
Pombal,1201,863,338,1654,1623,31,1013,721,292,1661,1052,609
Porto de Mós,524,386,138,844,804,40,453,292,161,757,484,273
Viseu Dão Lafões,5305,3539,1766,8510,8011,499,4541,4235,306,7892,7333,559
Aguiar da Beira,78,78,0,124,124,0,72,72,0,132,132,0
Carregal do Sal,179,179,0,286,286,0,147,147,0,287,287,0
Castro Daire,253,220,33,423,423,0,236,236,0,410,390,20
Mangualde,402,240,162,606,606,0,293,293,0,613,613,0
Nelas,324,165,159,436,412,24,271,271,0,428,428,0
Oliveira de Frades,205,147,58,334,334,0,166,166,0,312,312,0
Penalva do Castelo,131,131,0,207,207,0,122,122,0,205,205,0
Santa Comba Dão,164,125,39,324,324,0,187,187,0,309,309,0
São Pedro do Sul,244,179,65,470,470,0,216,216,0,438,438,0
Sátão,226,208,18,333,333,0,186,186,0,287,287,0
Tondela,407,331,76,719,719,0,394,394,0,756,726,30
Vila Nova de Paiva,91,91,0,148,148,0,76,76,0,150,150,0
Viseu,2412,1285,1127,3822,3347,475,2044,1738,306,3257,2788,469
Vouzela,189,160,29,278,278,0,131,131,0,308,268,40
Beira Baixa,1542,739,803,2488,2267,221,1332,1332,0,2116,2063,53
Castelo Branco,1142,460,682,1819,1606,213,977,977,0,1568,1526,42
Idanha-a-Nova,129,97,32,247,247,0,120,120,0,171,160,11
Oleiros,52,36,16,74,74,0,48,48,0,68,68,0
Penamacor,45,25,20,100,92,8,62,62,0,91,91,0
Proença-a-Nova,114,61,53,184,184,0,86,86,0,164,164,0
Vila Velha de Ródão,60,60,0,64,64,0,39,39,0,54,54,0
Médio Tejo,4898,3143,1755,7518,7004,514,4383,3811,572,7122,6140,982
Abrantes,621,365,256,1005,1001,4,608,608,0,1027,1027,0
Alcanena,292,188,104,435,435,0,246,246,0,420,420,0
Constância,103,103,0,168,168,0,106,106,0,189,189,0
Entroncamento,477,278,199,762,605,157,432,432,0,660,618,42
