,"Taxa bruta de 
pré-escolarização  (%)","Taxa bruta de escolarização, Ensino básico (%)","Taxa bruta de escolarização, Ensino secundário (%)","Taxa de retenção e desistência no ensino básico, Total (%)","Taxa de retenção e desistência no ensino básico, 1º Ciclo (%)","Taxa de retenção e desistência no ensino básico, 2º Ciclo (%)","Taxa de retenção e desistência no ensino básico, 3º Ciclo (%)","Taxa de transição/conclusão no ensino secundário, Total (%)","Taxa de transição/conclusão no ensino secundário, Cursos gerais/
científico-humanísticos (%)","Taxa de transição/conclusão no ensino secundário, Cursos tecnológicos / profissionais  (%)","Taxa de participação em cursos de dupla certificação nas modalidades do ensino secundário orientadas para jovens, Cursos tecnológicos / profissionais  (%)","Proporção de mulheres no ensino secundário, Cursos tecnológicos / profissionais  (%)"
Portugal,96.4,108.6,124,3.8,2.1,3.8,5.8,86.9,85.4,89.7,40.8,49.6
Continente,96.2,108.5,124.6,3.7,2,3.8,5.6,87.1,85.5,89.9,40.8,49.5
Norte,99.6,109.3,121.5,2.4,1.2,2.1,4,89.5,88.1,91.8,42.9,49.7
Alto Minho,105.8,107.8,131.1,1.3,0.7,1.2,2.1,91.2,89.7,93.4,46.9,47.1
Arcos de Valdevez,108,103.8,119.3,1.6,1.9,0.6,2,87.4,86.6,88.2,50.6,47.2
Caminha,102.1,100.2,103.4,1.8,0.9,1.6,2.9,91.4,90.1,93.2,41.1,46.7
Melgaço,91.6,104.9,96,0.7,0,0,2,93.7,92.6,96.4,28.9,52.6
Monção,109,104.1,152.7,0.6,0.2,0.7,1.1,91.7,91.2,92.3,47,53.9
Paredes de Coura,94.8,97.7,108.2,1.3,0.8,1.9,1.4,94.8,94.6,95.1,48.4,36.5
Ponte da Barca,97.9,106.5,109.9,0.5,0.3,0.6,0.6,93.3,92.2,94.5,46.1,49.7
Ponte de Lima,104.4,101.4,108.9,0.5,0.3,0.3,0.9,93.5,90.7,96.4,49.2,46.5
Valença,104.3,111,69.5,4.6,2.8,4.9,6.9,86,80.3,97.6,32.7,44.2
Viana do Castelo,107.9,114.8,171.6,1.3,0.3,1.3,2.4,90.6,89.6,92.4,49.1,46.3
Vila Nova de Cerveira,119.9,107.6,71.2,1.7,2.5,0.5,1.6,89.5,89.2,90.4,26,54.5
Cávado,107.9,109.1,124.2,1.3,0.7,1.2,2,89.4,87.3,93.2,38.2,49.1
Amares,96.9,95.9,73.1,1.3,0.7,2.4,1.4,94.5,91.5,99.4,38.7,46.4
Barcelos,107.9,102,97.8,1,0.5,0.6,1.8,91.3,89,94.8,39.4,49.7
Braga,111.9,118,160,1.3,0.7,1.5,2,87.9,86.6,91.2,34.7,48.8
Esposende,101.3,101.3,92.1,1.3,0.7,0.9,2.4,89.2,86.3,94.6,35.1,50.8
Terras de Bouro,112.6,114.1,47.9,0.2,0,0,0.5,92.4,93.2,89.5,20.7,51.1
Vila Verde,98.5,101.2,107.3,2,1.4,1.8,2.8,91,86.3,94.2,59.6,49.1
Ave,103.5,104.6,107.8,1.7,1.1,0.9,2.8,90.9,90.1,92,40.7,49
Cabeceiras de Basto,105.8,105.6,100,2.7,1.7,3.1,3.4,88.7,86.8,92.6,33.4,48.5
Fafe,108.9,105.5,108.7,0.7,0.5,0.5,1.1,89.9,91.2,87.4,34.3,52.7
Guimarães,101.9,104.3,108.9,1.7,1,0.8,3,90.8,89.4,93.4,36.1,50.1
Mondim de Basto,108.8,99,83.6,1.8,2.1,0,2.7,91.7,90.4,93.2,45.8,50.5
Póvoa de Lanhoso,104,105.6,101.8,2.8,2.5,0.7,4.4,88.3,88.1,88.5,48.7,49.4
Vieira do Minho,93.5,102.3,83,1.8,2.9,1,1.1,83.2,85.4,77.4,27.7,50.6
Vila Nova de Famalicão,104.5,103.5,112,1.5,1.2,1.1,2.2,92.5,91.9,93,49.9,45.8
Vizela,98.9,111.5,105.4,2.4,0.3,0.2,5.9,90.7,90.6,90.7,26.9,53.3
A. M. Porto,96.6,110.7,128,3.1,1.4,2.7,5.2,89.1,87.7,91.5,44.3,49.9
Arouca,102,113.3,111.6,2.7,1,0.7,6,83.6,81.4,87.8,33.7,57.1
Espinho,124.1,172.9,225.4,1.8,0.4,0.7,3.5,90.5,88.8,93.3,37.5,51.7
Gondomar,84.7,93.4,81.8,3,2,2.5,4.5,89.5,88.3,93.6,23.8,50.7
Maia,93.5,96,74.4,2.7,0.6,2.5,5.3,85.3,85.4,84.7,27.2,45.7
Matosinhos,87.9,103.6,102.5,3.4,1.4,3.4,5.8,87.5,85.8,90.4,37.6,48.7
Oliveira de Azeméis,99,104.7,99.6,1.3,0.8,0.4,2.4,92.8,93.7,91.9,48.5,51.9
Paredes,88.7,98.2,71.8,2.5,0.5,2.5,4.6,87.6,86.2,93,24.5,52.9
Porto,119.4,173,373.7,3.3,2,3.2,4.9,89.8,90,89.4,53.6,50.7
Póvoa de Varzim,103.4,114.3,121.7,2.8,1.3,1.5,5.3,87.1,86.7,88.3,23,50.8
