,"Ensino secundário, Total (N.º)","Ensino secundário, das quais, Ensino regular, Total (N.º)","Ensino secundário, das quais, Ensino regular, Cursos gerais/
científico-humanísticos (N.º)","Ensino secundário, das quais, Ensino regular, Cursos tecnológicos (N.º)","Ensino secundário, das quais, Ensino artístico, Cursos tecnológicos (N.º)","Ensino secundário, das quais, Cursos profissionais, Cursos tecnológicos (N.º)","Ensino secundário, das quais, Cursos de aprendizagem, Cursos tecnológicos (N.º)","Ensino secundário, das quais, Cursos de educação e formação, Cursos tecnológicos (N.º)"
Portugal,351233,211254,207684,3570,2703,115981,20860,435
Continente,332540,200097,196527,3570,2703,110184,19542,14
Norte,123946,73884,70666,3218,1145,41363,7554,0
Alto Minho,8118,4307,4307,0,0,3072,739,0
Arcos de Valdevez,587,290,290,0,0,297,0,0
Caminha,428,252,252,0,0,176,0,0
Melgaço,190,135,135,0,0,55,0,0
Monção,577,306,306,0,0,271,0,0
Paredes de Coura,252,130,130,0,0,122,0,0
Ponte da Barca,356,192,192,0,0,164,0,0
Ponte de Lima,1479,752,752,0,0,727,0,0
Valença,257,173,173,0,0,84,0,0
Viana do Castelo,3792,1929,1929,0,0,1124,739,0
Vila Nova de Cerveira,200,148,148,0,0,52,0,0
Cávado,15301,9392,9392,0,66,5112,731,0
Amares,421,258,258,0,0,163,0,0
Barcelos,3579,2168,2168,0,0,1411,0,0
Braga,8775,5662,5662,0,66,2316,731,0
Esposende,1011,656,656,0,0,355,0,0
Terras de Bouro,92,73,73,0,0,19,0,0
Vila Verde,1423,575,575,0,0,848,0,0
Ave,13610,8142,8072,70,0,5468,0,0
Cabeceiras de Basto,488,325,325,0,0,163,0,0
Fafe,1597,1050,1050,0,0,547,0,0
Guimarães,5107,3262,3262,0,0,1845,0,0
Mondim de Basto,192,104,104,0,0,88,0,0
Póvoa de Lanhoso,751,385,385,0,0,366,0,0
Vieira do Minho,303,219,219,0,0,84,0,0
Vila Nova de Famalicão,4573,2359,2289,70,0,2214,0,0
Vizela,599,438,438,0,0,161,0,0
A. M. Porto,61852,36634,34356,2278,1071,18824,5323,0
Arouca,609,404,404,0,0,205,0,0
Espinho,1869,1169,1169,0,0,700,0,0
Gondomar,3859,2940,2940,0,0,855,64,0
Maia,3298,2429,2401,28,0,663,206,0
Matosinhos,4424,2776,2760,16,0,1648,0,0
Oliveira de Azeméis,1825,940,940,0,0,885,0,0
Paredes,1986,1499,1499,0,0,401,86,0
Porto,17878,8289,8218,71,972,5096,3521,0
Póvoa de Varzim,2457,1891,1891,0,0,566,0,0
Santa Maria da Feira,3266,1622,1622,0,0,975,669,0
Santo Tirso,2896,1329,1329,0,0,1567,0,0
São João da Madeira,1766,956,956,0,0,724,86,0
Trofa,1093,874,874,0,0,219,0,0
Vale de Cambra,582,346,346,0,0,236,0,0
Valongo,2379,1670,1670,0,0,709,0,0
Vila do Conde,1960,1131,1131,0,0,829,0,0
Vila Nova de Gaia,9705,6369,4206,2163,99,2546,691,0
Alto Tâmega,2201,1380,1380,0,0,737,84,0
Boticas,0,0,0,0,0,0,0,0
Chaves,1380,825,825,0,0,471,84,0
Montalegre,169,110,110,0,0,59,0,0
Ribeira de Pena,161,98,98,0,0,63,0,0
Valpaços,221,161,161,0,0,60,0,0
Vila Pouca de Aguiar,270,186,186,0,0,84,0,0
Tâmega e Sousa,13700,8385,7580,805,8,5307,0,0
Amarante,2248,1645,840,805,0,603,0,0
Baião,458,231,231,0,0,227,0,0
Castelo de Paiva,492,320,320,0,8,164,0,0
Celorico de Basto,526,257,257,0,0,269,0,0
Cinfães,583,262,262,0,0,321,0,0
Felgueiras,1967,979,979,0,0,988,0,0
Lousada,1426,919,919,0,0,507,0,0
Marco de Canaveses,1683,966,966,0,0,717,0,0
Paços de Ferreira,1800,1154,1154,0,0,646,0,0
Penafiel,2165,1452,1452,0,0,713,0,0
Resende,352,200,200,0,0,152,0,0
Douro,6143,3850,3785,65,0,1946,347,0
Alijó,190,133,133,0,0,57,0,0
Armamar,137,137,137,0,0,0,0,0
Carrazeda de Ansiães,118,77,77,0,0,41,0,0
Freixo de Espada à Cinta,0,0,0,0,0,0,0,0
Lamego,1060,725,660,65,0,335,0,0
Mesão Frio,134,91,91,0,0,43,0,0
Moimenta da Beira,398,207,207,0,0,191,0,0
Murça,227,122,122,0,0,105,0,0
Penedono,0,0,0,0,0,0,0,0
Peso da Régua,740,381,381,0,0,359,0,0
Sabrosa,134,102,102,0,0,32,0,0
Santa Marta de Penaguião,0,0,0,0,0,0,0,0
São João da Pesqueira,197,93,93,0,0,104,0,0
Sernancelhe,157,0,0,0,0,157,0,0
Tabuaço,100,68,68,0,0,32,0,0
Tarouca,155,123,123,0,0,32,0,0
Torre de Moncorvo,126,84,84,0,0,42,0,0
Vila Nova de Foz Côa,91,81,81,0,0,10,0,0
Vila Real,2179,1426,1426,0,0,406,347,0
Terras de Trás-os-Montes,3021,1794,1794,0,0,897,330,0
Alfândega da Fé,80,67,67,0,0,13,0,0
Bragança,1329,718,718,0,0,281,330,0
Macedo de Cavaleiros,376,237,237,0,0,139,0,0
Miranda do Douro,136,100,100,0,0,36,0,0
Mirandela,716,387,387,0,0,329,0,0
Mogadouro,140,105,105,0,0,35,0,0
Vila Flor,124,95,95,0,0,29,0,0
Vimioso,0,0,0,0,0,0,0,0
Vinhais,120,85,85,0,0,35,0,0
Centro,71716,42113,41761,352,5,26869,2729,0
Oeste,11612,6976,6976,0,0,4546,90,0
Alcobaça,1688,1057,1057,0,0,631,0,0
Alenquer,1045,765,765,0,0,280,0,0
