,"Ensino secundário público, Total (N.º)","Ensino secundário público, das quais, Ensino regular, Total (N.º)","Ensino secundário público, das quais, Ensino regular, Cursos gerais/
científico-humanísticos (N.º)","Ensino secundário público, das quais, Ensino regular, Cursos tecnológicos (N.º)","Ensino secundário público, das quais, Ensino artístico, Cursos tecnológicos (N.º)","Ensino secundário público, das quais, Cursos profissionais, Cursos tecnológicos (N.º)","Ensino secundário público, das quais, Cursos de aprendizagem, Cursos tecnológicos (N.º)","Ensino secundário público, das quais, Cursos de educação e formação, Cursos tecnológicos (N.º)"
Portugal,277760,185301,185259,42,2591,68700,20824,344
Continente,262687,174618,174576,42,2591,65969,19506,3
Norte,95004,61660,61618,42,1046,24780,7518,0
Alto Minho,6808,4206,4206,0,0,1863,739,0
Arcos de Valdevez,501,290,290,0,0,211,0,0
Caminha,266,252,252,0,0,14,0,0
Melgaço,177,135,135,0,0,42,0,0
Monção,361,306,306,0,0,55,0,0
Paredes de Coura,130,130,130,0,0,0,0,0
Ponte da Barca,250,192,192,0,0,58,0,0
Ponte de Lima,1360,752,752,0,0,608,0,0
Valença,192,173,173,0,0,19,0,0
Viana do Castelo,3423,1828,1828,0,0,856,739,0
Vila Nova de Cerveira,148,148,148,0,0,0,0,0
Cávado,11252,7948,7948,0,66,2507,731,0
Amares,421,258,258,0,0,163,0,0
Barcelos,2766,1913,1913,0,0,853,0,0
Braga,6304,4473,4473,0,66,1034,731,0
Esposende,812,656,656,0,0,156,0,0
Terras de Bouro,92,73,73,0,0,19,0,0
Vila Verde,857,575,575,0,0,282,0,0
Ave,10966,7733,7733,0,0,3233,0,0
Cabeceiras de Basto,313,243,243,0,0,70,0,0
Fafe,1254,972,972,0,0,282,0,0
Guimarães,4511,3204,3204,0,0,1307,0,0
Mondim de Basto,192,104,104,0,0,88,0,0
Póvoa de Lanhoso,552,385,385,0,0,167,0,0
Vieira do Minho,303,219,219,0,0,84,0,0
Vila Nova de Famalicão,3275,2190,2190,0,0,1085,0,0
Vizela,566,416,416,0,0,150,0,0
A. M. Porto,44454,27758,27716,42,972,10437,5287,0
Arouca,609,404,404,0,0,205,0,0
Espinho,1492,1169,1169,0,0,323,0,0
Gondomar,3115,2287,2287,0,0,764,64,0
Maia,2953,2179,2151,28,0,568,206,0
Matosinhos,3560,2660,2660,0,0,900,0,0
Oliveira de Azeméis,1825,940,940,0,0,885,0,0
Paredes,1832,1345,1345,0,0,401,86,0
Porto,9704,4050,4036,14,972,1183,3499,0
Póvoa de Varzim,2331,1765,1765,0,0,566,0,0
Santa Maria da Feira,2621,1380,1380,0,0,572,669,0
Santo Tirso,2062,1209,1209,0,0,853,0,0
São João da Madeira,1530,922,922,0,0,536,72,0
Trofa,736,517,517,0,0,219,0,0
Vale de Cambra,582,346,346,0,0,236,0,0
Valongo,2100,1587,1587,0,0,513,0,0
Vila do Conde,1702,1131,1131,0,0,571,0,0
Vila Nova de Gaia,5700,3867,3867,0,0,1142,691,0
Alto Tâmega,1988,1380,1380,0,0,524,84,0
Boticas,0,0,0,0,0,0,0,0
Chaves,1167,825,825,0,0,258,84,0
Montalegre,169,110,110,0,0,59,0,0
Ribeira de Pena,161,98,98,0,0,63,0,0
Valpaços,221,161,161,0,0,60,0,0
Vila Pouca de Aguiar,270,186,186,0,0,84,0,0
Tâmega e Sousa,11516,7117,7117,0,8,4391,0,0
Amarante,885,532,532,0,0,353,0,0
Baião,458,231,231,0,0,227,0,0
Castelo de Paiva,492,320,320,0,8,164,0,0
Celorico de Basto,526,257,257,0,0,269,0,0
Cinfães,524,262,262,0,0,262,0,0
Felgueiras,1678,979,979,0,0,699,0,0
Lousada,1246,860,860,0,0,386,0,0
Marco de Canaveses,1671,966,966,0,0,705,0,0
Paços de Ferreira,1591,1058,1058,0,0,533,0,0
Penafiel,2093,1452,1452,0,0,641,0,0
Resende,352,200,200,0,0,152,0,0
Douro,5282,3724,3724,0,0,1211,347,0
Alijó,190,133,133,0,0,57,0,0
Armamar,137,137,137,0,0,0,0,0
Carrazeda de Ansiães,118,77,77,0,0,41,0,0
Freixo de Espada à Cinta,0,0,0,0,0,0,0,0
Lamego,857,612,612,0,0,245,0,0
Mesão Frio,134,91,91,0,0,43,0,0
Moimenta da Beira,305,207,207,0,0,98,0,0
Murça,141,122,122,0,0,19,0,0
Penedono,0,0,0,0,0,0,0,0
Peso da Régua,740,381,381,0,0,359,0,0
Sabrosa,134,102,102,0,0,32,0,0
Santa Marta de Penaguião,0,0,0,0,0,0,0,0
São João da Pesqueira,93,93,93,0,0,0,0,0
Sernancelhe,0,0,0,0,0,0,0,0
Tabuaço,100,68,68,0,0,32,0,0
Tarouca,155,123,123,0,0,32,0,0
Torre de Moncorvo,126,84,84,0,0,42,0,0
Vila Nova de Foz Côa,91,81,81,0,0,10,0,0
Vila Real,1961,1413,1413,0,0,201,347,0
Terras de Trás-os-Montes,2738,1794,1794,0,0,614,330,0
Alfândega da Fé,80,67,67,0,0,13,0,0
Bragança,1177,718,718,0,0,129,330,0
Macedo de Cavaleiros,323,237,237,0,0,86,0,0
Miranda do Douro,136,100,100,0,0,36,0,0
Mirandela,638,387,387,0,0,251,0,0
Mogadouro,140,105,105,0,0,35,0,0
Vila Flor,124,95,95,0,0,29,0,0
Vimioso,0,0,0,0,0,0,0,0
Vinhais,120,85,85,0,0,35,0,0
Centro,56273,38422,38422,0,5,15117,2729,0
Oeste,8272,5704,5704,0,0,2478,90,0
Alcobaça,1150,710,710,0,0,440,0,0
Alenquer,1045,765,765,0,0,280,0,0
Arruda dos Vinhos,0,0,0,0,0,0,0,0
Bombarral,307,188,188,0,0,119,0,0
Cadaval,158,144,144,0,0,14,0,0
Caldas da Rainha,1910,1200,1200,0,0,620,90,0
Lourinhã,473,354,354,0,0,119,0,0
Nazaré,83,83,83,0,0,0,0,0
Óbidos,199,122,122,0,0,77,0,0
Peniche,529,424,424,0,0,105,0,0
Sobral de Monte Agraço,252,197,197,0,0,55,0,0
Torres Vedras,2166,1517,1517,0,0,649,0,0
Região de Aveiro,9857,6227,6227,0,5,2921,704,0
Águeda,1575,745,745,0,5,514,311,0
Albergaria-a-Velha,471,220,220,0,0,251,0,0
Anadia,637,427,427,0,0,210,0,0
Aveiro,3188,2200,2200,0,0,595,393,0
Estarreja,725,342,342,0,0,383,0,0
Ílhavo,737,512,512,0,0,225,0,0
Murtosa,96,96,96,0,0,0,0,0
Oliveira do Bairro,462,366,366,0,0,96,0,0
Ovar,1218,895,895,0,0,323,0,0
Sever do Vouga,296,201,201,0,0,95,0,0
Vagos,452,223,223,0,0,229,0,0
Região de Coimbra,11116,7723,7723,0,0,2798,595,0
Arganil,505,162,162,0,0,169,174,0
Cantanhede,635,589,589,0,0,46,0,0
Coimbra,5137,3368,3368,0,0,1348,421,0
Condeixa-a-Nova,300,250,250,0,0,50,0,0
Figueira da Foz,1566,1179,1179,0,0,387,0,0
Góis,0,0,0,0,0,0,0,0
Lousã,329,260,260,0,0,69,0,0
Mealhada,277,265,265,0,0,12,0,0
Mira,212,136,136,0,0,76,0,0
Miranda do Corvo,269,182,182,0,0,87,0,0
Montemor-o-Velho,296,228,228,0,0,68,0,0
Mortágua,207,141,141,0,0,66,0,0
Oliveira do Hospital,435,331,331,0,0,104,0,0
Pampilhosa da Serra,22,22,22,0,0,0,0,0
Penacova,234,163,163,0,0,71,0,0
Penela,0,0,0,0,0,0,0,0
Soure,267,184,184,0,0,83,0,0
Tábua,247,157,157,0,0,90,0,0
Vila Nova de Poiares,178,106,106,0,0,72,0,0
Região de Leiria,7015,4972,4972,0,0,1601,442,0
