,"Estabelecimentos, Total, 2019/2020 (N.º)","Estabelecimentos, Público, 2019/2020 (N.º)","Estabelecimentos, Privado, 2019/2020 (N.º)","Docentes, Total, 2018/2019 (N.º)","Docentes, Público, 2018/2019 (N.º)","Docentes, Privado, 2018/2019 (N.º)","Alunas/os inscritas/os, Total, 2019/2020 (N.º)","Alunas/os inscritas/os, Público, 2019/2020 (N.º)","Alunas/os inscritas/os, Privado, 2019/2020 (N.º)","Alunas/os diplomadas/os, Total, 2018/2019 (N.º)","Alunas/os diplomadas/os, Público, 2018/2019 (N.º)","Alunas/os diplomadas/os, Privado, 2018/2019 (N.º)"
Portugal,284,184,100,35283,27279,8004,396909,323754,73155,81138,66407,14731
Continente,268,170,98,34584,26651,7933,390930,318246,72684,79855,65263,14592
Norte,100,48,52,11622,8007,3615,131742,97335,34407,27347,20582,6765
Alto Minho,9,6,3,414,358,56,4594,4451,143,1051,1021,30
Arcos de Valdevez,0,0,0,0,0,0,0,0,0,0,0,0
Caminha,0,0,0,0,0,0,0,0,0,0,0,0
Melgaço,1,1,0,24,24,0,304,304,0,70,70,0
Monção,0,0,0,0,0,0,0,0,0,0,0,0
Paredes de Coura,0,0,0,0,0,0,0,0,0,0,0,0
Ponte da Barca,0,0,0,0,0,0,0,0,0,0,0,0
Ponte de Lima,3,1,2,75,42,33,532,519,13,145,132,13
Valença,1,1,0,41,41,0,470,470,0,80,80,0
Viana do Castelo,3,3,0,251,251,0,3158,3158,0,739,739,0
Vila Nova de Cerveira,1,0,1,23,0,23,130,0,130,17,0,17
Cávado,10,7,3,1388,1253,135,24873,23641,1232,5373,5098,275
Amares,1,0,1,42,0,42,244,0,244,54,0,54
Barcelos,4,4,0,354,354,0,3518,3518,0,944,944,0
Braga,5,3,2,992,899,93,21111,20123,988,4375,4154,221
Esposende,0,0,0,0,0,0,0,0,0,0,0,0
Terras de Bouro,0,0,0,0,0,0,0,0,0,0,0,0
Vila Verde,0,0,0,0,0,0,0,0,0,0,0,0
Ave,5,0,5,786,463,323,1926,0,1926,426,0,426
Cabeceiras de Basto,0,0,0,0,0,0,0,0,0,0,0,0
Fafe,2,0,2,104,0,104,567,0,567,123,0,123
Guimarães,1,0,1,474,463,11,8,0,8,13,0,13
Mondim de Basto,0,0,0,0,0,0,0,0,0,0,0,0
Póvoa de Lanhoso,0,0,0,0,0,0,0,0,0,0,0,0
Vieira do Minho,0,0,0,0,0,0,0,0,0,0,0,0
Vila Nova de Famalicão,2,0,2,208,0,208,1351,0,1351,290,0,290
Vizela,0,0,0,0,0,0,0,0,0,0,0,0
A. M. Porto,62,23,39,7625,4593,3032,81702,51119,30583,17168,11234,5934
Arouca,0,0,0,0,0,0,0,0,0,0,0,0
Espinho,0,0,0,0,0,0,0,0,0,0,0,0
Gondomar,0,0,0,0,0,0,0,0,0,0,0,0
Maia,3,0,3,440,0,440,4670,0,4670,1026,0,1026
Matosinhos,3,1,2,341,246,95,5552,4364,1188,1083,772,311
Oliveira de Azeméis,2,1,1,105,59,46,810,466,344,142,103,39
Paredes,2,0,2,324,0,324,2115,0,2115,563,0,563
Porto,39,18,21,5606,3811,1795,62029,42514,19515,13158,9650,3508
Póvoa de Varzim,0,0,0,0,0,0,0,0,0,0,0,0
Santa Maria da Feira,2,0,2,58,0,58,583,0,583,124,0,124
Santo Tirso,0,0,0,0,0,0,0,0,0,0,0,0
São João da Madeira,0,0,0,0,0,0,0,0,0,0,0,0
Trofa,0,0,0,0,0,0,0,0,0,0,0,0
