,"Educação pré-escolar, Dependente do Estado (N.º)","Educação pré-escolar, Independente do Estado  (N.º)","Ensino básico, 1º Ciclo, Dependente do Estado (N.º)","Ensino básico, 1º Ciclo, Independente do Estado  (N.º)","Ensino básico, 2º Ciclo, Dependente do Estado (N.º)","Ensino básico, 2º Ciclo, Independente do Estado  (N.º)","Ensino básico, 3º Ciclo, Dependente do Estado (N.º)","Ensino básico, 3º Ciclo, Independente do Estado  (N.º)","Ensino secundário, 3º Ciclo, Dependente do Estado (N.º)","Ensino secundário, 3º Ciclo, Independente do Estado  (N.º)"
Portugal,1329,923,84,433,78,188,74,246,55,324
Continente,1228,920,62,426,73,185,69,245,49,306
Norte,428,223,16,119,16,64,16,102,15,132
Alto Minho,31,2,0,2,0,1,0,5,0,14
Arcos de Valdevez,4,0,0,0,0,0,0,0,0,1
Caminha,3,0,0,0,0,0,0,0,0,2
Melgaço,1,0,0,0,0,0,0,0,0,1
Monção,1,0,0,0,0,0,0,1,0,1
Paredes de Coura,3,0,0,0,0,0,0,0,0,1
Ponte da Barca,1,0,0,0,0,0,0,0,0,1
Ponte de Lima,1,0,0,0,0,0,0,1,0,1
Valença,1,0,0,0,0,0,0,0,0,1
Viana do Castelo,15,2,0,2,0,1,0,3,0,4
Vila Nova de Cerveira,1,0,0,0,0,0,0,0,0,1
Cávado,45,16,2,12,4,8,4,12,3,13
Amares,1,0,0,0,0,0,0,0,0,0
Barcelos,11,0,1,1,3,0,3,3,2,3
Braga,26,11,1,10,1,8,1,7,1,8
Esposende,4,4,0,0,0,0,0,1,0,1
Terras de Bouro,1,1,0,0,0,0,0,0,0,0
Vila Verde,2,0,0,1,0,0,0,1,0,1
Ave,71,14,2,7,3,4,4,10,4,14
Cabeceiras de Basto,1,0,0,0,0,0,1,0,1,0
Fafe,8,2,0,1,0,1,0,2,0,2
Guimarães,32,4,0,2,0,3,0,5,0,6
Mondim de Basto,1,0,0,0,0,0,0,0,0,0
Póvoa de Lanhoso,2,0,0,0,0,0,0,0,0,1
Vieira do Minho,1,0,0,0,0,0,0,0,0,0
Vila Nova de Famalicão,24,8,1,4,2,0,2,3,2,4
Vizela,2,0,1,0,1,0,1,0,1,1
A. M. Porto,196,160,6,82,6,45,5,58,5,69
Arouca,1,0,0,0,0,0,0,0,0,0
Espinho,4,1,0,0,1,0,0,3,0,3
Gondomar,9,13,1,4,1,2,1,2,1,2
Maia,16,15,0,4,0,3,0,2,0,2
Matosinhos,23,14,1,7,0,3,0,5,0,5
Oliveira de Azeméis,12,1,0,3,0,0,0,0,0,0
Paredes,2,4,0,2,0,1,0,1,0,1
Porto,41,50,2,32,2,17,2,23,2,33
Póvoa de Varzim,14,4,0,1,0,1,0,1,0,1
Santa Maria da Feira,21,4,1,2,1,2,1,1,1,2
Santo Tirso,5,5,1,4,1,2,1,4,1,4
São João da Madeira,3,2,0,2,0,1,0,1,0,2
Trofa,2,2,0,1,0,1,0,1,0,1
Vale de Cambra,1,0,0,0,0,0,0,0,0,0
Valongo,5,13,0,6,0,3,0,4,0,2
Vila do Conde,11,3,0,2,0,1,0,0,0,1
Vila Nova de Gaia,26,29,0,12,0,8,0,10,0,10
Alto Tâmega,9,6,1,4,0,0,0,0,0,1
Boticas,1,0,0,0,0,0,0,0,0,0
Chaves,3,5,1,4,0,0,0,0,0,1
Montalegre,0,0,0,0,0,0,0,0,0,0
Ribeira de Pena,2,0,0,0,0,0,0,0,0,0
Valpaços,2,1,0,0,0,0,0,0,0,0
Vila Pouca de Aguiar,1,0,0,0,0,0,0,0,0,0
Tâmega e Sousa,29,16,2,6,2,4,2,9,2,8
Amarante,2,3,1,0,2,0,2,1,2,1
Baião,6,0,0,0,0,0,0,0,0,0
Castelo de Paiva,2,0,0,0,0,0,0,0,0,0
Celorico de Basto,1,0,0,0,0,0,0,0,0,0
Cinfães,0,0,0,0,0,0,0,0,0,1
Felgueiras,6,6,0,2,0,0,0,1,0,1
Lousada,2,2,0,2,0,2,0,2,0,1
Marco de Canaveses,1,1,0,0,0,0,0,1,0,1
Paços de Ferreira,4,3,0,2,0,2,0,3,0,2
