,"Ensino básico, 1º Ciclo, Total (N.º)","Ensino básico, 1º Ciclo, das quais, Ensino regular (N.º)","Ensino básico, 1º Ciclo, das quais, Ensino artístico (N.º)","Ensino básico, 2º Ciclo, Total, Ensino artístico (N.º)","Ensino básico, 2º Ciclo, das quais, Ensino regular (N.º)","Ensino básico, 2º Ciclo, das quais, Ensino artístico (N.º)","Ensino básico, 2º Ciclo, das quais, Cursos de educação e formação (N.º)","Ensino básico, 3º Ciclo, Total, Cursos de educação e formação (N.º)","Ensino básico, 3º Ciclo, das quais, Ensino regular (N.º)","Ensino básico, 3º Ciclo, das quais, Ensino artístico (N.º)","Ensino básico, 3º Ciclo, das quais, Cursos profissionais (N.º)","Ensino básico, 3º Ciclo, das quais, Cursos de educação e formação (N.º)"
Portugal,390966,390565,0,213381,210408,1103,0,338657,317561,1412,350,13928
Continente,370453,370395,0,202102,199524,1103,0,320519,301584,1412,350,12881
Norte,127520,127510,0,70185,69420,581,0,114792,108493,781,282,4494
Alto Minho,7325,7325,0,4151,4141,0,0,6675,6335,0,64,233
Arcos de Valdevez,525,525,0,327,326,0,0,535,499,0,0,24
Caminha,435,435,0,243,243,0,0,421,421,0,0,0
Melgaço,206,206,0,94,94,0,0,153,153,0,0,0
Monção,442,442,0,300,300,0,0,417,380,0,0,37
Paredes de Coura,256,256,0,162,162,0,0,220,220,0,0,0
Ponte da Barca,334,334,0,179,179,0,0,335,335,0,0,0
Ponte de Lima,1399,1399,0,753,752,0,0,1331,1255,0,0,63
Valença,463,463,0,248,245,0,0,369,334,0,0,28
Viana do Castelo,2989,2989,0,1644,1639,0,0,2646,2490,0,64,81
Vila Nova de Cerveira,276,276,0,201,201,0,0,248,248,0,0,0
Cávado,15652,15652,0,8458,8276,173,0,13965,13205,278,0,406
Amares,586,586,0,338,338,0,0,541,486,0,0,55
Barcelos,4223,4223,0,2201,2130,71,0,3648,3401,139,0,108
Braga,7766,7766,0,4218,4112,102,0,7059,6741,139,0,113
Esposende,1295,1295,0,702,702,0,0,1105,1070,0,0,35
Terras de Bouro,176,176,0,127,127,0,0,199,199,0,0,0
Vila Verde,1606,1606,0,872,867,0,0,1413,1308,0,0,95
Ave,14399,14399,0,7794,7771,0,0,12874,12254,0,43,498
Cabeceiras de Basto,539,539,0,360,360,0,0,527,527,0,0,0
Fafe,1657,1657,0,873,873,0,0,1530,1461,0,0,69
Guimarães,5302,5302,0,2878,2874,0,0,4730,4552,0,0,150
Mondim de Basto,190,190,0,117,117,0,0,185,185,0,0,0
Póvoa de Lanhoso,770,770,0,410,410,0,0,682,665,0,0,0
Vieira do Minho,346,346,0,209,209,0,0,290,276,0,0,14
Vila Nova de Famalicão,4721,4721,0,2484,2465,0,0,4075,3756,0,43,242
Vizela,874,874,0,463,463,0,0,855,832,0,0,23
A. M. Porto,64006,63996,0,35143,34623,408,0,56562,53371,503,94,2278
Arouca,801,801,0,427,427,0,0,701,679,0,0,22
Espinho,1121,1121,0,930,891,39,0,1505,1358,0,49,78
Gondomar,5326,5326,0,2803,2803,0,0,4486,4330,0,0,97
Maia,5179,5179,0,2915,2888,0,0,4428,4316,0,0,112
Matosinhos,5996,5996,0,3329,3310,0,0,5059,4653,0,0,381
Oliveira de Azeméis,2042,2042,0,1062,1061,0,0,1787,1699,0,0,74
Paredes,3203,3203,0,1758,1758,0,0,3005,2953,0,0,38
Porto,10699,10689,0,5802,5546,198,0,9680,8732,285,0,508
Póvoa de Varzim,2554,2554,0,1490,1490,0,0,2447,2430,0,0,17
Santa Maria da Feira,4589,4589,0,2254,2254,0,0,3746,3662,0,0,71
Santo Tirso,2213,2213,0,1340,1340,0,0,2393,2265,0,45,83
São João da Madeira,1220,1220,0,692,692,0,0,1194,1175,0,0,19
Trofa,1260,1260,0,748,748,0,0,1168,1092,0,0,76
Vale de Cambra,663,663,0,367,367,0,0,590,553,0,0,37
Valongo,3380,3380,0,1973,1957,16,0,3035,2859,0,0,176
Vila do Conde,2979,2979,0,1409,1409,0,0,2286,2253,0,0,33
Vila Nova de Gaia,10781,10781,0,5844,5682,155,0,9052,8362,218,0,456
Alto Tâmega,2215,2215,0,1223,1220,0,0,2250,2151,0,0,45
Boticas,144,144,0,72,72,0,0,129,113,0,0,16
Chaves,1100,1100,0,586,583,0,0,1109,1067,0,0,0
Montalegre,173,173,0,110,110,0,0,222,210,0,0,0
