,"Nurses per 1 000 inhabitants , No., 2019","Medical doctors per 1 000 inhabitants, No., 2019","Pharmacies and mobile medicine depots per 1000 inhabitants, No., 2019","Hospitalisations in hospitals per 1 000 inhabitants , No., 2018 Po","Surgeries (except minor surgeries) per day in hospitals, No., 2018 Po","Medical appointments in hospitals per inhabitant, No., 2018 Po","Beds (practised allotment) per 1 000 inhabitants in hospitals, No., 2018 Po","Annual bed-occupancy rate in hospitals, %, 2018 Po"
Portugal,7.4,5.4,0.3,112.3,2658.2,2,3.4,79.7
Continente,7.3,5.5,0.3,112.3,2587.5,2,3.3,79.4
Norte,7.4,5.4,0.3,114.1,1083.4,2.3,3.2,78.8
Alto Minho,7.6,3.9,0.3,…,…,…,...,…
Arcos de Valdevez,4.3,2.1,0.3,0,0,0,0,//
Caminha,4,5.2,0.3,0,0,0,0,//
Melgaço,3.2,2.6,0.4,0,0,0,0,//
Monção,4.3,3.6,0.3,0,0,0,0,//
Paredes de Coura,3.4,1.5,0.4,0,0,0,0,//
Ponte da Barca,5.6,2.7,0.3,0,0,0,0,//
Ponte de Lima,4.9,2.6,0.2,42.3,0,0.8,1.2,98.2
Valença,3.2,1.8,0.2,0,0,0,0,//
Viana do Castelo,13.4,5.9,0.3,…,…,…,...,…
Vila Nova de Cerveira,3.6,3.1,0.3,0,0,0,0,//
Cávado,8.2,5.3,0.2,118.1,144,2.9,5,87
Amares,6.3,2.9,0.2,…,…,…,...,…
Barcelos,5.1,2.8,0.2,59.7,18.3,1,6,92.4
Braga,12.2,8.2,0.2,210.5,107.9,5.2,6.5,89.9
Esposende,4.6,4.3,0.2,…,…,…,...,…
Terras de Bouro,4.1,1.6,0.5,0,0,0,0,//
Vila Verde,4.1,1.8,0.2,…,…,…,...,…
Ave,5.4,3.4,0.2,…,…,…,...,…
Cabeceiras de Basto,4.5,2.5,0.3,0,0,0,0,//
Fafe,5.5,3.4,0.2,0,0,0,0,//
Guimarães,6.5,4.1,0.2,150.6,45.4,1.7,2.7,116
Mondim de Basto,4.2,1.3,0.3,0,0,0,0,//
Póvoa de Lanhoso,3.8,1.9,0.2,…,…,…,...,…
Vieira do Minho,4.3,1.3,0.3,0,0,0,0,//
Vila Nova de Famalicão,4.7,3.5,0.2,…,…,…,...,…
Vizela,4.1,2.7,0.2,0,0,0,0,//
A. M. Porto,7.9,7.3,0.3,137.5,682.7,3,3.8,74.4
Arouca,2,1.4,0.3,…,…,…,...,…
Espinho,1.9,7.4,0.3,…,…,…,...,…
Gondomar,3.8,4.3,0.2,0,0,0,0,//
Maia,3.7,6.7,0.2,0,0,0,0,//
Matosinhos,6.5,9.3,0.2,…,…,…,...,…
Oliveira de Azeméis,3.4,2.5,0.2,3.3,0,0.2,0.6,55.5
Paredes,3.6,2,0.2,…,…,…,...,…
Porto,27.8,23,0.5,636.9,371.6,12.2,17.7,81.1
Póvoa de Varzim,7.6,5.5,0.2,…,…,…,...,…
Santa Maria da Feira,5.4,3,0.2,134.3,37.7,1.6,2.3,95.4
Santo Tirso,6.1,3.9,0.3,0,0,0,0,//
São João da Madeira,4.8,4.1,0.2,4.3,15.6,1.7,0.5,27.5
Trofa,4.1,3.5,0.2,…,…,…,...,…
Vale de Cambra,2.2,3.7,0.3,0,0,0,0,//
Valongo,4.5,3.4,0.2,…,…,…,...,…
Vila do Conde,3.9,4.5,0.2,26.7,8.2,0.3,0.7,97.6
Vila Nova de Gaia,6.6,5.9,0.2,135.3,107.5,3.1,3.4,71.1
Alto Tâmega,8.7,3.5,0.4,70.8,6.5,0.6,1.8,77.1
Boticas,6.6,1.4,0.4,0,0,0,0,//
Chaves,12.7,5.4,0.3,155.8,6.5,1.3,3.9,77.1
Montalegre,5.7,1.4,0.6,0,0,0,0,//
Ribeira de Pena,5.5,1,0.3,0,0,0,0,//
Valpaços,5,2.4,0.5,0,0,0,0,//
Vila Pouca de Aguiar,5.1,2.3,0.3,0,0,0,0,//
Tâmega e Sousa,4.8,1.9,0.2,…,…,…,...,…
Amarante,5.8,2.6,0.3,34.8,13.2,0.9,1.3,117.9
Baião,3.7,1.2,0.3,0,0,0,0,//
Castelo de Paiva,1.4,1.4,0.3,0,0,0,0,//
Celorico de Basto,3.9,1.6,0.3,0,0,0,0,//
Cinfães,1.6,1.1,0.4,0,0,0,0,//
Felgueiras,3.6,2.2,0.2,…,…,…,...,…
Lousada,3.4,1.2,0.2,0,0,0,0,//
Marco de Canaveses,2.9,1.6,0.2,…,…,…,...,…
Paços de Ferreira,3.8,2.2,0.2,0,0,0,0,//
Penafiel,10.5,2.4,0.2,302.7,40.9,3.7,5.6,108.1
Resende,2.7,1.8,0.3,0,0,0,0,//
Douro,8.3,3.3,0.4,…,…,…,...,…
Alijó,4.4,1,0.8,0,0,0,0,//
Armamar,3.1,1,0.3,0,0,0,0,//
Carrazeda de Ansiães,4.4,1.1,0.4,0,0,0,0,//
Freixo de Espada à Cinta,5.8,1.2,0.3,0,0,0,0,//
Lamego,6.7,3.9,0.5,54.5,10.8,1.7,1.5,82.2
Mesão Frio,2,2.8,0.8,0,0,0,0,//
Moimenta da Beira,4,1.7,0.3,0,0,0,0,//
Murça,7.1,1.6,0.4,0,0,0,0,//
Penedono,2.3,0.8,0.4,0,0,0,0,//
Peso da Régua,6.1,2.6,0.4,0,0,0,0,//
Sabrosa,4.4,1.2,0.3,0,0,0,0,//
Santa Marta de Penaguião,2.7,1.1,0.3,0,0,0,0,//
São João da Pesqueira,2.5,1.5,0.4,0,0,0,0,//
Sernancelhe,3.5,1.5,0.4,0,0,0,0,//
Tabuaço,1.7,0.8,0.5,0,0,0,0,//
Tarouca,2.2,2.1,0.3,0,0,0,0,//
Torre de Moncorvo,3.9,1.6,0.4,0,0,0,0,//
Vila Nova de Foz Côa,3.5,2,0.6,0,0,0,0,//
Vila Real,19.3,7,0.3,…,…,…,...,…
Terras de Trás-os-Montes,11.6,3.4,0.3,…,…,…,...,…
Alfândega da Fé,5.7,2,0.4,0,0,0,0,//
Bragança,20.9,5.3,0.3,184.8,6.6,1.5,6,67.9
Macedo de Cavaleiros,10.8,2.5,0.3,142.1,4.6,1.1,4.6,93
Miranda do Douro,5.4,1.9,0.3,0,0,0,0,//
Mirandela,8.8,4.1,0.3,…,…,…,...,…
Mogadouro,5.7,2,0.2,0,0,0,0,//
Vila Flor,4.1,1.3,0.3,0,0,0,0,//
Vimioso,7.5,1.7,0.7,0,0,0,0,//
Vinhais,4.4,1.3,0.5,0,0,0,0,//
Centro,7.5,5.1,0.4,105,501.4,1.6,3.1,77.9
Oeste,3.5,2.2,0.3,48.4,29.7,0.8,1.4,72.8
Alcobaça,2.6,1.4,0.3,21.4,0.4,0.2,0.7,82
Alenquer,2,1.7,0.3,0,0,0,0,//
Arruda dos Vinhos,2.4,2.2,0.1,0,0,0,0,//
Bombarral,2.3,1.6,0.3,0,0,0,0,//
Cadaval,2.3,0.7,0.4,0,0,0,0,//
Caldas da Rainha,5.8,3.9,0.3,…,…,…,...,…
Lourinhã,2.1,1.8,0.2,0,0,0,0,//
Nazaré,2.5,1.6,0.4,…,…,…,...,…
Óbidos,1.7,1.1,0.4,0,0,0,0,//
Peniche,2.5,1.7,0.3,27.8,0,0.2,0.9,100.6
Sobral de Monte Agraço,1.5,1.9,0.3,0,0,0,0,//
