,"2018 Po, Total, Personnel employed (N.º)","2018 Po, Doctors, Personnel employed (N.º)","2018 Po, Nurse, Personnel employed (N.º)","2018 Po, Auxiliary personnel, Personnel employed (N.º)","2018 Po, Technician of diagnostics and therapeutics, Personnel employed (N.º)","2018 Po, Other, Personnel employed (N.º)","2018 Po, Total hospitals, Hospitals (emergency service) (N.º)","2018 Po, Public hospitals of universal access and hospitals in public-private partnership, Hospitals (emergency service) (N.º)"
Portugal,137486,26879,43166,31358,9795,26288,7832442,6446132
Continente,129768,25984,40853,29136,9314,24481,7530399,6148912
Norte,43369,9248,13647,9518,2750,8206,2687568,2123463
Alto Minho,...,...,...,...,...,...,...,164439
Arcos de Valdevez,0,0,0,0,0,0,0,0
Caminha,0,0,0,0,0,0,0,0
Melgaço,0,0,0,0,0,0,0,0
Monção,0,0,0,0,0,0,0,0
Paredes de Coura,0,0,0,0,0,0,0,0
Ponte da Barca,0,0,0,0,0,0,0,0
Ponte de Lima,258,42,91,65,24,36,34124,34124
Valença,0,0,0,0,0,0,0,0
Viana do Castelo,...,...,...,...,...,...,...,130315
Vila Nova de Cerveira,0,0,0,0,0,0,0,0
Cávado,4690,823,1262,1045,257,1303,390991,282755
Amares,...,...,...,...,...,...,...,0
Barcelos,972,186,286,212,33,255,64305,64305
Braga,3180,593,900,760,172,755,287102,218450
Esposende,...,...,...,...,...,...,...,0
Terras de Bouro,0,0,0,0,0,0,0,0
Vila Verde,...,...,...,...,...,...,...,0
Ave,...,...,...,...,...,...,...,272812
Cabeceiras de Basto,0,0,0,0,0,0,0,0
Fafe,0,0,0,0,0,0,0,0
Guimarães,1591,403,607,294,99,188,138685,138685
Mondim de Basto,0,0,0,0,0,0,0,0
Póvoa de Lanhoso,...,...,...,...,...,...,...,0
Vieira do Minho,0,0,0,0,0,0,0,0
Vila Nova de Famalicão,...,...,...,...,...,...,...,134127
Vizela,0,0,0,0,0,0,0,0
A. M. Porto,26685,5706,8337,5863,1671,5108,1310143,952615
Arouca,...,...,...,...,...,...,...,0
Espinho,...,...,...,...,...,...,...,0
Gondomar,0,0,0,0,0,0,0,0
Maia,0,0,0,0,0,0,0,0
Matosinhos,...,...,...,...,...,...,...,87158
Oliveira de Azeméis,0,0,0,0,0,0,30029,30029
Paredes,...,...,...,...,...,...,...,0
Porto,16134,3538,5274,3564,1034,2724,489482,402624
Póvoa de Varzim,...,...,...,...,...,...,...,74639
Santa Maria da Feira,2059,418,650,623,122,246,142330,142330
Santo Tirso,0,0,0,0,0,0,0,0
São João da Madeira,0,0,0,0,0,0,38067,38067
Trofa,...,...,...,...,...,...,...,0
Vale de Cambra,0,0,0,0,0,0,0,0
Valongo,...,...,...,...,...,...,...,0
Vila do Conde,174,39,66,34,3,32,0,0
Vila Nova de Gaia,4208,871,1259,980,250,848,283139,177768
Alto Tâmega,547,69,221,154,40,63,54204,54204
Boticas,0,0,0,0,0,0,0,0
Chaves,547,69,221,154,40,63,54204,54204
Montalegre,0,0,0,0,0,0,0,0
Ribeira de Pena,0,0,0,0,0,0,0,0
Valpaços,0,0,0,0,0,0,0,0
Vila Pouca de Aguiar,0,0,0,0,0,0,0,0
Tâmega e Sousa,...,...,...,...,...,...,...,191446
Amarante,195,15,73,64,13,30,24021,24021
Baião,0,0,0,0,0,0,0,0
Castelo de Paiva,0,0,0,0,0,0,0,0
Celorico de Basto,0,0,0,0,0,0,0,0
Cinfães,0,0,0,0,0,0,0,0
Felgueiras,...,...,...,...,...,...,...,0
Lousada,0,0,0,0,0,0,0,0
Marco de Canaveses,...,...,...,...,...,...,...,0
Paços de Ferreira,0,0,0,0,0,0,0,0
Penafiel,1762,417,581,410,107,247,167425,167425
Resende,0,0,0,0,0,0,0,0
Douro,...,...,...,...,...,...,...,128013
Alijó,0,0,0,0,0,0,0,0
Armamar,0,0,0,0,0,0,0,0
Carrazeda de Ansiães,0,0,0,0,0,0,0,0
Freixo de Espada à Cinta,0,0,0,0,0,0,0,0
Lamego,253,18,99,72,20,44,41002,41002
Mesão Frio,0,0,0,0,0,0,0,0
Moimenta da Beira,0,0,0,0,0,0,0,0
Murça,0,0,0,0,0,0,0,0
Penedono,0,0,0,0,0,0,0,0
Peso da Régua,0,0,0,0,0,0,0,0
Sabrosa,0,0,0,0,0,0,0,0
Santa Marta de Penaguião,0,0,0,0,0,0,0,0
São João da Pesqueira,0,0,0,0,0,0,0,0
Sernancelhe,0,0,0,0,0,0,0,0
Tabuaço,0,0,0,0,0,0,0,0
Tarouca,0,0,0,0,0,0,0,0
Torre de Moncorvo,0,0,0,0,0,0,0,0
Vila Nova de Foz Côa,0,0,0,0,0,0,0,0
Vila Real,...,...,...,...,...,...,...,87011
Terras de Trás-os-Montes,...,...,...,...,...,...,...,77179
Alfândega da Fé,0,0,0,0,0,0,0,0
Bragança,687,114,263,166,49,95,46981,46981
Macedo de Cavaleiros,233,15,82,78,23,35,0,0
Miranda do Douro,0,0,0,0,0,0,0,0
Mirandela,...,...,...,...,...,...,...,30198
Mogadouro,0,0,0,0,0,0,0,0
Vila Flor,0,0,0,0,0,0,0,0
Vimioso,0,0,0,0,0,0,0,0
Vinhais,0,0,0,0,0,0,0,0
Centro,27355,5377,9259,6048,2092,4579,1601113,1458079
Oeste,2155,297,713,535,165,445,250974,203144
Alcobaça,130,6,57,43,8,16,25490,25490
Alenquer,0,0,0,0,0,0,0,0
Arruda dos Vinhos,0,0,0,0,0,0,0,0
