,"Pharmacies and mobile medicine depots, Total (N.º)","Pharmacies and mobile medicine depots, Pharmacies (N.º)","Pharmacies and mobile medicine depots, Mobile medicine depots (N.º)","Laboratory pharmacists, Mobile medicine depots (N.º)","Pharmacy technicians, Mobile medicine depots (N.º)"
Portugal,3119,2924,195,9586,4438
Continente,2982,2806,176,9285,4334
Norte,929,909,20,3190,2043
Alto Minho,69,66,3,226,136
Arcos de Valdevez,6,6,0,21,14
Caminha,5,5,0,15,12
Melgaço,3,3,0,11,7
Monção,6,6,0,21,5
Paredes de Coura,3,3,0,6,3
Ponte da Barca,3,3,0,9,8
Ponte de Lima,10,9,1,38,12
Valença,3,3,0,13,5
Viana do Castelo,27,25,2,84,65
Vila Nova de Cerveira,3,3,0,8,5
Cávado,91,91,0,320,210
Amares,4,4,0,14,23
Barcelos,27,27,0,96,37
Braga,38,38,0,150,113
Esposende,8,8,0,26,10
Terras de Bouro,3,3,0,5,1
Vila Verde,11,11,0,29,26
Ave,92,91,1,304,154
Cabeceiras de Basto,4,4,0,12,9
Fafe,9,9,0,36,22
Guimarães,35,35,0,125,61
Mondim de Basto,2,2,0,4,3
Póvoa de Lanhoso,5,5,0,12,8
Vieira do Minho,4,4,0,7,2
Vila Nova de Famalicão,29,28,1,87,44
Vizela,4,4,0,21,5
A. M. Porto,433,432,1,1714,985
Arouca,7,7,0,18,9
Espinho,10,10,0,37,16
Gondomar,33,33,0,126,108
Maia,26,26,0,120,85
Matosinhos,36,36,0,182,99
Oliveira de Azeméis,16,16,0,47,31
Paredes,16,16,0,55,40
Porto,110,110,0,457,181
Póvoa de Varzim,14,14,0,58,35
Santa Maria da Feira,27,27,0,106,35
Santo Tirso,18,17,1,61,31
São João da Madeira,5,5,0,24,24
Trofa,8,8,0,25,19
Vale de Cambra,6,6,0,19,14
Valongo,18,18,0,64,67
Vila do Conde,17,17,0,56,47
Vila Nova de Gaia,66,66,0,259,144
Alto Tâmega,32,31,1,80,103
Boticas,2,2,0,4,5
Chaves,12,12,0,30,62
Montalegre,5,4,1,10,0
Ribeira de Pena,2,2,0,4,3
Valpaços,7,7,0,17,15
Vila Pouca de Aguiar,4,4,0,15,18
Tâmega e Sousa,100,95,5,291,226
Amarante,15,14,1,44,40
Baião,6,6,0,12,10
Castelo de Paiva,4,4,0,11,5
Celorico de Basto,5,5,0,11,5
Cinfães,8,6,2,18,22
Felgueiras,12,12,0,37,29
Lousada,9,9,0,27,18
Marco de Canaveses,12,10,2,33,32
Paços de Ferreira,11,11,0,41,19
Penafiel,15,15,0,49,34
Resende,3,3,0,8,12
Douro,77,68,9,162,161
Alijó,8,6,2,12,12
Armamar,2,2,0,3,2
Carrazeda de Ansiães,2,2,0,4,2
Freixo de Espada à Cinta,1,1,0,2,2
Lamego,12,8,4,21,24
Mesão Frio,3,3,0,5,4
Moimenta da Beira,3,3,0,7,9
Murça,2,2,0,4,3
Penedono,1,1,0,2,0
Peso da Régua,7,7,0,16,21
Sabrosa,2,2,0,6,8
Santa Marta de Penaguião,2,2,0,4,4
São João da Pesqueira,3,2,1,4,2
Sernancelhe,2,2,0,3,3
Tabuaço,3,2,1,6,8
Tarouca,2,2,0,7,1
Torre de Moncorvo,3,3,0,3,3
Vila Nova de Foz Côa,4,3,1,5,6
Vila Real,15,15,0,48,47
Terras de Trás-os-Montes,35,35,0,93,68
Alfândega da Fé,2,2,0,9,1
Bragança,9,9,0,25,23
Macedo de Cavaleiros,4,4,0,10,14
Miranda do Douro,2,2,0,3,0
Mirandela,7,7,0,24,11
Mogadouro,2,2,0,6,12
Vila Flor,2,2,0,4,4
Vimioso,3,3,0,4,0
