,"Place of parturition, Total (N.º)","Place of parturition, Domicile (N.º)","Place of parturition, Hospital establishment (N.º)","Place of parturition, Another place (N.º)"
Portugal,85534,626,84561,347
Continente,81536,604,80593,339
Norte,26964,214,26606,144
Alto Minho,1542,15,1517,10
Arcos de Valdevez,109,0,109,0
Caminha,115,1,114,0
Melgaço,33,0,33,0
Monção,100,0,99,1
Paredes de Coura,57,0,57,0
Ponte da Barca,63,1,60,2
Ponte de Lima,284,2,281,1
Valença,89,3,86,0
Viana do Castelo,622,6,610,6
Vila Nova de Cerveira,70,2,68,0
Cávado,3376,17,3339,20
Amares,149,0,149,0
Barcelos,852,4,845,3
Braga,1683,12,1661,10
Esposende,276,0,275,1
Terras de Bouro,31,0,31,0
Vila Verde,385,1,378,6
Ave,3171,18,3144,9
Cabeceiras de Basto,85,1,84,0
Fafe,331,4,327,0
Guimarães,1232,6,1225,1
Mondim de Basto,28,2,25,1
Póvoa de Lanhoso,141,0,141,0
Vieira do Minho,67,0,66,1
Vila Nova de Famalicão,1089,4,1079,6
Vizela,198,1,197,0
A. M. Porto,13725,130,13520,75
Arouca,128,0,127,1
Espinho,213,1,211,1
Gondomar,1334,12,1322,0
Maia,1058,18,1033,7
Matosinhos,1397,11,1381,5
Oliveira de Azeméis,454,3,449,2
Paredes,678,9,663,6
Porto,1943,16,1921,6
Póvoa de Varzim,564,4,558,2
Santa Maria da Feira,1033,13,1008,12
Santo Tirso,453,6,443,4
São João da Madeira,142,6,136,0
Trofa,276,4,272,0
Vale de Cambra,139,0,139,0
Valongo,785,10,773,2
Vila do Conde,677,3,667,7
Vila Nova de Gaia,2451,14,2417,20
Alto Tâmega,420,2,418,0
Boticas,23,0,23,0
Chaves,210,2,208,0
Montalegre,32,0,32,0
Ribeira de Pena,35,0,35,0
Valpaços,72,0,72,0
Vila Pouca de Aguiar,48,0,48,0
Tâmega e Sousa,3016,19,2975,22
Amarante,336,1,332,3
Baião,124,2,122,0
Castelo de Paiva,94,4,90,0
Celorico de Basto,117,0,117,0
Cinfães,137,0,136,1
Felgueiras,437,2,431,4
Lousada,388,4,380,4
Marco de Canaveses,341,3,335,3
Paços de Ferreira,455,0,451,4
Penafiel,535,2,531,2
Resende,52,1,50,1
Douro,1084,10,1068,6
Alijó,55,0,54,1
Armamar,26,0,26,0
Carrazeda de Ansiães,34,1,33,0
Freixo de Espada à Cinta,25,0,25,0
Lamego,149,1,148,0
Mesão Frio,17,1,16,0
Moimenta da Beira,53,0,52,1
Murça,19,0,19,0
Penedono,11,0,11,0
Peso da Régua,103,3,100,0
Sabrosa,34,0,34,0
Santa Marta de Penaguião,24,1,23,0
São João da Pesqueira,36,0,35,1
Sernancelhe,32,0,32,0
Tabuaço,27,0,27,0
Tarouca,45,1,44,0
Torre de Moncorvo,43,0,43,0
Vila Nova de Foz Côa,37,0,37,0
Vila Real,314,2,309,3
Terras de Trás-os-Montes,630,3,625,2
Alfândega da Fé,27,0,26,1
Bragança,245,2,243,0
Macedo de Cavaleiros,71,1,70,0
Miranda do Douro,20,0,20,0
Mirandela,149,0,148,1
Mogadouro,26,0,26,0
Vila Flor,39,0,39,0
Vimioso,27,0,27,0
Vinhais,26,0,26,0
Centro,15673,98,15520,55
Oeste,2842,21,2815,6
Alcobaça,376,4,371,1
Alenquer,404,3,400,1
Arruda dos Vinhos,128,2,126,0
Bombarral,77,2,75,0
Cadaval,76,0,75,1
Caldas da Rainha,357,2,355,0
Lourinhã,222,0,222,0
Nazaré,117,0,117,0
Óbidos,98,1,97,0
Peniche,238,1,236,1
Sobral de Monte Agraço,80,0,80,0
Torres Vedras,669,6,661,2
Região de Aveiro,2945,6,2929,10
Águeda,361,0,361,0
Albergaria-a-Velha,183,0,183,0
Anadia,184,2,181,1
Aveiro,691,1,688,2
Estarreja,193,0,192,1
Ílhavo,350,1,348,1
Murtosa,82,0,82,0
Oliveira do Bairro,210,1,207,2
Ovar,425,1,421,3
Sever do Vouga,69,0,69,0
Vagos,197,0,197,0
Região de Coimbra,3020,16,2991,13
Arganil,62,0,61,1
Cantanhede,230,0,228,2
Coimbra,1133,1,1128,4
Condeixa-a-Nova,119,0,119,0
Figueira da Foz,389,2,387,0
Góis,25,0,25,0
Lousã,104,1,103,0
Mealhada,142,0,141,1
Mira,97,0,96,1
Miranda do Corvo,68,0,68,0
Montemor-o-Velho,175,0,175,0
Mortágua,58,1,56,1
Oliveira do Hospital,136,7,127,2
Pampilhosa da Serra,9,0,9,0
Penacova,55,1,54,0
Penela,20,0,20,0
Soure,88,1,87,0
Tábua,70,2,68,0
Vila Nova de Poiares,40,0,39,1
Região de Leiria,2154,19,2128,7
Alvaiázere,33,1,32,0
Ansião,67,0,67,0
Batalha,123,1,122,0
Castanheira de Pêra,4,0,4,0
Figueiró dos Vinhos,34,1,33,0
Leiria,1044,6,1034,4
Marinha Grande,297,1,294,2
Pedrógão Grande,15,2,13,0
Pombal,352,3,349,0
Porto de Mós,185,4,180,1
Viseu Dão Lafões,1674,12,1660,2
Aguiar da Beira,23,1,22,0
Carregal do Sal,57,0,57,0
Castro Daire,79,0,79,0
Mangualde,113,0,113,0
Nelas,92,0,92,0
Oliveira de Frades,77,1,76,0
Penalva do Castelo,27,0,27,0
Santa Comba Dão,63,0,63,0
São Pedro do Sul,89,2,87,0
Sátão,72,1,71,0
Tondela,132,3,129,0
Vila Nova de Paiva,22,0,22,0
Viseu,763,4,757,2
