,"Quintiles of gross reported income by taxable person, 1st quintile, €","Quintiles of gross reported income by taxable person, 2nd quintile, €","Quintiles of gross reported income by taxable person, 3rd quintile, €","Quintiles of gross reported income by taxable person, 4th quintile, €","Distribution of the number of taxable persons by gross reported income class, Less than  5 000 €, No.","Distribution of the number of taxable persons by gross reported income class, From 5 000 to less than 10 000 €, No.","Distribution of the number of taxable persons by gross reported income class, From 10 000 to less than 13 500 €, No.","Distribution of the number of taxable persons by gross reported income class, From  13 500 to less than 19 000 €, No.","Distribution of the number of taxable persons by gross reported income class, From  19 000 to less than 32 500 €, No.","Distribution of the number of taxable persons by gross reported income class, 32 500 € or more, No."
Portugal,5346,8123,11059,17464,1285309,2674548,1185254,904640,845392,437281
Continente,5364,8128,11077,17478,1221491,2558310,1134341,868310,806780,420625
Norte,4956,7576,9920,15193,516283,1024078,388517,266621,236089,115190
Alto Minho,4618,7116,9506,13866,38349,67066,26143,16370,13513,5115
Arcos de Valdevez,3968,6023,8388,11806,4528,6135,1979,1119,861,288
Caminha,4507,7039,9652,14837,2820,4516,1736,1112,1079,504
Melgaço,4095,6473,8652,12395,1459,2322,749,453,343,109
Monção,4268,6515,8983,12898,3186,4991,1844,1108,850,286
Paredes de Coura,4507,6418,8730,11990,1618,2785,993,500,344,106
Ponte da Barca,3904,5856,8287,11396,2628,3503,1026,590,466,160
Ponte de Lima,4418,6642,8750,12090,7500,12819,4191,2271,1703,560
Valença,4868,7208,9539,12909,2060,4181,1820,1000,588,192
Viana do Castelo,5267,8041,10736,16261,11296,23281,10598,7520,6763,2747
Vila Nova de Cerveira,5046,7728,10055,14086,1254,2533,1207,697,516,163
Cávado,5040,7683,9853,14975,56603,118146,43805,29559,26363,12344
Amares,4451,6721,8806,12604,3194,5515,1782,1078,852,282
Barcelos,4940,7349,9008,12491,16590,38719,12330,7107,4891,1851
Braga,5561,8315,11281,18300,21878,48284,21729,16083,16563,8647
Esposende,4777,7386,9557,14520,5225,9848,3484,2420,2076,991
Terras de Bouro,4050,6101,8416,11800,1332,1851,584,355,265,64
Vila Verde,4246,6370,8409,11846,8384,13929,3896,2516,1716,509
Ave,5280,7608,9340,13173,54789,142503,48904,27889,21776,8350
Cabeceiras de Basto,3955,5944,8120,11361,3142,4406,1159,737,537,191
Fafe,4612,6780,8512,12003,8290,17092,4493,2669,2327,772
Guimarães,5619,7894,9536,13341,17933,56226,19566,10653,8359,3727
Mondim de Basto,3977,5607,8047,11089,1450,1812,456,293,237,58
Póvoa de Lanhoso,4147,6365,8380,11606,3921,6256,1853,1003,756,238
Vieira do Minho,4060,5888,8209,11812,2455,3310,1017,612,457,137
