,"Rate of employees in establishments with < 10 workers, %","Rate of employees in establishments with > 250 workers, %","Mean monthly earning , €","Proportion of employees with higher education, %","Proportion of employees who changed the enterprise , %","Net attraction rate of employees, %","Disparity in mean monthly earning by sex, %","Disparity in mean monthly earning by enterprise size class , %","Disparity in mean monthly earning  by sector of activity, %","Disparity in mean monthly earning  by level of education, %","Disparity in mean monthly earning  by main occupation, %"
Portugal,20.7,28.9,1166.9,22,7.5,x,9.6,18.7,5.1,32.4,39.4
Continente,20.7,29.1,1170.3,22.3,7.6,ə,9.7,18.7,5.3,32.5,39.5
Norte,21.7,23.9,1056.6,19.1,6.9,ə,9.2,17.7,4.8,29.6,35.5
Alto Minho,25.3,27.2,978.1,15.2,8.1,1.5,8.7,16.4,3.3,24.6,29.1
Arcos de Valdevez,23.7,33.9,882.1,13,8.6,3.4,8.1,12.4,2.5,26.1,30.1
Caminha,39.7,9.9,880.9,14.3,5.7,-1.1,6.8,17.9,11.3,19,31.6
Melgaço,42,9.6,858.1,15,6.2,-3,8.1,19.9,3,22.4,28.8
Monção,37.7,9,860.2,12.4,7,-0.6,4.8,12.2,2.6,14.1,19.5
Paredes de Coura,26.6,9.5,891.1,12.5,5.5,-0.7,6.5,23.5,2.7,25.9,32.9
Ponte da Barca,41.2,8.1,846.9,11.8,4,-1.2,4.5,26.5,2.7,15,23.5
Ponte de Lima,29,26.2,895.6,12.6,9.1,4,7,13.6,4.1,20.1,23
Valença,29.2,33.6,919.2,11.2,8.6,3.7,8.9,9.1,9.6,14.8,20.9
Viana do Castelo,20.7,29.6,1070.7,18.6,8.2,0.1,9,21.6,3.8,27.4,33.7
Vila Nova de Cerveira,13.2,42.8,1066.6,13.1,10.3,6.1,10,13.9,7.9,26.1,33
Cávado,23,17.9,988.7,17.8,6.6,0.5,8.3,16.3,3.7,23.3,30
Amares,34.2,4.1,881.7,9.4,4.1,-1.1,7.7,23.9,3.6,14,21.3
Barcelos,22.9,11.6,911.9,11.6,5.4,0.4,7.4,13.2,3.7,19.7,27
Braga,20,25.1,1076.6,23.4,7.3,0.7,8.4,16.3,1.5,24.2,32.4
Esposende,27.2,10.7,922.5,16.2,9.1,0.5,7.3,12.9,2.4,21.6,26.1
Terras de Bouro,34.9,7.7,870,12.1,4.2,-2.6,18.6,54.8,29.5,27.5,32.2
Vila Verde,34,10.4,850.6,12.9,5.5,0.3,5.5,10.6,7.1,17,20.4
Ave,20.1,20.3,952.1,12.8,5.9,0.2,9.2,17.1,2.2,24.6,29.9
Cabeceiras de Basto,33,4.2,771.9,10.6,3.8,-0.9,2.7,16.5,6.8,12.5,16.7
Fafe,27.9,7.7,827.8,10.2,5.9,-0.9,4.7,13.2,4.3,16.4,21.6
Guimarães,18.8,17.8,945.4,13.5,5.7,ə,6.5,14.1,5.2,25,32.2
Mondim de Basto,43.8,1.8,774.9,10.5,3.9,0.9,1.4,23.3,5,18.8,21.7
Póvoa de Lanhoso,27.3,10.6,840,11.5,5.4,1.8,2.9,17.2,4.1,16.8,20.8
Vieira do Minho,38.9,5.7,805.5,11.1,5.9,-3.6,2.8,20.4,5.7,16,21.1
Vila Nova de Famalicão,17.5,29.6,1036.8,13.9,6.4,1.1,13.3,18.7,3.7,27.1,31.3
Vizela,20.3,15.5,843,7.4,5.6,-1.3,7.9,11.6,4.3,15.8,22.5
A. M. Porto,19.6,29.8,1164.6,23.5,7.6,-0.2,9.7,16.8,3.2,31.4,38.8
Arouca,28.2,2,888.8,12.2,4.8,ə,6.3,15.9,2.8,18.1,22.1
Espinho,30.5,15.3,976.9,17.2,4.6,-0.6,8.7,18.8,1.5,25.3,38.3
Gondomar,28.1,16.2,972.4,17.7,5.9,-0.2,4,14.9,2.2,21.3,27.2
Maia,13.8,40.4,1210.9,23.2,10.4,0.3,11.7,12.1,2,32.1,44
Matosinhos,16.9,36.5,1284.6,30.2,9.3,-1.5,11.8,17,7.1,31.6,39.6
Oliveira de Azeméis,15.6,29.3,1097.2,12.6,6.9,2.4,14.3,16.4,7.3,26.6,34.9
Paredes,25.3,6.8,884.2,12.4,7.8,1.8,4.2,16.3,5.9,24.7,26.1
Porto,18.3,39.3,1374.5,37.7,7.6,-1.3,12,19.5,2.2,31,41
Póvoa de Varzim,30.7,12.5,976.6,14.8,5.4,ə,9.2,21.9,17,23,32.1
Santa Maria da Feira,23.9,17.6,1046.1,13.5,5.3,-0.5,9.9,13.5,1.3,26,36
Santo Tirso,19.6,15.1,978.8,13,5.6,0.7,9.4,14.4,0.9,27.5,31.8
São João da Madeira,13.9,35.7,1057.5,17.9,9.6,-1.4,11.5,7.8,1.6,29.2,39.6
Trofa,18.4,32.6,1064.8,14.8,7.8,0.3,6.9,21.5,6.2,37.6,39.6
Vale de Cambra,15.8,34.7,1107.9,16,7.1,0.4,13.1,13,6.7,28.4,37.1
Valongo,25.5,18.2,1039.1,16,5.9,ə,8.5,17.5,1.7,23.2,29.5
Vila do Conde,21.4,23.1,1102.4,16.2,6.1,0.2,10.6,15.8,1.6,27.4,33.9
Vila Nova de Gaia,19.5,31.5,1132.7,23.2,7.4,0.7,7.9,15.9,1.5,28.7,36.4
Alto Tâmega,33.9,14.5,941.5,14.6,5.1,ə,11.1,24.9,4.9,19.7,29.4
Boticas,24.9,26.5,837.2,9.9,3.5,-0.2,3.2,6.9,3.3,19,26.2
Chaves,33.3,18.8,944,15.1,5.3,-2.1,11.2,26.6,2.2,19.9,34.3
Montalegre,41.5,7.1,853.9,14.8,3.8,1.4,4.9,36,2.2,15.1,21.4
Ribeira de Pena,18.6,6.7,1184.2,17.8,6.9,2.1,17.1,34.4,18.4,26.7,32.3
Valpaços,45.2,3.2,838,14.2,4.1,0.4,4.4,24,2.6,16.5,22.9
Vila Pouca de Aguiar,36.4,12.8,966.8,12.9,5.5,5.5,12.1,34.9,12.5,24.6,29.6
Tâmega e Sousa,23.1,9.8,858.4,9.2,6,-0.2,6.4,14.4,5.8,20.2,24
Amarante,32.1,4.3,878.1,13.3,5.8,-0.9,3.9,16.3,5.6,21.7,23.7
Baião,32.1,2.6,815.4,10,6,-2.1,6.4,18.7,2.4,15.9,15.9
Castelo de Paiva,23.3,4.5,827.6,7.8,5.2,3.7,4.4,8.8,4.7,18.1,21.2
Celorico de Basto,31.7,3.3,764,8.2,3.8,0,3.9,14.7,3.5,14,15.8
Cinfães,21.7,1.1,844.3,5.8,14.1,-1,5.8,12.9,4.1,10.1,12.4
Felgueiras,18.2,7,845.4,6.5,5.6,-0.8,8.8,11.2,4.6,15.9,25.2
Lousada,20.7,9.2,821.7,6.9,6.5,0.1,9.7,6,5.9,14.4,19.3
Marco de Canaveses,24.1,3.1,856.6,8,6.8,-0.1,8,13.5,0.9,13.7,18.7
Paços de Ferreira,23.9,17.7,846.3,8.4,5.4,0.1,5.6,13,7.6,20.2,22.3
Penafiel,21.5,18.5,939.9,14.5,5.4,0.1,3.5,27.1,9.5,32.8,36.5
Resende,41.4,3,785.9,14.1,4.1,-0.2,1.4,24.9,4.5,14.5,19.2
Douro,33.3,14.2,936.2,19,4.9,-0.6,5.3,24.7,3.6,25.8,30.8
Alijó,39.9,8.1,886.1,15.2,6.3,-5.7,8.5,17.4,9.4,22.9,30.2
Armamar,44.8,0.5,844.3,13.3,3.8,0.2,5.6,15.8,1.9,19.5,25.6
Carrazeda de Ansiães,47.6,7.5,843.3,13.9,4.8,-1.7,4.4,22.1,6,22,25
Freixo de Espada à Cinta,26.8,5.5,857.5,13.6,2.2,0.9,2.7,23.3,6.3,26.2,26.6
Lamego,34.2,11.4,897.6,16.9,4.4,-0.7,6,18.5,4.4,22.1,29.2
Mesão Frio,35.7,4.6,916.6,11.6,7.5,-13.7,17,32.2,17.5,12.4,27
Moimenta da Beira,37.1,1.7,810.5,16.6,3.6,0.3,6.3,18.3,2.5,15.8,20.5
Murça,41.7,8.8,901,20.1,4.1,2.4,2.1,15.9,5.8,21.8,26.9
Penedono,56.1,1.8,771.4,14,2.6,-1.2,1.6,25,7.3,15.2,16.9
Peso da Régua,36,14.9,981.5,17.3,2.7,-1.9,13.2,34.6,17.1,25.2,28.6
Sabrosa,30.2,3.8,928.9,18.8,5.8,1.9,2.3,11.7,5.1,27.2,29.5
Santa Marta de Penaguião,33,1.1,850.9,21.8,2.1,0.3,1.7,20.9,2.5,21.9,23.8
São João da Pesqueira,42.7,8,874.9,14.3,5.1,-0.7,6,19.6,2.2,24.5,26.6
Sernancelhe,38.9,3.9,804.1,13.6,5.2,0.3,3.5,24.8,4,16.9,20.5
Tabuaço,28.2,4.8,923.6,17.5,4.5,5.6,7.1,27.3,8.2,23.8,28.9
Tarouca,28.3,1.2,857.3,12.3,5.5,-10.5,2.5,21,1.9,21.3,29.4
Torre de Moncorvo,37.6,5.9,852.5,14.9,2.8,-1,4.1,22.6,5.7,19.7,25.6
Vila Nova de Foz Côa,33.1,8.5,927.6,17.8,5.2,0.6,10.2,19,10.2,20.1,22
Vila Real,26.8,28,1037.5,25.1,6,1.3,3.8,27.1,4,30.5,39.3
Terras de Trás-os-Montes,35.6,20.3,918.1,21.6,4.4,-0.5,4.7,22.8,3,23.2,28.1
Alfândega da Fé,39.6,2.8,815.9,17.3,2.2,1.4,1,19.9,6,16.7,21
Bragança,29.3,30.4,980.6,26.5,6.1,0.3,4.3,23.5,2.2,25.4,31.6
Macedo de Cavaleiros,45.3,10.4,856.9,17.3,3,-2.3,4.1,23.5,5.4,22.6,27.7
Miranda do Douro,40.7,7.4,873.3,14.1,3.3,0.6,9,33.6,8.1,15.7,26.7
Mirandela,34.1,22.8,927.8,21.7,3.6,-1.4,4.7,21.8,4.6,23.3,28.8
Mogadouro,49.1,4.5,844.3,16.3,2.7,-0.5,6.1,27.1,3.5,12,19.5
Vila Flor,26.9,17.6,866.9,14.9,3,-2.2,4.5,17.9,6.3,22.2,24.4
Vimioso,40.7,6.6,838.2,21.3,2.7,0,4.1,24.7,5,20.9,20.5
Vinhais,55.1,5.1,782.2,13.8,4.4,0.6,4.4,17.5,5.9,21.2,26.1
Centro,22.9,22.3,1032.8,17.9,6.9,0.2,11.2,14.5,5,22.1,28.9
Oeste,25.9,16.5,984.7,13.4,8,1.1,10.2,13.1,4.1,20.4,26.5
Alcobaça,26,5.6,968.4,13.3,7.2,0.5,10.8,12.6,5.3,15.8,24.3
Alenquer,17,31.2,1131.8,12.7,6.6,-0.8,10.6,14.6,4.5,28.7,36.1
Arruda dos Vinhos,23.4,21.4,1080.2,16.7,7.7,-6,10,19.2,3.1,23.8,28
Bombarral,31.4,10.2,902.6,10.6,8.7,3.3,6.7,11.8,5.3,20,21.4
Cadaval,29.1,7.2,943.7,12.7,6.9,1,9.9,22.5,5.1,19,26.3
Caldas da Rainha,25.7,29.5,943,12.8,12,9.8,11,13.4,6.2,18.2,25.4
Lourinhã,39.2,3.6,904.2,10.5,7.6,1.5,8.2,13.8,5.1,11.2,18.2
Nazaré,32.1,16.5,881.1,11.8,7,-1.8,8.1,14,4.9,17.8,22.9
Óbidos,25.3,6.4,966.8,23.4,9.2,-3.8,9.5,12.3,1.2,22.1,27.5
Peniche,31.3,15.8,904.2,12,5.9,-1.4,8.7,8.5,2.6,16.9,24.6
Sobral de Monte Agraço,31.2,6.4,949.6,9.2,7.3,-6,8,17.6,5.7,16.9,20.2
Torres Vedras,24.9,14.6,1000.1,14,7.4,-0.1,8.2,14.2,5.9,23.3,28.8
Região de Aveiro,17.2,28.1,1091,19.3,7.8,0.1,12.4,12.7,5.1,25.2,32.4
Águeda,17.7,9.7,1031.6,17.4,6.9,ə,12.2,7.6,2.9,20.9,31.3
Albergaria-a-Velha,17.3,17.7,1079.8,15.8,8.7,0.7,11.4,12,5.2,21.1,30.3
Anadia,20.3,22.6,1006.5,16.6,6,1,9.4,12.6,6.6,20.4,25.7
Aveiro,14.6,42,1196.5,26,9.4,-1.9,13.6,14.5,9.6,28.2,34.4
Estarreja,13.3,35.2,1224.3,15.2,7.1,2.5,15.4,19.3,11.6,22.2,32.6
Ílhavo,20.1,26.2,1094.6,19.2,6.8,1.9,15.2,14.4,0.8,26,35.9
Murtosa,27,18.4,890.8,12.5,6.7,0.9,8.7,17.2,0.4,20.2,26
Oliveira do Bairro,20.1,7.6,1008.4,17.3,6.9,0.2,11.3,9.9,5,19.3,29.1
Ovar,15.5,36.2,1032.4,15.4,6.8,-0.4,9.7,11.4,6.8,27.3,34.5
Sever do Vouga,28.7,2.3,1000.2,15.7,7.1,1.4,10.8,15.4,9.6,22.2,28.1
Vagos,21.4,32.2,993.3,18.6,10.2,5.6,7.6,11.2,7.4,25.5,28.8
Região de Coimbra,22.5,25.1,1052.5,21.2,6.2,-0.3,11.9,15.6,3.8,23.6,30.4
Arganil,25.1,6.4,851.4,10.8,5.4,1,10.4,12.1,4.9,14.4,20.8
Cantanhede,21.1,24.3,1051.3,18.4,6.2,0.3,11.3,14.2,7.1,25.6,31.6
Coimbra,22,33.5,1134.4,30.3,6.4,-0.8,11,15.6,3.2,26.1,33.8
Condeixa-a-Nova,20.9,14.4,966.6,20.2,5.2,0.5,9.2,11,2.1,16.4,23.6
Figueira da Foz,19.4,32.1,1170.9,17.8,6.5,-0.8,16.5,21.1,14.6,24,31.4
Góis,37.8,7.4,784.4,12.1,4,-3.9,0.2,8.3,4.7,16.5,19.9
Lousã,27.7,17.6,964.4,19.5,4,-1,8,19.8,5.8,21.6,23.2
Mealhada,16.6,24.2,1076.1,15.7,6.6,0.3,12.2,14.3,3.7,15.6,25.8
Mira,32.4,1.6,923.9,16.1,5.3,0.9,10.7,16.4,2.7,18.9,32.2
Miranda do Corvo,35.6,24.3,867,17.7,3.8,-0.7,6.1,11,3.5,13.8,21.5
Montemor-o-Velho,28.2,4.9,933,13.1,7.2,0.4,8.8,11.6,4.2,13.6,22.3
Mortágua,20,14,979.4,24.5,8.4,2.2,11,12.2,4.8,19.6,29
Oliveira do Hospital,23.3,18.8,863,13.4,3.7,0.2,9,15.2,1.6,18.1,23.7
Pampilhosa da Serra,29.7,7.9,840.9,9.1,2.7,-0.7,4.9,10.7,6.4,16.8,20.5
Penacova,34.3,2.9,961.6,10.4,6.7,-1.3,10.9,22.4,13.8,10.2,21.9
Penela,22.1,1.1,893.3,17.5,7.4,0.5,7.8,10,6.2,15,23.7
Soure,28.3,9.2,940.1,13.9,5.7,1.8,13.1,12.9,10.2,18.7,25.6
Tábua,18.3,35,859.1,9.9,8,-0.1,7.3,9.2,6.2,22.8,32.9
Vila Nova de Poiares,22.3,22.4,934.3,9.6,4.6,0.9,8.6,19,4.3,21.6,24.7
Região de Leiria,23.7,14.9,1087.5,17.9,7.6,-0.2,12,12.8,6.9,17.5,25.8
Alvaiázere,30.7,21.1,884.4,10.6,6.8,2.7,5.4,18.7,5.6,12.2,17.2
Ansião,31.5,2.1,890.2,12.6,6.5,1,8.9,15.7,2.4,16.8,20.6
Batalha,24,8.1,1011.3,13.9,6.9,-1.8,10.7,9.6,2.5,14.3,23.8
Castanheira de Pêra,16.4,1.2,912.9,12.3,4.6,3.6,11,18.1,8.7,19.8,24.8
Figueiró dos Vinhos,47.4,4.8,875.4,16.2,4.8,-3.4,4.6,30.5,2.1,16.7,23.5
Leiria,22.4,19.3,1092,20.4,8,-0.6,11.1,12.6,5.5,18,26.8
Marinha Grande,17.7,13.3,1303.6,20.5,7.7,0.3,16.4,13.6,13.1,13.5,29.4
Pedrógão Grande,48.5,6.1,850.4,17.7,7.6,2.2,0.3,28.7,4.9,22,27.8
Pombal,27.9,12,996.9,13.1,7.1,0.2,10.8,12.2,3.2,18.3,21.5
Porto de Mós,25.4,7.7,1055.1,13.7,6.9,0.7,10.4,14.8,3.8,18.7,26.1
Viseu Dão Lafões,23.2,28.3,986.6,17.2,6.8,0.6,8.9,16,3,22.5,28.6
Aguiar da Beira,47.3,1.7,786.6,12.5,4.3,-0.4,5.1,20.8,1.3,14.2,17.4
Carregal do Sal,15.8,14.7,945.9,17.2,7.7,-2.3,8.1,10,1,20.8,37.1
Castro Daire,41.4,19.2,848.5,10.5,3.1,-1.5,8,22.2,2.8,11.5,21.3
Mangualde,13.4,50.4,1098.4,11.2,7.2,1.2,16.2,17.2,5.4,15,22.4
Nelas,14.2,33.3,1035.6,15.1,6.6,0.5,13.2,17.8,5.2,22.1,39
Oliveira de Frades,17,21.3,1119.8,19,6.3,2.3,11.5,15.6,8.5,33,39.4
Penalva do Castelo,28.3,6.1,867,11.1,4.8,0.6,8.1,17.6,4.6,15.1,25.7
Santa Comba Dão,35,5.4,904.9,13.8,6,1.3,9.4,10.2,1,17.4,20.5
São Pedro do Sul,30.1,15.1,805.8,10.7,4.1,-2.6,6.2,13.9,3,17.9,22.7
Sátão,39.3,1.9,791.8,9.1,4.7,-1.9,4,16.8,4,14.3,17.1
Tondela,20.5,31.7,1062.6,17.4,7.1,4.4,10.1,20.6,13.3,28.6,35.9
Vila Nova de Paiva,37.4,3,811.6,9.7,4.8,1.4,4.4,23.4,7.8,13.6,16.8
Viseu,23.5,30.9,987.1,21.4,7.6,-0.2,5.1,16,3.6,23.1,29.2
Vouzela,24.1,34.4,904.5,11.8,7.3,3.3,9.9,10.8,3,20.7,30
Beira Baixa,26.6,23.5,961.4,18.1,5.7,0.2,8.1,15.5,4.8,22.2,27.9
Castelo Branco,24.7,30.1,957.1,18.6,5.9,0.3,6.9,12.5,3.6,22.3,28.2
Idanha-a-Nova,43.9,3,885.2,17.5,4.4,0.3,4.2,14.3,5.3,21.9,24.3
