,"Live births, Total, MF (N.º)","Live births, Total, M (N.º)","Live births, Total, F (N.º)","Live births, Outside marriage, Total (N.º)","Live births, Outside marriage, Cohabitant parents (N.º)","Deaths, Total, MF (N.º)","Deaths, Total, M (N.º)","Deaths, Total, F (N.º)","Deaths, Aged under 1 year, F (N.º)"
Portugal,86579,44539,42040,49140,33163,111793,55824,55969,246
Continente,82556,42450,40106,47003,31742,106842,53408,53434,236
Norte,27275,14023,13252,13379,8883,34947,17649,17298,68
Alto Minho,1561,768,793,768,645,3065,1431,1634,5
Arcos de Valdevez,110,50,60,51,40,337,156,181,0
Caminha,116,56,60,78,63,219,105,114,0
Melgaço,35,13,22,22,21,179,90,89,1
Monção,100,50,50,51,42,296,136,160,0
Paredes de Coura,57,25,32,27,26,121,57,64,0
Ponte da Barca,64,26,38,30,25,159,76,83,1
Ponte de Lima,287,148,139,91,74,472,216,256,0
Valença,91,40,51,48,41,178,93,85,0
Viana do Castelo,629,323,306,327,277,977,432,545,3
Vila Nova de Cerveira,72,37,35,43,36,127,70,57,0
Cávado,3394,1779,1615,1394,1023,3148,1565,1583,6
Amares,149,84,65,55,39,189,101,88,1
Barcelos,867,440,427,308,226,838,428,410,2
Braga,1677,895,782,745,559,1326,643,683,3
Esposende,279,149,130,121,87,286,151,135,0
Terras de Bouro,31,16,15,16,13,87,45,42,0
Vila Verde,391,195,196,149,99,422,197,225,0
Ave,3226,1667,1559,1422,975,3604,1984,1620,6
Cabeceiras de Basto,86,45,41,38,29,158,96,62,1
Fafe,333,176,157,162,109,449,243,206,0
Guimarães,1255,657,598,531,355,1268,686,582,2
Mondim de Basto,32,16,16,12,10,94,58,36,1
Póvoa de Lanhoso,143,72,71,58,40,217,114,103,0
Vieira do Minho,67,36,31,37,22,170,83,87,0
Vila Nova de Famalicão,1107,564,543,482,345,1099,620,479,2
Vizela,203,101,102,102,65,149,84,65,0
A. M. Porto,13878,7106,6772,7379,4691,16094,8103,7991,41
Arouca,129,64,65,59,36,223,121,102,0
Espinho,215,118,97,123,75,356,194,162,2
Gondomar,1345,653,692,804,508,1441,733,708,4
Maia,1076,536,540,541,387,1066,570,496,1
Matosinhos,1419,721,698,824,516,1582,795,787,2
Oliveira de Azeméis,459,245,214,217,148,620,326,294,0
Paredes,691,369,322,329,174,655,363,292,5
Porto,1976,1038,938,1122,666,2993,1391,1602,6
Póvoa de Varzim,519,253,266,222,146,546,268,278,3
Santa Maria da Feira,1056,541,515,523,337,1157,592,565,6
Santo Tirso,460,239,221,213,143,639,318,321,2
São João da Madeira,144,72,72,85,62,197,86,111,0
Trofa,279,143,136,127,81,296,144,152,3
Vale de Cambra,141,75,66,53,32,232,134,98,0
Valongo,794,396,398,437,286,679,365,314,0
Vila do Conde,692,366,326,319,213,732,364,368,0
Vila Nova de Gaia,2483,1277,1206,1381,881,2680,1339,1341,7
Alto Tâmega,426,209,217,234,165,1306,629,677,2
Boticas,24,14,10,15,10,95,47,48,0
Chaves,212,109,103,110,76,499,234,265,1
Montalegre,33,13,20,17,11,168,79,89,0
Ribeira de Pena,36,20,16,20,14,89,53,36,1
Valpaços,72,30,42,46,34,284,124,160,0
Vila Pouca de Aguiar,49,23,26,26,20,171,92,79,0
Tâmega e Sousa,3063,1607,1456,1215,709,3648,1894,1754,6
Amarante,339,163,176,149,98,505,252,253,0
Baião,126,64,62,46,31,213,109,104,0
Castelo de Paiva,96,51,45,42,18,145,70,75,0
Celorico de Basto,118,71,47,40,29,209,106,103,0
Cinfães,139,71,68,66,34,279,140,139,0
Felgueiras,444,224,220,157,81,416,212,204,2
Lousada,395,217,178,133,88,364,201,163,0
Marco de Canaveses,346,179,167,127,74,420,218,202,1
Paços de Ferreira,460,258,202,194,98,388,214,174,3
Penafiel,548,285,263,242,145,569,305,264,0
Resende,52,24,28,19,13,140,67,73,0
Douro,1087,543,544,563,403,2368,1173,1195,0
Alijó,56,26,30,30,17,179,78,101,0
Armamar,26,14,12,15,10,80,42,38,0
Carrazeda de Ansiães,34,15,19,23,16,89,46,43,0
Freixo de Espada à Cinta,23,12,11,17,14,60,35,25,0
Lamego,150,75,75,70,45,281,143,138,0
Mesão Frio,17,9,8,8,5,63,26,37,0
Moimenta da Beira,53,23,30,31,23,126,60,66,0
Murça,19,11,8,10,7,70,39,31,0
Penedono,12,8,4,6,4,43,26,17,0
Peso da Régua,109,58,51,56,50,176,85,91,0
Sabrosa,34,15,19,17,12,83,34,49,0
Santa Marta de Penaguião,24,13,11,16,8,105,53,52,0
São João da Pesqueira,36,20,16,21,17,86,43,43,0
Sernancelhe,20,8,12,9,9,59,31,28,0
Tabuaço,27,11,16,12,9,68,31,37,0
Tarouca,47,22,25,22,12,83,46,37,0
Torre de Moncorvo,43,26,17,27,24,132,65,67,0
Vila Nova de Foz Côa,37,15,22,22,17,139,71,68,0
Vila Real,320,162,158,151,104,446,219,227,0
Terras de Trás-os-Montes,640,344,296,404,272,1714,870,844,2
Alfândega da Fé,27,18,9,16,11,79,30,49,1
Bragança,248,141,107,165,103,489,246,243,0
Macedo de Cavaleiros,73,34,39,45,35,222,110,112,0
Miranda do Douro,21,9,12,13,11,110,55,55,0
Mirandela,151,76,75,98,65,302,161,141,0
Mogadouro,26,14,12,11,8,139,71,68,1
Vila Flor,39,25,14,21,14,104,44,60,0
Vimioso,28,11,17,13,11,117,63,54,0
