,Total (N.º),Brasil  (N.º),Ucrânia (N.º),Cabo Verde (N.º),Roménia (N.º),Angola (N.º),Guiné Bissau (N.º),Reino Unido (N.º),Moldávia (N.º),China (N.º),São Tomé e Príncipe (N.º)
Portugal,588976,150919,29706,37110,31065,22592,18780,34358,5098,27780,10078
Continente,576540,149342,29376,36839,30782,22529,18703,33003,5060,27198,10060
Norte,77128,34222,3720,2797,1560,2742,783,1393,182,4345,736
Alto Minho,4774,1602,186,144,153,89,19,211,6,209,124
Arcos de Valdevez,273,69,1,20,3,4,3,15,0,13,25
Caminha,421,78,8,25,7,9,1,25,1,25,3
Melgaço,108,50,0,4,0,0,0,0,0,6,5
Monção,568,238,43,9,11,3,1,12,2,30,5
Paredes de Coura,105,19,0,0,0,2,0,18,0,4,2
Ponte da Barca,97,19,1,9,0,1,0,9,0,17,8
Ponte de Lima,383,111,11,3,7,3,2,26,0,28,1
Valença,546,227,25,15,19,5,1,30,1,11,6
Viana do Castelo,1977,717,79,57,98,49,9,50,2,63,69
Vila Nova de Cerveira,296,74,18,2,8,13,2,26,0,12,0
Cávado,12995,7017,663,289,275,476,143,146,19,486,74
Amares,271,119,12,2,5,8,0,5,5,8,7
Barcelos,1205,487,101,69,23,34,5,10,2,58,9
Braga,10315,5923,492,209,235,404,136,80,10,348,57
Esposende,673,269,31,4,5,8,2,28,1,40,0
Terras de Bouro,64,7,2,0,1,2,0,11,0,6,0
Vila Verde,467,212,25,5,6,20,0,12,1,26,1
Ave,5163,2245,375,79,126,168,53,55,18,335,24
Cabeceiras de Basto,140,29,4,0,3,4,0,2,1,20,0
Fafe,308,129,10,3,11,16,0,6,0,47,0
Guimarães,2267,1023,69,49,63,80,45,19,1,97,3
Mondim de Basto,48,21,1,0,0,2,0,1,0,10,1
Póvoa de Lanhoso,228,85,7,1,35,4,0,5,0,23,0
Vieira do Minho,143,44,7,0,3,3,0,5,3,15,0
Vila Nova de Famalicão,1838,803,276,24,10,57,5,16,13,108,20
Vizela,191,111,1,2,1,2,3,1,0,15,0
A. M. Porto,44480,20462,2024,1149,524,1715,390,862,112,2664,283
Arouca,123,70,1,2,0,3,2,2,0,8,2
Espinho,764,250,37,8,27,19,1,13,1,53,1
Gondomar,2489,1176,128,88,47,141,24,30,4,131,40
Maia,3177,1745,228,81,37,114,14,27,8,93,18
Matosinhos,5022,2531,133,90,23,123,44,174,5,259,26
Oliveira de Azeméis,843,325,121,7,33,21,16,7,4,27,1
Paredes,631,262,45,2,6,19,1,3,2,29,1
Porto,14492,6444,243,577,123,457,154,403,18,574,110
Póvoa de Varzim,1669,812,97,8,18,28,3,14,1,223,2
Santa Maria da Feira,1603,550,183,55,47,58,3,8,13,97,6
Santo Tirso,526,208,45,3,7,20,5,4,3,52,1
São João da Madeira,678,271,100,5,14,19,4,5,3,56,3
Trofa,523,209,113,3,7,16,0,1,3,31,1
Vale de Cambra,291,132,50,2,13,8,1,4,0,17,6
Valongo,1277,663,116,22,11,48,7,11,6,43,12
Vila do Conde,2121,615,56,13,15,31,1,27,0,725,2
Vila Nova de Gaia,8251,4199,328,183,96,590,110,129,41,246,51
Alto Tâmega,1182,363,63,5,43,12,8,14,0,121,5
Boticas,40,11,0,0,0,1,0,1,0,12,5
Chaves,638,242,26,2,24,5,3,4,0,54,0
Montalegre,101,35,9,3,2,0,3,2,0,11,0
Ribeira de Pena,86,16,0,0,5,0,0,2,0,9,0
Valpaços,169,31,17,0,7,4,1,5,0,18,0
Vila Pouca de Aguiar,148,28,11,0,5,2,1,0,0,17,0
Tâmega e Sousa,2379,949,149,36,58,90,24,69,9,173,13
Amarante,363,132,25,7,11,22,2,24,1,17,4
Baião,75,23,1,0,4,2,0,7,1,9,0
Castelo de Paiva,59,28,0,0,5,0,0,0,0,13,0
Celorico de Basto,80,20,1,1,3,2,0,0,0,4,0
Cinfães,79,38,2,3,2,5,1,0,0,6,0
Felgueiras,336,148,19,5,6,7,2,4,1,9,0
Lousada,241,111,15,7,3,6,0,4,1,18,1
Marco de Canaveses,323,83,39,2,6,13,4,13,3,25,1
Paços de Ferreira,310,158,4,5,4,11,0,1,1,37,2
Penafiel,461,201,43,6,8,22,14,16,1,26,5
Resende,52,7,0,0,6,0,1,0,0,9,0
Douro,2363,697,139,54,259,68,10,22,2,229,10
Alijó,95,23,1,0,10,5,0,0,1,12,0
Armamar,53,8,4,1,0,0,0,0,0,10,0
Carrazeda de Ansiães,105,11,0,1,0,0,0,0,0,7,0
Freixo de Espada à Cinta,108,2,3,0,4,5,0,0,0,11,1
Lamego,137,55,6,2,10,10,1,2,0,8,1
Mesão Frio,18,5,0,0,2,1,1,1,0,4,0
Moimenta da Beira,136,26,19,15,0,0,0,0,0,14,3
Murça,46,12,3,0,1,2,0,0,0,8,0
Penedono,22,5,0,2,4,0,0,0,0,7,0
Peso da Régua,96,42,6,9,2,1,3,1,0,10,2
Sabrosa,33,10,0,1,1,1,0,5,0,7,0
Santa Marta de Penaguião,66,8,1,1,51,0,0,0,0,3,0
São João da Pesqueira,74,14,3,3,34,0,0,0,0,4,0
Sernancelhe,33,4,2,0,7,0,0,0,0,8,1
Tabuaço,27,5,4,1,0,2,0,0,0,8,0
Tarouca,53,17,3,1,3,0,1,1,0,14,0
Torre de Moncorvo,104,13,2,0,2,4,0,2,0,9,0
Vila Nova de Foz Côa,187,22,35,1,78,0,1,0,0,5,0
Vila Real,970,415,47,16,50,37,3,10,1,80,2
Terras de Trás-os-Montes,3792,887,121,1041,122,124,136,14,16,128,203
Alfândega da Fé,158,8,0,0,4,2,0,0,0,6,0
Bragança,2384,628,59,903,26,100,78,8,8,44,161
Macedo de Cavaleiros,189,33,24,0,4,3,38,1,1,17,1
Miranda do Douro,92,42,3,3,2,0,1,1,0,6,0
Mirandela,584,107,28,135,10,14,19,2,7,23,41
Mogadouro,74,17,0,0,1,1,0,1,0,11,0
Vila Flor,220,23,7,0,67,1,0,0,0,9,0
Vimioso,50,23,0,0,1,0,0,0,0,5,0
Vinhais,41,6,0,0,7,3,0,1,0,7,0
Centro,77133,23237,7991,1951,4010,2262,1149,6038,801,3374,1207
Oeste,18031,5214,1933,211,1409,329,270,1352,477,753,93
Alcobaça,2153,393,320,54,65,33,7,229,39,132,7
Alenquer,2734,1322,358,39,175,94,165,12,90,60,18
Arruda dos Vinhos,633,348,67,10,90,2,2,2,16,25,2
Bombarral,475,75,76,3,86,18,0,53,7,18,0
Cadaval,361,75,62,5,6,2,0,48,14,8,1
Caldas da Rainha,3018,788,339,26,58,65,41,447,64,84,18
Lourinhã,1299,271,157,4,87,15,3,89,18,59,0
Nazaré,828,174,28,0,35,16,2,68,12,36,18
Óbidos,842,53,44,4,32,4,2,231,9,101,0
Peniche,1231,247,69,37,76,18,32,83,9,38,11
Sobral de Monte Agraço,306,160,42,9,13,6,4,5,10,8,8
Torres Vedras,4151,1308,371,20,686,56,12,85,189,184,10
Região de Aveiro,11738,4008,1103,221,227,361,313,143,82,612,253
Águeda,1125,332,173,28,22,27,55,10,4,34,31
Albergaria-a-Velha,476,126,93,2,10,10,13,7,16,24,1
Anadia,630,137,114,8,11,10,1,12,6,20,4
Aveiro,5203,2125,349,115,45,227,157,50,26,297,119
Estarreja,537,108,35,4,7,4,9,1,3,34,2
Ílhavo,1225,390,102,31,72,34,59,15,15,55,9
Murtosa,184,48,11,1,5,0,0,6,0,6,0
Oliveira do Bairro,778,250,117,5,17,10,0,10,4,34,45
Ovar,862,326,62,16,25,18,2,23,4,71,9
Sever do Vouga,174,52,27,5,10,12,0,3,3,14,0
Vagos,544,114,20,6,3,9,17,6,1,23,33
Região de Coimbra,16013,4890,922,514,461,571,213,1803,65,597,286
Arganil,585,31,7,1,4,2,0,313,0,9,0
Cantanhede,604,229,85,7,28,4,5,13,3,40,17
Coimbra,7684,3005,317,401,183,444,154,129,17,313,100
Condeixa-a-Nova,309,117,57,21,2,12,2,9,0,8,0
Figueira da Foz,2300,807,223,20,71,51,13,46,8,104,6
Góis,266,8,2,0,1,3,0,162,0,17,0
Lousã,494,77,13,3,39,17,0,162,3,10,5
Mealhada,345,107,71,7,34,6,4,8,18,7,14
Mira,226,97,10,4,3,4,0,7,10,8,0
Miranda do Corvo,354,42,11,6,1,5,27,128,0,11,2
Montemor-o-Velho,239,52,25,7,12,4,1,5,1,11,19
Mortágua,222,90,5,3,2,4,0,63,0,4,3
Oliveira do Hospital,669,59,16,13,47,6,4,165,0,20,13
Pampilhosa da Serra,37,0,0,0,2,0,0,20,0,1,0
Penacova,243,24,6,9,1,2,3,43,1,6,102
Penela,307,10,8,0,8,0,0,167,4,4,3
Soure,246,56,43,8,21,2,0,26,0,9,1
Tábua,585,31,6,1,2,3,0,210,0,11,1
Vila Nova de Poiares,298,48,17,3,0,2,0,127,0,4,0
Região de Leiria,12870,3903,2341,313,872,214,59,959,103,600,87
Alvaiázere,386,17,13,0,4,3,2,250,0,8,1
Ansião,348,39,22,3,10,6,2,176,0,13,1
Batalha,557,142,226,10,43,5,1,9,1,13,3
Castanheira de Pêra,95,2,8,0,2,0,0,48,0,9,0
Figueiró dos Vinhos,232,16,2,0,2,0,0,110,0,19,0
Leiria,6142,2451,1115,132,203,144,34,93,37,280,37
Marinha Grande,2138,559,376,74,101,28,12,18,31,128,14
Pedrógão Grande,416,7,0,15,6,0,0,199,1,1,16
Pombal,1799,537,299,23,480,17,5,33,10,53,9
Porto de Mós,757,133,280,56,21,11,3,23,23,76,6
Viseu Dão Lafões,4640,1993,427,110,109,185,35,188,19,254,72
Aguiar da Beira,56,23,10,0,2,2,0,0,0,11,0
Carregal do Sal,159,42,2,4,17,2,0,36,1,7,0
Castro Daire,151,63,9,4,0,2,13,4,0,23,0
Mangualde,340,100,47,1,1,2,2,4,3,16,0
Nelas,194,75,12,1,4,5,3,12,1,15,0
Oliveira de Frades,213,104,28,2,9,9,3,5,5,9,1
Penalva do Castelo,51,12,2,0,0,1,0,2,0,4,0
Santa Comba Dão,208,26,16,9,31,7,0,35,3,16,0
São Pedro do Sul,152,63,10,3,1,4,0,5,0,12,8
Sátão,82,26,12,0,3,0,0,4,0,10,0
Tondela,261,75,11,19,3,8,1,34,0,15,4
Vila Nova de Paiva,49,19,0,3,4,2,0,0,0,10,0
Viseu,2624,1333,254,63,27,133,13,40,6,104,48
Vouzela,100,32,14,1,7,8,0,7,0,2,11
Beira Baixa,2789,471,180,214,210,47,74,524,3,81,71
Castelo Branco,1610,369,132,162,155,34,51,149,3,60,11
Idanha-a-Nova,459,23,13,43,27,5,21,75,0,4,60
Oleiros,103,16,3,7,1,3,0,35,0,6,0
