,"Abono de família para crianças e jovens, Beneficiárias/os, N.º","Abono de família para crianças e jovens, Descendentes ou equiparadas/os, N.º","Abono de família para crianças e jovens, Valor processado, milhares de euros","Subsídio por assistência de 3ª pessoa, Beneficiárias/os, N.º","Subsídio por assistência de 3ª pessoa, Descendentes ou equiparadas/os, N.º","Subsídio por assistência de 3ª pessoa, Valor processado, milhares de euros"," Subsídio de funeral , Beneficiárias/os, N.º"," Subsídio de funeral , Valor processado, milhares de euros"
Portugal,761538,1145561,763030,12968,13302,16828,8131,1809
Continente,710221,1064117,713150,11991,12264,15497,7342,1619
Norte,271162,400996,254496,5034,5144,6545,2754,607
Alto Minho,15889,24002,14317,199,205,255,284,63
Arcos de Valdevez,1309,1971,1153,13,13,16,50,11
Caminha,1108,1635,1015,8,8,9,17,4
Melgaço,404,580,341,4,4,4,34,7
Monção,1081,1576,919,19,21,26,24,5
Paredes de Coura,620,929,548,6,8,11,16,4
Ponte da Barca,861,1294,757,15,16,20,17,4
Ponte de Lima,3308,5174,2918,38,38,46,34,8
Valença,1005,1474,930,5,5,7,10,2
Viana do Castelo,5588,8481,5211,84,85,109,73,16
Vila Nova de Cerveira,605,888,526,7,7,8,9,2
Cávado,29785,46536,28028,541,556,699,141,31
Amares,1488,2326,1360,18,18,22,13,3
Barcelos,9130,14241,8184,138,140,175,31,7
Braga,12172,19014,12004,253,260,324,61,13
Esposende,2590,4065,2427,35,35,46,17,4
Terras de Bouro,487,734,446,11,11,15,7,2
Vila Verde,3918,6156,3607,86,92,118,12,3
Ave,30824,46731,28197,575,583,736,140,31
Cabeceiras de Basto,1448,2287,1361,16,16,21,3,1
Fafe,3848,5680,3422,60,61,75,15,3
Guimarães,11338,17120,10350,218,225,288,50,11
Mondim de Basto,529,816,513,6,6,8,6,1
Póvoa de Lanhoso,1672,2612,1517,29,29,36,15,3
Vieira do Minho,833,1264,782,21,21,28,6,1
Vila Nova de Famalicão,9136,13979,8424,190,190,239,38,9
Vizela,2020,2973,1828,35,35,41,7,2
A. M. Porto,126514,184771,122627,2673,2731,3488,1246,274
Arouca,1761,2781,1611,36,37,45,33,7
Espinho,2120,3072,2080,26,26,31,21,5
Gondomar,13410,19330,12934,279,284,362,122,27
Maia,9027,13331,8802,219,223,283,71,16
Matosinhos,11431,16573,11400,274,281,364,106,23
Oliveira de Azeméis,4067,6120,3946,56,56,72,43,9
Paredes,8931,12898,8116,192,201,261,74,16
Porto,13369,19606,14543,350,354,452,198,43
Póvoa de Varzim,5121,7764,4787,101,104,133,50,11
Santa Maria da Feira,10106,14796,9314,163,167,209,70,15
Santo Tirso,4584,6610,4135,111,111,145,26,6
São João da Madeira,1517,2244,1436,13,13,17,7,2
Trofa,2889,4301,2751,55,56,70,29,6
Vale de Cambra,1150,1696,1043,15,15,20,32,7
Valongo,7913,11374,7778,158,163,207,75,16
Vila do Conde,6159,9098,5808,124,131,167,58,13
Vila Nova de Gaia,22959,33177,22143,501,509,650,231,51
Alto Tâmega,5737,8576,5362,84,86,109,174,39
Boticas,311,454,262,5,5,7,12,3
Chaves,2607,3876,2514,38,38,48,70,16
Montalegre,533,796,478,6,6,7,16,4
Ribeira de Pena,445,704,410,7,7,9,13,3
Valpaços,1063,1624,997,12,13,16,41,9
Vila Pouca de Aguiar,778,1122,700,16,17,23,22,5
Tâmega e Sousa,40776,59172,36377,661,674,865,349,77
Amarante,4713,6863,4212,64,65,82,69,15
Baião,1774,2496,1548,26,28,36,19,4
Castelo de Paiva,1548,2271,1378,28,28,37,27,6
