,"Rendimento bruto declarado por sujeito passivo, €","Valor mediano do rendimento bruto declarado por sujeito passivo, €","IRS liquidado por sujeito passivo, €","Rendimento bruto declarado deduzido do IRS liquidado por sujeito passivo, €","IRS liquidado no total de rendimento bruto declarado, %"
Portugal,13016,9368,1597,11419,12.3
Continente,13046,9380,1616,11430,12.4
Norte,11587,8543,1253,10334,10.8
Alto Minho,10471,8288,946,9525,9
Arcos de Valdevez,8921,7242,688,8233,7.7
Caminha,11105,8264,1170,9935,10.5
Melgaço,9228,7688,742,8486,8
Monção,9626,7944,798,8827,8.3
Paredes de Coura,9130,7694,618,8512,6.8
Ponte da Barca,8751,7132,628,8123,7.2
Ponte de Lima,9383,7895,684,8699,7.3
Valença,9802,8382,733,9069,7.5
Viana do Castelo,11963,9174,1248,10715,10.4
Vila Nova de Cerveira,10637,8819,919,9718,8.6
Cávado,11432,8580,1169,10263,10.2
Amares,9700,7984,790,8910,8.1
Barcelos,9887,8205,761,9125,7.7
Braga,13225,9598,1588,11637,12
Esposende,11349,8359,1237,10111,10.9
Terras de Bouro,8780,7374,621,8159,7.1
Vila Verde,8946,7585,623,8323,7
Ave,10469,8372,882,9587,8.4
Cabeceiras de Basto,8670,7091,610,8060,7
Fafe,9457,7861,698,8760,7.4
Guimarães,10903,8540,974,9929,8.9
Mondim de Basto,8357,6895,563,7794,6.7
Póvoa de Lanhoso,8922,7602,636,8286,7.1
Vieira do Minho,8751,7121,650,8102,7.4
Vila Nova de Famalicão,11053,8790,967,10086,8.7
Vizela,9967,8346,711,9255,7.1
A. M. Porto,12974,9265,1612,11361,12.4
Arouca,9254,7707,690,8564,7.5
Espinho,12702,9009,1555,11147,12.2
Gondomar,11424,8960,1091,10333,9.5
Maia,14356,10601,1851,12505,12.9
Matosinhos,14573,10330,1999,12574,13.7
Oliveira de Azeméis,11372,9049,1079,10293,9.5
Paredes,8961,7540,636,8326,7.1
Porto,18351,11352,3422,14929,18.6
Póvoa de Varzim,11381,8334,1197,10184,10.5
Santa Maria da Feira,10835,8540,985,9850,9.1
Santo Tirso,10614,8411,907,9707,8.5
São João da Madeira,12373,9316,1334,11040,10.8
Trofa,10879,8830,953,9926,8.8
Vale de Cambra,11285,8998,1058,10227,9.4
Valongo,11568,9200,1088,10479,9.4
Vila do Conde,11800,8730,1250,10550,10.6
Vila Nova de Gaia,13022,9459,1603,11419,12.3
Alto Tâmega,9465,7148,849,8617,9
Boticas,8227,6553,559,7668,6.8
Chaves,10776,8120,1113,9663,10.3
Montalegre,8704,6683,735,7969,8.4
Ribeira de Pena,8538,6594,620,7917,7.3
Valpaços,7913,6094,555,7358,7
Vila Pouca de Aguiar,8771,6803,690,8081,7.9
Tâmega e Sousa,8779,7480,602,8177,6.9
Amarante,9143,7211,744,8398,8.1
Baião,8173,6821,523,7650,6.4
Castelo de Paiva,8539,7413,503,8036,5.9
Celorico de Basto,8153,6868,517,7636,6.3
Cinfães,7573,6083,454,7119,6
Felgueiras,9193,8043,625,8568,6.8
Lousada,8712,7772,523,8189,6
Marco de Canaveses,8429,6932,564,7865,6.7
Paços de Ferreira,8725,7729,542,8183,6.2
Penafiel,9269,7713,712,8557,7.7
Resende,7678,5770,535,7142,7
Douro,10243,7740,969,9274,9.5
Alijó,8302,6692,550,7751,6.6
Armamar,8846,6800,663,8184,7.5
Carrazeda de Ansiães,8920,6926,681,8239,7.6
Freixo de Espada à Cinta,9160,7636,673,8487,7.3
Lamego,10742,8000,1094,9648,10.2
Mesão Frio,8295,6603,567,7729,6.8
Moimenta da Beira,9414,7522,801,8613,8.5
Murça,8631,6395,737,7894,8.5
Penedono,8413,//,613,7799,7.3
Peso da Régua,10044,7758,892,9152,8.9
Sabrosa,8760,7076,576,8184,6.6
Santa Marta de Penaguião,7913,6319,499,7414,6.3
São João da Pesqueira,8489,6437,683,7806,8
Sernancelhe,8287,6938,602,7685,7.3
Tabuaço,8283,6461,622,7661,7.5
Tarouca,9034,7275,670,8364,7.4
Torre de Moncorvo,9316,7412,783,8533,8.4
Vila Nova de Foz Côa,9315,7359,814,8501,8.7
