,"Quintis do rendimento bruto declarado por agregado fiscal, 1º quintil, €","Quintis do rendimento bruto declarado por agregado fiscal, 2º quintil, €","Quintis do rendimento bruto declarado por agregado fiscal, 3º quintil, €","Quintis do rendimento bruto declarado por agregado fiscal, 4º quintil, €","Distribuição do número de agregados fiscais por escalões de rendimento bruto declarado, Menos de
 5 000 €, N.º","Distribuição do número de agregados fiscais por escalões de rendimento bruto declarado, De 5 000  a menos de 10 000 €, N.º","Distribuição do número de agregados fiscais por escalões de rendimento bruto declarado, De 10 000 a menos de 13 500 €, N.º","Distribuição do número de agregados fiscais por escalões de rendimento bruto declarado, De 13 500 a menos de 19 000 €, N.º","Distribuição do número de agregados fiscais por escalões de rendimento bruto declarado, De 19 000 a menos de 32 500 €, N.º","Distribuição do número de agregados fiscais por escalões de rendimento bruto declarado, 32 500 € ou mais, N.º"
Portugal,6930,9884,14823,25099,628162,1494797,796857,748812,875567,680982
Continente,6951,9897,14848,25136,597497,1428650,761205,718559,837581,652537
Norte,6674,9361,13666,22631,222261,555182,274509,257335,270231,189554
Alto Minho,6142,9084,12694,20853,16526,37201,19078,16181,16828,9985
Arcos de Valdevez,5246,8120,10757,17295,1946,3849,1661,1264,1145,622
Caminha,5691,8978,12901,21354,1313,2551,1272,1140,1199,812
Melgaço,5424,8474,11497,17746,657,1323,667,508,436,244
Monção,5728,8756,11723,19114,1339,2848,1524,1084,1111,616
Paredes de Coura,5988,8875,11859,18522,611,1497,767,638,572,236
Ponte da Barca,5215,8120,10440,16831,1107,2226,899,690,611,336
Ponte de Lima,6149,8734,11673,18391,2796,7209,3271,2865,2511,1225
Valença,6180,9079,12264,19436,1011,2271,1281,981,1044,413
Viana do Castelo,6945,9986,14720,24338,5176,12118,6922,6350,7473,5115
Vila Nova de Cerveira,6743,9645,13349,21240,570,1309,814,661,726,366
Cávado,6803,9410,13818,22614,24194,62249,30208,29215,30954,20923
Amares,6193,8800,12096,19349,1205,3018,1392,1219,1151,622
Barcelos,6839,8990,12525,19342,6336,20175,8892,8750,7804,3757
Braga,7200,10301,15840,26731,10623,24978,13709,13391,16613,13484
Esposende,6460,9084,13301,21886,2223,5383,2481,2416,2464,1661
Terras de Bouro,5318,8362,11099,17734,558,1080,469,407,384,160
Vila Verde,5857,8499,11511,17928,3249,7615,3265,3032,2538,1239
Ave,7003,9308,13137,20342,23535,69846,34958,33793,30424,16640
Cabeceiras de Basto,5649,8120,10872,17394,1103,2674,983,917,748,417
Fafe,6104,8496,11733,18191,3527,9010,3864,3611,2964,1627
Guimarães,7369,9544,13549,20678,8214,26357,13542,13602,12048,6690
Mondim de Basto,5359,8092,10060,16535,524,1262,386,364,323,135
Póvoa de Lanhoso,5910,8429,11474,17711,1475,3515,1502,1350,1151,517
Vieira do Minho,5343,8138,10909,17571,941,2089,789,694,645,332
Vila Nova de Famalicão,7516,9920,14015,21951,6652,20494,11774,11055,10870,6213
Vizela,7532,9247,12852,18775,1099,4445,2118,2200,1675,709
A. M. Porto,7033,9977,14820,25076,101287,250719,137169,127799,145645,114590
Arouca,6328,8814,11941,18568,1375,3732,1650,1553,1302,670
Espinho,6960,9776,14224,24365,1908,4697,2586,2325,2392,2063
Gondomar,6957,9753,14123,23171,9680,24318,13360,12014,13884,8579
Maia,7698,11099,17321,29723,6782,16201,9866,9491,12836,11517
Matosinhos,7541,10898,16674,28593,9161,22345,13348,13147,16412,14473
Oliveira de Azeméis,7564,10082,14137,22571,3234,10420,6308,5516,5864,3296
Paredes,5687,8307,11209,17725,6574,15044,6103,5699,4774,2405
Porto,6960,10624,17436,33928,15239,31168,16234,15650,20232,26230
Póvoa de Varzim,6215,8962,13271,22500,4402,10046,4459,4355,4587,3330
Santa Maria da Feira,6954,9560,13374,21537,7858,21280,11976,10205,10734,5988
Santo Tirso,7387,9582,13209,20156,3353,11841,6535,5878,5044,2812
São João da Madeira,7211,9895,14005,23109,1289,3590,2114,1756,1910,1353
Trofa,7349,9904,13851,21690,1995,5890,3491,3172,3182,1663
Vale de Cambra,7329,10034,14126,22683,1126,3331,2023,1732,1950,1051
Valongo,7054,9967,14689,23832,5486,13140,7388,7098,8217,5008
Vila do Conde,6903,9599,14157,23220,4508,12209,6134,5999,6415,4349
Vila Nova de Gaia,7091,10157,15120,25337,17317,41467,23594,22209,25910,19803
Alto Tâmega,5344,8216,11303,19434,6824,14186,5403,4657,5027,3091
Boticas,5065,7956,10090,16085,457,916,331,268,219,116
Chaves,5731,8694,12834,22670,2798,5755,2350,2165,2669,1881
Montalegre,5100,7969,10540,17732,856,1663,627,471,519,271
Ribeira de Pena,5466,8167,10771,16515,463,1096,453,349,282,163
Valpaços,5101,7642,9948,16419,1297,2705,893,686,737,310
Vila Pouca de Aguiar,5400,8120,10828,17786,953,2051,749,718,601,350
Tâmega e Sousa,5888,8316,11181,17354,29271,74413,28490,28497,21797,10722
Amarante,5513,8204,10957,18197,4190,9312,3472,3082,2880,1788
Baião,5719,8241,10839,16837,1207,3087,1178,1119,879,333
Castelo de Paiva,6193,8586,11386,17323,981,2816,1260,1108,900,327
Celorico de Basto,5400,8120,10200,16004,1315,3258,1160,998,729,340
Cinfães,5093,7788,9742,15240,1541,3349,1139,899,694,332
Felgueiras,6674,8554,11579,17668,3412,11220,4249,4544,3303,1533
Lousada,6204,8343,11539,17396,3233,8851,3258,3746,2711,1167
Marco de Canaveses,5346,8130,10876,16916,3984,8349,3356,3078,2412,1192
Paços de Ferreira,6292,8362,11370,16940,3499,10406,3922,4493,2737,1360
Penafiel,6025,8467,11795,18453,4891,12033,4956,4984,4162,2130
Resende,4314,7347,9475,15429,1018,1732,540,446,390,220
Douro,5722,8528,12161,21185,13354,29541,12068,10741,11622,8270
Alijó,5327,7834,10461,16911,937,2059,715,670,565,267
Armamar,5536,8121,10826,17643,418,878,362,295,250,171
Carrazeda de Ansiães,5584,8120,10688,18152,406,964,342,286,289,160
Freixo de Espada à Cinta,6124,8548,11659,18455,197,635,246,220,214,93
Lamego,5910,8683,12547,22556,1685,3867,1580,1373,1608,1249
Mesão Frio,5303,8120,10418,16716,318,694,237,217,202,84
Moimenta da Beira,5837,8611,12034,19708,609,1345,583,546,513,305
