,"Taxa quinquenal de mortalidade 
infantil (2014/2018),  ‰, 2018 (‰)","Taxa quinquenal de mortalidade 
neonatal (2014/2018),  ‰, 2018 (‰)","Taxa de mortalidade por doenças do aparelho circulatório,  ‰, 2018 (‰)","Taxa de mortalidade por tumores malignos,  ‰, 2018 (‰)"
Portugal,3,2.1,3.2,2.7
Continente,3,2.1,3.2,2.7
Norte,2.7,2,2.8,2.5
Alto Minho,4.5,3,4,3.2
Arcos de Valdevez,1.8,1.8,5,4.1
Caminha,3.9,3.9,4.3,2.6
Melgaço,0,0,6.2,4.8
Monção,6.3,6.3,6.9,3.5
Paredes de Coura,7.2,7.2,3.6,3.6
Ponte da Barca,0,0,4.4,3.3
Ponte de Lima,4.3,1.4,3.2,2.6
Valença,6.8,2.3,3.7,3.1
Viana do Castelo,5.1,3.5,3.4,3.2
Vila Nova de Cerveira,3.4,3.4,4.4,2.9
Cávado,1.8,1.2,2.3,2
Amares,3.2,1.6,2.7,1.7
Barcelos,2.1,0.7,2.4,2.2
Braga,1.3,1.1,1.8,1.9
Esposende,2.8,2.1,2.2,2.1
Terras de Bouro,0,0,5,3.1
Vila Verde,1.7,1.7,3.4,2.2
Ave,2.4,1.5,2.3,2.2
Cabeceiras de Basto,0,0,3.5,2.6
Fafe,1.2,0,2.7,2.6
Guimarães,1.8,1.3,2.1,2.1
Mondim de Basto,0,0,3.6,2.3
Póvoa de Lanhoso,4.1,0,2.6,2.5
Vieira do Minho,0,0,4,3.8
Vila Nova de Famalicão,3.7,2.7,2.1,2.1
Vizela,3,2,1.8,1.5
A. M. Porto,2.8,2.2,2.6,2.6
Arouca,0,0,3.6,2.9
Espinho,4.7,3.8,3.3,3.5
Gondomar,2.4,1.9,2.3,2.5
Maia,1.8,1.2,2.2,2.2
Matosinhos,2.3,1.6,2.5,2.7
Oliveira de Azeméis,0.4,0.4,2.7,2.2
Paredes,1.7,1.4,1.8,1.9
Porto,3.5,2.7,3.7,3.7
Póvoa de Varzim,5.7,4.9,2.2,2.5
Santa Maria da Feira,3.5,2.5,2.3,2.3
Santo Tirso,4,2.7,2.7,3
São João da Madeira,3.9,3.9,2.5,2.1
Trofa,0.6,0.6,2.3,2.4
Vale de Cambra,4.3,4.3,3,2.7
Valongo,2.7,2.2,2.2,2
Vila do Conde,2.4,1.5,2.9,2.8
Vila Nova de Gaia,3,2.5,2.5,2.4
Alto Tâmega,2.1,1.7,4.3,3.6
Boticas,0,0,5.3,4.1
Chaves,0,0,3.1,3.1
Montalegre,4.4,4.4,8.2,3.5
Ribeira de Pena,0,0,4.5,3
Valpaços,5.3,2.6,4.8,5.2
Vila Pouca de Aguiar,6.4,6.4,3.8,3.4
Tâmega e Sousa,3,2.3,2.6,2
Amarante,0.6,0.6,3,2.2
Baião,0,0,4.6,2
Castelo de Paiva,1.8,1.8,2.2,2.4
Celorico de Basto,6.9,5.2,4.4,2.2
Cinfães,4.5,4.5,4.5,2.6
Felgueiras,1.8,0.9,2.3,1.6
Lousada,6,4,2.2,2.2
Marco de Canaveses,5.6,5,2.1,1.6
Paços de Ferreira,2.6,1.7,2.1,1.8
Penafiel,1.8,1.4,1.8,2
Resende,3,3,3.9,3.3
Douro,3.1,1.9,3.9,2.9
Alijó,0,0,4.1,3
Armamar,0,0,5.7,3.4
Carrazeda de Ansiães,0,0,4,3
Freixo de Espada à Cinta,10.4,10.4,5.4,3.6
Lamego,0,0,3.4,3.7
Mesão Frio,10.2,0,3.5,2.5
Moimenta da Beira,6.2,6.2,4.7,2.7
Murça,0,0,4,2.7
Penedono,0,0,3,3.8
Peso da Régua,0,0,3.1,2.8
Sabrosa,7,0,4.9,3.7
Santa Marta de Penaguião,0,0,5.2,2.4
São João da Pesqueira,18.6,9.3,4.6,2.8
Sernancelhe,23.6,15.7,3.9,3.2
Tabuaço,0,0,3.2,2.2
Tarouca,0,0,2.6,3.2
Torre de Moncorvo,5.6,0,5.5,5.5
Vila Nova de Foz Côa,5.6,5.6,5.6,2.9
Vila Real,2.2,1.6,3.2,2.1
Terras de Trás-os-Montes,1.8,1.5,4.6,3.2
Alfândega da Fé,7.6,7.6,4.2,3.3
Bragança,0.9,0.9,3.7,2.8
Macedo de Cavaleiros,2.5,0,5.1,3.2
Miranda do Douro,0,0,5.1,3.5
Mirandela,2.8,2.8,4.9,3.1
Mogadouro,0,0,5.5,2.6
Vila Flor,5.8,5.8,4.4,3.9
Vimioso,0,0,3.2,4.7
Vinhais,0,0,6.8,3.5
Centro,2.5,1.9,3.6,2.9
Oeste,2.8,2.2,3.5,2.9
Alcobaça,0.5,0.5,3.4,2.7
Alenquer,1.6,1,3.3,2.5
Arruda dos Vinhos,1.8,1.8,3.3,2.7
Bombarral,4.7,2.3,4.1,2.9
Cadaval,4.9,2.4,5,2.9
Caldas da Rainha,3.3,2.8,3.2,2.9
Lourinhã,1.9,0.9,3.5,3
Nazaré,3.1,3.1,3.2,3.7
Óbidos,6.6,4.4,3.9,3.9
Peniche,4.5,4.5,4.2,2.9
Sobral de Monte Agraço,2.5,2.5,3.3,2.8
Torres Vedras,3.4,2.5,3.4,2.8
Região de Aveiro,2.3,1.8,2.9,2.4
Águeda,2.4,1.8,3.1,2.5
Albergaria-a-Velha,2.1,1,3.5,2
Anadia,2.3,0,4.1,3.2
Aveiro,1.5,1.5,2.4,2.3
Estarreja,1,1,2.9,2.7
Ílhavo,3.7,3.1,2.3,2.6
Murtosa,0,0,3.5,2.3
Oliveira do Bairro,2.1,1,3.9,2.2
Ovar,2.8,2.4,2.3,2.2
Sever do Vouga,0,0,4.4,1.8
Vagos,4.5,4.5,3.4,2
Região de Coimbra,2.4,1.8,3.6,3
Arganil,2.6,2.6,4.8,4
Cantanhede,0.9,0.9,3.2,2.5
Coimbra,2.3,1.9,2.7,3
Condeixa-a-Nova,3,1.5,2.6,2.6
Figueira da Foz,3.5,2.5,4.6,2.7
Góis,0,0,8.6,4.7
Lousã,1.5,1.5,2.4,2.7
Mealhada,0,0,3.6,2.3
Mira,7.5,5,3.3,3
Miranda do Corvo,0,0,5,3.1
Montemor-o-Velho,3.3,3.3,3.8,2.9
Mortágua,11.1,7.4,2.9,2.4
