,"Consultas médicas na unidade de consulta externa dos hospitais segundo a especialidade, Total (N.º)","Consultas médicas na unidade de consulta externa dos hospitais segundo a especialidade, Cirurgia geral (N.º)","Consultas médicas na unidade de consulta externa dos hospitais segundo a especialidade, Ginecologia (N.º)","Consultas médicas na unidade de consulta externa dos hospitais segundo a especialidade, Medicina interna (N.º)","Consultas médicas na unidade de consulta externa dos hospitais segundo a especialidade, Oftalmologia (N.º)","Consultas médicas na unidade de consulta externa dos hospitais segundo a especialidade, Ortopedia (N.º)","Consultas médicas na unidade de consulta externa dos hospitais segundo a especialidade, Otorrinolaringologia (N.º)","Consultas médicas na unidade de consulta externa dos hospitais segundo a especialidade, Pediatria médica (N.º)","Consultas médicas na unidade de consulta externa dos hospitais segundo a especialidade, Psiquiatria (N.º)","Consultas médicas na unidade de consulta externa dos hospitais segundo a especialidade, Outras  (N.º)"
Portugal,20370450,1039674,1437441,898667,1648508,1827141,1024805,1016118,836273,10641823
Continente,19746835,1007620,1381179,863296,1613840,1789716,993614,984307,807192,10306071
Norte,8081961,435360,558333,314558,654315,796866,398233,434352,316818,4173126
Alto Minho,...,...,...,...,...,...,...,...,...,...
Arcos de Valdevez,0,0,0,0,0,0,0,0,0,0
Caminha,0,0,0,0,0,0,0,0,0,0
Melgaço,0,0,0,0,0,0,0,0,0,0
Monção,0,0,0,0,0,0,0,0,0,0
Paredes de Coura,0,0,0,0,0,0,0,0,0,0
Ponte da Barca,0,0,0,0,0,0,0,0,0,0
Ponte de Lima,34739,0,0,5337,214,262,1900,1420,4950,20656
Valença,0,0,0,0,0,0,0,0,0,0
Viana do Castelo,...,...,...,...,...,...,...,...,...,...
Vila Nova de Cerveira,0,0,0,0,0,0,0,0,0,0
Cávado,1186159,46670,65883,30431,101659,102643,73853,41024,36822,687174
Amares,...,...,...,...,...,...,...,...,...,...
Barcelos,112276,16866,2269,8091,12379,15643,8613,8000,1106,39309
Braga,949392,24837,58555,21589,74839,74887,55924,30898,34539,573324
Esposende,...,...,...,...,...,...,...,...,...,...
Terras de Bouro,0,0,0,0,0,0,0,0,0,0
Vila Verde,...,...,...,...,...,...,...,...,...,...
Ave,...,...,...,...,...,...,...,...,...,...
Cabeceiras de Basto,0,0,0,0,0,0,0,0,0,0
Fafe,0,0,0,0,0,0,0,0,0,0
