,"Proporção de casamentos entre portugueses/as e estrangeiros/as, %, 2020","População estrangeira a quem foi concedido título de residência por 100 habitantes, N.º, 2020","Índice de envelhecimento, N.º, 2020","Índice de renovação da população em idade ativa, N.º, 2020","Índice de dependência de idosas/os, N.º, 2020","Índice de longevidade, N.º, 2020","Relação de masculinidade, N.º, 2020","Relação de masculinidade dos estrangeiros a quem foi concedido título de residência , N.º, 2020","Idade média das mulheres ao nascimento do primeiro filho, anos, 2020","Idade média da mulher ao primeiro casamento, anos, 2020","Idade média do homem ao primeiro casamento, anos, 2020","Esperança de vida à nascença
, anos, 2018-2020","Esperança de vida aos 65 anos, anos, 2018-2020"
Portugal,17.5,1.15,167,77.8,35,48.7,89.3,114.7,30.2,33.4,34.9,81.06,19.69
Continente,17.9,1.19,169.6,76.9,35.6,48.9,89.3,115,30.2,33.5,34.9,81.23,19.82
Norte,12.7,0.56,171.8,76.7,32.3,46.5,89.3,102.6,30.5,32.4,33.7,81.46,19.86
Alto Minho,12.4,0.7,231.5,73.5,40.3,53.5,86.2,126.6,30.5,33.2,34.1,81,20.06
Arcos de Valdevez,12.9,0.24,339.8,70.6,55.8,61.2,82.3,85.2,x,x,x,x,x
Caminha,0,0.69,238.3,69.6,41.5,51.7,84,147.7,x,x,x,x,x
Melgaço,20,0.3,468.1,65.9,63.8,63.5,77.6,84.6,x,x,x,x,x
Monção,29.2,1.08,313.5,64.2,48.6,56.4,82.9,88.2,x,x,x,x,x
Paredes de Coura,50,0.53,254.9,71.4,45.9,59,89.7,104.5,x,x,x,x,x
Ponte da Barca,13.8,0.24,248.4,79,37.7,56,83.7,145.5,x,x,x,x,x
Ponte de Lima,3.1,0.17,189.4,88.5,33.9,52.6,87.7,132.3,x,x,x,x,x
Valença,20.8,2.55,230.8,72.6,39.7,49.7,85.2,126.2,x,x,x,x,x
Viana do Castelo,13.2,0.7,199.4,69.6,36.6,49.1,88.4,128.6,x,x,x,x,x
Vila Nova de Cerveira,9.1,1.81,207.4,84.5,36.4,53.6,89.6,209.6,x,x,x,x,x
Cávado,14.8,0.82,139.4,84.1,27,44.4,90.5,100,31.1,32.2,33.3,82.1,20.2
Amares,12.5,0.51,159.6,89.1,28.2,47,93,119,x,x,x,x,x
Barcelos,13.7,0.32,153.4,84.5,27.3,43.5,91.3,115.5,x,x,x,x,x
Braga,17.4,1.38,125.6,80.8,25.8,42.2,89.3,93.5,x,x,x,x,x
Esposende,15.5,0.47,131.2,87,26.5,43.9,90.1,121.9,x,x,x,x,x
Terras de Bouro,0,0.16,278.3,73.7,43.1,56,90.9,66.7,x,x,x,x,x
Vila Verde,6.8,0.28,150,94.2,28.6,51.4,92.4,176.6,x,x,x,x,x
Ave,8.4,0.27,157.1,79,28.4,43.5,91.1,142.8,30.7,31.5,32.7,81.48,19.79
Cabeceiras de Basto,0,0.13,163.9,89.5,29.1,54.8,92.8,425,x,x,x,x,x
Fafe,5.4,0.15,180.7,75.6,31.3,43.6,87.7,136.7,x,x,x,x,x
Guimarães,12.1,0.27,151.2,75.1,28,41.2,91.9,132.8,x,x,x,x,x
Mondim de Basto,0,0.22,247.3,98.9,34.1,54.9,90.8,36.4,x,x,x,x,x
Póvoa de Lanhoso,2.8,0.31,164.8,82,28.4,48.6,89.5,153.8,x,x,x,x,x
Vieira do Minho,3.7,0.11,247.3,75.6,37.1,55.3,91.1,62.5,x,x,x,x,x
Vila Nova de Famalicão,10.5,0.38,149.8,80.6,27.7,42.3,91.2,159.3,x,x,x,x,x
Vizela,7.1,0.13,127.6,89.2,23,40.7,93.2,87.5,x,x,x,x,x
A. M. Porto,14.8,0.67,164.5,73.7,32.6,44.6,88.3,98.8,30.6,33.1,34.1,81.46,19.96
Arouca,6.9,0.11,175.9,74.5,33.8,47.5,89.7,130,x,x,x,x,x
Espinho,17.5,0.42,240.4,64.5,43.1,46.2,86.6,90.8,x,x,x,x,x
Gondomar,4.2,0.33,163.3,73,30.9,42.5,89.4,104.8,x,x,x,x,x
Maia,15.1,0.46,131.8,77.3,27.2,42.6,88.9,79.9,x,x,x,x,x
Matosinhos,15.2,0.59,167.6,69.4,34.2,42.6,87.9,88.6,x,x,x,x,x
Oliveira de Azeméis,2.9,0.26,202.3,68.2,34.1,46.8,90.2,112.3,x,x,x,x,x
Paredes,13.3,0.21,114.7,87.7,22.6,41.2,93.3,97.8,x,x,x,x,x
Porto,22.1,2.18,216.5,65.2,49.2,50.5,81.7,102.4,x,x,x,x,x
Póvoa de Varzim,14.6,0.86,142.2,82.9,28.8,42.6,88.5,104.2,x,x,x,x,x
Santa Maria da Feira,4.8,0.22,159.7,72.3,29.2,44.3,91,83.2,x,x,x,x,x
Santo Tirso,9.3,0.12,223.3,69.1,35.9,43.6,89.1,118.4,x,x,x,x,x
São João da Madeira,14.3,0.95,169.6,75.8,30.6,45.3,87.4,89.1,x,x,x,x,x
Trofa,6.8,0.36,151.4,78.4,27.9,40.7,89.7,118.8,x,x,x,x,x
Vale de Cambra,10.4,0.46,251.9,67.3,41.5,48.3,90.5,104.2,x,x,x,x,x
