,"Casamentos, Total (N.º)","Casamentos, Entre pessoas de sexo oposto, Total (N.º)","Casamentos, Entre pessoas de sexo oposto, dos quais, Só civis (N.º)","Casamentos, Entre pessoas de sexo oposto, dos quais, Católicos (N.º)","Casamentos, Entre pessoas do mesmo sexo, Masculino, Católicos (N.º)","Casamentos, Entre pessoas do mesmo sexo, Feminino, Católicos (N.º)","Casamentos dissolvidos, Entre pessoas do mesmo sexo, Total, Católicos (N.º)","Casamentos dissolvidos, Entre pessoas do mesmo sexo, por divórcio, Católicos (N.º)","Casamentos dissolvidos, Entre pessoas do mesmo sexo, por morte, Católicos (N.º)","População estrangeira a quem foi concedido título de residência, Entre pessoas do mesmo sexo, por morte, HM (N.º)","População estrangeira a quem foi concedido título de residência, Entre pessoas do mesmo sexo, por morte, H (N.º)","População estrangeira a quem foi concedido título de residência, Entre pessoas do mesmo sexo, por morte, M (N.º)","População estrangeira com estatuto de residente, Entre pessoas do mesmo sexo, por morte, HM (N.º)","População estrangeira com estatuto de residente, Entre pessoas do mesmo sexo, por morte, H (N.º)","População estrangeira com estatuto de residente, Entre pessoas do mesmo sexo, por morte, M (N.º)"
Portugal,18902,18457,16087,2263,236,209,66581,17295,49286,118124,63100,55024,661607,335924,325683
Continente,17732,17317,15077,2134,217,198,63523,16214,47309,116211,62148,54063,648079,329300,318779
Norte,6580,6483,5299,1151,44,53,23014,6220,16794,19826,10042,9784,90253,43335,46918
Alto Minho,411,408,340,64,2,1,1685,371,1314,1609,899,710,6166,3237,2929
Arcos de Valdevez,31,31,29,2,0,0,162,28,134,50,23,27,299,134,165
Caminha,23,23,17,6,0,0,106,25,81,109,65,44,513,272,241
Melgaço,10,10,8,2,0,0,88,15,73,24,11,13,120,48,72
Monção,24,23,23,0,1,0,175,28,147,192,90,102,733,376,357
Paredes de Coura,2,2,2,0,0,0,73,9,64,45,23,22,150,79,71
Ponte da Barca,29,29,24,5,0,0,94,21,73,27,16,11,126,65,61
Ponte de Lima,64,64,47,17,0,0,252,47,205,72,41,31,446,244,202
Valença,24,24,20,2,0,0,112,25,87,337,188,149,845,441,404
Viana do Castelo,182,180,151,29,1,1,567,167,400,592,333,259,2473,1301,1172
Vila Nova de Cerveira,22,22,19,1,0,0,56,6,50,161,109,52,461,277,184
Cávado,839,821,671,148,11,7,2263,718,1545,3300,1650,1650,15134,7291,7843
Amares,40,40,39,1,0,0,127,38,89,92,50,42,371,179,192
Barcelos,190,187,142,44,2,1,636,198,438,375,201,174,1493,747,746
Braga,448,436,349,86,7,5,952,336,616,2531,1223,1308,11774,5595,6179
Esposende,58,57,50,7,1,0,213,65,148,162,89,73,818,428,390
Terras de Bouro,15,15,14,1,0,0,44,6,38,10,4,6,70,29,41
Vila Verde,88,86,77,9,1,1,291,75,216,130,83,47,608,313,295
Ave,582,578,472,105,0,4,2451,662,1789,1124,661,463,5950,2969,2981
Cabeceiras de Basto,23,23,20,3,0,0,111,24,87,21,17,4,144,78,66
Fafe,74,73,61,11,0,1,327,96,231,71,41,30,371,159,212
Guimarães,174,172,150,22,0,2,836,223,613,405,231,174,2481,1227,1254
Mondim de Basto,25,25,22,3,0,0,43,7,36,15,4,11,66,30,36
Póvoa de Lanhoso,36,35,35,0,0,1,149,47,102,66,40,26,299,160,139
Vieira do Minho,27,27,17,10,0,0,70,13,57,13,5,8,142,56,86
Vila Nova de Famalicão,181,181,132,49,0,0,793,214,579,503,309,194,2234,1155,1079
Vizela,42,42,35,7,0,0,122,38,84,30,14,16,213,104,109
