,"Average number of students enrolled by computer, Total (N.º)","Average number of students enrolled by computer, Primary education, 1st cycle (N.º)","Average number of students enrolled by computer, Primary education, 2nd cycle (N.º)","Average number of students enrolled by computer, Secondary education, Lower (N.º)","Average number of students enrolled by computer, Secondary education, Upper (N.º)","Average number of students enrolled by computer connected to the internet, Total, Upper (N.º)","Average number of students enrolled by computer connected to the internet, Primary education, 1st cycle (N.º)","Average number of students enrolled by computer connected to the internet, Primary education, 2nd cycle (N.º)","Average number of students enrolled by computer connected to the internet, Secondary education, Lower (N.º)","Average number of students enrolled by computer connected to the internet, Secondary education, Upper (N.º)"
Portugal,x,x,x,x,x,x,x,x,x,x
Continente,4.2,5.1,4.2,4,3.6,4.5,5.6,4.5,4.3,3.9
Norte,4,4.6,4,3.9,3.6,4.3,5.1,4.3,4.2,3.9
Alto Minho,3.3,4.2,3.3,3.2,2.9,3.8,4.8,3.5,3.4,3.7
Arcos de Valdevez,3.3,6.2,3,2.9,2.6,3.5,6.2,3,2.9,3.2
Caminha,3.6,6.8,4,3.9,2.2,3.6,6.8,4,3.9,2.2
Melgaço,2.4,6,2,1.9,1.9,2.5,6.2,2,2,2
Monção,2.8,2.9,4.3,2.9,2.2,2.9,3,4.3,3,2.3
Paredes de Coura,3.6,5,4.4,4.4,2.4,3.6,5,4.4,4.4,2.4
Ponte da Barca,3,3.2,3.2,3.1,2.6,3.2,3.2,3.2,3.1,3.3
Ponte de Lima,3.3,3.3,2.8,2.8,4.2,4,4,3.1,3.1,7
Valença,3.1,9.4,2.5,2.5,2,3.6,88.2,2.6,2.6,2
Viana do Castelo,3.6,4.4,3.6,3.5,3.3,4.4,5,3.9,3.8,4.8
Vila Nova de Cerveira,3.1,2.7,3.9,3.9,2.4,3.2,2.8,4.2,4.2,2.5
Cávado,3.9,5.2,3.7,3.5,3.5,4.2,5.8,3.8,3.7,3.7
Amares,5.2,8.2,5.2,4.5,4.2,5.7,14.6,5.2,4.5,4.2
Barcelos,4.1,5.5,3.8,3.6,3.7,4.8,6.2,4.1,4.3,4.6
Braga,4.1,5.8,3.8,3.7,3.6,4.2,6.2,3.9,3.7,3.6
Esposende,3.5,3.1,4.1,3.6,3.5,4,3.7,4.9,4.5,3.5
Terras de Bouro,1.5,1.6,1.4,1.4,1.7,1.5,1.6,1.4,1.4,1.7
