,"Upper secondary education, Total (N.º)","Upper secondary education, Public (N.º)","Upper secondary education, Private (N.º)","Post-secondary non-tertiary education, Total (N.º)","Post-secondary non-tertiary education, Public (N.º)","Post-secondary non-tertiary education, Private (N.º)"
Portugal,393340,308764,84576,5670,5629,41
Continente,373140,292214,80926,5670,5629,41
Norte,137022,102783,34239,1417,1417,0
Alto Minho,8964,7375,1589,93,93,0
Arcos de Valdevez,686,522,164,0,0,0
Caminha,453,293,160,0,0,0
Melgaço,197,197,0,0,0,0
Monção,625,372,253,0,0,0
Paredes de Coura,251,123,128,0,0,0
Ponte da Barca,374,263,111,0,0,0
Ponte de Lima,1638,1397,241,0,0,0
Valença,303,241,62,0,0,0
Viana do Castelo,4244,3824,420,93,93,0
Vila Nova de Cerveira,193,143,50,0,0,0
Cávado,16794,12164,4630,0,0,0
Amares,469,469,0,0,0,0
Barcelos,3848,2868,980,0,0,0
Braga,9776,6970,2806,0,0,0
Esposende,1022,816,206,0,0,0
Terras de Bouro,76,76,0,0,0,0
Vila Verde,1603,965,638,0,0,0
Ave,14324,11676,2648,0,0,0
Cabeceiras de Basto,554,338,216,0,0,0
Fafe,1664,1235,429,0,0,0
Guimarães,5225,4592,633,0,0,0
Mondim de Basto,205,205,0,0,0,0
Póvoa de Lanhoso,836,660,176,0,0,0
Vieira do Minho,301,301,0,0,0,0
Vila Nova de Famalicão,4762,3653,1109,0,0,0
Vizela,777,692,85,0,0,0
A. M. Porto,68234,48032,20202,1192,1192,0
Arouca,658,568,90,0,0,0
Espinho,1893,1438,455,0,0,0
Gondomar,4209,3427,782,0,0,0
Maia,3391,3016,375,157,157,0
Matosinhos,5046,3966,1080,0,0,0
Oliveira de Azeméis,1962,1962,0,0,0,0
Paredes,2303,1932,371,0,0,0
Porto,20031,10821,9210,493,493,0
Póvoa de Varzim,2683,2550,133,0,0,0
Santa Maria da Feira,3663,2939,724,56,56,0
Santo Tirso,3042,2220,822,0,0,0
São João da Madeira,1757,1513,244,486,486,0
Trofa,1139,774,365,0,0,0
Vale de Cambra,626,626,0,0,0,0
Valongo,2548,2138,410,0,0,0
Vila do Conde,2055,1752,303,0,0,0
Vila Nova de Gaia,11228,6390,4838,0,0,0
Alto Tâmega,2514,2289,225,0,0,0
Boticas,0,0,0,0,0,0
Chaves,1651,1426,225,0,0,0
Montalegre,189,189,0,0,0,0
Ribeira de Pena,161,161,0,0,0,0
Valpaços,221,221,0,0,0,0
Vila Pouca de Aguiar,292,292,0,0,0,0
