,"Ensino básico público, 1º Ciclo, Total (N.º)","Ensino básico público, 1º Ciclo, das quais, Ensino regular (N.º)","Ensino básico público, 1º Ciclo, das quais, Ensino artístico (N.º)","Ensino básico público, 2º Ciclo, Total, Ensino artístico (N.º)","Ensino básico público, 2º Ciclo, das quais, Ensino regular (N.º)","Ensino básico público, 2º Ciclo, das quais, Ensino artístico (N.º)","Ensino básico público, 2º Ciclo, das quais, Cursos de educação e formação (N.º)","Ensino básico público, 3º Ciclo, Total, Cursos de educação e formação (N.º)","Ensino básico público, 3º Ciclo, das quais, Ensino regular (N.º)","Ensino básico público, 3º Ciclo, das quais, Ensino artístico (N.º)","Ensino básico público, 3º Ciclo, das quais, Cursos profissionais (N.º)","Ensino básico público, 3º Ciclo, das quais, Cursos de educação e formação (N.º)"
Portugal,332743,332404,0,186971,185064,717,0,296645,285181,846,0,7357
Continente,316346,316311,0,177103,175569,717,0,280203,270360,846,0,6476
Norte,109955,109946,0,62603,62293,221,0,100137,97896,305,0,1362
Alto Minho,6918,6918,0,3989,3977,0,0,6187,6112,0,0,35
Arcos de Valdevez,513,513,0,304,304,0,0,494,483,0,0,0
Caminha,452,452,0,242,242,0,0,385,385,0,0,0
Melgaço,186,186,0,117,117,0,0,141,141,0,0,0
Monção,420,420,0,284,284,0,0,395,395,0,0,0
Paredes de Coura,244,244,0,157,157,0,0,237,237,0,0,0
Ponte da Barca,332,332,0,174,174,0,0,318,318,0,0,0
Ponte de Lima,1368,1368,0,751,751,0,0,1234,1199,0,0,23
Valença,441,441,0,241,229,0,0,338,326,0,0,12
Viana do Castelo,2686,2686,0,1527,1527,0,0,2375,2358,0,0,0
Vila Nova de Cerveira,276,276,0,192,192,0,0,270,270,0,0,0
Cávado,13220,13220,0,7381,7275,104,0,11760,11535,143,0,23
Amares,571,571,0,373,373,0,0,495,482,0,0,13
Barcelos,3836,3836,0,1966,1966,0,0,3123,3123,0,0,0
Braga,5779,5779,0,3408,3304,104,0,5589,5401,143,0,0
Esposende,1331,1331,0,704,704,0,0,1043,1043,0,0,0
Terras de Bouro,170,170,0,112,112,0,0,196,196,0,0,0
Vila Verde,1533,1533,0,818,816,0,0,1314,1290,0,0,10
Ave,13175,13175,0,7118,7108,0,0,11705,11563,0,0,121
Cabeceiras de Basto,529,529,0,304,304,0,0,519,519,0,0,0
Fafe,1483,1483,0,803,803,0,0,1309,1309,0,0,0
Guimarães,4750,4750,0,2571,2566,0,0,4361,4291,0,0,60
Mondim de Basto,188,188,0,113,113,0,0,170,170,0,0,0
Póvoa de Lanhoso,755,755,0,417,417,0,0,645,645,0,0,0
Vieira do Minho,357,357,0,182,182,0,0,303,289,0,0,14
Vila Nova de Famalicão,4289,4289,0,2243,2238,0,0,3634,3591,0,0,32
Vizela,824,824,0,485,485,0,0,764,749,0,0,15
A. M. Porto,53005,52996,0,30462,30301,117,0,48016,46772,162,0,785
Arouca,786,786,0,416,416,0,0,697,697,0,0,0
Espinho,1112,1112,0,847,847,0,0,1372,1342,0,0,15
Gondomar,4509,4509,0,2530,2530,0,0,3882,3838,0,0,16
Maia,4493,4493,0,2684,2684,0,0,4025,3975,0,0,50
Matosinhos,5009,5009,0,3050,3045,0,0,4616,4526,0,0,50
