,"Educação pré-escolar, Dependente do Estado (N.º)","Educação pré-escolar, Independente do Estado  (N.º)","Ensino básico, 1º Ciclo, Dependente do Estado (N.º)","Ensino básico, 1º Ciclo, Independente do Estado  (N.º)","Ensino básico, 2º Ciclo, Dependente do Estado (N.º)","Ensino básico, 2º Ciclo, Independente do Estado  (N.º)","Ensino básico, 3º Ciclo, Dependente do Estado (N.º)","Ensino básico, 3º Ciclo, Independente do Estado  (N.º)","Ensino secundário, 3º Ciclo, Dependente do Estado (N.º)","Ensino secundário, 3º Ciclo, Independente do Estado  (N.º)"
Portugal,1309,961,66,453,50,211,47,273,31,350
Continente,1212,957,43,446,44,208,42,272,25,332
Norte,425,224,8,127,7,73,6,114,4,139
Alto Minho,31,2,0,2,0,1,0,5,0,13
Arcos de Valdevez,4,0,0,0,0,0,0,0,0,1
Caminha,3,0,0,0,0,0,0,0,0,2
Melgaço,1,0,0,0,0,0,0,0,0,0
Monção,1,0,0,0,0,0,0,1,0,1
Paredes de Coura,3,0,0,0,0,0,0,0,0,1
Ponte da Barca,1,0,0,0,0,0,0,0,0,1
Ponte de Lima,1,0,0,0,0,0,0,1,0,1
Valença,1,0,0,0,0,0,0,0,0,1
Viana do Castelo,15,2,0,2,0,1,0,3,0,4
Vila Nova de Cerveira,1,0,0,0,0,0,0,0,0,1
Cávado,45,17,0,14,1,11,1,16,0,16
Amares,1,0,0,0,0,0,0,0,0,0
Barcelos,11,0,0,2,1,2,1,5,0,5
Braga,26,12,0,11,0,9,0,9,0,9
Esposende,4,4,0,0,0,0,0,1,0,1
Terras de Bouro,1,1,0,0,0,0,0,0,0,0
Vila Verde,2,0,0,1,0,0,0,1,0,1
Ave,70,14,0,8,0,6,0,13,0,15
Cabeceiras de Basto,1,0,0,0,0,0,0,1,0,1
Fafe,8,2,0,1,0,1,0,2,0,2
Guimarães,32,4,0,2,0,2,0,4,0,6
Mondim de Basto,1,0,0,0,0,0,0,0,0,0
Póvoa de Lanhoso,2,0,0,0,0,0,0,1,0,1
Vieira do Minho,1,0,0,0,0,0,0,0,0,0
Vila Nova de Famalicão,24,8,0,5,0,3,0,5,0,5
Vizela,1,0,0,0,0,0,0,0,0,0
A. M. Porto,194,161,3,86,4,48,3,65,2,72
Arouca,1,0,0,0,0,0,0,0,0,0
Espinho,4,1,0,0,1,0,0,3,0,3
Gondomar,8,14,0,6,0,3,0,3,0,3
Maia,16,14,0,4,0,3,0,2,0,2
Matosinhos,22,15,1,7,0,3,0,6,0,5
Oliveira de Azeméis,12,1,0,3,0,0,0,0,0,0
Paredes,2,3,0,2,0,2,0,1,0,1
Porto,41,49,2,31,2,17,2,25,2,33
Póvoa de Varzim,14,4,0,1,0,1,0,1,0,1
Santa Maria da Feira,21,5,0,3,0,3,0,2,0,3
Santo Tirso,5,5,0,5,0,3,0,5,0,5
São João da Madeira,3,2,0,2,0,1,0,1,0,2
Trofa,2,2,0,1,0,1,0,1,0,1
Vale de Cambra,1,0,0,0,0,0,0,0,0,0
Valongo,5,13,0,6,0,3,0,4,0,2
Vila do Conde,11,3,0,2,0,1,0,2,0,1
Vila Nova de Gaia,26,30,0,13,1,7,1,9,0,10
Alto Tâmega,9,6,1,4,0,0,0,0,0,1
Boticas,1,0,0,0,0,0,0,0,0,0
Chaves,3,5,1,4,0,0,0,0,0,1
