,"Taxa quinquenal de mortalidade 
infantil (2015/2019),  ‰, 2019 (‰)","Taxa quinquenal de mortalidade 
neonatal (2015/2019),  ‰, 2019 (‰)","Taxa de mortalidade por doenças do aparelho circulatório,  ‰, 2019 (‰)","Taxa de mortalidade por tumores malignos,  ‰, 2019 (‰)"
Portugal,3,2,3.2,2.8
Continente,3,2,3.3,2.8
Norte,2.7,1.9,2.8,2.5
Alto Minho,4.1,2.7,4.1,3.2
Arcos de Valdevez,0,0,4.5,3.6
Caminha,1.9,1.9,3.5,4.2
Melgaço,5.5,0,6.5,3.9
Monção,6.2,6.2,7,4
Paredes de Coura,7,7,4.7,3.6
Ponte da Barca,2.9,0,4.4,2.9
Ponte de Lima,3.5,0.7,3.6,2.8
Valença,6.6,2.2,4.5,3.2
Viana do Castelo,4.7,3.7,3.2,3.1
Vila Nova de Cerveira,3.2,3.2,4.3,2.8
Cávado,1.7,0.9,2.4,2.1
Amares,4.5,1.5,3.4,2.2
Barcelos,2.1,0.5,2.4,1.8
Braga,1.1,0.7,2,2.2
Esposende,2.8,2.1,2.7,2.3
Terras de Bouro,0,0,3.9,3
Vila Verde,1.7,1.7,3,2.3
Ave,2.1,1.4,2.3,2.4
Cabeceiras de Basto,1.9,0,2.5,2
Fafe,0.6,0,2.7,2.3
Guimarães,1.6,1.3,2.1,2.4
Mondim de Basto,5.6,5.6,4.6,3
Póvoa de Lanhoso,4.2,0,2.3,2.2
Vieira do Minho,0,0,4,3.5
Vila Nova de Famalicão,2.8,2.1,2.2,2.5
Vizela,2.9,1.9,1.4,1.8
A. M. Porto,2.9,2.2,2.6,2.6
Arouca,0,0,3.6,2.5
Espinho,5.6,4.6,3.5,3.6
Gondomar,2.6,2.3,2.2,2.3
Maia,1.6,1.3,2,2.4
Matosinhos,1.6,0.8,2.3,2.5
Oliveira de Azeméis,0.4,0.4,3,2.5
Paredes,2.9,2.3,2.2,2.2
Porto,3.7,2.6,3.8,3.5
Póvoa de Varzim,6.3,5.2,2.5,2.3
Santa Maria da Feira,3.6,3,2.2,2.4
Santo Tirso,4.9,3.1,3,2.3
São João da Madeira,4,4,2.7,2.8
Trofa,2.6,2.6,2.8,1.9
Vale de Cambra,3,3,3.3,2.2
Valongo,2.2,2,2,2.1
Vila do Conde,2.3,1.5,2.5,2.7
Vila Nova de Gaia,3,2.3,2.4,2.5
Alto Tâmega,3,2.1,4.5,3.4
Boticas,0,0,4.6,4.2
Chaves,0.9,0.9,3.6,2.9
Montalegre,4.7,4.7,5.3,4.8
Ribeira de Pena,5.5,0,5.1,2.7
Valpaços,5.3,2.7,5.8,4.2
Vila Pouca de Aguiar,6.7,6.7,4.9,3.1
Tâmega e Sousa,2.8,2.3,2.7,2.1
Amarante,0.6,0.6,2.9,1.9
Baião,0,0,4,2.4
Castelo de Paiva,0,0,2.1,2.3
Celorico de Basto,3.4,3.4,3.4,2.8
Cinfães,4.5,4.5,4.8,4
Felgueiras,2.6,1.7,2.3,1.9
Lousada,4.5,3.5,2.5,1.8
Marco de Canaveses,6.2,5,2.5,2
Paços de Ferreira,3.4,2.6,1.9,2
Penafiel,1.1,1.1,2.4,2
Resende,3,3,5,2.4
Douro,2.2,1.2,4.1,2.8
Alijó,0,0,6.4,3.2
Armamar,0,0,5,1.9
Carrazeda de Ansiães,0,0,4.6,3.2
Freixo de Espada à Cinta,9.9,9.9,7.6,2.7
Lamego,0,0,3,3
Mesão Frio,10.9,0,4,4
Moimenta da Beira,0,0,4.8,2.6
Murça,0,0,2,4
Penedono,0,0,5.8,3.5
