,"Total, MF (N.º)","Total, M (N.º)","Total, F (N.º)","Primary CAE: A, MF (N.º)","Primary CAE: A, M (N.º)","Primary CAE: A, F (N.º)","Secondary CAE: B - F, MF (N.º)","Secondary CAE: B - F, M (N.º)","Secondary CAE: B - F, F (N.º)","Tertiary CAE: G - U, MF (N.º)","Tertiary CAE: G - U, M (N.º)","Tertiary CAE: G - U, F (N.º)"
Portugal,2321620,1266271,1055349,46646,33443,13203,705658,486012,219646,1569316,746816,822500
Continente,2232400,1217589,1014811,44991,32053,12938,687188,470713,216475,1500221,714823,785398
Norte,809359,447292,362067,8315,5896,2419,342915,221476,121439,458129,219920,238209
Alto Minho,44764,23249,21515,781,551,230,20252,12413,7839,23731,10285,13446
Arcos de Valdevez,4074,1852,2222,50,36,14,2389,1183,1206,1635,633,1002
Caminha,1834,926,908,106,78,28,360,302,58,1368,546,822
Melgaço,839,351,488,15,12,3,249,164,85,575,175,400
Monção,2648,1354,1294,69,49,20,919,664,255,1660,641,1019
Paredes de Coura,934,454,480,32,29,3,412,246,166,490,179,311
Ponte da Barca,1276,668,608,52,44,8,340,301,39,884,323,561
Ponte de Lima,7774,4102,3672,151,91,60,4167,2279,1888,3456,1732,1724
Valença,2941,1527,1414,61,30,31,883,582,301,1997,915,1082
Viana do Castelo,19041,10231,8810,214,157,57,8158,5501,2657,10669,4573,6096
Vila Nova de Cerveira,3403,1784,1619,31,25,6,2375,1191,1184,997,568,429
Cávado,101303,56005,45298,828,533,295,49702,31276,18426,50773,24196,26577
Amares,2973,1871,1102,127,…,…,1208,…,…,1638,857,781
Barcelos,31052,15671,15381,342,217,125,20780,10779,10001,9930,4675,5255
Braga,51439,29610,21829,117,81,36,19588,13965,5623,31734,15564,16170
Esposende,7165,4138,3027,92,56,36,4097,2841,1256,2976,1241,1735
Terras de Bouro,976,446,530,8,…,…,183,…,…,785,286,499
Vila Verde,7698,4269,3429,142,106,36,3846,2590,1256,3710,1573,2137
Ave,103641,56394,47247,578,419,159,62929,37000,25929,40134,18975,21159
Cabeceiras de Basto,2121,1170,951,44,38,6,800,489,311,1277,643,634
Fafe,9061,4496,4565,29,21,8,5314,2718,2596,3718,1757,1961
Guimarães,44340,24273,20067,235,164,71,27248,16144,11104,16857,7965,8892
Mondim de Basto,547,347,200,23,…,…,167,…,…,357,188,169
Póvoa de Lanhoso,3523,1649,1874,39,30,9,1701,869,832,1783,750,1033
Vieira do Minho,1102,592,510,22,18,4,280,230,50,800,344,456
Vila Nova de Famalicão,36934,21040,15894,177,120,57,23195,14384,8811,13562,6536,7026
Vizela,6013,2827,3186,9,…,…,4224,…,…,1780,792,988
A. M. Porto,424288,237580,186708,2937,2156,781,143752,97464,46288,277599,137960,139639
Arouca,4126,2562,1564,222,200,22,2412,1690,722,1492,672,820
Espinho,4392,2150,2242,4,…,…,1315,…,…,3073,1301,1772
Gondomar,17109,9724,7385,43,30,13,5817,4284,1533,11249,5410,5839
Maia,47784,28490,19294,71,31,40,13994,9858,4136,33719,18601,15118
Matosinhos,44749,24705,20044,130,98,32,9437,7277,2160,35182,17330,17852
Oliveira de Azeméis,19699,12294,7405,72,34,38,14376,9608,4768,5251,2652,2599
Paredes,16642,10245,6397,174,56,118,9334,6535,2799,7134,3654,3480
Porto,97470,48737,48733,138,102,36,8363,5943,2420,88969,42692,46277
Póvoa de Varzim,12117,6380,5737,761,595,166,4019,2508,1511,7337,3277,4060
Santa Maria da Feira,29008,17191,11817,54,39,15,16701,10560,6141,12253,6592,5661
Santo Tirso,14614,7930,6684,104,81,23,9416,5645,3771,5094,2204,2890
São João da Madeira,9935,4905,5030,…,…,…,…,…,…,4863,2230,2633
Trofa,12141,7490,4651,79,54,25,6654,4212,2442,5408,3224,2184
Vale de Cambra,6277,3812,2465,…,…,…,…,…,…,1592,631,961
Valongo,13194,7943,5251,58,…,…,5508,…,…,7628,3958,3670
Vila do Conde,19344,11391,7953,876,684,192,8247,5443,2804,10221,5264,4957
Vila Nova de Gaia,55687,31631,24056,138,90,48,18415,13273,5142,37134,18268,18866
Alto Tâmega,11382,6306,5076,211,164,47,4016,3299,717,7155,2843,4312
Boticas,750,354,396,11,…,…,373,…,…,366,114,252
Chaves,5772,3144,2628,82,60,22,1675,1388,287,4015,1696,2319
Montalegre,912,493,419,26,…,…,291,…,…,595,224,371
Ribeira de Pena,1057,696,361,15,…,…,588,…,…,454,161,293
Valpaços,1426,715,711,17,14,3,402,338,64,1007,363,644
Vila Pouca de Aguiar,1465,904,561,60,45,15,687,574,113,718,285,433
Tâmega e Sousa,83655,47144,36511,741,554,187,51698,32076,19622,31216,14514,16702
Amarante,8382,5222,3160,106,77,29,4448,3489,959,3828,1656,2172
Baião,2251,1384,867,74,42,32,1293,985,308,884,357,527
Castelo de Paiva,2514,1180,1334,61,51,10,1414,743,671,1039,386,653
Celorico de Basto,2053,1110,943,51,46,5,1134,700,434,868,364,504
Cinfães,2846,2133,713,21,14,7,1907,1757,150,918,362,556
Felgueiras,17265,9122,8143,110,85,25,12756,6832,5924,4399,2205,2194
Lousada,9989,5341,4648,52,40,12,6488,3418,3070,3449,1883,1566
Marco de Canaveses,9017,5951,3066,113,81,32,5408,4153,1255,3496,1717,1779
Paços de Ferreira,14421,8010,6411,18,14,4,9252,5287,3965,5151,2709,2442
Penafiel,14129,7275,6854,94,72,22,7390,4529,2861,6645,2674,3971
Resende,788,416,372,41,32,9,208,183,25,539,201,338
Douro,25921,13461,12460,1773,1212,561,7114,5348,1766,17034,6901,10133
Alijó,1375,684,691,131,99,32,337,225,112,907,360,547
Armamar,850,446,404,142,98,44,220,155,65,488,193,295
Carrazeda de Ansiães,504,234,270,32,20,12,93,79,14,379,135,244
Freixo de Espada à Cinta,208,116,92,21,…,…,21,…,…,166,79,87
Lamego,3188,1693,1495,168,108,60,911,696,215,2109,889,1220
Mesão Frio,395,187,208,29,18,11,95,83,12,271,86,185
Moimenta da Beira,1357,703,654,83,62,21,356,297,59,918,344,574
Murça,480,240,240,28,22,6,131,105,26,321,113,208
Penedono,290,149,141,40,…,…,67,…,…,183,65,118
Peso da Régua,2036,1029,1007,137,93,44,450,332,118,1449,604,845
Sabrosa,863,433,430,169,100,69,302,204,98,392,129,263
Santa Marta de Penaguião,431,211,220,80,59,21,109,73,36,242,79,163
São João da Pesqueira,966,535,431,262,185,77,264,192,72,440,158,282
Sernancelhe,789,463,326,24,17,7,289,242,47,476,204,272
Tabuaço,465,248,217,70,46,24,184,125,59,211,77,134
Tarouca,1070,690,380,37,33,4,512,439,73,521,218,303
Torre de Moncorvo,744,373,371,61,46,15,177,137,40,506,190,316
Vila Nova de Foz Côa,797,394,403,115,79,36,282,210,72,400,105,295
