,Total (€),"Profissão principal, Representantes do poder legislativo e de órgãos executivos, dirigentes, diretores/as e gestores/as executivos/as (€)","Profissão principal, Especialistas das atividades intelectuais e científicas (€)","Profissão principal, Técnicos/as e profissionais de nível intermédio (€)","Profissão principal, Pessoal administrativo  (€)","Profissão principal, Trabalhadores/as dos serviços pessoais, de proteção e segurança e vendedores/as (€)","Profissão principal, Agricultores/as e trabalhadores/as qualificados/as da agricultura, da pesca e da floresta (€)","Profissão principal, Trabalhadores/as qualificados/as da indústria, construção e artífices (€)","Profissão principal, Operadores/as de instalações e máquinas e trabalhadores/as da montagem (€)","Profissão principal, Trabalhadores/as não qualificados  (€)"
Portugal,1206.34,2603.68,1896.37,1583.07,1114.17,871.84,913.61,954.02,992.87,817.74
Continente,1209.94,2612.42,1899.12,1583.18,1114.34,873.06,914.72,953.05,992.07,816.04
Norte,1100.44,2242.04,1761.14,1432.18,1036.03,838.74,977.88,891.73,898.66,800.5
Alto Minho,1013.26,1952.17,1634.15,1320.3,1004.15,795.61,936.5,892.62,909.13,783.86
Arcos de Valdevez,891.94,2070.17,1292.66,1114.75,951.07,755.86,718.66,812.71,701.22,770.35
Caminha,920.37,1254.77,1330.93,1059.09,877.78,758.09,2316.63,869.97,908.09,740.85
Melgaço,880.91,1514.79,1462.04,1092,1005.39,723.8,912.29,769.87,818.12,788.33
Monção,891.58,1404,1249.52,1027.92,936.29,762.13,782.53,835.52,996.44,731.96
Paredes de Coura,954.24,2131.53,1450.66,1305.35,1004.5,721.15,844.42,895.86,874.98,776.26
Ponte da Barca,854.24,1242.77,1195.94,1216.68,965.04,712.88,723.01,810.21,854.41,713.33
Ponte de Lima,922.29,1589.35,1235.01,1298.25,978.31,811.45,707.29,805.32,887.89,744.12
Valença,973.41,1912.65,1439.07,1260.5,986.48,772.8,733.12,1050.04,952.18,804.72
Viana do Castelo,1114.74,2233.67,1851.17,1371.85,1028.37,836.07,1056.58,947.68,959.01,815.14
Vila Nova de Cerveira,1086.11,2583.1,1560.14,1755.59,1091.45,790.22,769.15,941.98,956.2,774.76
Cávado,1044.54,1804.79,1658.05,1346.63,986.81,820.12,762.71,867.51,875.6,782.27
Amares,932.64,1300.23,1336.92,1056.72,918.46,724.15,729.28,810.82,1250.75,820
Barcelos,948.86,1743.78,1506.12,1244.22,981.42,796.95,795.35,840.85,805.02,773.38
Braga,1145.83,1994.05,1746.65,1427.65,996.68,851.82,723.18,926.68,945.39,794.4
Esposende,962.4,1932.8,1428,1218.18,1005.42,774.74,772.76,825.2,863.32,769.81
Terras de Bouro,888.88,1383.29,1370.47,1292.41,948.58,697.8,756.34,951.44,718.32,699.37
Vila Verde,893.12,1237.51,1313.48,1125.94,949.26,759.33,736.48,792.58,853.85,751.23
Ave,984.13,2000.89,1502.72,1301.98,992.04,811.32,743.75,844.93,865.29,778.9
Cabeceiras de Basto,809.27,1144.49,1167.34,949.79,863.63,734.37,730.31,771.92,757.82,712.18
Fafe,858.39,1467.79,1324.75,1066.21,902.9,778.73,699.52,772.84,756.2,739.09
Guimarães,971.89,2031.5,1519.94,1257.98,997.26,830.93,741.48,839.48,802.29,762.16
Mondim de Basto,799.72,1129.41,1473.16,861.46,901.43,734.6,720.29,722.39,739.38,731.17
Póvoa de Lanhoso,855.68,1308.23,1390.4,1025.13,864.55,767.04,736.27,753.69,784.89,717.95
Vieira do Minho,811.92,1158.87,1123.78,971.54,976.27,747.89,677.31,727.23,809.19,708.23
Vila Nova de Famalicão,1080.24,2355.57,1568.09,1446.75,1031.19,821.71,773.93,909.41,983.04,840.31
Vizela,858.76,1725.18,1318.79,1140.8,939.91,779.39,704.76,779.38,774.66,736.92
