,"Valor médio anual das pensões, Total, €","Valor médio anual das pensões, Invalidez, €","Valor médio anual das pensões, Velhice, €","Valor médio anual das pensões, Sobrevivência, €","Valor médio de subsídios de desemprego  , HM, €","Valor médio de subsídios de desemprego  , H, €","Valor médio de subsídios de desemprego  , M, €","Valor médio de subsídios de doença, M, €","Número médio de dias de subsídios de desemprego  , HM, dias ","Número médio de dias de subsídios de desemprego  , H, dias ","Número médio de dias de subsídios de desemprego  , M, dias ","Número médio de dias de subsídios de doença, M, dias "
Portugal,5811,5617,6672,3433,3147,3268,3050,1167,179,173,184,63
Continente,5840,5594,6698,3451,3150,3273,3053,1147,179,172,184,62
Norte,5401,5174,6183,3212,3131,3274,3020,1039,183,176,188,60
Alto Minho,4489,4876,5042,2802,2743,2833,2668,1258,161,154,167,76
Arcos de Valdevez,3675,4278,4062,2513,2762,2953,2635,1216,171,174,169,80
Caminha,4733,4635,5381,2862,2815,3050,2641,1282,165,165,166,71
Melgaço,3669,3933,4039,2312,3100,3091,3105,843,188,175,197,59
Monção,3819,4329,4255,2490,2806,2987,2708,1093,174,173,175,71
Paredes de Coura,3913,4359,4345,2562,2750,2635,2866,1460,163,154,173,94
Ponte da Barca,3973,4264,4410,2710,2623,3038,2348,1160,162,180,150,77
Ponte de Lima,4349,4802,4897,2653,2634,2818,2494,1155,159,158,160,74
Valença,4120,4458,4651,2695,2482,2473,2488,1129,152,148,155,71
Viana do Castelo,5208,5553,5859,3146,2820,2837,2803,1360,158,144,172,78
Vila Nova de Cerveira,4215,4279,4773,2769,2696,2876,2564,1293,160,162,159,75
Cávado,5042,5177,5728,2915,3110,3283,2989,947,180,176,183,56
Amares,4311,4756,4882,2555,2925,3244,2754,771,174,173,175,54
Barcelos,4965,5216,5662,2825,3051,3267,2886,955,178,173,182,59
Braga,5523,5423,6245,3186,3168,3300,3076,985,180,176,182,53
Esposende,4722,5122,5380,2727,3100,3239,3004,1043,179,174,183,64
Terras de Bouro,4320,4595,4885,2805,2731,3143,2464,713,184,187,182,56
Vila Verde,4202,4625,4727,2575,3121,3313,2992,782,187,184,188,53
Ave,5303,5340,6014,3092,3248,3369,3169,1004,193,185,198,60
Cabeceiras de Basto,4036,4424,4625,2555,2756,3124,2467,815,169,177,163,60
Fafe,4495,5049,5029,2689,3167,3387,3040,1084,198,199,197,70
Guimarães,5650,5598,6380,3211,3328,3421,3268,966,198,192,202,58
Mondim de Basto,4001,4448,4526,2559,2861,2882,2839,1029,190,199,182,71
Póvoa de Lanhoso,4300,4501,4850,2797,3331,3571,3151,889,194,183,203,62
Vieira do Minho,4095,3987,4683,2672,3025,3492,2689,935,181,178,182,61
Vila Nova de Famalicão,5660,5619,6419,3314,3219,3273,3183,1064,185,171,195,59
Vizela,5509,5488,6186,3201,3287,3448,3191,936,200,196,203,58
A. M. Porto,6127,5432,7019,3613,3184,3345,3052,1021,182,177,186,56
Arouca,4380,4714,4934,2664,2807,3092,2642,1139,171,170,171,75
Espinho,5857,5688,6623,3508,3204,3443,2988,1108,186,185,187,61
Gondomar,5808,5229,6644,3507,3118,3269,2981,890,184,182,186,51
Maia,6599,5803,7598,3758,3220,3412,3066,941,176,171,179,49
Matosinhos,6984,6130,7978,4117,3347,3497,3201,994,182,177,187,49
Oliveira de Azeméis,5590,5445,6355,3217,2948,3191,2787,1454,175,173,176,78
Paredes,4794,4753,5600,2875,2925,3117,2802,948,184,177,188,62
Porto,7150,5680,8197,4373,3317,3372,3266,917,183,179,187,46
Póvoa de Varzim,5168,4978,5969,3034,3054,3181,2946,964,174,163,183,55
Santa Maria da Feira,5331,5124,6058,3052,3093,3238,2988,1278,181,175,185,71
Santo Tirso,5479,5420,6137,3292,3348,3562,3213,942,198,193,202,56
São João da Madeira,5888,5313,6695,3422,2894,2890,2898,1295,174,165,180,73
Trofa,6049,5633,6951,3384,2912,3030,2845,996,175,166,180,55
Vale de Cambra,5463,5625,6216,3075,2788,3365,2527,1718,161,167,158,90
Valongo,5821,5288,6678,3476,3070,3224,2946,926,177,172,182,52
Vila do Conde,5527,5244,6377,3232,3051,3169,2955,1014,174,162,184,56
Vila Nova de Gaia,6387,5498,7323,3681,3325,3508,3167,964,189,186,192,51
Alto Tâmega,3827,4173,4295,2584,3076,3254,2929,995,189,186,191,66
Boticas,3551,4148,3934,2422,2991,3671,2492,852,172,198,154,60
Chaves,3970,4179,4472,2623,3019,3194,2896,980,189,188,189,64
Montalegre,3915,4055,4393,2739,3533,4070,2845,938,208,216,198,63
Ribeira de Pena,3774,4277,4222,2603,3024,2783,3247,1430,185,155,213,77
Valpaços,3657,4136,4106,2485,3062,3026,3088,896,198,190,204,68
Vila Pouca de Aguiar,3763,4244,4208,2546,3116,3241,2972,1043,180,173,188,71
Tâmega e Sousa,4712,4897,5447,2831,2985,3048,2940,1142,183,168,194,73
Amarante,4572,4792,5273,2822,2978,2962,2990,1140,179,159,195,73
Baião,4605,4593,5409,2863,2949,2863,3058,1063,175,149,207,72
