,"Total, Total (N.º)","Total, Pensionistas em  31 dez. (N.º)","Invalidez, Total (N.º)","Invalidez, Pensionistas em  31 dez. (N.º)","Velhice, Total (N.º)","Velhice, Pensionistas em  31 dez. (N.º)","Sobrevivência, Total (N.º)","Sobrevivência, Pensionistas em  31 dez. (N.º)"
Portugal,3007747,2869492,178599,172836,2087673,2001710,741475,694946
Continente,2886114,2753610,164613,159322,2014856,1932166,706645,662122
Norte,1039068,993109,66225,63964,722059,693690,250784,235455
Alto Minho,73601,70014,4977,4806,50804,48565,17820,16643
Arcos de Valdevez,7552,7149,470,451,5133,4887,1949,1811
Caminha,5371,5099,307,290,3774,3611,1290,1198
Melgaço,2462,2308,122,119,1821,1723,519,466
Monção,6075,5708,280,265,4280,4040,1515,1403
Paredes de Coura,2885,2733,239,229,1946,1850,700,654
Ponte da Barca,3866,3665,347,337,2555,2429,964,899
Ponte de Lima,12449,11882,1044,1014,8407,8041,2998,2827
Valença,4128,3898,214,201,2814,2675,1100,1022
Viana do Castelo,25900,24795,1798,1746,18090,17410,6012,5639
Vila Nova de Cerveira,2913,2777,156,154,1984,1899,773,724
Cávado,104301,99963,8840,8569,71750,69112,23711,22282
Amares,4807,4564,415,404,3235,3092,1157,1068
Barcelos,32099,30900,3098,3006,21603,20880,7398,7014
Braga,43813,41987,3308,3202,31052,29946,9453,8839
Esposende,8539,8161,729,706,5765,5525,2045,1930
Terras de Bouro,2445,2336,171,164,1633,1564,641,608
Vila Verde,12598,12015,1119,1087,8462,8105,3017,2823
Ave,125631,120620,10505,10235,86975,83882,28151,26503
Cabeceiras de Basto,4518,4299,411,398,2862,2727,1245,1174
Fafe,15445,14799,1665,1628,10239,9850,3541,3321
Guimarães,47206,45417,3789,3704,33485,32372,9932,9341
Mondim de Basto,2208,2075,184,180,1442,1367,582,528
Póvoa de Lanhoso,5717,5419,502,481,3769,3589,1446,1349
Vieira do Minho,4261,4068,346,333,2790,2679,1125,1056
Vila Nova de Famalicão,39776,38246,3066,2986,27778,26810,8932,8450
Vizela,6500,6297,542,525,4610,4488,1348,1284
A. M. Porto,505413,483913,27080,26026,358545,345273,119788,112614
Arouca,6560,6306,456,442,4548,4386,1556,1478
Espinho,11284,10822,500,487,8159,7855,2625,2480
Gondomar,47419,45412,2733,2623,33283,32063,11403,10726
Maia,34153,32680,1687,1612,24369,23489,8097,7579
Matosinhos,51091,48933,2377,2263,36703,35384,12011,11286
Oliveira de Azeméis,21330,20487,1084,1048,15358,14828,4888,4611
Paredes,18270,17434,1591,1522,11768,11288,4911,4624
Porto,75294,71724,3150,3018,53616,51358,18528,17348
Póvoa de Varzim,16633,15933,1013,968,11423,10988,4197,3977
Santa Maria da Feira,40614,39044,2428,2365,29115,28136,9071,8543
Santo Tirso,25171,24114,1403,1355,18297,17608,5471,5151
São João da Madeira,6808,6553,367,354,4918,4770,1523,1429
Trofa,10464,10108,695,671,7379,7164,2390,2273
Vale de Cambra,7743,7396,481,468,5496,5284,1766,1644
Valongo,24956,23962,1616,1551,17366,16767,5974,5644
Vila do Conde,22857,21888,1334,1277,15828,15231,5695,5380
Vila Nova de Gaia,84766,81117,4165,4002,60919,58674,19682,18441
Alto Tâmega,30142,28638,1438,1389,20554,19626,8150,7623
Boticas,2025,1914,114,103,1382,1313,529,498
Chaves,11439,10864,557,538,7865,7526,3017,2800
