,"Total, N.º","Sexo, H, N.º","Sexo, M, N.º","Idade, Menos de 25 anos, N.º","Idade, 25-39 anos, N.º","Idade, 40-54 anos, N.º","Idade, 55 e mais anos, N.º","Valores processados, 55 e mais anos, milhares de euros"
Portugal,257939,124484,133455,106033,41365,57018,53523,313399
Continente,232117,111563,120554,94501,36241,51532,49843,285758
Norte,96354,45856,50498,35463,14296,22913,23682,120108
Alto Minho,2689,1373,1316,835,354,612,888,3525
Arcos de Valdevez,218,115,103,32,22,50,114,279
Caminha,161,95,66,34,12,35,80,220
Melgaço,71,43,28,13,5,20,33,92
Monção,133,68,65,22,4,39,68,187
Paredes de Coura,73,40,33,7,4,16,46,104
Ponte da Barca,109,51,58,19,12,22,56,129
Ponte de Lima,320,149,171,69,20,85,146,425
Valença,283,134,149,116,37,59,71,359
Viana do Castelo,1247,634,613,512,233,257,245,1622
Vila Nova de Cerveira,74,44,30,11,5,29,29,109
Cávado,3334,1658,1676,1240,512,752,830,4018
Amares,188,93,95,71,22,45,50,222
Barcelos,472,247,225,156,55,106,155,643
Braga,2196,1081,1115,839,369,506,482,2587
Esposende,116,52,64,32,13,25,46,163
Terras de Bouro,55,35,20,12,6,17,20,59
Vila Verde,307,150,157,130,47,53,77,346
Ave,4593,2335,2258,1617,569,1158,1249,5618
Cabeceiras de Basto,389,194,195,139,28,122,100,431
Fafe,560,269,291,196,83,133,148,694
Guimarães,1233,659,574,420,158,313,342,1531
Mondim de Basto,203,98,105,60,18,53,72,210
Póvoa de Lanhoso,252,130,122,58,27,65,102,326
Vieira do Minho,275,149,126,77,18,84,96,357
Vila Nova de Famalicão,1576,776,800,646,228,363,339,1937
Vizela,105,60,45,21,9,25,50,133
A. M. Porto,61251,28741,32510,23119,9315,14513,14304,77637
Arouca,238,106,132,56,14,52,116,281
Espinho,1157,538,619,404,181,273,299,1387
Gondomar,6628,3087,3541,2636,1058,1578,1356,7829
Maia,3766,1706,2060,1495,553,831,887,4698
Matosinhos,6136,2822,3314,2341,957,1341,1497,7776
Oliveira de Azeméis,583,274,309,185,77,144,177,754
Paredes,2610,1245,1365,922,335,638,715,3163
Porto,15449,7412,8037,5840,2569,3670,3370,20572
Póvoa de Varzim,1185,597,588,370,171,291,353,1547
Santa Maria da Feira,2333,1121,1212,793,304,600,636,2991
